
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.3798 test loss 2.134933 best test_acc 0.3798
e 1 | malicious users: 0 | test acc 0.7087 test loss 1.213475 best test_acc 0.7087
e 2 | malicious users: 2 | test acc 0.8312 test loss 0.889382 best test_acc 0.8312
e 3 | malicious users: 1 | test acc 0.8824 test loss 0.518484 best test_acc 0.8824
e 4 | malicious users: 1 | test acc 0.8749 test loss 0.387103 best test_acc 0.8824
e 5 | malicious users: 1 | test acc 0.8892 test loss 0.367089 best test_acc 0.8892
e 6 | malicious users: 4 | test acc 0.9089 test loss 0.323695 best test_acc 0.9089
e 7 | malicious users: 3 | test acc 0.9321 test loss 0.246485 best test_acc 0.9321
e 8 | malicious users: 3 | test acc 0.9223 test loss 0.275361 best test_acc 0.9321
e 9 | malicious users: 2 | test acc 0.9400 test loss 0.222079 best test_acc 0.9400
e 10 | malicious users: 6 | test acc 0.9380 test loss 0.227453 best test_acc 0.9400
e 11 | malicious users: 1 | test acc 0.9466 test loss 0.199072 best test_acc 0.9466
e 12 | malicious users: 2 | test acc 0.9519 test loss 0.182995 best test_acc 0.9519
e 13 | malicious users: 1 | test acc 0.9494 test loss 0.173881 best test_acc 0.9519
e 14 | malicious users: 6 | test acc 0.9549 test loss 0.183041 best test_acc 0.9549
e 15 | malicious users: 1 | test acc 0.9551 test loss 0.156245 best test_acc 0.9551
e 16 | malicious users: 2 | test acc 0.9565 test loss 0.155033 best test_acc 0.9565
e 17 | malicious users: 4 | test acc 0.9540 test loss 0.182804 best test_acc 0.9565
e 18 | malicious users: 3 | test acc 0.9537 test loss 0.168740 best test_acc 0.9565
e 19 | malicious users: 2 | test acc 0.9554 test loss 0.171132 best test_acc 0.9565
e 20 | malicious users: 3 | test acc 0.9569 test loss 0.154189 best test_acc 0.9569
e 21 | malicious users: 3 | test acc 0.9605 test loss 0.173584 best test_acc 0.9605
e 22 | malicious users: 1 | test acc 0.9572 test loss 0.157872 best test_acc 0.9605
e 23 | malicious users: 5 | test acc 0.9573 test loss 0.213336 best test_acc 0.9605
e 24 | malicious users: 1 | test acc 0.9567 test loss 0.152278 best test_acc 0.9605
e 25 | malicious users: 2 | test acc 0.9563 test loss 0.183730 best test_acc 0.9605
e 26 | malicious users: 2 | test acc 0.9517 test loss 0.188269 best test_acc 0.9605
e 27 | malicious users: 4 | test acc 0.9513 test loss 0.197577 best test_acc 0.9605
e 28 | malicious users: 1 | test acc 0.9588 test loss 0.160731 best test_acc 0.9605
e 29 | malicious users: 1 | test acc 0.9549 test loss 0.156301 best test_acc 0.9605
e 30 | malicious users: 1 | test acc 0.9614 test loss 0.141969 best test_acc 0.9614
e 31 | malicious users: 3 | test acc 0.9630 test loss 0.137818 best test_acc 0.9630
e 32 | malicious users: 1 | test acc 0.9609 test loss 0.143079 best test_acc 0.9630
e 33 | malicious users: 2 | test acc 0.9590 test loss 0.144095 best test_acc 0.9630
e 34 | malicious users: 3 | test acc 0.9616 test loss 0.156103 best test_acc 0.9630
e 35 | malicious users: 2 | test acc 0.9623 test loss 0.143391 best test_acc 0.9630
e 36 | malicious users: 1 | test acc 0.9580 test loss 0.132860 best test_acc 0.9630
e 37 | malicious users: 1 | test acc 0.9587 test loss 0.144542 best test_acc 0.9630
e 38 | malicious users: 3 | test acc 0.9547 test loss 0.177565 best test_acc 0.9630
e 39 | malicious users: 4 | test acc 0.9549 test loss 0.206184 best test_acc 0.9630
e 40 | malicious users: 2 | test acc 0.9605 test loss 0.162684 best test_acc 0.9630
e 41 | malicious users: 2 | test acc 0.9576 test loss 0.173914 best test_acc 0.9630
e 42 | malicious users: 4 | test acc 0.9529 test loss 0.213408 best test_acc 0.9630
e 43 | malicious users: 3 | test acc 0.9568 test loss 0.197670 best test_acc 0.9630
e 44 | malicious users: 0 | test acc 0.9531 test loss 0.164315 best test_acc 0.9630
e 45 | malicious users: 2 | test acc 0.9518 test loss 0.188090 best test_acc 0.9630
