
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.4965 test loss 2.082012 best test_acc 0.4965
e 1 | malicious users: 6 | test acc 0.7302 test loss 1.289547 best test_acc 0.7302
e 2 | malicious users: 6 | test acc 0.8101 test loss 0.805731 best test_acc 0.8101
e 3 | malicious users: 7 | test acc 0.8443 test loss 0.608719 best test_acc 0.8443
e 4 | malicious users: 3 | test acc 0.8829 test loss 0.476027 best test_acc 0.8829
e 5 | malicious users: 5 | test acc 0.8670 test loss 0.595315 best test_acc 0.8829
e 6 | malicious users: 5 | test acc 0.9129 test loss 0.319391 best test_acc 0.9129
e 7 | malicious users: 4 | test acc 0.9186 test loss 0.346575 best test_acc 0.9186
e 8 | malicious users: 3 | test acc 0.9302 test loss 0.300973 best test_acc 0.9302
e 9 | malicious users: 4 | test acc 0.9332 test loss 0.286388 best test_acc 0.9332
e 10 | malicious users: 6 | test acc 0.9214 test loss 0.315172 best test_acc 0.9332
e 11 | malicious users: 9 | test acc 0.9096 test loss 0.598544 best test_acc 0.9332
e 12 | malicious users: 4 | test acc 0.8934 test loss 0.581717 best test_acc 0.9332
e 13 | malicious users: 1 | test acc 0.9119 test loss 0.299786 best test_acc 0.9332
e 14 | malicious users: 5 | test acc 0.9168 test loss 0.365156 best test_acc 0.9332
e 15 | malicious users: 6 | test acc 0.9247 test loss 0.368630 best test_acc 0.9332
e 16 | malicious users: 4 | test acc 0.9107 test loss 0.512369 best test_acc 0.9332
e 17 | malicious users: 6 | test acc 0.9199 test loss 0.407554 best test_acc 0.9332
e 18 | malicious users: 6 | test acc 0.9271 test loss 0.474954 best test_acc 0.9332
e 19 | malicious users: 4 | test acc 0.8988 test loss 0.496446 best test_acc 0.9332
e 20 | malicious users: 0 | test acc 0.9206 test loss 0.270626 best test_acc 0.9332
e 21 | malicious users: 8 | test acc 0.9300 test loss 0.371626 best test_acc 0.9332
e 22 | malicious users: 6 | test acc 0.8657 test loss 0.593407 best test_acc 0.9332
e 23 | malicious users: 5 | test acc 0.8965 test loss 0.430586 best test_acc 0.9332
e 24 | malicious users: 3 | test acc 0.9196 test loss 0.415953 best test_acc 0.9332
e 25 | malicious users: 5 | test acc 0.9256 test loss 0.349497 best test_acc 0.9332
e 26 | malicious users: 7 | test acc 0.9090 test loss 0.515264 best test_acc 0.9332
e 27 | malicious users: 5 | test acc 0.9220 test loss 0.407676 best test_acc 0.9332
e 28 | malicious users: 5 | test acc 0.9093 test loss 0.403624 best test_acc 0.9332
e 29 | malicious users: 3 | test acc 0.9333 test loss 0.289543 best test_acc 0.9333
e 30 | malicious users: 7 | test acc 0.9193 test loss 0.360353 best test_acc 0.9333
e 31 | malicious users: 3 | test acc 0.9304 test loss 0.350573 best test_acc 0.9333
e 32 | malicious users: 7 | test acc 0.9181 test loss 0.398127 best test_acc 0.9333
e 33 | malicious users: 6 | test acc 0.9148 test loss 0.426627 best test_acc 0.9333
e 34 | malicious users: 5 | test acc 0.9162 test loss 0.424210 best test_acc 0.9333
e 35 | malicious users: 11 | test acc 0.8466 test loss 0.743509 best test_acc 0.9333
e 36 | malicious users: 6 | test acc 0.9081 test loss 0.522457 best test_acc 0.9333
e 37 | malicious users: 3 | test acc 0.9081 test loss 0.312008 best test_acc 0.9333
e 38 | malicious users: 6 | test acc 0.9218 test loss 0.403643 best test_acc 0.9333
e 39 | malicious users: 3 | test acc 0.9307 test loss 0.289492 best test_acc 0.9333
e 40 | malicious users: 8 | test acc 0.9261 test loss 0.374493 best test_acc 0.9333
e 41 | malicious users: 4 | test acc 0.9296 test loss 0.352491 best test_acc 0.9333
e 42 | malicious users: 5 | test acc 0.9333 test loss 0.272874 best test_acc 0.9333
e 43 | malicious users: 4 | test acc 0.9355 test loss 0.316721 best test_acc 0.9355
e 44 | malicious users: 8 | test acc 0.9312 test loss 0.326347 best test_acc 0.9355
e 45 | malicious users: 6 | test acc 0.9222 test loss 0.465302 best test_acc 0.9355
e 46 | malicious users: 8 | test acc 0.9127 test loss 0.581372 best test_acc 0.9355
e 47 | malicious users: 6 | test acc 0.8999 test loss 0.401471 best test_acc 0.9355
e 48 | malicious users: 5 | test acc 0.9247 test loss 0.402624 best test_acc 0.9355
e 49 | malicious users: 3 | test acc 0.9372 test loss 0.261609 best test_acc 0.9372
e 50 | malicious users: 8 | test acc 0.9200 test loss 0.431934 best test_acc 0.9372
e 51 | malicious users: 8 | test acc 0.9329 test loss 0.436987 best test_acc 0.9372
e 52 | malicious users: 3 | test acc 0.9328 test loss 0.309805 best test_acc 0.9372
e 53 | malicious users: 4 | test acc 0.9401 test loss 0.256110 best test_acc 0.9401
e 54 | malicious users: 4 | test acc 0.9410 test loss 0.274773 best test_acc 0.9410
e 55 | malicious users: 8 | test acc 0.9392 test loss 0.360003 best test_acc 0.9410
e 56 | malicious users: 6 | test acc 0.9237 test loss 0.371863 best test_acc 0.9410
e 57 | malicious users: 5 | test acc 0.9263 test loss 0.356003 best test_acc 0.9410
e 58 | malicious users: 7 | test acc 0.9141 test loss 0.337422 best test_acc 0.9410
e 59 | malicious users: 4 | test acc 0.9225 test loss 0.503491 best test_acc 0.9410
e 60 | malicious users: 8 | test acc 0.9282 test loss 0.306982 best test_acc 0.9410
e 61 | malicious users: 5 | test acc 0.9190 test loss 0.429503 best test_acc 0.9410
e 62 | malicious users: 4 | test acc 0.9385 test loss 0.260477 best test_acc 0.9410
e 63 | malicious users: 5 | test acc 0.9403 test loss 0.266973 best test_acc 0.9410
e 64 | malicious users: 6 | test acc 0.9296 test loss 0.321970 best test_acc 0.9410
e 65 | malicious users: 4 | test acc 0.9261 test loss 0.293618 best test_acc 0.9410
e 66 | malicious users: 7 | test acc 0.8886 test loss 0.475760 best test_acc 0.9410
e 67 | malicious users: 5 | test acc 0.9298 test loss 0.327604 best test_acc 0.9410
e 68 | malicious users: 4 | test acc 0.9263 test loss 0.325859 best test_acc 0.9410
e 69 | malicious users: 3 | test acc 0.9355 test loss 0.249156 best test_acc 0.9410
e 70 | malicious users: 6 | test acc 0.9439 test loss 0.249274 best test_acc 0.9439
e 71 | malicious users: 2 | test acc 0.9387 test loss 0.224080 best test_acc 0.9439
e 72 | malicious users: 4 | test acc 0.9475 test loss 0.237773 best test_acc 0.9475
e 73 | malicious users: 3 | test acc 0.9430 test loss 0.228505 best test_acc 0.9475
e 74 | malicious users: 5 | test acc 0.9472 test loss 0.235300 best test_acc 0.9475
e 75 | malicious users: 5 | test acc 0.9377 test loss 0.339942 best test_acc 0.9475
e 76 | malicious users: 6 | test acc 0.9382 test loss 0.281925 best test_acc 0.9475
e 77 | malicious users: 7 | test acc 0.9325 test loss 0.439510 best test_acc 0.9475
e 78 | malicious users: 7 | test acc 0.9280 test loss 0.410342 best test_acc 0.9475
e 79 | malicious users: 4 | test acc 0.9296 test loss 0.324718 best test_acc 0.9475
e 80 | malicious users: 5 | test acc 0.9424 test loss 0.252265 best test_acc 0.9475
e 81 | malicious users: 3 | test acc 0.9356 test loss 0.305091 best test_acc 0.9475
e 82 | malicious users: 7 | test acc 0.9443 test loss 0.252442 best test_acc 0.9475
e 83 | malicious users: 8 | test acc 0.9280 test loss 0.418152 best test_acc 0.9475
e 84 | malicious users: 7 | test acc 0.9342 test loss 0.304123 best test_acc 0.9475
e 85 | malicious users: 4 | test acc 0.9157 test loss 0.373810 best test_acc 0.9475
e 86 | malicious users: 2 | test acc 0.9393 test loss 0.235561 best test_acc 0.9475
e 87 | malicious users: 9 | test acc 0.9195 test loss 0.461003 best test_acc 0.9475
e 88 | malicious users: 2 | test acc 0.9303 test loss 0.281530 best test_acc 0.9475
e 89 | malicious users: 5 | test acc 0.9417 test loss 0.305719 best test_acc 0.9475
e 90 | malicious users: 3 | test acc 0.9327 test loss 0.237058 best test_acc 0.9475
e 91 | malicious users: 8 | test acc 0.9402 test loss 0.352212 best test_acc 0.9475
e 92 | malicious users: 7 | test acc 0.9338 test loss 0.338047 best test_acc 0.9475
e 93 | malicious users: 5 | test acc 0.9227 test loss 0.409198 best test_acc 0.9475
e 94 | malicious users: 2 | test acc 0.9315 test loss 0.238637 best test_acc 0.9475
e 95 | malicious users: 1 | test acc 0.9475 test loss 0.196358 best test_acc 0.9475
e 96 | malicious users: 1 | test acc 0.9501 test loss 0.186404 best test_acc 0.9501
e 97 | malicious users: 5 | test acc 0.9562 test loss 0.189894 best test_acc 0.9562
e 98 | malicious users: 5 | test acc 0.9403 test loss 0.239841 best test_acc 0.9562
e 99 | malicious users: 4 | test acc 0.9339 test loss 0.291009 best test_acc 0.9562
e 100 | malicious users: 4 | test acc 0.9465 test loss 0.201500 best test_acc 0.9562
e 101 | malicious users: 3 | test acc 0.9421 test loss 0.249854 best test_acc 0.9562
e 102 | malicious users: 3 | test acc 0.9284 test loss 0.303887 best test_acc 0.9562
e 103 | malicious users: 1 | test acc 0.9554 test loss 0.158314 best test_acc 0.9562
e 104 | malicious users: 6 | test acc 0.9492 test loss 0.219535 best test_acc 0.9562
e 105 | malicious users: 6 | test acc 0.9469 test loss 0.307127 best test_acc 0.9562
e 106 | malicious users: 1 | test acc 0.9455 test loss 0.214823 best test_acc 0.9562
e 107 | malicious users: 6 | test acc 0.9462 test loss 0.281431 best test_acc 0.9562
e 108 | malicious users: 7 | test acc 0.9350 test loss 0.291247 best test_acc 0.9562
e 109 | malicious users: 6 | test acc 0.9413 test loss 0.388581 best test_acc 0.9562
e 110 | malicious users: 7 | test acc 0.9311 test loss 0.336756 best test_acc 0.9562
e 111 | malicious users: 3 | test acc 0.9473 test loss 0.284015 best test_acc 0.9562
e 112 | malicious users: 2 | test acc 0.9421 test loss 0.256712 best test_acc 0.9562
e 113 | malicious users: 6 | test acc 0.9431 test loss 0.250054 best test_acc 0.9562
e 114 | malicious users: 8 | test acc 0.9188 test loss 0.519318 best test_acc 0.9562
e 115 | malicious users: 3 | test acc 0.9377 test loss 0.285525 best test_acc 0.9562
e 116 | malicious users: 3 | test acc 0.9475 test loss 0.236919 best test_acc 0.9562
e 117 | malicious users: 7 | test acc 0.9414 test loss 0.280574 best test_acc 0.9562
e 118 | malicious users: 2 | test acc 0.9395 test loss 0.232937 best test_acc 0.9562
e 119 | malicious users: 8 | test acc 0.9387 test loss 0.325383 best test_acc 0.9562
e 120 | malicious users: 3 | test acc 0.9186 test loss 0.389974 best test_acc 0.9562
e 121 | malicious users: 5 | test acc 0.9415 test loss 0.251077 best test_acc 0.9562
e 122 | malicious users: 7 | test acc 0.9295 test loss 0.292726 best test_acc 0.9562
e 123 | malicious users: 5 | test acc 0.9328 test loss 0.363193 best test_acc 0.9562
e 124 | malicious users: 2 | test acc 0.9441 test loss 0.216339 best test_acc 0.9562
e 125 | malicious users: 5 | test acc 0.9185 test loss 0.333120 best test_acc 0.9562
e 126 | malicious users: 5 | test acc 0.9395 test loss 0.291453 best test_acc 0.9562
e 127 | malicious users: 5 | test acc 0.9333 test loss 0.268000 best test_acc 0.9562
e 128 | malicious users: 7 | test acc 0.9359 test loss 0.378727 best test_acc 0.9562
e 129 | malicious users: 4 | test acc 0.9376 test loss 0.295725 best test_acc 0.9562
e 130 | malicious users: 5 | test acc 0.9381 test loss 0.310555 best test_acc 0.9562
e 131 | malicious users: 6 | test acc 0.9441 test loss 0.294496 best test_acc 0.9562
e 132 | malicious users: 4 | test acc 0.9422 test loss 0.283670 best test_acc 0.9562
e 133 | malicious users: 4 | test acc 0.9484 test loss 0.258937 best test_acc 0.9562
e 134 | malicious users: 7 | test acc 0.9373 test loss 0.308271 best test_acc 0.9562
e 135 | malicious users: 8 | test acc 0.9073 test loss 0.445951 best test_acc 0.9562
e 136 | malicious users: 4 | test acc 0.9363 test loss 0.290601 best test_acc 0.9562
e 137 | malicious users: 8 | test acc 0.9123 test loss 0.415218 best test_acc 0.9562
e 138 | malicious users: 3 | test acc 0.9387 test loss 0.296374 best test_acc 0.9562
e 139 | malicious users: 5 | test acc 0.8917 test loss 0.426536 best test_acc 0.9562
e 140 | malicious users: 3 | test acc 0.9391 test loss 0.247179 best test_acc 0.9562
e 141 | malicious users: 3 | test acc 0.9488 test loss 0.204604 best test_acc 0.9562
e 142 | malicious users: 5 | test acc 0.9462 test loss 0.287268 best test_acc 0.9562
e 143 | malicious users: 2 | test acc 0.9414 test loss 0.235325 best test_acc 0.9562
e 144 | malicious users: 4 | test acc 0.9484 test loss 0.211842 best test_acc 0.9562
e 145 | malicious users: 10 | test acc 0.9103 test loss 0.482582 best test_acc 0.9562
e 146 | malicious users: 5 | test acc 0.9252 test loss 0.406660 best test_acc 0.9562
e 147 | malicious users: 3 | test acc 0.9363 test loss 0.242128 best test_acc 0.9562
e 148 | malicious users: 4 | test acc 0.9507 test loss 0.236292 best test_acc 0.9562
e 149 | malicious users: 5 | test acc 0.9308 test loss 0.274621 best test_acc 0.9562
e 150 | malicious users: 5 | test acc 0.9465 test loss 0.276929 best test_acc 0.9562
e 151 | malicious users: 3 | test acc 0.9397 test loss 0.259102 best test_acc 0.9562
e 152 | malicious users: 7 | test acc 0.9309 test loss 0.395891 best test_acc 0.9562
e 153 | malicious users: 4 | test acc 0.9421 test loss 0.261983 best test_acc 0.9562
e 154 | malicious users: 4 | test acc 0.9323 test loss 0.320615 best test_acc 0.9562
e 155 | malicious users: 8 | test acc 0.9436 test loss 0.287423 best test_acc 0.9562
e 156 | malicious users: 1 | test acc 0.9411 test loss 0.281724 best test_acc 0.9562
e 157 | malicious users: 7 | test acc 0.9444 test loss 0.281323 best test_acc 0.9562
e 158 | malicious users: 6 | test acc 0.9337 test loss 0.264530 best test_acc 0.9562
