
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1005 test loss 2.302058 best test_acc 0.1005
e 1 | malicious users: 7 | test acc 0.1000 test loss 2.297559 best test_acc 0.1005
e 2 | malicious users: 7 | test acc 0.1000 test loss 2.302044 best test_acc 0.1005
e 3 | malicious users: 5 | test acc 0.1000 test loss 2.301682 best test_acc 0.1005
e 4 | malicious users: 3 | test acc 0.1023 test loss 2.301834 best test_acc 0.1023
e 5 | malicious users: 5 | test acc 0.1000 test loss 2.299246 best test_acc 0.1023
e 6 | malicious users: 6 | test acc 0.0974 test loss 2.300963 best test_acc 0.1023
e 7 | malicious users: 8 | test acc 0.1102 test loss 2.300812 best test_acc 0.1102
e 8 | malicious users: 5 | test acc 0.1107 test loss 2.295252 best test_acc 0.1107
e 9 | malicious users: 3 | test acc 0.1524 test loss 2.296863 best test_acc 0.1524
e 10 | malicious users: 6 | test acc 0.1123 test loss 2.291045 best test_acc 0.1524
e 11 | malicious users: 5 | test acc 0.1830 test loss 2.290234 best test_acc 0.1830
e 12 | malicious users: 5 | test acc 0.1751 test loss 2.296052 best test_acc 0.1830
e 13 | malicious users: 4 | test acc 0.1800 test loss 2.274895 best test_acc 0.1830
e 14 | malicious users: 5 | test acc 0.1189 test loss 2.282981 best test_acc 0.1830
e 15 | malicious users: 5 | test acc 0.1343 test loss 2.297293 best test_acc 0.1830
e 16 | malicious users: 5 | test acc 0.1681 test loss 2.272421 best test_acc 0.1830
e 17 | malicious users: 5 | test acc 0.1700 test loss 2.280390 best test_acc 0.1830
e 18 | malicious users: 3 | test acc 0.1940 test loss 2.257401 best test_acc 0.1940
e 19 | malicious users: 7 | test acc 0.2245 test loss 2.264534 best test_acc 0.2245
e 20 | malicious users: 7 | test acc 0.1562 test loss 2.284089 best test_acc 0.2245
e 21 | malicious users: 4 | test acc 0.1854 test loss 2.266546 best test_acc 0.2245
e 22 | malicious users: 9 | test acc 0.1146 test loss 2.282583 best test_acc 0.2245
e 23 | malicious users: 6 | test acc 0.1478 test loss 2.283276 best test_acc 0.2245
e 24 | malicious users: 2 | test acc 0.1735 test loss 2.264359 best test_acc 0.2245
e 25 | malicious users: 3 | test acc 0.1843 test loss 2.242893 best test_acc 0.2245
e 26 | malicious users: 3 | test acc 0.2086 test loss 2.236343 best test_acc 0.2245
e 27 | malicious users: 5 | test acc 0.1811 test loss 2.250891 best test_acc 0.2245
e 28 | malicious users: 3 | test acc 0.1860 test loss 2.282456 best test_acc 0.2245
e 29 | malicious users: 5 | test acc 0.2137 test loss 2.222652 best test_acc 0.2245
e 30 | malicious users: 3 | test acc 0.1847 test loss 2.258333 best test_acc 0.2245
e 31 | malicious users: 4 | test acc 0.1761 test loss 2.186848 best test_acc 0.2245
e 32 | malicious users: 6 | test acc 0.2094 test loss 2.261547 best test_acc 0.2245
e 33 | malicious users: 8 | test acc 0.1869 test loss 2.251762 best test_acc 0.2245
e 34 | malicious users: 3 | test acc 0.1422 test loss 2.283229 best test_acc 0.2245
e 35 | malicious users: 5 | test acc 0.2279 test loss 2.174674 best test_acc 0.2279
e 36 | malicious users: 2 | test acc 0.2149 test loss 2.285551 best test_acc 0.2279
e 37 | malicious users: 5 | test acc 0.1787 test loss 2.238281 best test_acc 0.2279
e 38 | malicious users: 2 | test acc 0.1938 test loss 2.264653 best test_acc 0.2279
e 39 | malicious users: 6 | test acc 0.2417 test loss 2.214786 best test_acc 0.2417
e 40 | malicious users: 5 | test acc 0.2144 test loss 2.187299 best test_acc 0.2417
e 41 | malicious users: 7 | test acc 0.2406 test loss 2.274322 best test_acc 0.2417
e 42 | malicious users: 4 | test acc 0.2135 test loss 2.221463 best test_acc 0.2417
e 43 | malicious users: 3 | test acc 0.2168 test loss 2.260706 best test_acc 0.2417
e 44 | malicious users: 8 | test acc 0.2422 test loss 2.217951 best test_acc 0.2422
e 45 | malicious users: 4 | test acc 0.2003 test loss 2.254287 best test_acc 0.2422
e 46 | malicious users: 3 | test acc 0.2157 test loss 2.220779 best test_acc 0.2422
e 47 | malicious users: 8 | test acc 0.2466 test loss 2.206450 best test_acc 0.2466
e 48 | malicious users: 4 | test acc 0.2277 test loss 2.248478 best test_acc 0.2466
e 49 | malicious users: 4 | test acc 0.2242 test loss 2.182933 best test_acc 0.2466
e 50 | malicious users: 8 | test acc 0.2194 test loss 2.260015 best test_acc 0.2466
e 51 | malicious users: 3 | test acc 0.2296 test loss 2.178168 best test_acc 0.2466
