
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.0948 test loss 2.302432 best test_acc 0.0948
e 1 | malicious users: 4 | test acc 0.1150 test loss 2.302639 best test_acc 0.1150
e 2 | malicious users: 2 | test acc 0.1167 test loss 2.300444 best test_acc 0.1167
e 3 | malicious users: 2 | test acc 0.1000 test loss 2.299942 best test_acc 0.1167
e 4 | malicious users: 3 | test acc 0.2040 test loss 2.285313 best test_acc 0.2040
e 5 | malicious users: 1 | test acc 0.1766 test loss 2.237850 best test_acc 0.2040
e 6 | malicious users: 3 | test acc 0.1013 test loss 2.300770 best test_acc 0.2040
e 7 | malicious users: 4 | test acc 0.1075 test loss 2.295333 best test_acc 0.2040
e 8 | malicious users: 5 | test acc 0.1306 test loss 2.297599 best test_acc 0.2040
e 9 | malicious users: 3 | test acc 0.1307 test loss 2.273340 best test_acc 0.2040
e 10 | malicious users: 5 | test acc 0.1159 test loss 2.289911 best test_acc 0.2040
e 11 | malicious users: 3 | test acc 0.1167 test loss 2.270399 best test_acc 0.2040
e 12 | malicious users: 2 | test acc 0.1879 test loss 2.272845 best test_acc 0.2040
e 13 | malicious users: 2 | test acc 0.1689 test loss 2.264223 best test_acc 0.2040
e 14 | malicious users: 4 | test acc 0.1375 test loss 2.283304 best test_acc 0.2040
e 15 | malicious users: 4 | test acc 0.2156 test loss 2.189260 best test_acc 0.2156
e 16 | malicious users: 1 | test acc 0.1158 test loss 2.288853 best test_acc 0.2156
e 17 | malicious users: 1 | test acc 0.2175 test loss 2.242972 best test_acc 0.2175
e 18 | malicious users: 1 | test acc 0.1820 test loss 2.204546 best test_acc 0.2175
e 19 | malicious users: 3 | test acc 0.1530 test loss 2.247110 best test_acc 0.2175
e 20 | malicious users: 4 | test acc 0.1647 test loss 2.272629 best test_acc 0.2175
e 21 | malicious users: 3 | test acc 0.2208 test loss 2.232663 best test_acc 0.2208
e 22 | malicious users: 4 | test acc 0.2253 test loss 2.265153 best test_acc 0.2253
e 23 | malicious users: 1 | test acc 0.1949 test loss 2.241835 best test_acc 0.2253
e 24 | malicious users: 3 | test acc 0.2032 test loss 2.233312 best test_acc 0.2253
e 25 | malicious users: 2 | test acc 0.2160 test loss 2.194871 best test_acc 0.2253
e 26 | malicious users: 2 | test acc 0.2101 test loss 2.259900 best test_acc 0.2253
e 27 | malicious users: 4 | test acc 0.2247 test loss 2.189293 best test_acc 0.2253
e 28 | malicious users: 3 | test acc 0.2065 test loss 2.214531 best test_acc 0.2253
e 29 | malicious users: 3 | test acc 0.2153 test loss 2.224480 best test_acc 0.2253
