
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.4625 test loss 2.137375 best test_acc 0.4625
e 1 | malicious users: 0 | test acc 0.5543 test loss 1.918922 best test_acc 0.5543
e 2 | malicious users: 0 | test acc 0.6184 test loss 1.782987 best test_acc 0.6184
e 3 | malicious users: 0 | test acc 0.6151 test loss 1.677658 best test_acc 0.6184
e 4 | malicious users: 0 | test acc 0.6413 test loss 1.668863 best test_acc 0.6413
e 5 | malicious users: 0 | test acc 0.6309 test loss 1.488269 best test_acc 0.6413
e 6 | malicious users: 0 | test acc 0.6282 test loss 1.453979 best test_acc 0.6413
e 7 | malicious users: 0 | test acc 0.7004 test loss 1.018419 best test_acc 0.7004
e 8 | malicious users: 0 | test acc 0.7578 test loss 1.133708 best test_acc 0.7578
e 9 | malicious users: 0 | test acc 0.7262 test loss 0.938571 best test_acc 0.7578
e 10 | malicious users: 0 | test acc 0.7023 test loss 1.006688 best test_acc 0.7578
e 11 | malicious users: 0 | test acc 0.8284 test loss 0.837773 best test_acc 0.8284
e 12 | malicious users: 0 | test acc 0.7981 test loss 1.092219 best test_acc 0.8284
e 13 | malicious users: 0 | test acc 0.7510 test loss 0.891137 best test_acc 0.8284
e 14 | malicious users: 0 | test acc 0.7720 test loss 1.281957 best test_acc 0.8284
e 15 | malicious users: 0 | test acc 0.7414 test loss 1.607993 best test_acc 0.8284
e 16 | malicious users: 0 | test acc 0.8195 test loss 0.643698 best test_acc 0.8284
e 17 | malicious users: 0 | test acc 0.6954 test loss 1.075085 best test_acc 0.8284
e 18 | malicious users: 0 | test acc 0.7501 test loss 0.913058 best test_acc 0.8284
e 19 | malicious users: 0 | test acc 0.7738 test loss 0.969777 best test_acc 0.8284
e 20 | malicious users: 0 | test acc 0.7739 test loss 0.874673 best test_acc 0.8284
e 21 | malicious users: 0 | test acc 0.8697 test loss 0.783444 best test_acc 0.8697
e 22 | malicious users: 0 | test acc 0.8072 test loss 0.874100 best test_acc 0.8697
e 23 | malicious users: 0 | test acc 0.8327 test loss 0.841932 best test_acc 0.8697
e 24 | malicious users: 0 | test acc 0.7858 test loss 0.844650 best test_acc 0.8697
e 25 | malicious users: 0 | test acc 0.7892 test loss 0.751613 best test_acc 0.8697
e 26 | malicious users: 0 | test acc 0.7025 test loss 0.898811 best test_acc 0.8697
e 27 | malicious users: 0 | test acc 0.8610 test loss 0.674797 best test_acc 0.8697
e 28 | malicious users: 0 | test acc 0.7060 test loss 1.013588 best test_acc 0.8697
e 29 | malicious users: 0 | test acc 0.7180 test loss 0.948137 best test_acc 0.8697
e 30 | malicious users: 0 | test acc 0.8640 test loss 0.609844 best test_acc 0.8697
e 31 | malicious users: 0 | test acc 0.7218 test loss 1.285083 best test_acc 0.8697
e 32 | malicious users: 0 | test acc 0.8497 test loss 0.599476 best test_acc 0.8697
e 33 | malicious users: 0 | test acc 0.8258 test loss 0.652242 best test_acc 0.8697
e 34 | malicious users: 0 | test acc 0.7920 test loss 0.786558 best test_acc 0.8697
e 35 | malicious users: 0 | test acc 0.8521 test loss 0.656258 best test_acc 0.8697
e 36 | malicious users: 0 | test acc 0.7302 test loss 0.922571 best test_acc 0.8697
e 37 | malicious users: 0 | test acc 0.7878 test loss 0.698281 best test_acc 0.8697
