
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.4233 test loss 2.165481 best test_acc 0.4233
e 1 | malicious users: 3 | test acc 0.4968 test loss 2.044443 best test_acc 0.4968
e 2 | malicious users: 0 | test acc 0.5825 test loss 1.741869 best test_acc 0.5825
e 3 | malicious users: 3 | test acc 0.5503 test loss 2.170626 best test_acc 0.5825
e 4 | malicious users: 3 | test acc 0.6541 test loss 1.418358 best test_acc 0.6541
e 5 | malicious users: 3 | test acc 0.6019 test loss 2.110431 best test_acc 0.6541
e 6 | malicious users: 4 | test acc 0.6192 test loss 1.550888 best test_acc 0.6541
e 7 | malicious users: 2 | test acc 0.6241 test loss 1.624961 best test_acc 0.6541
e 8 | malicious users: 1 | test acc 0.6894 test loss 1.250238 best test_acc 0.6894
e 9 | malicious users: 2 | test acc 0.5629 test loss 1.522431 best test_acc 0.6894
e 10 | malicious users: 1 | test acc 0.6581 test loss 1.162803 best test_acc 0.6894
e 11 | malicious users: 1 | test acc 0.6267 test loss 1.310974 best test_acc 0.6894
e 12 | malicious users: 3 | test acc 0.5747 test loss 1.684040 best test_acc 0.6894
e 13 | malicious users: 3 | test acc 0.6193 test loss 1.767376 best test_acc 0.6894
e 14 | malicious users: 2 | test acc 0.6505 test loss 1.472438 best test_acc 0.6894
e 15 | malicious users: 3 | test acc 0.5930 test loss 1.609602 best test_acc 0.6894
e 16 | malicious users: 0 | test acc 0.6116 test loss 1.647867 best test_acc 0.6894
e 17 | malicious users: 0 | test acc 0.7321 test loss 1.086665 best test_acc 0.7321
e 18 | malicious users: 2 | test acc 0.6674 test loss 1.222939 best test_acc 0.7321
e 19 | malicious users: 2 | test acc 0.7133 test loss 1.172538 best test_acc 0.7321
e 20 | malicious users: 3 | test acc 0.6084 test loss 1.774608 best test_acc 0.7321
e 21 | malicious users: 3 | test acc 0.7437 test loss 1.460762 best test_acc 0.7437
e 22 | malicious users: 6 | test acc 0.6413 test loss 1.840425 best test_acc 0.7437
e 23 | malicious users: 2 | test acc 0.6772 test loss 1.700012 best test_acc 0.7437
e 24 | malicious users: 1 | test acc 0.6489 test loss 1.605445 best test_acc 0.7437
e 25 | malicious users: 1 | test acc 0.7726 test loss 0.862718 best test_acc 0.7726
e 26 | malicious users: 2 | test acc 0.5356 test loss 1.779871 best test_acc 0.7726
e 27 | malicious users: 2 | test acc 0.6895 test loss 1.282420 best test_acc 0.7726
e 28 | malicious users: 4 | test acc 0.6376 test loss 1.914585 best test_acc 0.7726
e 29 | malicious users: 2 | test acc 0.7471 test loss 1.418352 best test_acc 0.7726
e 30 | malicious users: 2 | test acc 0.6858 test loss 1.901563 best test_acc 0.7726
e 31 | malicious users: 4 | test acc 0.6224 test loss 1.783885 best test_acc 0.7726
e 32 | malicious users: 2 | test acc 0.5934 test loss 1.580606 best test_acc 0.7726
e 33 | malicious users: 4 | test acc 0.6550 test loss 1.941482 best test_acc 0.7726
e 34 | malicious users: 2 | test acc 0.6383 test loss 1.528077 best test_acc 0.7726
e 35 | malicious users: 3 | test acc 0.6098 test loss 1.941605 best test_acc 0.7726
e 36 | malicious users: 2 | test acc 0.6768 test loss 1.389374 best test_acc 0.7726
e 37 | malicious users: 1 | test acc 0.6241 test loss 1.632266 best test_acc 0.7726
e 38 | malicious users: 1 | test acc 0.7685 test loss 0.866490 best test_acc 0.7726
e 39 | malicious users: 2 | test acc 0.6683 test loss 1.658606 best test_acc 0.7726
e 40 | malicious users: 3 | test acc 0.6802 test loss 1.544551 best test_acc 0.7726
e 41 | malicious users: 2 | test acc 0.6854 test loss 1.755180 best test_acc 0.7726
e 42 | malicious users: 2 | test acc 0.6994 test loss 1.396259 best test_acc 0.7726
e 43 | malicious users: 2 | test acc 0.6383 test loss 1.593405 best test_acc 0.7726
e 44 | malicious users: 1 | test acc 0.7082 test loss 1.024109 best test_acc 0.7726
e 45 | malicious users: 4 | test acc 0.5389 test loss 1.950602 best test_acc 0.7726
e 46 | malicious users: 1 | test acc 0.7022 test loss 1.054139 best test_acc 0.7726
e 47 | malicious users: 3 | test acc 0.6786 test loss 2.018286 best test_acc 0.7726
e 48 | malicious users: 1 | test acc 0.7952 test loss 0.794854 best test_acc 0.7952
e 49 | malicious users: 5 | test acc 0.4973 test loss 2.187892 best test_acc 0.7952
e 50 | malicious users: 4 | test acc 0.5448 test loss 1.854292 best test_acc 0.7952
e 51 | malicious users: 2 | test acc 0.6043 test loss 1.733905 best test_acc 0.7952
e 52 | malicious users: 1 | test acc 0.6018 test loss 1.620513 best test_acc 0.7952
e 53 | malicious users: 2 | test acc 0.6260 test loss 1.516508 best test_acc 0.7952
e 54 | malicious users: 2 | test acc 0.6206 test loss 1.458361 best test_acc 0.7952
e 55 | malicious users: 1 | test acc 0.7044 test loss 1.152755 best test_acc 0.7952
e 56 | malicious users: 4 | test acc 0.6223 test loss 1.995755 best test_acc 0.7952
e 57 | malicious users: 1 | test acc 0.7096 test loss 1.089872 best test_acc 0.7952
e 58 | malicious users: 3 | test acc 0.5668 test loss 2.008839 best test_acc 0.7952
e 59 | malicious users: 2 | test acc 0.7741 test loss 1.449266 best test_acc 0.7952
e 60 | malicious users: 5 | test acc 0.5962 test loss 1.984103 best test_acc 0.7952
e 61 | malicious users: 2 | test acc 0.6958 test loss 1.685268 best test_acc 0.7952
e 62 | malicious users: 1 | test acc 0.6333 test loss 1.687714 best test_acc 0.7952
e 63 | malicious users: 2 | test acc 0.8205 test loss 1.106980 best test_acc 0.8205
e 64 | malicious users: 1 | test acc 0.7126 test loss 1.479057 best test_acc 0.8205
e 65 | malicious users: 3 | test acc 0.7450 test loss 1.356124 best test_acc 0.8205
e 66 | malicious users: 1 | test acc 0.5443 test loss 1.699067 best test_acc 0.8205
e 67 | malicious users: 3 | test acc 0.7254 test loss 1.422829 best test_acc 0.8205
e 68 | malicious users: 5 | test acc 0.6798 test loss 1.876173 best test_acc 0.8205
e 69 | malicious users: 4 | test acc 0.6034 test loss 1.926215 best test_acc 0.8205
e 70 | malicious users: 2 | test acc 0.4259 test loss 2.041231 best test_acc 0.8205
e 71 | malicious users: 1 | test acc 0.7063 test loss 0.981840 best test_acc 0.8205
e 72 | malicious users: 1 | test acc 0.7108 test loss 1.454187 best test_acc 0.8205
e 73 | malicious users: 2 | test acc 0.6976 test loss 1.152620 best test_acc 0.8205
e 74 | malicious users: 1 | test acc 0.6350 test loss 1.330401 best test_acc 0.8205
e 75 | malicious users: 5 | test acc 0.5964 test loss 1.721676 best test_acc 0.8205
e 76 | malicious users: 3 | test acc 0.6608 test loss 1.820222 best test_acc 0.8205
e 77 | malicious users: 0 | test acc 0.7022 test loss 1.474265 best test_acc 0.8205
e 78 | malicious users: 3 | test acc 0.6587 test loss 1.457571 best test_acc 0.8205
e 79 | malicious users: 5 | test acc 0.6070 test loss 1.853582 best test_acc 0.8205
e 80 | malicious users: 3 | test acc 0.5861 test loss 1.737727 best test_acc 0.8205
e 81 | malicious users: 0 | test acc 0.6549 test loss 1.254631 best test_acc 0.8205
e 82 | malicious users: 3 | test acc 0.5134 test loss 1.706786 best test_acc 0.8205
e 83 | malicious users: 4 | test acc 0.6483 test loss 1.710962 best test_acc 0.8205
e 84 | malicious users: 1 | test acc 0.6587 test loss 1.376446 best test_acc 0.8205
e 85 | malicious users: 0 | test acc 0.7039 test loss 1.004541 best test_acc 0.8205
e 86 | malicious users: 2 | test acc 0.7229 test loss 1.372772 best test_acc 0.8205
e 87 | malicious users: 5 | test acc 0.5528 test loss 1.937168 best test_acc 0.8205
e 88 | malicious users: 4 | test acc 0.6101 test loss 1.962597 best test_acc 0.8205
e 89 | malicious users: 1 | test acc 0.6903 test loss 1.224558 best test_acc 0.8205
e 90 | malicious users: 4 | test acc 0.5684 test loss 1.902231 best test_acc 0.8205
e 91 | malicious users: 2 | test acc 0.6490 test loss 1.366971 best test_acc 0.8205
e 92 | malicious users: 2 | test acc 0.6479 test loss 1.605448 best test_acc 0.8205
e 93 | malicious users: 2 | test acc 0.6752 test loss 1.590695 best test_acc 0.8205
e 94 | malicious users: 3 | test acc 0.6544 test loss 1.729292 best test_acc 0.8205
e 95 | malicious users: 3 | test acc 0.5989 test loss 1.954810 best test_acc 0.8205
e 96 | malicious users: 3 | test acc 0.7020 test loss 1.799791 best test_acc 0.8205
e 97 | malicious users: 2 | test acc 0.5674 test loss 1.764617 best test_acc 0.8205
e 98 | malicious users: 4 | test acc 0.6857 test loss 1.822726 best test_acc 0.8205
e 99 | malicious users: 2 | test acc 0.5872 test loss 1.558488 best test_acc 0.8205
e 100 | malicious users: 2 | test acc 0.6278 test loss 1.643487 best test_acc 0.8205
e 101 | malicious users: 2 | test acc 0.6440 test loss 1.574717 best test_acc 0.8205
e 102 | malicious users: 2 | test acc 0.6317 test loss 1.738846 best test_acc 0.8205
e 103 | malicious users: 5 | test acc 0.5602 test loss 1.901680 best test_acc 0.8205
e 104 | malicious users: 0 | test acc 0.5790 test loss 1.681254 best test_acc 0.8205
e 105 | malicious users: 6 | test acc 0.6105 test loss 2.115385 best test_acc 0.8205
e 106 | malicious users: 2 | test acc 0.6395 test loss 1.564299 best test_acc 0.8205
e 107 | malicious users: 3 | test acc 0.6336 test loss 1.742868 best test_acc 0.8205
e 108 | malicious users: 3 | test acc 0.5604 test loss 1.788735 best test_acc 0.8205
e 109 | malicious users: 4 | test acc 0.6528 test loss 1.709025 best test_acc 0.8205
e 110 | malicious users: 1 | test acc 0.6786 test loss 1.227688 best test_acc 0.8205
e 111 | malicious users: 3 | test acc 0.5739 test loss 1.628453 best test_acc 0.8205
e 112 | malicious users: 2 | test acc 0.6788 test loss 1.350275 best test_acc 0.8205
e 113 | malicious users: 2 | test acc 0.6078 test loss 1.730943 best test_acc 0.8205
e 114 | malicious users: 4 | test acc 0.6953 test loss 1.675349 best test_acc 0.8205
e 115 | malicious users: 2 | test acc 0.7330 test loss 1.561200 best test_acc 0.8205
e 116 | malicious users: 2 | test acc 0.7009 test loss 1.593041 best test_acc 0.8205
e 117 | malicious users: 2 | test acc 0.6290 test loss 1.738422 best test_acc 0.8205
e 118 | malicious users: 1 | test acc 0.7099 test loss 0.906435 best test_acc 0.8205
e 119 | malicious users: 4 | test acc 0.6842 test loss 1.861873 best test_acc 0.8205
e 120 | malicious users: 2 | test acc 0.6682 test loss 1.506502 best test_acc 0.8205
e 121 | malicious users: 4 | test acc 0.5677 test loss 1.807386 best test_acc 0.8205
e 122 | malicious users: 5 | test acc 0.5922 test loss 2.030973 best test_acc 0.8205
e 123 | malicious users: 0 | test acc 0.6327 test loss 1.438443 best test_acc 0.8205
e 124 | malicious users: 2 | test acc 0.6429 test loss 1.378975 best test_acc 0.8205
e 125 | malicious users: 0 | test acc 0.6918 test loss 1.303878 best test_acc 0.8205
e 126 | malicious users: 6 | test acc 0.7385 test loss 1.914685 best test_acc 0.8205
e 127 | malicious users: 0 | test acc 0.6697 test loss 1.303661 best test_acc 0.8205
e 128 | malicious users: 6 | test acc 0.6928 test loss 2.034318 best test_acc 0.8205
e 129 | malicious users: 4 | test acc 0.5685 test loss 1.799139 best test_acc 0.8205
e 130 | malicious users: 3 | test acc 0.6566 test loss 1.675816 best test_acc 0.8205
e 131 | malicious users: 2 | test acc 0.6533 test loss 1.640817 best test_acc 0.8205
e 132 | malicious users: 2 | test acc 0.7055 test loss 1.599998 best test_acc 0.8205
e 133 | malicious users: 1 | test acc 0.6328 test loss 1.251094 best test_acc 0.8205
e 134 | malicious users: 1 | test acc 0.6999 test loss 1.121341 best test_acc 0.8205
e 135 | malicious users: 4 | test acc 0.7505 test loss 1.666413 best test_acc 0.8205
e 136 | malicious users: 3 | test acc 0.7226 test loss 1.775369 best test_acc 0.8205
e 137 | malicious users: 0 | test acc 0.7067 test loss 1.390947 best test_acc 0.8205
e 138 | malicious users: 3 | test acc 0.7373 test loss 1.295555 best test_acc 0.8205
e 139 | malicious users: 3 | test acc 0.7034 test loss 1.835581 best test_acc 0.8205
e 140 | malicious users: 3 | test acc 0.7639 test loss 1.658433 best test_acc 0.8205
e 141 | malicious users: 2 | test acc 0.7310 test loss 1.313017 best test_acc 0.8205
e 142 | malicious users: 3 | test acc 0.6096 test loss 1.603531 best test_acc 0.8205
e 143 | malicious users: 5 | test acc 0.6186 test loss 1.818602 best test_acc 0.8205
e 144 | malicious users: 1 | test acc 0.7408 test loss 1.119224 best test_acc 0.8205
e 145 | malicious users: 3 | test acc 0.7282 test loss 1.692582 best test_acc 0.8205
e 146 | malicious users: 2 | test acc 0.7204 test loss 1.222574 best test_acc 0.8205
e 147 | malicious users: 2 | test acc 0.5557 test loss 1.793635 best test_acc 0.8205
e 148 | malicious users: 5 | test acc 0.6617 test loss 1.817787 best test_acc 0.8205
e 149 | malicious users: 0 | test acc 0.7194 test loss 1.306033 best test_acc 0.8205
e 150 | malicious users: 2 | test acc 0.6978 test loss 1.436072 best test_acc 0.8205
e 151 | malicious users: 5 | test acc 0.5747 test loss 1.958933 best test_acc 0.8205
e 152 | malicious users: 3 | test acc 0.6716 test loss 1.786503 best test_acc 0.8205
e 153 | malicious users: 1 | test acc 0.6239 test loss 1.289953 best test_acc 0.8205
e 154 | malicious users: 1 | test acc 0.7244 test loss 1.046352 best test_acc 0.8205
e 155 | malicious users: 2 | test acc 0.7440 test loss 1.218544 best test_acc 0.8205
e 156 | malicious users: 1 | test acc 0.7417 test loss 1.198981 best test_acc 0.8205
e 157 | malicious users: 2 | test acc 0.7682 test loss 1.373250 best test_acc 0.8205
e 158 | malicious users: 1 | test acc 0.8190 test loss 0.824427 best test_acc 0.8205
e 159 | malicious users: 2 | test acc 0.6632 test loss 1.424744 best test_acc 0.8205
e 160 | malicious users: 7 | test acc 0.6142 test loss 2.122460 best test_acc 0.8205
e 161 | malicious users: 3 | test acc 0.6144 test loss 1.667545 best test_acc 0.8205
e 162 | malicious users: 3 | test acc 0.5878 test loss 1.796182 best test_acc 0.8205
e 163 | malicious users: 0 | test acc 0.6544 test loss 1.311760 best test_acc 0.8205
e 164 | malicious users: 3 | test acc 0.6429 test loss 1.318920 best test_acc 0.8205
e 165 | malicious users: 4 | test acc 0.6579 test loss 2.006622 best test_acc 0.8205
e 166 | malicious users: 0 | test acc 0.6582 test loss 1.177096 best test_acc 0.8205
e 167 | malicious users: 4 | test acc 0.6749 test loss 1.782238 best test_acc 0.8205
e 168 | malicious users: 0 | test acc 0.7030 test loss 1.065717 best test_acc 0.8205
e 169 | malicious users: 3 | test acc 0.6369 test loss 1.543347 best test_acc 0.8205
e 170 | malicious users: 3 | test acc 0.7116 test loss 1.534771 best test_acc 0.8205
e 171 | malicious users: 1 | test acc 0.6152 test loss 1.456931 best test_acc 0.8205
e 172 | malicious users: 2 | test acc 0.7465 test loss 0.959244 best test_acc 0.8205
e 173 | malicious users: 6 | test acc 0.6797 test loss 2.118520 best test_acc 0.8205
e 174 | malicious users: 2 | test acc 0.6627 test loss 1.479773 best test_acc 0.8205
e 175 | malicious users: 3 | test acc 0.6541 test loss 2.023862 best test_acc 0.8205
e 176 | malicious users: 0 | test acc 0.6545 test loss 1.134697 best test_acc 0.8205
e 177 | malicious users: 0 | test acc 0.7189 test loss 1.308825 best test_acc 0.8205
e 178 | malicious users: 2 | test acc 0.7373 test loss 1.192291 best test_acc 0.8205
e 179 | malicious users: 2 | test acc 0.7231 test loss 1.256976 best test_acc 0.8205
e 180 | malicious users: 1 | test acc 0.7709 test loss 1.060615 best test_acc 0.8205
e 181 | malicious users: 2 | test acc 0.7358 test loss 1.111309 best test_acc 0.8205
e 182 | malicious users: 1 | test acc 0.6852 test loss 1.038947 best test_acc 0.8205
e 183 | malicious users: 4 | test acc 0.6494 test loss 1.926905 best test_acc 0.8205
e 184 | malicious users: 4 | test acc 0.6926 test loss 1.825174 best test_acc 0.8205
e 185 | malicious users: 2 | test acc 0.7200 test loss 1.428606 best test_acc 0.8205
e 186 | malicious users: 3 | test acc 0.7164 test loss 1.459335 best test_acc 0.8205
e 187 | malicious users: 3 | test acc 0.7123 test loss 1.577683 best test_acc 0.8205
e 188 | malicious users: 2 | test acc 0.6556 test loss 1.415612 best test_acc 0.8205
e 189 | malicious users: 1 | test acc 0.6309 test loss 1.415190 best test_acc 0.8205
e 190 | malicious users: 4 | test acc 0.6116 test loss 1.484699 best test_acc 0.8205
e 191 | malicious users: 2 | test acc 0.6322 test loss 1.770512 best test_acc 0.8205
e 192 | malicious users: 1 | test acc 0.7459 test loss 0.861903 best test_acc 0.8205
e 193 | malicious users: 3 | test acc 0.7066 test loss 1.552093 best test_acc 0.8205
e 194 | malicious users: 2 | test acc 0.7730 test loss 1.326278 best test_acc 0.8205
e 195 | malicious users: 0 | test acc 0.8038 test loss 1.271500 best test_acc 0.8205
e 196 | malicious users: 1 | test acc 0.7630 test loss 0.880067 best test_acc 0.8205
e 197 | malicious users: 4 | test acc 0.7468 test loss 1.517707 best test_acc 0.8205
e 198 | malicious users: 1 | test acc 0.7450 test loss 1.144415 best test_acc 0.8205
e 199 | malicious users: 1 | test acc 0.7516 test loss 0.848882 best test_acc 0.8205
e 200 | malicious users: 1 | test acc 0.7460 test loss 0.879626 best test_acc 0.8205
Total running time: 1699.01 seconds
