#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.4890 test loss 2.220226 best test_acc 0.4890
e 1 | malicious users: 1 | test acc 0.5756 test loss 1.840682 best test_acc 0.5756
e 2 | malicious users: 3 | test acc 0.4083 test loss 2.252293 best test_acc 0.5756
e 3 | malicious users: 2 | test acc 0.6829 test loss 1.383615 best test_acc 0.6829
e 4 | malicious users: 2 | test acc 0.4856 test loss 1.513276 best test_acc 0.6829
e 5 | malicious users: 2 | test acc 0.6319 test loss 1.885778 best test_acc 0.6829
e 6 | malicious users: 3 | test acc 0.6995 test loss 1.021273 best test_acc 0.6995
e 7 | malicious users: 4 | test acc 0.5378 test loss 1.586361 best test_acc 0.6995
e 8 | malicious users: 3 | test acc 0.6497 test loss 1.064061 best test_acc 0.6995
e 9 | malicious users: 4 | test acc 0.5262 test loss 1.343501 best test_acc 0.6995
e 10 | malicious users: 3 | test acc 0.6170 test loss 1.164063 best test_acc 0.6995
e 11 | malicious users: 5 | test acc 0.5747 test loss 1.311922 best test_acc 0.6995
e 12 | malicious users: 2 | test acc 0.6073 test loss 1.436596 best test_acc 0.6995
e 13 | malicious users: 3 | test acc 0.7573 test loss 0.988834 best test_acc 0.7573
e 14 | malicious users: 5 | test acc 0.6079 test loss 1.472315 best test_acc 0.7573
e 15 | malicious users: 2 | test acc 0.6292 test loss 1.110461 best test_acc 0.7573
e 16 | malicious users: 2 | test acc 0.6775 test loss 1.173647 best test_acc 0.7573
e 17 | malicious users: 4 | test acc 0.6465 test loss 1.178607 best test_acc 0.7573
e 18 | malicious users: 3 | test acc 0.7069 test loss 1.039242 best test_acc 0.7573
e 19 | malicious users: 3 | test acc 0.6983 test loss 1.043056 best test_acc 0.7573
e 20 | malicious users: 2 | test acc 0.6311 test loss 1.234821 best test_acc 0.7573
e 21 | malicious users: 2 | test acc 0.6982 test loss 1.066448 best test_acc 0.7573
e 22 | malicious users: 3 | test acc 0.6836 test loss 1.001215 best test_acc 0.7573
e 23 | malicious users: 1 | test acc 0.7314 test loss 1.038505 best test_acc 0.7573
e 24 | malicious users: 1 | test acc 0.6840 test loss 1.064707 best test_acc 0.7573
e 25 | malicious users: 3 | test acc 0.7992 test loss 0.916230 best test_acc 0.7992
e 26 | malicious users: 2 | test acc 0.6690 test loss 1.123190 best test_acc 0.7992
e 27 | malicious users: 7 | test acc 0.7160 test loss 1.000717 best test_acc 0.7992
e 28 | malicious users: 5 | test acc 0.6633 test loss 0.909265 best test_acc 0.7992
e 29 | malicious users: 2 | test acc 0.8514 test loss 1.081881 best test_acc 0.8514
e 30 | malicious users: 3 | test acc 0.7417 test loss 1.040922 best test_acc 0.8514
e 31 | malicious users: 1 | test acc 0.8208 test loss 0.767872 best test_acc 0.8514
e 32 | malicious users: 4 | test acc 0.6821 test loss 1.067975 best test_acc 0.8514
e 33 | malicious users: 1 | test acc 0.7759 test loss 0.801244 best test_acc 0.8514
e 34 | malicious users: 4 | test acc 0.7691 test loss 0.860816 best test_acc 0.8514
e 35 | malicious users: 2 | test acc 0.8295 test loss 0.878371 best test_acc 0.8514
e 36 | malicious users: 2 | test acc 0.7335 test loss 0.901529 best test_acc 0.8514
e 37 | malicious users: 0 | test acc 0.8523 test loss 0.717219 best test_acc 0.8523
e 38 | malicious users: 2 | test acc 0.8145 test loss 0.885305 best test_acc 0.8523
e 39 | malicious users: 2 | test acc 0.7932 test loss 0.769747 best test_acc 0.8523
e 40 | malicious users: 5 | test acc 0.8044 test loss 0.827025 best test_acc 0.8523
e 41 | malicious users: 3 | test acc 0.7172 test loss 0.843243 best test_acc 0.8523
e 42 | malicious users: 4 | test acc 0.7854 test loss 0.932184 best test_acc 0.8523
e 43 | malicious users: 2 | test acc 0.7688 test loss 0.889581 best test_acc 0.8523
e 44 | malicious users: 3 | test acc 0.7650 test loss 1.078530 best test_acc 0.8523
e 45 | malicious users: 6 | test acc 0.8528 test loss 0.692284 best test_acc 0.8528
e 46 | malicious users: 3 | test acc 0.8773 test loss 0.654830 best test_acc 0.8773
e 47 | malicious users: 2 | test acc 0.8112 test loss 0.747119 best test_acc 0.8773
e 48 | malicious users: 1 | test acc 0.8152 test loss 0.645171 best test_acc 0.8773
e 49 | malicious users: 3 | test acc 0.7241 test loss 0.953724 best test_acc 0.8773
e 50 | malicious users: 3 | test acc 0.7930 test loss 0.676498 best test_acc 0.8773
e 51 | malicious users: 3 | test acc 0.8817 test loss 0.720307 best test_acc 0.8817
e 52 | malicious users: 3 | test acc 0.7841 test loss 0.762174 best test_acc 0.8817
e 53 | malicious users: 2 | test acc 0.8567 test loss 0.658151 best test_acc 0.8817
e 54 | malicious users: 1 | test acc 0.8170 test loss 0.676647 best test_acc 0.8817
e 55 | malicious users: 3 | test acc 0.7103 test loss 0.914092 best test_acc 0.8817
e 56 | malicious users: 1 | test acc 0.8148 test loss 0.817125 best test_acc 0.8817
e 57 | malicious users: 2 | test acc 0.8388 test loss 0.661605 best test_acc 0.8817
e 58 | malicious users: 3 | test acc 0.7516 test loss 0.881061 best test_acc 0.8817
e 59 | malicious users: 3 | test acc 0.8408 test loss 0.718834 best test_acc 0.8817
e 60 | malicious users: 1 | test acc 0.8372 test loss 0.698571 best test_acc 0.8817
e 61 | malicious users: 4 | test acc 0.7671 test loss 0.730579 best test_acc 0.8817
e 62 | malicious users: 2 | test acc 0.7240 test loss 1.014845 best test_acc 0.8817
e 63 | malicious users: 3 | test acc 0.7982 test loss 0.955072 best test_acc 0.8817
e 64 | malicious users: 3 | test acc 0.8274 test loss 0.675546 best test_acc 0.8817
e 65 | malicious users: 4 | test acc 0.7258 test loss 0.983267 best test_acc 0.8817
e 66 | malicious users: 3 | test acc 0.8361 test loss 0.640539 best test_acc 0.8817
e 67 | malicious users: 1 | test acc 0.7652 test loss 0.744308 best test_acc 0.8817
e 68 | malicious users: 0 | test acc 0.8284 test loss 0.555754 best test_acc 0.8817
e 69 | malicious users: 2 | test acc 0.8188 test loss 0.701794 best test_acc 0.8817
e 70 | malicious users: 1 | test acc 0.7860 test loss 0.722512 best test_acc 0.8817
e 71 | malicious users: 2 | test acc 0.8237 test loss 0.643213 best test_acc 0.8817
e 72 | malicious users: 3 | test acc 0.7383 test loss 0.862053 best test_acc 0.8817
e 73 | malicious users: 5 | test acc 0.8497 test loss 0.623279 best test_acc 0.8817
e 74 | malicious users: 3 | test acc 0.8193 test loss 0.685468 best test_acc 0.8817
e 75 | malicious users: 3 | test acc 0.8226 test loss 0.741382 best test_acc 0.8817
e 76 | malicious users: 3 | test acc 0.7861 test loss 0.667893 best test_acc 0.8817
e 77 | malicious users: 4 | test acc 0.8271 test loss 0.630762 best test_acc 0.8817
e 78 | malicious users: 3 | test acc 0.6966 test loss 0.971927 best test_acc 0.8817
e 79 | malicious users: 3 | test acc 0.8562 test loss 0.556629 best test_acc 0.8817
e 80 | malicious users: 1 | test acc 0.8145 test loss 0.678606 best test_acc 0.8817
e 81 | malicious users: 2 | test acc 0.8277 test loss 0.598790 best test_acc 0.8817
e 82 | malicious users: 3 | test acc 0.7799 test loss 0.820216 best test_acc 0.8817
e 83 | malicious users: 1 | test acc 0.8535 test loss 0.478899 best test_acc 0.8817
e 84 | malicious users: 1 | test acc 0.8552 test loss 0.864139 best test_acc 0.8817
e 85 | malicious users: 1 | test acc 0.8491 test loss 0.631978 best test_acc 0.8817
e 86 | malicious users: 2 | test acc 0.7926 test loss 0.676931 best test_acc 0.8817
e 87 | malicious users: 1 | test acc 0.8539 test loss 0.580859 best test_acc 0.8817
e 88 | malicious users: 6 | test acc 0.7364 test loss 0.931370 best test_acc 0.8817
e 89 | malicious users: 2 | test acc 0.8215 test loss 0.664856 best test_acc 0.8817
e 90 | malicious users: 3 | test acc 0.8305 test loss 0.622959 best test_acc 0.8817
e 91 | malicious users: 1 | test acc 0.8102 test loss 0.585339 best test_acc 0.8817
e 92 | malicious users: 1 | test acc 0.8493 test loss 0.593546 best test_acc 0.8817
e 93 | malicious users: 1 | test acc 0.8212 test loss 0.674952 best test_acc 0.8817
e 94 | malicious users: 2 | test acc 0.8029 test loss 0.769998 best test_acc 0.8817
e 95 | malicious users: 2 | test acc 0.8293 test loss 0.586088 best test_acc 0.8817
e 96 | malicious users: 5 | test acc 0.7766 test loss 0.781869 best test_acc 0.8817
e 97 | malicious users: 2 | test acc 0.7894 test loss 0.698898 best test_acc 0.8817
e 98 | malicious users: 4 | test acc 0.7958 test loss 0.695458 best test_acc 0.8817
e 99 | malicious users: 3 | test acc 0.7283 test loss 0.862459 best test_acc 0.8817
e 100 | malicious users: 0 | test acc 0.7173 test loss 0.812586 best test_acc 0.8817
e 101 | malicious users: 2 | test acc 0.7209 test loss 0.754726 best test_acc 0.8817
e 102 | malicious users: 3 | test acc 0.7930 test loss 0.628472 best test_acc 0.8817
e 103 | malicious users: 3 | test acc 0.8007 test loss 0.728192 best test_acc 0.8817
e 104 | malicious users: 3 | test acc 0.6520 test loss 0.927800 best test_acc 0.8817
e 105 | malicious users: 4 | test acc 0.7106 test loss 0.873733 best test_acc 0.8817
e 106 | malicious users: 1 | test acc 0.8571 test loss 0.560970 best test_acc 0.8817
e 107 | malicious users: 4 | test acc 0.8614 test loss 0.640660 best test_acc 0.8817
e 108 | malicious users: 1 | test acc 0.8721 test loss 0.539605 best test_acc 0.8817
e 109 | malicious users: 2 | test acc 0.7041 test loss 1.047247 best test_acc 0.8817
e 110 | malicious users: 2 | test acc 0.7636 test loss 0.715864 best test_acc 0.8817
e 111 | malicious users: 1 | test acc 0.8177 test loss 0.581311 best test_acc 0.8817
e 112 | malicious users: 2 | test acc 0.7456 test loss 0.700098 best test_acc 0.8817
e 113 | malicious users: 3 | test acc 0.7798 test loss 0.708528 best test_acc 0.8817
e 114 | malicious users: 2 | test acc 0.8100 test loss 0.791206 best test_acc 0.8817
e 115 | malicious users: 2 | test acc 0.8655 test loss 0.550339 best test_acc 0.8817
e 116 | malicious users: 2 | test acc 0.7925 test loss 0.702052 best test_acc 0.8817
e 117 | malicious users: 3 | test acc 0.8175 test loss 0.553175 best test_acc 0.8817
e 118 | malicious users: 4 | test acc 0.7487 test loss 0.786738 best test_acc 0.8817
e 119 | malicious users: 4 | test acc 0.7551 test loss 0.718509 best test_acc 0.8817
e 120 | malicious users: 2 | test acc 0.7938 test loss 0.691958 best test_acc 0.8817
e 121 | malicious users: 2 | test acc 0.8273 test loss 0.520808 best test_acc 0.8817
e 122 | malicious users: 2 | test acc 0.8533 test loss 0.531932 best test_acc 0.8817
e 123 | malicious users: 4 | test acc 0.7759 test loss 0.756700 best test_acc 0.8817
e 124 | malicious users: 3 | test acc 0.8196 test loss 0.629345 best test_acc 0.8817
e 125 | malicious users: 1 | test acc 0.8162 test loss 0.755900 best test_acc 0.8817
e 126 | malicious users: 2 | test acc 0.8770 test loss 0.466519 best test_acc 0.8817
e 127 | malicious users: 5 | test acc 0.7153 test loss 0.865485 best test_acc 0.8817
e 128 | malicious users: 2 | test acc 0.7786 test loss 0.846281 best test_acc 0.8817
e 129 | malicious users: 3 | test acc 0.8573 test loss 0.534289 best test_acc 0.8817
e 130 | malicious users: 2 | test acc 0.9122 test loss 0.378667 best test_acc 0.9122
e 131 | malicious users: 2 | test acc 0.7514 test loss 0.738831 best test_acc 0.9122
e 132 | malicious users: 2 | test acc 0.8087 test loss 0.593034 best test_acc 0.9122
e 133 | malicious users: 0 | test acc 0.8723 test loss 0.466178 best test_acc 0.9122
e 134 | malicious users: 1 | test acc 0.7720 test loss 0.663145 best test_acc 0.9122
e 135 | malicious users: 3 | test acc 0.8561 test loss 0.577158 best test_acc 0.9122
e 136 | malicious users: 4 | test acc 0.8030 test loss 0.724098 best test_acc 0.9122
e 137 | malicious users: 3 | test acc 0.8595 test loss 0.584565 best test_acc 0.9122
e 138 | malicious users: 3 | test acc 0.8800 test loss 0.474146 best test_acc 0.9122
e 139 | malicious users: 1 | test acc 0.8014 test loss 0.726384 best test_acc 0.9122
e 140 | malicious users: 2 | test acc 0.8639 test loss 0.627265 best test_acc 0.9122
e 141 | malicious users: 4 | test acc 0.8226 test loss 0.636147 best test_acc 0.9122
e 142 | malicious users: 2 | test acc 0.8576 test loss 0.547421 best test_acc 0.9122
e 143 | malicious users: 4 | test acc 0.8087 test loss 0.768455 best test_acc 0.9122
e 144 | malicious users: 1 | test acc 0.8471 test loss 0.489708 best test_acc 0.9122
e 145 | malicious users: 1 | test acc 0.7901 test loss 0.750914 best test_acc 0.9122
e 146 | malicious users: 3 | test acc 0.9121 test loss 0.356870 best test_acc 0.9122
e 147 | malicious users: 2 | test acc 0.8237 test loss 0.790911 best test_acc 0.9122
e 148 | malicious users: 3 | test acc 0.9009 test loss 0.505179 best test_acc 0.9122
e 149 | malicious users: 4 | test acc 0.8286 test loss 0.635672 best test_acc 0.9122
e 150 | malicious users: 3 | test acc 0.7557 test loss 0.751120 best test_acc 0.9122
e 151 | malicious users: 4 | test acc 0.9102 test loss 0.415320 best test_acc 0.9122
e 152 | malicious users: 3 | test acc 0.8871 test loss 0.634875 best test_acc 0.9122
e 153 | malicious users: 4 | test acc 0.8639 test loss 0.499750 best test_acc 0.9122
e 154 | malicious users: 3 | test acc 0.8497 test loss 0.568580 best test_acc 0.9122
e 155 | malicious users: 1 | test acc 0.9000 test loss 0.399462 best test_acc 0.9122
e 156 | malicious users: 5 | test acc 0.7576 test loss 0.760491 best test_acc 0.9122
e 157 | malicious users: 1 | test acc 0.7223 test loss 0.812583 best test_acc 0.9122
e 158 | malicious users: 3 | test acc 0.8478 test loss 0.476911 best test_acc 0.9122
e 159 | malicious users: 4 | test acc 0.7202 test loss 0.971630 best test_acc 0.9122
e 160 | malicious users: 3 | test acc 0.8918 test loss 0.491386 best test_acc 0.9122
e 161 | malicious users: 4 | test acc 0.8597 test loss 0.574526 best test_acc 0.9122
e 162 | malicious users: 0 | test acc 0.8231 test loss 0.577186 best test_acc 0.9122
e 163 | malicious users: 2 | test acc 0.8187 test loss 0.589688 best test_acc 0.9122
e 164 | malicious users: 3 | test acc 0.8722 test loss 0.469965 best test_acc 0.9122
e 165 | malicious users: 2 | test acc 0.7926 test loss 0.610818 best test_acc 0.9122
e 166 | malicious users: 2 | test acc 0.8406 test loss 0.531248 best test_acc 0.9122
e 167 | malicious users: 0 | test acc 0.8281 test loss 0.610977 best test_acc 0.9122
e 168 | malicious users: 3 | test acc 0.8616 test loss 0.549085 best test_acc 0.9122
e 169 | malicious users: 0 | test acc 0.9153 test loss 0.446512 best test_acc 0.9153
e 170 | malicious users: 2 | test acc 0.8528 test loss 0.515264 best test_acc 0.9153
e 171 | malicious users: 2 | test acc 0.7518 test loss 0.704665 best test_acc 0.9153
e 172 | malicious users: 3 | test acc 0.7764 test loss 0.678201 best test_acc 0.9153
e 173 | malicious users: 2 | test acc 0.7967 test loss 0.742169 best test_acc 0.9153
e 174 | malicious users: 2 | test acc 0.7143 test loss 0.732648 best test_acc 0.9153
e 175 | malicious users: 2 | test acc 0.8297 test loss 0.586199 best test_acc 0.9153
e 176 | malicious users: 1 | test acc 0.8335 test loss 0.637765 best test_acc 0.9153
e 177 | malicious users: 1 | test acc 0.9186 test loss 0.332426 best test_acc 0.9186
e 178 | malicious users: 2 | test acc 0.7323 test loss 0.896470 best test_acc 0.9186
e 179 | malicious users: 2 | test acc 0.9104 test loss 0.376263 best test_acc 0.9186
e 180 | malicious users: 4 | test acc 0.7495 test loss 0.678142 best test_acc 0.9186
e 181 | malicious users: 2 | test acc 0.8927 test loss 0.368393 best test_acc 0.9186
e 182 | malicious users: 2 | test acc 0.8302 test loss 0.812039 best test_acc 0.9186
e 183 | malicious users: 2 | test acc 0.8867 test loss 0.456717 best test_acc 0.9186
e 184 | malicious users: 2 | test acc 0.7305 test loss 0.787484 best test_acc 0.9186
e 185 | malicious users: 2 | test acc 0.8854 test loss 0.470533 best test_acc 0.9186
e 186 | malicious users: 1 | test acc 0.9082 test loss 0.429491 best test_acc 0.9186
e 187 | malicious users: 0 | test acc 0.9181 test loss 0.522172 best test_acc 0.9186
e 188 | malicious users: 3 | test acc 0.7782 test loss 0.609947 best test_acc 0.9186
e 189 | malicious users: 2 | test acc 0.8002 test loss 0.682221 best test_acc 0.9186
e 190 | malicious users: 4 | test acc 0.8919 test loss 0.452123 best test_acc 0.9186
e 191 | malicious users: 4 | test acc 0.8830 test loss 0.495662 best test_acc 0.9186
e 192 | malicious users: 3 | test acc 0.8067 test loss 0.567487 best test_acc 0.9186
e 193 | malicious users: 0 | test acc 0.9272 test loss 0.345816 best test_acc 0.9272
e 194 | malicious users: 1 | test acc 0.8323 test loss 0.566519 best test_acc 0.9272
e 195 | malicious users: 5 | test acc 0.8178 test loss 0.625331 best test_acc 0.9272
e 196 | malicious users: 2 | test acc 0.7373 test loss 0.803136 best test_acc 0.9272
e 197 | malicious users: 2 | test acc 0.8211 test loss 0.637027 best test_acc 0.9272
e 198 | malicious users: 1 | test acc 0.7196 test loss 0.723637 best test_acc 0.9272
e 199 | malicious users: 5 | test acc 0.8427 test loss 0.608989 best test_acc 0.9272
e 200 | malicious users: 1 | test acc 0.8097 test loss 0.549486 best test_acc 0.9272
e 201 | malicious users: 4 | test acc 0.8593 test loss 0.579484 best test_acc 0.9272
e 202 | malicious users: 5 | test acc 0.8873 test loss 0.420488 best test_acc 0.9272
e 203 | malicious users: 2 | test acc 0.8891 test loss 0.542830 best test_acc 0.9272
e 204 | malicious users: 2 | test acc 0.9182 test loss 0.388467 best test_acc 0.9272
e 205 | malicious users: 1 | test acc 0.8840 test loss 0.501334 best test_acc 0.9272
e 206 | malicious users: 1 | test acc 0.8475 test loss 0.515849 best test_acc 0.9272
e 207 | malicious users: 3 | test acc 0.8496 test loss 0.542736 best test_acc 0.9272
e 208 | malicious users: 1 | test acc 0.9263 test loss 0.337817 best test_acc 0.9272
e 209 | malicious users: 4 | test acc 0.8010 test loss 0.652536 best test_acc 0.9272
e 210 | malicious users: 2 | test acc 0.8956 test loss 0.424698 best test_acc 0.9272
e 211 | malicious users: 1 | test acc 0.8336 test loss 0.503025 best test_acc 0.9272
e 212 | malicious users: 2 | test acc 0.8329 test loss 0.786758 best test_acc 0.9272
e 213 | malicious users: 1 | test acc 0.9323 test loss 0.266541 best test_acc 0.9323
e 214 | malicious users: 2 | test acc 0.8017 test loss 0.886280 best test_acc 0.9323
e 215 | malicious users: 3 | test acc 0.9027 test loss 0.366616 best test_acc 0.9323
e 216 | malicious users: 2 | test acc 0.6687 test loss 0.855008 best test_acc 0.9323
e 217 | malicious users: 6 | test acc 0.8452 test loss 0.526551 best test_acc 0.9323
