#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.5258 test loss 2.111456 best test_acc 0.5258
e 1 | malicious users: 3 | test acc 0.7099 test loss 1.085911 best test_acc 0.7099
e 2 | malicious users: 2 | test acc 0.6473 test loss 1.716511 best test_acc 0.7099
e 3 | malicious users: 1 | test acc 0.7768 test loss 0.797836 best test_acc 0.7768
e 4 | malicious users: 5 | test acc 0.6916 test loss 0.902390 best test_acc 0.7768
e 5 | malicious users: 4 | test acc 0.7446 test loss 0.745687 best test_acc 0.7768
e 6 | malicious users: 3 | test acc 0.7235 test loss 0.808705 best test_acc 0.7768
e 7 | malicious users: 2 | test acc 0.8126 test loss 0.600577 best test_acc 0.8126
e 8 | malicious users: 1 | test acc 0.8477 test loss 0.547581 best test_acc 0.8477
e 9 | malicious users: 4 | test acc 0.8584 test loss 0.433056 best test_acc 0.8584
e 10 | malicious users: 1 | test acc 0.7771 test loss 0.676115 best test_acc 0.8584
e 11 | malicious users: 1 | test acc 0.8777 test loss 0.430363 best test_acc 0.8777
e 12 | malicious users: 2 | test acc 0.9028 test loss 0.344633 best test_acc 0.9028
e 13 | malicious users: 2 | test acc 0.8467 test loss 0.541787 best test_acc 0.9028
e 14 | malicious users: 1 | test acc 0.8927 test loss 0.403857 best test_acc 0.9028
e 15 | malicious users: 3 | test acc 0.8473 test loss 0.431611 best test_acc 0.9028
e 16 | malicious users: 2 | test acc 0.8808 test loss 0.409504 best test_acc 0.9028
e 17 | malicious users: 3 | test acc 0.9053 test loss 0.320678 best test_acc 0.9053
e 18 | malicious users: 2 | test acc 0.8621 test loss 0.468087 best test_acc 0.9053
e 19 | malicious users: 2 | test acc 0.9088 test loss 0.307951 best test_acc 0.9088
e 20 | malicious users: 2 | test acc 0.8623 test loss 0.429243 best test_acc 0.9088
e 21 | malicious users: 2 | test acc 0.8970 test loss 0.313330 best test_acc 0.9088
e 22 | malicious users: 4 | test acc 0.8470 test loss 0.487982 best test_acc 0.9088
e 23 | malicious users: 1 | test acc 0.8738 test loss 0.478014 best test_acc 0.9088
e 24 | malicious users: 1 | test acc 0.9071 test loss 0.325684 best test_acc 0.9088
e 25 | malicious users: 3 | test acc 0.8481 test loss 0.514747 best test_acc 0.9088
