#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 4 | test acc 0.5008 test loss 2.034565 best test_acc 0.5008
e 1 | malicious users: 0 | test acc 0.5975 test loss 1.523596 best test_acc 0.5975
e 2 | malicious users: 5 | test acc 0.5985 test loss 1.454682 best test_acc 0.5985
e 3 | malicious users: 3 | test acc 0.6380 test loss 1.054429 best test_acc 0.6380
e 4 | malicious users: 6 | test acc 0.7935 test loss 0.858281 best test_acc 0.7935
e 5 | malicious users: 2 | test acc 0.8185 test loss 0.609288 best test_acc 0.8185
e 6 | malicious users: 0 | test acc 0.7848 test loss 0.722726 best test_acc 0.8185
e 7 | malicious users: 3 | test acc 0.8594 test loss 0.604734 best test_acc 0.8594
e 8 | malicious users: 4 | test acc 0.8856 test loss 0.425989 best test_acc 0.8856
e 9 | malicious users: 3 | test acc 0.8787 test loss 0.480879 best test_acc 0.8856
e 10 | malicious users: 1 | test acc 0.8511 test loss 0.445948 best test_acc 0.8856
e 11 | malicious users: 3 | test acc 0.8301 test loss 0.492586 best test_acc 0.8856
e 12 | malicious users: 2 | test acc 0.9062 test loss 0.374271 best test_acc 0.9062
e 13 | malicious users: 2 | test acc 0.9113 test loss 0.342061 best test_acc 0.9113
e 14 | malicious users: 2 | test acc 0.9308 test loss 0.256325 best test_acc 0.9308
e 15 | malicious users: 3 | test acc 0.9165 test loss 0.321248 best test_acc 0.9308
e 16 | malicious users: 1 | test acc 0.9315 test loss 0.267430 best test_acc 0.9315
e 17 | malicious users: 4 | test acc 0.9194 test loss 0.277457 best test_acc 0.9315
e 18 | malicious users: 1 | test acc 0.9361 test loss 0.244836 best test_acc 0.9361
e 19 | malicious users: 5 | test acc 0.9361 test loss 0.230773 best test_acc 0.9361
e 20 | malicious users: 2 | test acc 0.8804 test loss 0.339535 best test_acc 0.9361
e 21 | malicious users: 1 | test acc 0.9288 test loss 0.255043 best test_acc 0.9361
e 22 | malicious users: 7 | test acc 0.8294 test loss 0.545582 best test_acc 0.9361
e 23 | malicious users: 2 | test acc 0.9071 test loss 0.313366 best test_acc 0.9361
e 24 | malicious users: 3 | test acc 0.9367 test loss 0.233982 best test_acc 0.9367
e 25 | malicious users: 1 | test acc 0.9291 test loss 0.255091 best test_acc 0.9367
e 26 | malicious users: 1 | test acc 0.9399 test loss 0.214971 best test_acc 0.9399
e 27 | malicious users: 4 | test acc 0.9463 test loss 0.208711 best test_acc 0.9463
e 28 | malicious users: 1 | test acc 0.9119 test loss 0.278192 best test_acc 0.9463
e 29 | malicious users: 5 | test acc 0.9327 test loss 0.228153 best test_acc 0.9463
e 30 | malicious users: 2 | test acc 0.9381 test loss 0.220107 best test_acc 0.9463
e 31 | malicious users: 1 | test acc 0.9436 test loss 0.205066 best test_acc 0.9463
e 32 | malicious users: 3 | test acc 0.9433 test loss 0.195078 best test_acc 0.9463
e 33 | malicious users: 2 | test acc 0.9498 test loss 0.195167 best test_acc 0.9498
e 34 | malicious users: 5 | test acc 0.9317 test loss 0.226543 best test_acc 0.9498
e 35 | malicious users: 1 | test acc 0.9473 test loss 0.183263 best test_acc 0.9498
e 36 | malicious users: 2 | test acc 0.9559 test loss 0.157215 best test_acc 0.9559
e 37 | malicious users: 2 | test acc 0.9521 test loss 0.170246 best test_acc 0.9559
e 38 | malicious users: 1 | test acc 0.9348 test loss 0.206360 best test_acc 0.9559
e 39 | malicious users: 2 | test acc 0.9231 test loss 0.249762 best test_acc 0.9559
e 40 | malicious users: 0 | test acc 0.9571 test loss 0.149433 best test_acc 0.9571
