#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 10 | test acc 0.1923 test loss 2.265778 best test_acc 0.1923
e 1 | malicious users: 9 | test acc 0.2653 test loss 1.978042 best test_acc 0.2653
e 2 | malicious users: 7 | test acc 0.5488 test loss 1.373366 best test_acc 0.5488
e 3 | malicious users: 6 | test acc 0.5858 test loss 1.307282 best test_acc 0.5858
e 4 | malicious users: 4 | test acc 0.6878 test loss 0.962765 best test_acc 0.6878
e 5 | malicious users: 8 | test acc 0.6696 test loss 1.111040 best test_acc 0.6878
e 6 | malicious users: 5 | test acc 0.7175 test loss 1.048460 best test_acc 0.7175
e 7 | malicious users: 6 | test acc 0.7659 test loss 0.753981 best test_acc 0.7659
e 8 | malicious users: 9 | test acc 0.6505 test loss 1.389434 best test_acc 0.7659
e 9 | malicious users: 8 | test acc 0.8190 test loss 0.581598 best test_acc 0.8190
e 10 | malicious users: 3 | test acc 0.8298 test loss 0.617456 best test_acc 0.8298
e 11 | malicious users: 8 | test acc 0.7541 test loss 0.667985 best test_acc 0.8298
e 12 | malicious users: 8 | test acc 0.8368 test loss 0.569806 best test_acc 0.8368
e 13 | malicious users: 11 | test acc 0.5301 test loss 1.376953 best test_acc 0.8368
e 14 | malicious users: 7 | test acc 0.7903 test loss 0.771175 best test_acc 0.8368
e 15 | malicious users: 5 | test acc 0.8294 test loss 0.652732 best test_acc 0.8368
e 16 | malicious users: 7 | test acc 0.7406 test loss 0.807950 best test_acc 0.8368
e 17 | malicious users: 9 | test acc 0.7562 test loss 0.732281 best test_acc 0.8368
e 18 | malicious users: 6 | test acc 0.8601 test loss 0.528403 best test_acc 0.8601
e 19 | malicious users: 8 | test acc 0.8383 test loss 0.545811 best test_acc 0.8601
e 20 | malicious users: 8 | test acc 0.7424 test loss 0.701740 best test_acc 0.8601
e 21 | malicious users: 6 | test acc 0.8637 test loss 0.507549 best test_acc 0.8637
e 22 | malicious users: 4 | test acc 0.8723 test loss 0.386212 best test_acc 0.8723
e 23 | malicious users: 6 | test acc 0.9088 test loss 0.325913 best test_acc 0.9088
e 24 | malicious users: 5 | test acc 0.8410 test loss 0.496182 best test_acc 0.9088
e 25 | malicious users: 7 | test acc 0.8566 test loss 0.436239 best test_acc 0.9088
e 26 | malicious users: 8 | test acc 0.8105 test loss 0.536719 best test_acc 0.9088
e 27 | malicious users: 8 | test acc 0.7862 test loss 0.619013 best test_acc 0.9088
e 28 | malicious users: 8 | test acc 0.8549 test loss 0.507778 best test_acc 0.9088
e 29 | malicious users: 8 | test acc 0.8650 test loss 0.484419 best test_acc 0.9088
e 30 | malicious users: 9 | test acc 0.8169 test loss 0.572157 best test_acc 0.9088
e 31 | malicious users: 2 | test acc 0.8937 test loss 0.406545 best test_acc 0.9088
e 32 | malicious users: 11 | test acc 0.6255 test loss 1.203818 best test_acc 0.9088
e 33 | malicious users: 8 | test acc 0.7823 test loss 0.656334 best test_acc 0.9088
e 34 | malicious users: 7 | test acc 0.8705 test loss 0.435364 best test_acc 0.9088
e 35 | malicious users: 12 | test acc 0.2506 test loss 3.744756 best test_acc 0.9088
e 36 | malicious users: 8 | test acc 0.3596 test loss 1.841901 best test_acc 0.9088
e 37 | malicious users: 6 | test acc 0.6619 test loss 1.100106 best test_acc 0.9088
e 38 | malicious users: 8 | test acc 0.6460 test loss 1.274240 best test_acc 0.9088
e 39 | malicious users: 8 | test acc 0.6384 test loss 1.167123 best test_acc 0.9088
e 40 | malicious users: 5 | test acc 0.6622 test loss 0.864698 best test_acc 0.9088
e 41 | malicious users: 9 | test acc 0.6222 test loss 1.266681 best test_acc 0.9088
e 42 | malicious users: 6 | test acc 0.7421 test loss 0.845725 best test_acc 0.9088
e 43 | malicious users: 6 | test acc 0.6678 test loss 0.909919 best test_acc 0.9088
e 44 | malicious users: 7 | test acc 0.7284 test loss 0.789024 best test_acc 0.9088
e 45 | malicious users: 6 | test acc 0.7115 test loss 0.878017 best test_acc 0.9088
e 46 | malicious users: 5 | test acc 0.7290 test loss 0.764162 best test_acc 0.9088
e 47 | malicious users: 12 | test acc 0.1723 test loss 2.750478 best test_acc 0.9088
e 48 | malicious users: 7 | test acc 0.3245 test loss 2.098099 best test_acc 0.9088
e 49 | malicious users: 8 | test acc 0.6143 test loss 1.452037 best test_acc 0.9088
e 50 | malicious users: 8 | test acc 0.5161 test loss 1.467363 best test_acc 0.9088
e 51 | malicious users: 7 | test acc 0.6202 test loss 1.180619 best test_acc 0.9088
e 52 | malicious users: 7 | test acc 0.6036 test loss 1.267468 best test_acc 0.9088
e 53 | malicious users: 6 | test acc 0.6856 test loss 0.968009 best test_acc 0.9088
e 54 | malicious users: 8 | test acc 0.6685 test loss 0.973610 best test_acc 0.9088
e 55 | malicious users: 6 | test acc 0.7006 test loss 0.878828 best test_acc 0.9088
e 56 | malicious users: 8 | test acc 0.6671 test loss 0.933029 best test_acc 0.9088
e 57 | malicious users: 6 | test acc 0.7072 test loss 1.002853 best test_acc 0.9088
e 58 | malicious users: 9 | test acc 0.6807 test loss 1.007148 best test_acc 0.9088
e 59 | malicious users: 7 | test acc 0.7782 test loss 0.696482 best test_acc 0.9088
