#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.4735 test loss 2.106561 best test_acc 0.4735
e 1 | malicious users: 6 | test acc 0.5751 test loss 1.480470 best test_acc 0.5751
e 2 | malicious users: 4 | test acc 0.6982 test loss 1.169757 best test_acc 0.6982
e 3 | malicious users: 3 | test acc 0.7769 test loss 0.731901 best test_acc 0.7769
e 4 | malicious users: 7 | test acc 0.7615 test loss 0.802904 best test_acc 0.7769
e 5 | malicious users: 6 | test acc 0.8405 test loss 0.531126 best test_acc 0.8405
e 6 | malicious users: 1 | test acc 0.8710 test loss 0.406658 best test_acc 0.8710
e 7 | malicious users: 3 | test acc 0.8979 test loss 0.423419 best test_acc 0.8979
e 8 | malicious users: 5 | test acc 0.8985 test loss 0.358313 best test_acc 0.8985
e 9 | malicious users: 5 | test acc 0.9284 test loss 0.318880 best test_acc 0.9284
e 10 | malicious users: 6 | test acc 0.9114 test loss 0.287745 best test_acc 0.9284
e 11 | malicious users: 1 | test acc 0.9231 test loss 0.328665 best test_acc 0.9284
e 12 | malicious users: 6 | test acc 0.9291 test loss 0.229963 best test_acc 0.9291
e 13 | malicious users: 7 | test acc 0.9012 test loss 0.333416 best test_acc 0.9291
e 14 | malicious users: 5 | test acc 0.9288 test loss 0.271216 best test_acc 0.9291
e 15 | malicious users: 5 | test acc 0.9361 test loss 0.215575 best test_acc 0.9361
e 16 | malicious users: 4 | test acc 0.9226 test loss 0.262377 best test_acc 0.9361
e 17 | malicious users: 3 | test acc 0.9430 test loss 0.190464 best test_acc 0.9430
e 18 | malicious users: 7 | test acc 0.9200 test loss 0.264630 best test_acc 0.9430
e 19 | malicious users: 5 | test acc 0.9086 test loss 0.291076 best test_acc 0.9430
e 20 | malicious users: 4 | test acc 0.9454 test loss 0.207648 best test_acc 0.9454
e 21 | malicious users: 4 | test acc 0.9381 test loss 0.214445 best test_acc 0.9454
e 22 | malicious users: 9 | test acc 0.7527 test loss 0.773988 best test_acc 0.9454
e 23 | malicious users: 6 | test acc 0.8345 test loss 0.468390 best test_acc 0.9454
e 24 | malicious users: 1 | test acc 0.9460 test loss 0.202533 best test_acc 0.9460
e 25 | malicious users: 7 | test acc 0.9150 test loss 0.262355 best test_acc 0.9460
e 26 | malicious users: 3 | test acc 0.9311 test loss 0.239824 best test_acc 0.9460
e 27 | malicious users: 8 | test acc 0.8252 test loss 0.526435 best test_acc 0.9460
e 28 | malicious users: 3 | test acc 0.9017 test loss 0.328172 best test_acc 0.9460
e 29 | malicious users: 6 | test acc 0.9321 test loss 0.215676 best test_acc 0.9460
e 30 | malicious users: 5 | test acc 0.9238 test loss 0.238791 best test_acc 0.9460
e 31 | malicious users: 5 | test acc 0.9422 test loss 0.190930 best test_acc 0.9460
e 32 | malicious users: 4 | test acc 0.9503 test loss 0.172484 best test_acc 0.9503
e 33 | malicious users: 4 | test acc 0.9413 test loss 0.186795 best test_acc 0.9503
e 34 | malicious users: 6 | test acc 0.9373 test loss 0.205275 best test_acc 0.9503
e 35 | malicious users: 7 | test acc 0.8628 test loss 0.390285 best test_acc 0.9503
e 36 | malicious users: 7 | test acc 0.9401 test loss 0.206202 best test_acc 0.9503
e 37 | malicious users: 8 | test acc 0.8913 test loss 0.322215 best test_acc 0.9503
e 38 | malicious users: 3 | test acc 0.9371 test loss 0.220504 best test_acc 0.9503
