#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 0 | test acc 0.6255 test loss 2.061879 best test_acc 0.6255
e 1 | malicious users: 2 | test acc 0.8101 test loss 0.896683 best test_acc 0.8101
e 2 | malicious users: 1 | test acc 0.7992 test loss 0.850039 best test_acc 0.8101
e 3 | malicious users: 1 | test acc 0.8682 test loss 0.463740 best test_acc 0.8682
e 4 | malicious users: 7 | test acc 0.7918 test loss 0.660218 best test_acc 0.8682
e 5 | malicious users: 2 | test acc 0.8320 test loss 0.569800 best test_acc 0.8682
e 6 | malicious users: 1 | test acc 0.8849 test loss 0.393343 best test_acc 0.8849
e 7 | malicious users: 4 | test acc 0.8915 test loss 0.351829 best test_acc 0.8915
e 8 | malicious users: 4 | test acc 0.9068 test loss 0.326705 best test_acc 0.9068
e 9 | malicious users: 1 | test acc 0.9335 test loss 0.239012 best test_acc 0.9335
e 10 | malicious users: 4 | test acc 0.9202 test loss 0.257907 best test_acc 0.9335
e 11 | malicious users: 2 | test acc 0.9316 test loss 0.254603 best test_acc 0.9335
e 12 | malicious users: 3 | test acc 0.9386 test loss 0.212878 best test_acc 0.9386
e 13 | malicious users: 2 | test acc 0.9419 test loss 0.198700 best test_acc 0.9419
e 14 | malicious users: 2 | test acc 0.9478 test loss 0.180754 best test_acc 0.9478
e 15 | malicious users: 1 | test acc 0.9488 test loss 0.171872 best test_acc 0.9488
e 16 | malicious users: 3 | test acc 0.9423 test loss 0.197803 best test_acc 0.9488
e 17 | malicious users: 2 | test acc 0.9498 test loss 0.176217 best test_acc 0.9498
e 18 | malicious users: 0 | test acc 0.9531 test loss 0.150764 best test_acc 0.9531
e 19 | malicious users: 2 | test acc 0.9412 test loss 0.196510 best test_acc 0.9531
e 20 | malicious users: 4 | test acc 0.9573 test loss 0.144010 best test_acc 0.9573
e 21 | malicious users: 2 | test acc 0.9527 test loss 0.159215 best test_acc 0.9573
e 22 | malicious users: 2 | test acc 0.9521 test loss 0.161950 best test_acc 0.9573
e 23 | malicious users: 3 | test acc 0.9556 test loss 0.150178 best test_acc 0.9573
e 24 | malicious users: 1 | test acc 0.9631 test loss 0.120822 best test_acc 0.9631
e 25 | malicious users: 2 | test acc 0.9611 test loss 0.130455 best test_acc 0.9631
e 26 | malicious users: 7 | test acc 0.9376 test loss 0.194647 best test_acc 0.9631
e 27 | malicious users: 3 | test acc 0.9558 test loss 0.153790 best test_acc 0.9631
e 28 | malicious users: 2 | test acc 0.9604 test loss 0.129567 best test_acc 0.9631
e 29 | malicious users: 3 | test acc 0.9593 test loss 0.131086 best test_acc 0.9631
