#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.4397 test loss 1.867619 best test_acc 0.4397
e 1 | malicious users: 3 | test acc 0.8194 test loss 1.138290 best test_acc 0.8194
e 2 | malicious users: 5 | test acc 0.7754 test loss 0.768776 best test_acc 0.8194
e 3 | malicious users: 2 | test acc 0.8728 test loss 0.437289 best test_acc 0.8728
e 4 | malicious users: 4 | test acc 0.7536 test loss 0.676059 best test_acc 0.8728
e 5 | malicious users: 5 | test acc 0.8856 test loss 0.372106 best test_acc 0.8856
e 6 | malicious users: 5 | test acc 0.8831 test loss 0.422988 best test_acc 0.8856
e 7 | malicious users: 6 | test acc 0.8778 test loss 0.395895 best test_acc 0.8856
e 8 | malicious users: 5 | test acc 0.9156 test loss 0.296363 best test_acc 0.9156
e 9 | malicious users: 6 | test acc 0.9080 test loss 0.307456 best test_acc 0.9156
e 10 | malicious users: 5 | test acc 0.8969 test loss 0.326561 best test_acc 0.9156
e 11 | malicious users: 5 | test acc 0.9241 test loss 0.250784 best test_acc 0.9241
e 12 | malicious users: 6 | test acc 0.9336 test loss 0.220528 best test_acc 0.9336
e 13 | malicious users: 5 | test acc 0.9399 test loss 0.205333 best test_acc 0.9399
e 14 | malicious users: 6 | test acc 0.9018 test loss 0.310898 best test_acc 0.9399
e 15 | malicious users: 6 | test acc 0.9191 test loss 0.263329 best test_acc 0.9399
e 16 | malicious users: 3 | test acc 0.9428 test loss 0.211353 best test_acc 0.9428
e 17 | malicious users: 4 | test acc 0.9500 test loss 0.169080 best test_acc 0.9500
e 18 | malicious users: 4 | test acc 0.9150 test loss 0.263305 best test_acc 0.9500
e 19 | malicious users: 4 | test acc 0.9537 test loss 0.163374 best test_acc 0.9537
e 20 | malicious users: 6 | test acc 0.9353 test loss 0.220142 best test_acc 0.9537
e 21 | malicious users: 5 | test acc 0.9474 test loss 0.192594 best test_acc 0.9537
e 22 | malicious users: 1 | test acc 0.9465 test loss 0.170488 best test_acc 0.9537
e 23 | malicious users: 3 | test acc 0.9542 test loss 0.151151 best test_acc 0.9542
e 24 | malicious users: 3 | test acc 0.9581 test loss 0.143504 best test_acc 0.9581
e 25 | malicious users: 4 | test acc 0.9464 test loss 0.187233 best test_acc 0.9581
e 26 | malicious users: 6 | test acc 0.9558 test loss 0.151761 best test_acc 0.9581
e 27 | malicious users: 4 | test acc 0.9516 test loss 0.156208 best test_acc 0.9581
e 28 | malicious users: 6 | test acc 0.9607 test loss 0.141338 best test_acc 0.9607
e 29 | malicious users: 9 | test acc 0.8166 test loss 0.508041 best test_acc 0.9607
e 30 | malicious users: 2 | test acc 0.9213 test loss 0.239277 best test_acc 0.9607
e 31 | malicious users: 5 | test acc 0.9578 test loss 0.145555 best test_acc 0.9607
e 32 | malicious users: 3 | test acc 0.9627 test loss 0.127771 best test_acc 0.9627
e 33 | malicious users: 9 | test acc 0.8905 test loss 0.333522 best test_acc 0.9627
e 34 | malicious users: 3 | test acc 0.9542 test loss 0.157775 best test_acc 0.9627
e 35 | malicious users: 8 | test acc 0.9503 test loss 0.169042 best test_acc 0.9627
e 36 | malicious users: 7 | test acc 0.9406 test loss 0.181523 best test_acc 0.9627
e 37 | malicious users: 4 | test acc 0.9516 test loss 0.157157 best test_acc 0.9627
e 38 | malicious users: 3 | test acc 0.9614 test loss 0.126680 best test_acc 0.9627
e 39 | malicious users: 6 | test acc 0.9571 test loss 0.136643 best test_acc 0.9627
e 40 | malicious users: 8 | test acc 0.8857 test loss 0.389986 best test_acc 0.9627
e 41 | malicious users: 6 | test acc 0.9355 test loss 0.231558 best test_acc 0.9627
e 42 | malicious users: 6 | test acc 0.9522 test loss 0.166884 best test_acc 0.9627
e 43 | malicious users: 3 | test acc 0.9583 test loss 0.141861 best test_acc 0.9627
e 44 | malicious users: 8 | test acc 0.9099 test loss 0.291225 best test_acc 0.9627
e 45 | malicious users: 5 | test acc 0.9469 test loss 0.190207 best test_acc 0.9627
e 46 | malicious users: 5 | test acc 0.9477 test loss 0.184536 best test_acc 0.9627
e 47 | malicious users: 8 | test acc 0.9440 test loss 0.185569 best test_acc 0.9627
e 48 | malicious users: 2 | test acc 0.9638 test loss 0.123032 best test_acc 0.9638
e 49 | malicious users: 3 | test acc 0.9620 test loss 0.135031 best test_acc 0.9638
e 50 | malicious users: 5 | test acc 0.9645 test loss 0.122050 best test_acc 0.9645
e 51 | malicious users: 2 | test acc 0.9646 test loss 0.117405 best test_acc 0.9646
e 52 | malicious users: 4 | test acc 0.9691 test loss 0.102548 best test_acc 0.9691
e 53 | malicious users: 8 | test acc 0.9317 test loss 0.207022 best test_acc 0.9691
e 54 | malicious users: 6 | test acc 0.9388 test loss 0.200387 best test_acc 0.9691
e 55 | malicious users: 3 | test acc 0.9680 test loss 0.111230 best test_acc 0.9691
e 56 | malicious users: 6 | test acc 0.9626 test loss 0.125946 best test_acc 0.9691
e 57 | malicious users: 4 | test acc 0.9645 test loss 0.116439 best test_acc 0.9691
e 58 | malicious users: 3 | test acc 0.9653 test loss 0.110199 best test_acc 0.9691
e 59 | malicious users: 6 | test acc 0.9425 test loss 0.175883 best test_acc 0.9691
e 60 | malicious users: 3 | test acc 0.9589 test loss 0.137229 best test_acc 0.9691
e 61 | malicious users: 8 | test acc 0.9464 test loss 0.176823 best test_acc 0.9691
e 62 | malicious users: 4 | test acc 0.9634 test loss 0.128409 best test_acc 0.9691
e 63 | malicious users: 4 | test acc 0.9589 test loss 0.134983 best test_acc 0.9691
e 64 | malicious users: 3 | test acc 0.9710 test loss 0.103425 best test_acc 0.9710
e 65 | malicious users: 6 | test acc 0.9687 test loss 0.103803 best test_acc 0.9710
e 66 | malicious users: 6 | test acc 0.9611 test loss 0.128237 best test_acc 0.9710
e 67 | malicious users: 8 | test acc 0.9665 test loss 0.121189 best test_acc 0.9710
e 68 | malicious users: 5 | test acc 0.9707 test loss 0.097556 best test_acc 0.9710
e 69 | malicious users: 5 | test acc 0.9687 test loss 0.113166 best test_acc 0.9710
e 70 | malicious users: 5 | test acc 0.9647 test loss 0.114254 best test_acc 0.9710
e 71 | malicious users: 4 | test acc 0.9602 test loss 0.138603 best test_acc 0.9710
e 72 | malicious users: 5 | test acc 0.9632 test loss 0.123759 best test_acc 0.9710
e 73 | malicious users: 6 | test acc 0.9565 test loss 0.141577 best test_acc 0.9710
e 74 | malicious users: 6 | test acc 0.9651 test loss 0.117902 best test_acc 0.9710
e 75 | malicious users: 4 | test acc 0.9685 test loss 0.105231 best test_acc 0.9710
e 76 | malicious users: 3 | test acc 0.9707 test loss 0.097705 best test_acc 0.9710
e 77 | malicious users: 7 | test acc 0.9640 test loss 0.121509 best test_acc 0.9710
e 78 | malicious users: 8 | test acc 0.9578 test loss 0.139854 best test_acc 0.9710
e 79 | malicious users: 3 | test acc 0.9473 test loss 0.174469 best test_acc 0.9710
e 80 | malicious users: 4 | test acc 0.9700 test loss 0.097244 best test_acc 0.9710
e 81 | malicious users: 5 | test acc 0.9714 test loss 0.095178 best test_acc 0.9714
e 82 | malicious users: 8 | test acc 0.9595 test loss 0.143277 best test_acc 0.9714
e 83 | malicious users: 2 | test acc 0.9700 test loss 0.098227 best test_acc 0.9714
e 84 | malicious users: 5 | test acc 0.9715 test loss 0.100171 best test_acc 0.9715
e 85 | malicious users: 4 | test acc 0.9748 test loss 0.082343 best test_acc 0.9748
e 86 | malicious users: 6 | test acc 0.9615 test loss 0.123408 best test_acc 0.9748
e 87 | malicious users: 2 | test acc 0.9709 test loss 0.092141 best test_acc 0.9748
e 88 | malicious users: 7 | test acc 0.9684 test loss 0.104822 best test_acc 0.9748
e 89 | malicious users: 8 | test acc 0.9608 test loss 0.123102 best test_acc 0.9748
e 90 | malicious users: 1 | test acc 0.9744 test loss 0.086989 best test_acc 0.9748
e 91 | malicious users: 7 | test acc 0.9517 test loss 0.150668 best test_acc 0.9748
e 92 | malicious users: 5 | test acc 0.9678 test loss 0.106630 best test_acc 0.9748
e 93 | malicious users: 3 | test acc 0.9734 test loss 0.086196 best test_acc 0.9748
e 94 | malicious users: 4 | test acc 0.9685 test loss 0.097478 best test_acc 0.9748
e 95 | malicious users: 6 | test acc 0.9719 test loss 0.095674 best test_acc 0.9748
e 96 | malicious users: 6 | test acc 0.9718 test loss 0.091600 best test_acc 0.9748
e 97 | malicious users: 7 | test acc 0.9574 test loss 0.137529 best test_acc 0.9748
e 98 | malicious users: 6 | test acc 0.9468 test loss 0.178431 best test_acc 0.9748
e 99 | malicious users: 5 | test acc 0.9280 test loss 0.207076 best test_acc 0.9748
e 100 | malicious users: 4 | test acc 0.9696 test loss 0.102428 best test_acc 0.9748
e 101 | malicious users: 5 | test acc 0.9715 test loss 0.090156 best test_acc 0.9748
e 102 | malicious users: 7 | test acc 0.9608 test loss 0.125004 best test_acc 0.9748
e 103 | malicious users: 5 | test acc 0.9712 test loss 0.086830 best test_acc 0.9748
e 104 | malicious users: 2 | test acc 0.9725 test loss 0.089374 best test_acc 0.9748
e 105 | malicious users: 4 | test acc 0.9737 test loss 0.085765 best test_acc 0.9748
e 106 | malicious users: 2 | test acc 0.9767 test loss 0.077162 best test_acc 0.9767
e 107 | malicious users: 6 | test acc 0.9652 test loss 0.109672 best test_acc 0.9767
e 108 | malicious users: 5 | test acc 0.9721 test loss 0.086285 best test_acc 0.9767
e 109 | malicious users: 6 | test acc 0.9680 test loss 0.108129 best test_acc 0.9767
e 110 | malicious users: 4 | test acc 0.9681 test loss 0.101751 best test_acc 0.9767
e 111 | malicious users: 6 | test acc 0.9646 test loss 0.116567 best test_acc 0.9767
e 112 | malicious users: 5 | test acc 0.9644 test loss 0.113735 best test_acc 0.9767
e 113 | malicious users: 8 | test acc 0.9533 test loss 0.145648 best test_acc 0.9767
e 114 | malicious users: 3 | test acc 0.9663 test loss 0.108575 best test_acc 0.9767
e 115 | malicious users: 10 | test acc 0.9338 test loss 0.215699 best test_acc 0.9767
e 116 | malicious users: 8 | test acc 0.9246 test loss 0.242523 best test_acc 0.9767
e 117 | malicious users: 6 | test acc 0.9501 test loss 0.168734 best test_acc 0.9767
e 118 | malicious users: 6 | test acc 0.9596 test loss 0.131653 best test_acc 0.9767
e 119 | malicious users: 5 | test acc 0.9528 test loss 0.149579 best test_acc 0.9767
e 120 | malicious users: 4 | test acc 0.9653 test loss 0.108772 best test_acc 0.9767
e 121 | malicious users: 6 | test acc 0.9681 test loss 0.114539 best test_acc 0.9767
e 122 | malicious users: 4 | test acc 0.9718 test loss 0.085422 best test_acc 0.9767
e 123 | malicious users: 6 | test acc 0.9715 test loss 0.091440 best test_acc 0.9767
e 124 | malicious users: 7 | test acc 0.9650 test loss 0.109870 best test_acc 0.9767
e 125 | malicious users: 3 | test acc 0.9720 test loss 0.092327 best test_acc 0.9767
e 126 | malicious users: 4 | test acc 0.9753 test loss 0.079620 best test_acc 0.9767
e 127 | malicious users: 5 | test acc 0.9701 test loss 0.101667 best test_acc 0.9767
e 128 | malicious users: 3 | test acc 0.9702 test loss 0.096297 best test_acc 0.9767
e 129 | malicious users: 5 | test acc 0.9746 test loss 0.087528 best test_acc 0.9767
e 130 | malicious users: 5 | test acc 0.9741 test loss 0.084338 best test_acc 0.9767
e 131 | malicious users: 8 | test acc 0.9562 test loss 0.150522 best test_acc 0.9767
e 132 | malicious users: 4 | test acc 0.9726 test loss 0.086444 best test_acc 0.9767
e 133 | malicious users: 4 | test acc 0.9702 test loss 0.091707 best test_acc 0.9767
