#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 10 | test acc 0.4461 test loss 1.820936 best test_acc 0.4461
e 1 | malicious users: 8 | test acc 0.5825 test loss 1.337340 best test_acc 0.5825
e 2 | malicious users: 12 | test acc 0.1373 test loss 6.329213 best test_acc 0.5825
e 3 | malicious users: 9 | test acc 0.3304 test loss 2.068587 best test_acc 0.5825
e 4 | malicious users: 7 | test acc 0.5716 test loss 1.430566 best test_acc 0.5825
e 5 | malicious users: 11 | test acc 0.3472 test loss 1.942623 best test_acc 0.5825
e 6 | malicious users: 8 | test acc 0.6013 test loss 1.818514 best test_acc 0.6013
e 7 | malicious users: 10 | test acc 0.4884 test loss 1.585433 best test_acc 0.6013
e 8 | malicious users: 9 | test acc 0.6213 test loss 1.062846 best test_acc 0.6213
e 9 | malicious users: 5 | test acc 0.7180 test loss 1.168050 best test_acc 0.7180
e 10 | malicious users: 10 | test acc 0.5478 test loss 1.327161 best test_acc 0.7180
e 11 | malicious users: 11 | test acc 0.5412 test loss 1.387732 best test_acc 0.7180
e 12 | malicious users: 7 | test acc 0.7220 test loss 0.931096 best test_acc 0.7220
e 13 | malicious users: 8 | test acc 0.7916 test loss 0.708139 best test_acc 0.7916
e 14 | malicious users: 3 | test acc 0.7026 test loss 0.793707 best test_acc 0.7916
e 15 | malicious users: 10 | test acc 0.6736 test loss 1.051495 best test_acc 0.7916
e 16 | malicious users: 10 | test acc 0.5838 test loss 1.181316 best test_acc 0.7916
e 17 | malicious users: 11 | test acc 0.5030 test loss 1.601440 best test_acc 0.7916
e 18 | malicious users: 7 | test acc 0.7259 test loss 0.854752 best test_acc 0.7916
e 19 | malicious users: 9 | test acc 0.6274 test loss 1.138658 best test_acc 0.7916
e 20 | malicious users: 4 | test acc 0.7919 test loss 0.659320 best test_acc 0.7919
e 21 | malicious users: 9 | test acc 0.6413 test loss 1.049797 best test_acc 0.7919
e 22 | malicious users: 9 | test acc 0.6560 test loss 1.091180 best test_acc 0.7919
e 23 | malicious users: 8 | test acc 0.7908 test loss 0.627680 best test_acc 0.7919
e 24 | malicious users: 6 | test acc 0.7641 test loss 0.654715 best test_acc 0.7919
e 25 | malicious users: 8 | test acc 0.8399 test loss 0.500216 best test_acc 0.8399
e 26 | malicious users: 9 | test acc 0.7660 test loss 0.669681 best test_acc 0.8399
e 27 | malicious users: 11 | test acc 0.6051 test loss 1.187923 best test_acc 0.8399
e 28 | malicious users: 8 | test acc 0.7101 test loss 0.816383 best test_acc 0.8399
e 29 | malicious users: 8 | test acc 0.8319 test loss 0.564381 best test_acc 0.8399
e 30 | malicious users: 9 | test acc 0.8347 test loss 0.502088 best test_acc 0.8399
e 31 | malicious users: 7 | test acc 0.7976 test loss 0.595298 best test_acc 0.8399
e 32 | malicious users: 6 | test acc 0.8917 test loss 0.338528 best test_acc 0.8917
e 33 | malicious users: 11 | test acc 0.5621 test loss 1.378066 best test_acc 0.8917
e 34 | malicious users: 6 | test acc 0.8388 test loss 0.524134 best test_acc 0.8917
e 35 | malicious users: 9 | test acc 0.5825 test loss 1.273157 best test_acc 0.8917
e 36 | malicious users: 9 | test acc 0.8164 test loss 0.661647 best test_acc 0.8917
e 37 | malicious users: 6 | test acc 0.8734 test loss 0.413999 best test_acc 0.8917
e 38 | malicious users: 6 | test acc 0.8852 test loss 0.385217 best test_acc 0.8917
e 39 | malicious users: 9 | test acc 0.8366 test loss 0.531580 best test_acc 0.8917
e 40 | malicious users: 4 | test acc 0.8698 test loss 0.418637 best test_acc 0.8917
e 41 | malicious users: 8 | test acc 0.8561 test loss 0.446318 best test_acc 0.8917
e 42 | malicious users: 4 | test acc 0.8341 test loss 0.493188 best test_acc 0.8917
e 43 | malicious users: 7 | test acc 0.9003 test loss 0.359141 best test_acc 0.9003
