
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.6011 test loss 2.012778 best test_acc 0.6011
e 1 | malicious users: 5 | test acc 0.5919 test loss 1.769073 best test_acc 0.6011
e 2 | malicious users: 4 | test acc 0.7422 test loss 1.589373 best test_acc 0.7422
e 3 | malicious users: 2 | test acc 0.6770 test loss 0.956499 best test_acc 0.7422
e 4 | malicious users: 1 | test acc 0.8094 test loss 0.677364 best test_acc 0.8094
e 5 | malicious users: 1 | test acc 0.8102 test loss 0.639471 best test_acc 0.8102
e 6 | malicious users: 1 | test acc 0.8582 test loss 0.540340 best test_acc 0.8582
e 7 | malicious users: 0 | test acc 0.8847 test loss 0.511169 best test_acc 0.8847
e 8 | malicious users: 1 | test acc 0.9025 test loss 0.430925 best test_acc 0.9025
e 9 | malicious users: 1 | test acc 0.8802 test loss 0.481898 best test_acc 0.9025
e 10 | malicious users: 1 | test acc 0.9076 test loss 0.349209 best test_acc 0.9076
e 11 | malicious users: 0 | test acc 0.8899 test loss 0.477349 best test_acc 0.9076
e 12 | malicious users: 4 | test acc 0.9055 test loss 0.543425 best test_acc 0.9076
e 13 | malicious users: 3 | test acc 0.9095 test loss 0.396305 best test_acc 0.9095
e 14 | malicious users: 3 | test acc 0.9178 test loss 0.385334 best test_acc 0.9178
e 15 | malicious users: 2 | test acc 0.8361 test loss 0.531972 best test_acc 0.9178
e 16 | malicious users: 1 | test acc 0.8908 test loss 0.411678 best test_acc 0.9178
e 17 | malicious users: 2 | test acc 0.9203 test loss 0.327133 best test_acc 0.9203
e 18 | malicious users: 4 | test acc 0.9228 test loss 0.388913 best test_acc 0.9228
e 19 | malicious users: 3 | test acc 0.9173 test loss 0.386101 best test_acc 0.9228
e 20 | malicious users: 2 | test acc 0.9325 test loss 0.270395 best test_acc 0.9325
e 21 | malicious users: 1 | test acc 0.8549 test loss 0.490154 best test_acc 0.9325
e 22 | malicious users: 1 | test acc 0.9265 test loss 0.298374 best test_acc 0.9325
e 23 | malicious users: 2 | test acc 0.9327 test loss 0.337807 best test_acc 0.9327
e 24 | malicious users: 2 | test acc 0.8788 test loss 0.414294 best test_acc 0.9327
e 25 | malicious users: 3 | test acc 0.9303 test loss 0.381030 best test_acc 0.9327
e 26 | malicious users: 3 | test acc 0.9334 test loss 0.424656 best test_acc 0.9334
e 27 | malicious users: 1 | test acc 0.9308 test loss 0.276904 best test_acc 0.9334
e 28 | malicious users: 1 | test acc 0.9304 test loss 0.287796 best test_acc 0.9334
