
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 9 | test acc 0.3300 test loss 2.201816 best test_acc 0.3300
e 1 | malicious users: 7 | test acc 0.6561 test loss 1.689095 best test_acc 0.6561
e 2 | malicious users: 6 | test acc 0.6103 test loss 2.058864 best test_acc 0.6561
e 3 | malicious users: 7 | test acc 0.7023 test loss 1.442579 best test_acc 0.7023
e 4 | malicious users: 5 | test acc 0.6923 test loss 1.231577 best test_acc 0.7023
e 5 | malicious users: 12 | test acc 0.7070 test loss 1.984304 best test_acc 0.7070
e 6 | malicious users: 11 | test acc 0.6720 test loss 1.946105 best test_acc 0.7070
e 7 | malicious users: 5 | test acc 0.6700 test loss 1.721335 best test_acc 0.7070
e 8 | malicious users: 7 | test acc 0.7346 test loss 1.725550 best test_acc 0.7346
e 9 | malicious users: 6 | test acc 0.7349 test loss 1.520142 best test_acc 0.7349
e 10 | malicious users: 10 | test acc 0.6047 test loss 1.805741 best test_acc 0.7349
e 11 | malicious users: 5 | test acc 0.7041 test loss 1.709390 best test_acc 0.7349
e 12 | malicious users: 8 | test acc 0.6878 test loss 1.547119 best test_acc 0.7349
e 13 | malicious users: 8 | test acc 0.7266 test loss 1.581427 best test_acc 0.7349
e 14 | malicious users: 5 | test acc 0.7878 test loss 1.120125 best test_acc 0.7878
e 15 | malicious users: 10 | test acc 0.8054 test loss 1.431872 best test_acc 0.8054
e 16 | malicious users: 6 | test acc 0.7958 test loss 1.299399 best test_acc 0.8054
e 17 | malicious users: 10 | test acc 0.7197 test loss 1.411142 best test_acc 0.8054
e 18 | malicious users: 5 | test acc 0.8199 test loss 1.292476 best test_acc 0.8199
e 19 | malicious users: 5 | test acc 0.8213 test loss 0.786640 best test_acc 0.8213
e 20 | malicious users: 10 | test acc 0.7557 test loss 1.451200 best test_acc 0.8213
e 21 | malicious users: 7 | test acc 0.7911 test loss 1.454674 best test_acc 0.8213
e 22 | malicious users: 6 | test acc 0.7711 test loss 0.927239 best test_acc 0.8213
e 23 | malicious users: 6 | test acc 0.8193 test loss 1.033547 best test_acc 0.8213
e 24 | malicious users: 10 | test acc 0.8068 test loss 1.429661 best test_acc 0.8213
e 25 | malicious users: 7 | test acc 0.8318 test loss 1.400399 best test_acc 0.8318
e 26 | malicious users: 7 | test acc 0.8120 test loss 1.135736 best test_acc 0.8318
e 27 | malicious users: 12 | test acc 0.7809 test loss 1.606309 best test_acc 0.8318
e 28 | malicious users: 6 | test acc 0.7297 test loss 1.480420 best test_acc 0.8318
e 29 | malicious users: 6 | test acc 0.8043 test loss 1.327070 best test_acc 0.8318
e 30 | malicious users: 9 | test acc 0.7766 test loss 1.250729 best test_acc 0.8318
e 31 | malicious users: 7 | test acc 0.7749 test loss 1.253514 best test_acc 0.8318
