#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.4801 test loss 2.046919 best test_acc 0.4801
e 1 | malicious users: 4 | test acc 0.6498 test loss 1.413960 best test_acc 0.6498
e 2 | malicious users: 0 | test acc 0.7431 test loss 1.241760 best test_acc 0.7431
e 3 | malicious users: 2 | test acc 0.7743 test loss 0.917530 best test_acc 0.7743
e 4 | malicious users: 3 | test acc 0.8014 test loss 0.809072 best test_acc 0.8014
e 5 | malicious users: 3 | test acc 0.8066 test loss 0.618677 best test_acc 0.8066
e 6 | malicious users: 2 | test acc 0.8257 test loss 0.707094 best test_acc 0.8257
e 7 | malicious users: 1 | test acc 0.8788 test loss 0.445855 best test_acc 0.8788
e 8 | malicious users: 6 | test acc 0.7896 test loss 0.645281 best test_acc 0.8788
e 9 | malicious users: 4 | test acc 0.8362 test loss 0.599794 best test_acc 0.8788
e 10 | malicious users: 4 | test acc 0.8912 test loss 0.411910 best test_acc 0.8912
e 11 | malicious users: 2 | test acc 0.8243 test loss 0.550369 best test_acc 0.8912
e 12 | malicious users: 2 | test acc 0.8709 test loss 0.432259 best test_acc 0.8912
e 13 | malicious users: 2 | test acc 0.8389 test loss 0.460853 best test_acc 0.8912
e 14 | malicious users: 4 | test acc 0.9160 test loss 0.323552 best test_acc 0.9160
e 15 | malicious users: 2 | test acc 0.8457 test loss 0.495404 best test_acc 0.9160
e 16 | malicious users: 3 | test acc 0.8781 test loss 0.384007 best test_acc 0.9160
e 17 | malicious users: 4 | test acc 0.9252 test loss 0.301133 best test_acc 0.9252
e 18 | malicious users: 3 | test acc 0.9214 test loss 0.322020 best test_acc 0.9252
e 19 | malicious users: 4 | test acc 0.9346 test loss 0.239901 best test_acc 0.9346
e 20 | malicious users: 2 | test acc 0.9321 test loss 0.314915 best test_acc 0.9346
e 21 | malicious users: 2 | test acc 0.9087 test loss 0.342685 best test_acc 0.9346
