#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 8 | test acc 0.4599 test loss 2.102306 best test_acc 0.4599
e 1 | malicious users: 10 | test acc 0.6102 test loss 1.763293 best test_acc 0.6102
e 2 | malicious users: 6 | test acc 0.7325 test loss 1.399903 best test_acc 0.7325
e 3 | malicious users: 5 | test acc 0.5979 test loss 1.569141 best test_acc 0.7325
e 4 | malicious users: 8 | test acc 0.7136 test loss 0.982327 best test_acc 0.7325
e 5 | malicious users: 8 | test acc 0.7611 test loss 1.289396 best test_acc 0.7611
e 6 | malicious users: 4 | test acc 0.7685 test loss 0.767474 best test_acc 0.7685
e 7 | malicious users: 7 | test acc 0.8277 test loss 0.726174 best test_acc 0.8277
e 8 | malicious users: 10 | test acc 0.7503 test loss 0.976392 best test_acc 0.8277
e 9 | malicious users: 7 | test acc 0.7614 test loss 0.844743 best test_acc 0.8277
e 10 | malicious users: 11 | test acc 0.8159 test loss 0.895678 best test_acc 0.8277
e 11 | malicious users: 7 | test acc 0.8487 test loss 0.758712 best test_acc 0.8487
e 12 | malicious users: 9 | test acc 0.8942 test loss 0.677438 best test_acc 0.8942
e 13 | malicious users: 7 | test acc 0.8859 test loss 0.551968 best test_acc 0.8942
e 14 | malicious users: 10 | test acc 0.8803 test loss 0.667808 best test_acc 0.8942
e 15 | malicious users: 9 | test acc 0.8946 test loss 0.640284 best test_acc 0.8946
e 16 | malicious users: 8 | test acc 0.8461 test loss 0.739951 best test_acc 0.8946
e 17 | malicious users: 9 | test acc 0.8860 test loss 0.613976 best test_acc 0.8946
e 18 | malicious users: 6 | test acc 0.8977 test loss 0.387522 best test_acc 0.8977
e 19 | malicious users: 8 | test acc 0.8572 test loss 0.628308 best test_acc 0.8977
e 20 | malicious users: 8 | test acc 0.8695 test loss 0.703793 best test_acc 0.8977
e 21 | malicious users: 11 | test acc 0.8789 test loss 0.757123 best test_acc 0.8977
e 22 | malicious users: 5 | test acc 0.9120 test loss 0.430439 best test_acc 0.9120
e 23 | malicious users: 9 | test acc 0.8655 test loss 0.561999 best test_acc 0.9120
e 24 | malicious users: 9 | test acc 0.8838 test loss 0.640900 best test_acc 0.9120
e 25 | malicious users: 4 | test acc 0.9000 test loss 0.354956 best test_acc 0.9120
e 26 | malicious users: 11 | test acc 0.8817 test loss 0.680195 best test_acc 0.9120
e 27 | malicious users: 8 | test acc 0.9115 test loss 0.526989 best test_acc 0.9120
e 28 | malicious users: 8 | test acc 0.8703 test loss 0.615736 best test_acc 0.9120
e 29 | malicious users: 8 | test acc 0.9136 test loss 0.453207 best test_acc 0.9136
e 30 | malicious users: 9 | test acc 0.8815 test loss 0.558641 best test_acc 0.9136
e 31 | malicious users: 7 | test acc 0.9041 test loss 0.446861 best test_acc 0.9136
e 32 | malicious users: 10 | test acc 0.8853 test loss 0.600052 best test_acc 0.9136
e 33 | malicious users: 8 | test acc 0.9124 test loss 0.394635 best test_acc 0.9136
e 34 | malicious users: 9 | test acc 0.9135 test loss 0.555311 best test_acc 0.9136
e 35 | malicious users: 8 | test acc 0.8884 test loss 0.475271 best test_acc 0.9136
e 36 | malicious users: 5 | test acc 0.9253 test loss 0.376370 best test_acc 0.9253
e 37 | malicious users: 9 | test acc 0.8970 test loss 0.547036 best test_acc 0.9253
e 38 | malicious users: 8 | test acc 0.9172 test loss 0.499698 best test_acc 0.9253
e 39 | malicious users: 8 | test acc 0.8830 test loss 0.461119 best test_acc 0.9253
e 40 | malicious users: 7 | test acc 0.9020 test loss 0.422462 best test_acc 0.9253
e 41 | malicious users: 9 | test acc 0.9093 test loss 0.505755 best test_acc 0.9253
e 42 | malicious users: 6 | test acc 0.9214 test loss 0.349068 best test_acc 0.9253
e 43 | malicious users: 10 | test acc 0.8210 test loss 0.720955 best test_acc 0.9253
e 44 | malicious users: 7 | test acc 0.9055 test loss 0.404512 best test_acc 0.9253
e 45 | malicious users: 8 | test acc 0.8868 test loss 0.614801 best test_acc 0.9253
e 46 | malicious users: 7 | test acc 0.9183 test loss 0.392180 best test_acc 0.9253
e 47 | malicious users: 7 | test acc 0.9039 test loss 0.408050 best test_acc 0.9253
e 48 | malicious users: 11 | test acc 0.9217 test loss 0.531408 best test_acc 0.9253
e 49 | malicious users: 6 | test acc 0.9138 test loss 0.367940 best test_acc 0.9253
e 50 | malicious users: 5 | test acc 0.9276 test loss 0.379831 best test_acc 0.9276
e 51 | malicious users: 10 | test acc 0.9284 test loss 0.397477 best test_acc 0.9284
e 52 | malicious users: 8 | test acc 0.9134 test loss 0.367015 best test_acc 0.9284
e 53 | malicious users: 5 | test acc 0.9274 test loss 0.386996 best test_acc 0.9284
e 54 | malicious users: 8 | test acc 0.9254 test loss 0.324548 best test_acc 0.9284
e 55 | malicious users: 10 | test acc 0.9276 test loss 0.585832 best test_acc 0.9284
e 56 | malicious users: 6 | test acc 0.9222 test loss 0.346703 best test_acc 0.9284
e 57 | malicious users: 8 | test acc 0.9183 test loss 0.385558 best test_acc 0.9284
e 58 | malicious users: 10 | test acc 0.8987 test loss 0.598663 best test_acc 0.9284
e 59 | malicious users: 6 | test acc 0.8943 test loss 0.572414 best test_acc 0.9284
e 60 | malicious users: 12 | test acc 0.8875 test loss 0.613308 best test_acc 0.9284
e 61 | malicious users: 5 | test acc 0.9265 test loss 0.366579 best test_acc 0.9284
e 62 | malicious users: 6 | test acc 0.8543 test loss 0.530771 best test_acc 0.9284
e 63 | malicious users: 9 | test acc 0.8860 test loss 0.453446 best test_acc 0.9284
e 64 | malicious users: 11 | test acc 0.8936 test loss 0.712033 best test_acc 0.9284
e 65 | malicious users: 7 | test acc 0.9214 test loss 0.509399 best test_acc 0.9284
e 66 | malicious users: 5 | test acc 0.8764 test loss 0.363951 best test_acc 0.9284
e 67 | malicious users: 9 | test acc 0.8799 test loss 0.566474 best test_acc 0.9284
e 68 | malicious users: 5 | test acc 0.9311 test loss 0.290889 best test_acc 0.9311
e 69 | malicious users: 11 | test acc 0.9069 test loss 0.557576 best test_acc 0.9311
e 70 | malicious users: 7 | test acc 0.9271 test loss 0.378699 best test_acc 0.9311
e 71 | malicious users: 11 | test acc 0.9278 test loss 0.451760 best test_acc 0.9311
e 72 | malicious users: 5 | test acc 0.9245 test loss 0.327932 best test_acc 0.9311
e 73 | malicious users: 7 | test acc 0.9180 test loss 0.380955 best test_acc 0.9311
e 74 | malicious users: 8 | test acc 0.9180 test loss 0.383255 best test_acc 0.9311
e 75 | malicious users: 5 | test acc 0.9240 test loss 0.353223 best test_acc 0.9311
e 76 | malicious users: 10 | test acc 0.9223 test loss 0.625010 best test_acc 0.9311
e 77 | malicious users: 3 | test acc 0.9368 test loss 0.239691 best test_acc 0.9368
e 78 | malicious users: 8 | test acc 0.9128 test loss 0.410292 best test_acc 0.9368
e 79 | malicious users: 5 | test acc 0.9299 test loss 0.294987 best test_acc 0.9368
e 80 | malicious users: 7 | test acc 0.9297 test loss 0.369723 best test_acc 0.9368
e 81 | malicious users: 2 | test acc 0.8884 test loss 0.356797 best test_acc 0.9368
e 82 | malicious users: 11 | test acc 0.9164 test loss 0.571817 best test_acc 0.9368
e 83 | malicious users: 6 | test acc 0.9352 test loss 0.324676 best test_acc 0.9368
e 84 | malicious users: 8 | test acc 0.8813 test loss 0.488971 best test_acc 0.9368
e 85 | malicious users: 9 | test acc 0.9276 test loss 0.447516 best test_acc 0.9368
e 86 | malicious users: 7 | test acc 0.9142 test loss 0.398454 best test_acc 0.9368
e 87 | malicious users: 8 | test acc 0.9170 test loss 0.440526 best test_acc 0.9368
e 88 | malicious users: 9 | test acc 0.9317 test loss 0.383311 best test_acc 0.9368
e 89 | malicious users: 5 | test acc 0.9132 test loss 0.353791 best test_acc 0.9368
e 90 | malicious users: 7 | test acc 0.9229 test loss 0.376231 best test_acc 0.9368
e 91 | malicious users: 5 | test acc 0.9340 test loss 0.275109 best test_acc 0.9368
e 92 | malicious users: 11 | test acc 0.8938 test loss 0.573037 best test_acc 0.9368
e 93 | malicious users: 7 | test acc 0.9251 test loss 0.319352 best test_acc 0.9368
e 94 | malicious users: 3 | test acc 0.9329 test loss 0.321853 best test_acc 0.9368
e 95 | malicious users: 6 | test acc 0.9360 test loss 0.271294 best test_acc 0.9368
e 96 | malicious users: 6 | test acc 0.9248 test loss 0.348545 best test_acc 0.9368
e 97 | malicious users: 5 | test acc 0.9414 test loss 0.242368 best test_acc 0.9414
e 98 | malicious users: 9 | test acc 0.9322 test loss 0.456118 best test_acc 0.9414
e 99 | malicious users: 6 | test acc 0.9406 test loss 0.282888 best test_acc 0.9414
e 100 | malicious users: 6 | test acc 0.8933 test loss 0.347624 best test_acc 0.9414
e 101 | malicious users: 9 | test acc 0.9252 test loss 0.475176 best test_acc 0.9414
e 102 | malicious users: 5 | test acc 0.9360 test loss 0.266271 best test_acc 0.9414
e 103 | malicious users: 9 | test acc 0.8574 test loss 0.578049 best test_acc 0.9414
e 104 | malicious users: 6 | test acc 0.9313 test loss 0.306030 best test_acc 0.9414
e 105 | malicious users: 7 | test acc 0.9188 test loss 0.370421 best test_acc 0.9414
e 106 | malicious users: 8 | test acc 0.9363 test loss 0.321344 best test_acc 0.9414
e 107 | malicious users: 7 | test acc 0.9357 test loss 0.353094 best test_acc 0.9414
e 108 | malicious users: 6 | test acc 0.9343 test loss 0.290832 best test_acc 0.9414
e 109 | malicious users: 9 | test acc 0.9381 test loss 0.383172 best test_acc 0.9414
e 110 | malicious users: 9 | test acc 0.9187 test loss 0.435909 best test_acc 0.9414
e 111 | malicious users: 7 | test acc 0.9235 test loss 0.350443 best test_acc 0.9414
e 112 | malicious users: 10 | test acc 0.9358 test loss 0.403710 best test_acc 0.9414
e 113 | malicious users: 9 | test acc 0.9260 test loss 0.378617 best test_acc 0.9414
e 114 | malicious users: 4 | test acc 0.9353 test loss 0.296088 best test_acc 0.9414
e 115 | malicious users: 7 | test acc 0.9339 test loss 0.291373 best test_acc 0.9414
e 116 | malicious users: 7 | test acc 0.9269 test loss 0.381642 best test_acc 0.9414
e 117 | malicious users: 6 | test acc 0.9362 test loss 0.273335 best test_acc 0.9414
e 118 | malicious users: 7 | test acc 0.9125 test loss 0.405324 best test_acc 0.9414
e 119 | malicious users: 8 | test acc 0.9146 test loss 0.354116 best test_acc 0.9414
e 120 | malicious users: 9 | test acc 0.9073 test loss 0.509711 best test_acc 0.9414
e 121 | malicious users: 7 | test acc 0.9230 test loss 0.329180 best test_acc 0.9414
e 122 | malicious users: 3 | test acc 0.9093 test loss 0.338370 best test_acc 0.9414
e 123 | malicious users: 5 | test acc 0.9234 test loss 0.367813 best test_acc 0.9414
e 124 | malicious users: 8 | test acc 0.9428 test loss 0.257726 best test_acc 0.9428
e 125 | malicious users: 10 | test acc 0.9309 test loss 0.408224 best test_acc 0.9428
e 126 | malicious users: 5 | test acc 0.9315 test loss 0.295336 best test_acc 0.9428
e 127 | malicious users: 2 | test acc 0.9398 test loss 0.234869 best test_acc 0.9428
e 128 | malicious users: 6 | test acc 0.9232 test loss 0.380619 best test_acc 0.9428
e 129 | malicious users: 6 | test acc 0.9425 test loss 0.296921 best test_acc 0.9428
e 130 | malicious users: 6 | test acc 0.9201 test loss 0.372690 best test_acc 0.9428
e 131 | malicious users: 9 | test acc 0.9219 test loss 0.439667 best test_acc 0.9428
e 132 | malicious users: 9 | test acc 0.9326 test loss 0.368030 best test_acc 0.9428
e 133 | malicious users: 6 | test acc 0.9223 test loss 0.294765 best test_acc 0.9428
e 134 | malicious users: 8 | test acc 0.9329 test loss 0.314524 best test_acc 0.9428
e 135 | malicious users: 7 | test acc 0.9222 test loss 0.382791 best test_acc 0.9428
e 136 | malicious users: 4 | test acc 0.9356 test loss 0.273538 best test_acc 0.9428
e 137 | malicious users: 8 | test acc 0.8623 test loss 0.426274 best test_acc 0.9428
e 138 | malicious users: 6 | test acc 0.9389 test loss 0.277416 best test_acc 0.9428
e 139 | malicious users: 9 | test acc 0.9388 test loss 0.360314 best test_acc 0.9428
e 140 | malicious users: 7 | test acc 0.9371 test loss 0.309922 best test_acc 0.9428
e 141 | malicious users: 8 | test acc 0.9364 test loss 0.377281 best test_acc 0.9428
e 142 | malicious users: 10 | test acc 0.9310 test loss 0.332868 best test_acc 0.9428
e 143 | malicious users: 5 | test acc 0.9277 test loss 0.291682 best test_acc 0.9428
e 144 | malicious users: 11 | test acc 0.9130 test loss 0.637485 best test_acc 0.9428
e 145 | malicious users: 5 | test acc 0.9027 test loss 0.387297 best test_acc 0.9428
e 146 | malicious users: 10 | test acc 0.9031 test loss 0.491120 best test_acc 0.9428
e 147 | malicious users: 8 | test acc 0.9254 test loss 0.378887 best test_acc 0.9428
e 148 | malicious users: 8 | test acc 0.9342 test loss 0.356525 best test_acc 0.9428
e 149 | malicious users: 6 | test acc 0.9372 test loss 0.275157 best test_acc 0.9428
e 150 | malicious users: 4 | test acc 0.9325 test loss 0.307650 best test_acc 0.9428
e 151 | malicious users: 9 | test acc 0.9375 test loss 0.390455 best test_acc 0.9428
