
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.3585 test loss 2.208125 best test_acc 0.3585
e 1 | malicious users: 0 | test acc 0.4968 test loss 2.016661 best test_acc 0.4968
e 2 | malicious users: 0 | test acc 0.5017 test loss 1.768320 best test_acc 0.5017
e 3 | malicious users: 0 | test acc 0.6467 test loss 1.587914 best test_acc 0.6467
e 4 | malicious users: 0 | test acc 0.6712 test loss 1.376651 best test_acc 0.6712
e 5 | malicious users: 0 | test acc 0.6594 test loss 1.107124 best test_acc 0.6712
e 6 | malicious users: 0 | test acc 0.6814 test loss 0.988641 best test_acc 0.6814
e 7 | malicious users: 0 | test acc 0.7390 test loss 0.864954 best test_acc 0.7390
e 8 | malicious users: 0 | test acc 0.7784 test loss 0.801444 best test_acc 0.7784
e 9 | malicious users: 0 | test acc 0.7892 test loss 0.771196 best test_acc 0.7892
e 10 | malicious users: 0 | test acc 0.7587 test loss 0.827281 best test_acc 0.7892
e 11 | malicious users: 0 | test acc 0.8367 test loss 0.625640 best test_acc 0.8367
e 12 | malicious users: 0 | test acc 0.8450 test loss 0.624844 best test_acc 0.8450
e 13 | malicious users: 0 | test acc 0.7907 test loss 0.657217 best test_acc 0.8450
e 14 | malicious users: 0 | test acc 0.8764 test loss 0.460417 best test_acc 0.8764
e 15 | malicious users: 0 | test acc 0.8195 test loss 0.622333 best test_acc 0.8764
e 16 | malicious users: 0 | test acc 0.7904 test loss 0.679659 best test_acc 0.8764
e 17 | malicious users: 0 | test acc 0.8336 test loss 0.611413 best test_acc 0.8764
e 18 | malicious users: 0 | test acc 0.8955 test loss 0.439795 best test_acc 0.8955
e 19 | malicious users: 0 | test acc 0.8277 test loss 0.604521 best test_acc 0.8955
e 20 | malicious users: 0 | test acc 0.9037 test loss 0.379108 best test_acc 0.9037
e 21 | malicious users: 0 | test acc 0.8857 test loss 0.528536 best test_acc 0.9037
e 22 | malicious users: 0 | test acc 0.8659 test loss 0.451235 best test_acc 0.9037
e 23 | malicious users: 0 | test acc 0.8166 test loss 0.608019 best test_acc 0.9037
e 24 | malicious users: 0 | test acc 0.9252 test loss 0.455949 best test_acc 0.9252
e 25 | malicious users: 0 | test acc 0.8800 test loss 0.475228 best test_acc 0.9252
e 26 | malicious users: 0 | test acc 0.9062 test loss 0.502198 best test_acc 0.9252
e 27 | malicious users: 0 | test acc 0.9098 test loss 0.410521 best test_acc 0.9252
e 28 | malicious users: 0 | test acc 0.8700 test loss 0.415985 best test_acc 0.9252
e 29 | malicious users: 0 | test acc 0.8243 test loss 0.520153 best test_acc 0.9252
e 30 | malicious users: 0 | test acc 0.8946 test loss 0.435592 best test_acc 0.9252
e 31 | malicious users: 0 | test acc 0.7087 test loss 0.805011 best test_acc 0.9252
e 32 | malicious users: 0 | test acc 0.8497 test loss 0.495863 best test_acc 0.9252
e 33 | malicious users: 0 | test acc 0.8977 test loss 0.392928 best test_acc 0.9252
e 34 | malicious users: 0 | test acc 0.7420 test loss 0.697736 best test_acc 0.9252
e 35 | malicious users: 0 | test acc 0.9226 test loss 0.368880 best test_acc 0.9252
e 36 | malicious users: 0 | test acc 0.7888 test loss 0.630142 best test_acc 0.9252
e 37 | malicious users: 0 | test acc 0.9183 test loss 0.406750 best test_acc 0.9252
e 38 | malicious users: 0 | test acc 0.9340 test loss 0.299832 best test_acc 0.9340
e 39 | malicious users: 0 | test acc 0.8579 test loss 0.441354 best test_acc 0.9340
e 40 | malicious users: 0 | test acc 0.8941 test loss 0.503793 best test_acc 0.9340
e 41 | malicious users: 0 | test acc 0.9248 test loss 0.293366 best test_acc 0.9340
e 42 | malicious users: 0 | test acc 0.8340 test loss 0.472715 best test_acc 0.9340
e 43 | malicious users: 0 | test acc 0.8535 test loss 0.467174 best test_acc 0.9340
e 44 | malicious users: 0 | test acc 0.8182 test loss 0.541517 best test_acc 0.9340
e 45 | malicious users: 0 | test acc 0.8988 test loss 0.378883 best test_acc 0.9340
e 46 | malicious users: 0 | test acc 0.9017 test loss 0.347281 best test_acc 0.9340
e 47 | malicious users: 0 | test acc 0.8835 test loss 0.458667 best test_acc 0.9340
e 48 | malicious users: 0 | test acc 0.8754 test loss 0.395601 best test_acc 0.9340
e 49 | malicious users: 0 | test acc 0.9243 test loss 0.385901 best test_acc 0.9340
e 50 | malicious users: 0 | test acc 0.9354 test loss 0.261994 best test_acc 0.9354
e 51 | malicious users: 0 | test acc 0.8668 test loss 0.472033 best test_acc 0.9354
e 52 | malicious users: 0 | test acc 0.8564 test loss 0.632223 best test_acc 0.9354
e 53 | malicious users: 0 | test acc 0.9430 test loss 0.224041 best test_acc 0.9430
e 54 | malicious users: 0 | test acc 0.8535 test loss 0.616011 best test_acc 0.9430
e 55 | malicious users: 0 | test acc 0.8564 test loss 0.405287 best test_acc 0.9430
e 56 | malicious users: 0 | test acc 0.8703 test loss 0.403092 best test_acc 0.9430
e 57 | malicious users: 0 | test acc 0.9174 test loss 0.464534 best test_acc 0.9430
e 58 | malicious users: 0 | test acc 0.9372 test loss 0.269423 best test_acc 0.9430
e 59 | malicious users: 0 | test acc 0.8715 test loss 0.556296 best test_acc 0.9430
e 60 | malicious users: 0 | test acc 0.9429 test loss 0.227565 best test_acc 0.9430
e 61 | malicious users: 0 | test acc 0.8510 test loss 0.444027 best test_acc 0.9430
e 62 | malicious users: 0 | test acc 0.9252 test loss 0.317751 best test_acc 0.9430
e 63 | malicious users: 0 | test acc 0.9124 test loss 0.309854 best test_acc 0.9430
e 64 | malicious users: 0 | test acc 0.9201 test loss 0.339465 best test_acc 0.9430
e 65 | malicious users: 0 | test acc 0.9217 test loss 0.357764 best test_acc 0.9430
e 66 | malicious users: 0 | test acc 0.9122 test loss 0.355640 best test_acc 0.9430
e 67 | malicious users: 0 | test acc 0.9255 test loss 0.310690 best test_acc 0.9430
e 68 | malicious users: 0 | test acc 0.9277 test loss 0.373909 best test_acc 0.9430
e 69 | malicious users: 0 | test acc 0.9161 test loss 0.390231 best test_acc 0.9430
e 70 | malicious users: 0 | test acc 0.8356 test loss 0.528632 best test_acc 0.9430
e 71 | malicious users: 0 | test acc 0.8350 test loss 0.451146 best test_acc 0.9430
e 72 | malicious users: 0 | test acc 0.8828 test loss 0.453506 best test_acc 0.9430
e 73 | malicious users: 0 | test acc 0.8702 test loss 0.470193 best test_acc 0.9430
e 74 | malicious users: 0 | test acc 0.9416 test loss 0.266181 best test_acc 0.9430
e 75 | malicious users: 0 | test acc 0.9139 test loss 0.325740 best test_acc 0.9430
e 76 | malicious users: 0 | test acc 0.9052 test loss 0.352059 best test_acc 0.9430
e 77 | malicious users: 0 | test acc 0.9072 test loss 0.469190 best test_acc 0.9430
e 78 | malicious users: 0 | test acc 0.9433 test loss 0.233776 best test_acc 0.9433
e 79 | malicious users: 0 | test acc 0.8800 test loss 0.374704 best test_acc 0.9433
e 80 | malicious users: 0 | test acc 0.9307 test loss 0.284831 best test_acc 0.9433
e 81 | malicious users: 0 | test acc 0.8118 test loss 0.536648 best test_acc 0.9433
e 82 | malicious users: 0 | test acc 0.8983 test loss 0.346236 best test_acc 0.9433
e 83 | malicious users: 0 | test acc 0.9433 test loss 0.239791 best test_acc 0.9433
e 84 | malicious users: 0 | test acc 0.9335 test loss 0.329613 best test_acc 0.9433
e 85 | malicious users: 0 | test acc 0.9139 test loss 0.382573 best test_acc 0.9433
e 86 | malicious users: 0 | test acc 0.8833 test loss 0.412260 best test_acc 0.9433
e 87 | malicious users: 0 | test acc 0.9419 test loss 0.356053 best test_acc 0.9433
e 88 | malicious users: 0 | test acc 0.9297 test loss 0.297585 best test_acc 0.9433
e 89 | malicious users: 0 | test acc 0.8787 test loss 0.430836 best test_acc 0.9433
e 90 | malicious users: 0 | test acc 0.9057 test loss 0.313266 best test_acc 0.9433
e 91 | malicious users: 0 | test acc 0.9360 test loss 0.261154 best test_acc 0.9433
e 92 | malicious users: 0 | test acc 0.8795 test loss 0.388948 best test_acc 0.9433
e 93 | malicious users: 0 | test acc 0.9540 test loss 0.196408 best test_acc 0.9540
e 94 | malicious users: 0 | test acc 0.9202 test loss 0.424540 best test_acc 0.9540
e 95 | malicious users: 0 | test acc 0.9536 test loss 0.179062 best test_acc 0.9540
e 96 | malicious users: 0 | test acc 0.8679 test loss 0.520706 best test_acc 0.9540
e 97 | malicious users: 0 | test acc 0.9457 test loss 0.220180 best test_acc 0.9540
e 98 | malicious users: 0 | test acc 0.9380 test loss 0.291970 best test_acc 0.9540
e 99 | malicious users: 0 | test acc 0.8284 test loss 0.581805 best test_acc 0.9540
e 100 | malicious users: 0 | test acc 0.9443 test loss 0.260574 best test_acc 0.9540
e 101 | malicious users: 0 | test acc 0.9300 test loss 0.320435 best test_acc 0.9540
e 102 | malicious users: 0 | test acc 0.9014 test loss 0.338423 best test_acc 0.9540
e 103 | malicious users: 0 | test acc 0.9396 test loss 0.290729 best test_acc 0.9540
e 104 | malicious users: 0 | test acc 0.9092 test loss 0.404458 best test_acc 0.9540
e 105 | malicious users: 0 | test acc 0.8926 test loss 0.385255 best test_acc 0.9540
e 106 | malicious users: 0 | test acc 0.9032 test loss 0.308654 best test_acc 0.9540
e 107 | malicious users: 0 | test acc 0.9405 test loss 0.308036 best test_acc 0.9540
e 108 | malicious users: 0 | test acc 0.9431 test loss 0.253314 best test_acc 0.9540
e 109 | malicious users: 0 | test acc 0.9496 test loss 0.194977 best test_acc 0.9540
e 110 | malicious users: 0 | test acc 0.8710 test loss 0.353589 best test_acc 0.9540
e 111 | malicious users: 0 | test acc 0.9336 test loss 0.326120 best test_acc 0.9540
e 112 | malicious users: 0 | test acc 0.9276 test loss 0.299457 best test_acc 0.9540
e 113 | malicious users: 0 | test acc 0.8747 test loss 0.369187 best test_acc 0.9540
e 114 | malicious users: 0 | test acc 0.9021 test loss 0.376020 best test_acc 0.9540
e 115 | malicious users: 0 | test acc 0.9291 test loss 0.346423 best test_acc 0.9540
e 116 | malicious users: 0 | test acc 0.9279 test loss 0.292812 best test_acc 0.9540
e 117 | malicious users: 0 | test acc 0.9479 test loss 0.203319 best test_acc 0.9540
e 118 | malicious users: 0 | test acc 0.9075 test loss 0.391193 best test_acc 0.9540
e 119 | malicious users: 0 | test acc 0.8423 test loss 0.477408 best test_acc 0.9540
e 120 | malicious users: 0 | test acc 0.9223 test loss 0.327133 best test_acc 0.9540
e 121 | malicious users: 0 | test acc 0.8828 test loss 0.347798 best test_acc 0.9540
e 122 | malicious users: 0 | test acc 0.9343 test loss 0.385890 best test_acc 0.9540
e 123 | malicious users: 0 | test acc 0.9193 test loss 0.318726 best test_acc 0.9540
e 124 | malicious users: 0 | test acc 0.9361 test loss 0.240453 best test_acc 0.9540
e 125 | malicious users: 0 | test acc 0.9225 test loss 0.377084 best test_acc 0.9540
e 126 | malicious users: 0 | test acc 0.9348 test loss 0.275185 best test_acc 0.9540
e 127 | malicious users: 0 | test acc 0.9089 test loss 0.301865 best test_acc 0.9540
e 128 | malicious users: 0 | test acc 0.8921 test loss 0.424901 best test_acc 0.9540
e 129 | malicious users: 0 | test acc 0.9371 test loss 0.247348 best test_acc 0.9540
e 130 | malicious users: 0 | test acc 0.9224 test loss 0.313521 best test_acc 0.9540
e 131 | malicious users: 0 | test acc 0.9280 test loss 0.293149 best test_acc 0.9540
e 132 | malicious users: 0 | test acc 0.9361 test loss 0.318250 best test_acc 0.9540
e 133 | malicious users: 0 | test acc 0.9459 test loss 0.230905 best test_acc 0.9540
e 134 | malicious users: 0 | test acc 0.8711 test loss 0.401475 best test_acc 0.9540
e 135 | malicious users: 0 | test acc 0.8911 test loss 0.427488 best test_acc 0.9540
e 136 | malicious users: 0 | test acc 0.9539 test loss 0.195440 best test_acc 0.9540
e 137 | malicious users: 0 | test acc 0.9130 test loss 0.305787 best test_acc 0.9540
e 138 | malicious users: 0 | test acc 0.8730 test loss 0.439870 best test_acc 0.9540
e 139 | malicious users: 0 | test acc 0.9274 test loss 0.276133 best test_acc 0.9540
e 140 | malicious users: 0 | test acc 0.9008 test loss 0.377938 best test_acc 0.9540
e 141 | malicious users: 0 | test acc 0.9363 test loss 0.292491 best test_acc 0.9540
e 142 | malicious users: 0 | test acc 0.9442 test loss 0.212963 best test_acc 0.9540
e 143 | malicious users: 0 | test acc 0.8476 test loss 0.449484 best test_acc 0.9540
e 144 | malicious users: 0 | test acc 0.9490 test loss 0.219608 best test_acc 0.9540
e 145 | malicious users: 0 | test acc 0.8694 test loss 0.411863 best test_acc 0.9540
e 146 | malicious users: 0 | test acc 0.9169 test loss 0.363166 best test_acc 0.9540
e 147 | malicious users: 0 | test acc 0.8813 test loss 0.402945 best test_acc 0.9540
