=> Saving data in Logs/FRL~try=287
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.4857 test loss 2.218778 best test_acc 0.4857
e 1 | malicious users: 5 | test acc 0.3986 test loss 1.937987 best test_acc 0.4857
e 2 | malicious users: 5 | test acc 0.5523 test loss 1.641551 best test_acc 0.5523
e 3 | malicious users: 5 | test acc 0.6567 test loss 1.377486 best test_acc 0.6567
e 4 | malicious users: 5 | test acc 0.6540 test loss 1.364482 best test_acc 0.6567
e 5 | malicious users: 5 | test acc 0.7160 test loss 1.129405 best test_acc 0.7160
e 6 | malicious users: 5 | test acc 0.6424 test loss 1.337361 best test_acc 0.7160
e 7 | malicious users: 5 | test acc 0.8242 test loss 1.246429 best test_acc 0.8242
e 8 | malicious users: 5 | test acc 0.6954 test loss 1.407678 best test_acc 0.8242
e 9 | malicious users: 5 | test acc 0.7383 test loss 1.259665 best test_acc 0.8242
e 10 | malicious users: 5 | test acc 0.7990 test loss 1.196572 best test_acc 0.8242
e 11 | malicious users: 5 | test acc 0.8079 test loss 1.343591 best test_acc 0.8242
e 12 | malicious users: 5 | test acc 0.7428 test loss 1.303490 best test_acc 0.8242
e 13 | malicious users: 5 | test acc 0.7186 test loss 1.214828 best test_acc 0.8242
e 14 | malicious users: 5 | test acc 0.7291 test loss 1.323129 best test_acc 0.8242
e 15 | malicious users: 5 | test acc 0.6424 test loss 1.468716 best test_acc 0.8242
e 16 | malicious users: 5 | test acc 0.6912 test loss 1.312090 best test_acc 0.8242
e 17 | malicious users: 5 | test acc 0.7891 test loss 1.341104 best test_acc 0.8242
e 18 | malicious users: 5 | test acc 0.7338 test loss 1.263880 best test_acc 0.8242
e 19 | malicious users: 5 | test acc 0.7708 test loss 1.404157 best test_acc 0.8242
e 20 | malicious users: 5 | test acc 0.7426 test loss 1.199433 best test_acc 0.8242
e 21 | malicious users: 5 | test acc 0.7176 test loss 1.224776 best test_acc 0.8242
e 22 | malicious users: 5 | test acc 0.7541 test loss 1.142555 best test_acc 0.8242
e 23 | malicious users: 5 | test acc 0.7187 test loss 1.148996 best test_acc 0.8242
e 24 | malicious users: 5 | test acc 0.7875 test loss 1.145166 best test_acc 0.8242
e 25 | malicious users: 5 | test acc 0.8450 test loss 0.901759 best test_acc 0.8450
e 26 | malicious users: 5 | test acc 0.7642 test loss 1.112798 best test_acc 0.8450
e 27 | malicious users: 5 | test acc 0.8371 test loss 0.986252 best test_acc 0.8450
e 28 | malicious users: 5 | test acc 0.8287 test loss 0.955720 best test_acc 0.8450
e 29 | malicious users: 5 | test acc 0.7727 test loss 0.973368 best test_acc 0.8450
e 30 | malicious users: 5 | test acc 0.7285 test loss 1.115638 best test_acc 0.8450
e 31 | malicious users: 5 | test acc 0.7954 test loss 1.215035 best test_acc 0.8450
e 32 | malicious users: 5 | test acc 0.8142 test loss 1.175938 best test_acc 0.8450
e 33 | malicious users: 5 | test acc 0.8009 test loss 0.938592 best test_acc 0.8450
e 34 | malicious users: 5 | test acc 0.8269 test loss 0.793986 best test_acc 0.8450
e 35 | malicious users: 5 | test acc 0.8856 test loss 0.899806 best test_acc 0.8856
e 36 | malicious users: 5 | test acc 0.8844 test loss 0.871056 best test_acc 0.8856
e 37 | malicious users: 5 | test acc 0.8543 test loss 0.879310 best test_acc 0.8856
e 38 | malicious users: 5 | test acc 0.8374 test loss 0.952284 best test_acc 0.8856
e 39 | malicious users: 5 | test acc 0.8029 test loss 0.931999 best test_acc 0.8856
e 40 | malicious users: 5 | test acc 0.8058 test loss 0.911991 best test_acc 0.8856
e 41 | malicious users: 5 | test acc 0.8166 test loss 0.833317 best test_acc 0.8856
e 42 | malicious users: 5 | test acc 0.8364 test loss 1.055656 best test_acc 0.8856
e 43 | malicious users: 5 | test acc 0.8705 test loss 1.042484 best test_acc 0.8856
e 44 | malicious users: 5 | test acc 0.8173 test loss 0.702560 best test_acc 0.8856
e 45 | malicious users: 5 | test acc 0.8583 test loss 0.957611 best test_acc 0.8856
e 46 | malicious users: 5 | test acc 0.8201 test loss 0.813350 best test_acc 0.8856
e 47 | malicious users: 5 | test acc 0.8628 test loss 0.945110 best test_acc 0.8856
e 48 | malicious users: 5 | test acc 0.8411 test loss 1.145890 best test_acc 0.8856
e 49 | malicious users: 5 | test acc 0.8847 test loss 0.814766 best test_acc 0.8856
e 50 | malicious users: 5 | test acc 0.8714 test loss 0.694574 best test_acc 0.8856
e 51 | malicious users: 5 | test acc 0.7920 test loss 0.801032 best test_acc 0.8856
e 52 | malicious users: 5 | test acc 0.8049 test loss 1.051990 best test_acc 0.8856
e 53 | malicious users: 5 | test acc 0.7410 test loss 0.879226 best test_acc 0.8856
e 54 | malicious users: 5 | test acc 0.8282 test loss 0.718812 best test_acc 0.8856
e 55 | malicious users: 5 | test acc 0.8655 test loss 0.971288 best test_acc 0.8856
e 56 | malicious users: 5 | test acc 0.8113 test loss 0.910494 best test_acc 0.8856
e 57 | malicious users: 5 | test acc 0.8805 test loss 0.922454 best test_acc 0.8856
e 58 | malicious users: 5 | test acc 0.8806 test loss 0.939203 best test_acc 0.8856
e 59 | malicious users: 5 | test acc 0.8670 test loss 0.955783 best test_acc 0.8856
e 60 | malicious users: 5 | test acc 0.7830 test loss 0.801129 best test_acc 0.8856
e 61 | malicious users: 5 | test acc 0.8621 test loss 0.809285 best test_acc 0.8856
e 62 | malicious users: 5 | test acc 0.9048 test loss 0.663384 best test_acc 0.9048
e 63 | malicious users: 5 | test acc 0.8338 test loss 0.886736 best test_acc 0.9048
e 64 | malicious users: 5 | test acc 0.8897 test loss 0.880309 best test_acc 0.9048
e 65 | malicious users: 5 | test acc 0.8806 test loss 0.740348 best test_acc 0.9048
e 66 | malicious users: 5 | test acc 0.8451 test loss 0.759039 best test_acc 0.9048
e 67 | malicious users: 5 | test acc 0.8838 test loss 0.645967 best test_acc 0.9048
e 68 | malicious users: 5 | test acc 0.7624 test loss 0.911649 best test_acc 0.9048
e 69 | malicious users: 5 | test acc 0.8194 test loss 0.935979 best test_acc 0.9048
e 70 | malicious users: 5 | test acc 0.8451 test loss 0.724420 best test_acc 0.9048
e 71 | malicious users: 5 | test acc 0.8240 test loss 0.789027 best test_acc 0.9048
e 72 | malicious users: 5 | test acc 0.7748 test loss 0.806973 best test_acc 0.9048
e 73 | malicious users: 5 | test acc 0.8984 test loss 0.743904 best test_acc 0.9048
e 74 | malicious users: 5 | test acc 0.8757 test loss 0.726355 best test_acc 0.9048
e 75 | malicious users: 5 | test acc 0.8082 test loss 0.801562 best test_acc 0.9048
e 76 | malicious users: 5 | test acc 0.8396 test loss 0.725281 best test_acc 0.9048
e 77 | malicious users: 5 | test acc 0.8642 test loss 0.683642 best test_acc 0.9048
e 78 | malicious users: 5 | test acc 0.8367 test loss 0.973388 best test_acc 0.9048
e 79 | malicious users: 5 | test acc 0.8516 test loss 0.842827 best test_acc 0.9048
e 80 | malicious users: 5 | test acc 0.7828 test loss 0.792518 best test_acc 0.9048
e 81 | malicious users: 5 | test acc 0.8022 test loss 0.740959 best test_acc 0.9048
e 82 | malicious users: 5 | test acc 0.8474 test loss 0.865765 best test_acc 0.9048
e 83 | malicious users: 5 | test acc 0.8085 test loss 0.803299 best test_acc 0.9048
e 84 | malicious users: 5 | test acc 0.8225 test loss 1.018585 best test_acc 0.9048
e 85 | malicious users: 5 | test acc 0.8885 test loss 0.743297 best test_acc 0.9048
e 86 | malicious users: 5 | test acc 0.8794 test loss 0.876267 best test_acc 0.9048
e 87 | malicious users: 5 | test acc 0.8121 test loss 0.665285 best test_acc 0.9048
e 88 | malicious users: 5 | test acc 0.7904 test loss 0.838577 best test_acc 0.9048
e 89 | malicious users: 5 | test acc 0.8394 test loss 0.867740 best test_acc 0.9048
e 90 | malicious users: 5 | test acc 0.8207 test loss 0.778121 best test_acc 0.9048
e 91 | malicious users: 5 | test acc 0.9045 test loss 0.673221 best test_acc 0.9048
e 92 | malicious users: 5 | test acc 0.8788 test loss 0.727580 best test_acc 0.9048
e 93 | malicious users: 5 | test acc 0.7637 test loss 0.881977 best test_acc 0.9048
e 94 | malicious users: 5 | test acc 0.8405 test loss 0.856739 best test_acc 0.9048
e 95 | malicious users: 5 | test acc 0.8868 test loss 0.759672 best test_acc 0.9048
e 96 | malicious users: 5 | test acc 0.8335 test loss 0.850639 best test_acc 0.9048
e 97 | malicious users: 5 | test acc 0.8790 test loss 0.623891 best test_acc 0.9048
e 98 | malicious users: 5 | test acc 0.8125 test loss 0.786598 best test_acc 0.9048
e 99 | malicious users: 5 | test acc 0.8570 test loss 0.681305 best test_acc 0.9048
e 100 | malicious users: 5 | test acc 0.8800 test loss 0.846618 best test_acc 0.9048
e 101 | malicious users: 5 | test acc 0.8628 test loss 0.648245 best test_acc 0.9048
e 102 | malicious users: 5 | test acc 0.9051 test loss 0.817504 best test_acc 0.9051
e 103 | malicious users: 5 | test acc 0.8159 test loss 0.911911 best test_acc 0.9051
e 104 | malicious users: 5 | test acc 0.8182 test loss 0.778260 best test_acc 0.9051
e 105 | malicious users: 5 | test acc 0.8482 test loss 0.756137 best test_acc 0.9051
e 106 | malicious users: 5 | test acc 0.8197 test loss 0.749728 best test_acc 0.9051
e 107 | malicious users: 5 | test acc 0.9067 test loss 0.674500 best test_acc 0.9067
e 108 | malicious users: 5 | test acc 0.8452 test loss 0.745060 best test_acc 0.9067
e 109 | malicious users: 5 | test acc 0.8653 test loss 0.688667 best test_acc 0.9067
e 110 | malicious users: 5 | test acc 0.8490 test loss 0.841068 best test_acc 0.9067
e 111 | malicious users: 5 | test acc 0.8026 test loss 0.764751 best test_acc 0.9067
e 112 | malicious users: 5 | test acc 0.9153 test loss 0.756786 best test_acc 0.9153
e 113 | malicious users: 5 | test acc 0.8248 test loss 0.812943 best test_acc 0.9153
e 114 | malicious users: 5 | test acc 0.8674 test loss 0.821884 best test_acc 0.9153
e 115 | malicious users: 5 | test acc 0.8005 test loss 0.869828 best test_acc 0.9153
e 116 | malicious users: 5 | test acc 0.8344 test loss 0.659100 best test_acc 0.9153
e 117 | malicious users: 5 | test acc 0.8850 test loss 0.687008 best test_acc 0.9153
e 118 | malicious users: 5 | test acc 0.8622 test loss 0.803530 best test_acc 0.9153
e 119 | malicious users: 5 | test acc 0.8798 test loss 0.692279 best test_acc 0.9153
e 120 | malicious users: 5 | test acc 0.8554 test loss 0.738492 best test_acc 0.9153
e 121 | malicious users: 5 | test acc 0.8524 test loss 0.848147 best test_acc 0.9153
e 122 | malicious users: 5 | test acc 0.8310 test loss 0.670853 best test_acc 0.9153
e 123 | malicious users: 5 | test acc 0.8141 test loss 1.123090 best test_acc 0.9153
e 124 | malicious users: 5 | test acc 0.8209 test loss 0.744280 best test_acc 0.9153
e 125 | malicious users: 5 | test acc 0.8305 test loss 0.727769 best test_acc 0.9153
e 126 | malicious users: 5 | test acc 0.8242 test loss 0.833649 best test_acc 0.9153
e 127 | malicious users: 5 | test acc 0.8049 test loss 0.881041 best test_acc 0.9153
e 128 | malicious users: 5 | test acc 0.8587 test loss 0.693829 best test_acc 0.9153
e 129 | malicious users: 5 | test acc 0.7740 test loss 0.822265 best test_acc 0.9153
e 130 | malicious users: 5 | test acc 0.7610 test loss 0.865224 best test_acc 0.9153
e 131 | malicious users: 5 | test acc 0.8302 test loss 0.809607 best test_acc 0.9153
e 132 | malicious users: 5 | test acc 0.8449 test loss 0.700890 best test_acc 0.9153
e 133 | malicious users: 5 | test acc 0.8252 test loss 0.733756 best test_acc 0.9153
e 134 | malicious users: 5 | test acc 0.8477 test loss 0.885975 best test_acc 0.9153
e 135 | malicious users: 5 | test acc 0.7449 test loss 0.826303 best test_acc 0.9153
e 136 | malicious users: 5 | test acc 0.8622 test loss 0.889024 best test_acc 0.9153
e 137 | malicious users: 5 | test acc 0.8841 test loss 0.609703 best test_acc 0.9153
e 138 | malicious users: 5 | test acc 0.8306 test loss 0.827490 best test_acc 0.9153
e 139 | malicious users: 5 | test acc 0.8689 test loss 0.907649 best test_acc 0.9153
e 140 | malicious users: 5 | test acc 0.8973 test loss 0.624527 best test_acc 0.9153
e 141 | malicious users: 5 | test acc 0.9302 test loss 0.702613 best test_acc 0.9302
e 142 | malicious users: 5 | test acc 0.8863 test loss 0.759464 best test_acc 0.9302
e 143 | malicious users: 5 | test acc 0.8441 test loss 0.747780 best test_acc 0.9302
e 144 | malicious users: 5 | test acc 0.8020 test loss 0.721909 best test_acc 0.9302
e 145 | malicious users: 5 | test acc 0.8686 test loss 0.614389 best test_acc 0.9302
e 146 | malicious users: 5 | test acc 0.8946 test loss 0.639819 best test_acc 0.9302
e 147 | malicious users: 5 | test acc 0.8556 test loss 0.808806 best test_acc 0.9302
e 148 | malicious users: 5 | test acc 0.9104 test loss 0.577024 best test_acc 0.9302
e 149 | malicious users: 5 | test acc 0.8997 test loss 0.673249 best test_acc 0.9302
e 150 | malicious users: 5 | test acc 0.8727 test loss 0.830730 best test_acc 0.9302
e 151 | malicious users: 5 | test acc 0.8335 test loss 0.625816 best test_acc 0.9302
e 152 | malicious users: 5 | test acc 0.7646 test loss 0.796879 best test_acc 0.9302
e 153 | malicious users: 5 | test acc 0.9130 test loss 0.672947 best test_acc 0.9302
e 154 | malicious users: 5 | test acc 0.8763 test loss 0.740232 best test_acc 0.9302
e 155 | malicious users: 5 | test acc 0.8860 test loss 0.617174 best test_acc 0.9302
e 156 | malicious users: 5 | test acc 0.8610 test loss 0.790367 best test_acc 0.9302
e 157 | malicious users: 5 | test acc 0.8907 test loss 0.646999 best test_acc 0.9302
e 158 | malicious users: 5 | test acc 0.8321 test loss 0.722711 best test_acc 0.9302
e 159 | malicious users: 5 | test acc 0.8662 test loss 0.640643 best test_acc 0.9302
e 160 | malicious users: 5 | test acc 0.8712 test loss 0.690164 best test_acc 0.9302
e 161 | malicious users: 5 | test acc 0.7519 test loss 0.879523 best test_acc 0.9302
e 162 | malicious users: 5 | test acc 0.8094 test loss 0.656611 best test_acc 0.9302
e 163 | malicious users: 5 | test acc 0.8743 test loss 0.618074 best test_acc 0.9302
e 164 | malicious users: 5 | test acc 0.7712 test loss 0.878505 best test_acc 0.9302
e 165 | malicious users: 5 | test acc 0.9092 test loss 0.566066 best test_acc 0.9302
e 166 | malicious users: 5 | test acc 0.7775 test loss 0.893891 best test_acc 0.9302
e 167 | malicious users: 5 | test acc 0.8186 test loss 0.743786 best test_acc 0.9302
e 168 | malicious users: 5 | test acc 0.8384 test loss 0.746378 best test_acc 0.9302
e 169 | malicious users: 5 | test acc 0.8309 test loss 0.732935 best test_acc 0.9302
e 170 | malicious users: 5 | test acc 0.8538 test loss 0.691325 best test_acc 0.9302
e 171 | malicious users: 5 | test acc 0.8143 test loss 0.681023 best test_acc 0.9302
e 172 | malicious users: 5 | test acc 0.9139 test loss 0.625172 best test_acc 0.9302
e 173 | malicious users: 5 | test acc 0.9030 test loss 0.729984 best test_acc 0.9302
e 174 | malicious users: 5 | test acc 0.8853 test loss 0.706968 best test_acc 0.9302
e 175 | malicious users: 5 | test acc 0.8593 test loss 0.641704 best test_acc 0.9302
e 176 | malicious users: 5 | test acc 0.8370 test loss 0.739790 best test_acc 0.9302
e 177 | malicious users: 5 | test acc 0.8767 test loss 0.660884 best test_acc 0.9302
e 178 | malicious users: 5 | test acc 0.8615 test loss 0.667937 best test_acc 0.9302
e 179 | malicious users: 5 | test acc 0.8763 test loss 0.662323 best test_acc 0.9302
e 180 | malicious users: 5 | test acc 0.8787 test loss 0.635162 best test_acc 0.9302
e 181 | malicious users: 5 | test acc 0.8658 test loss 0.703318 best test_acc 0.9302
e 182 | malicious users: 5 | test acc 0.8689 test loss 0.606743 best test_acc 0.9302
e 183 | malicious users: 5 | test acc 0.8649 test loss 0.727941 best test_acc 0.9302
e 184 | malicious users: 5 | test acc 0.8649 test loss 0.669488 best test_acc 0.9302
e 185 | malicious users: 5 | test acc 0.8728 test loss 0.684762 best test_acc 0.9302
e 186 | malicious users: 5 | test acc 0.8684 test loss 0.841150 best test_acc 0.9302
e 187 | malicious users: 5 | test acc 0.8385 test loss 0.750670 best test_acc 0.9302
e 188 | malicious users: 5 | test acc 0.8939 test loss 0.609225 best test_acc 0.9302
e 189 | malicious users: 5 | test acc 0.8323 test loss 0.724181 best test_acc 0.9302
e 190 | malicious users: 5 | test acc 0.8819 test loss 0.623521 best test_acc 0.9302
e 191 | malicious users: 5 | test acc 0.9099 test loss 0.591467 best test_acc 0.9302
e 192 | malicious users: 5 | test acc 0.8920 test loss 0.540736 best test_acc 0.9302
e 193 | malicious users: 5 | test acc 0.8293 test loss 0.755800 best test_acc 0.9302
e 194 | malicious users: 5 | test acc 0.7906 test loss 0.796987 best test_acc 0.9302
e 195 | malicious users: 5 | test acc 0.7432 test loss 1.003112 best test_acc 0.9302
e 196 | malicious users: 5 | test acc 0.8386 test loss 0.752074 best test_acc 0.9302
e 197 | malicious users: 5 | test acc 0.8849 test loss 0.765295 best test_acc 0.9302
e 198 | malicious users: 5 | test acc 0.8283 test loss 0.733510 best test_acc 0.9302
e 199 | malicious users: 5 | test acc 0.8253 test loss 0.777150 best test_acc 0.9302
e 200 | malicious users: 5 | test acc 0.8596 test loss 0.688148 best test_acc 0.9302
e 201 | malicious users: 5 | test acc 0.9204 test loss 0.609671 best test_acc 0.9302
e 202 | malicious users: 5 | test acc 0.8759 test loss 0.695666 best test_acc 0.9302
e 203 | malicious users: 5 | test acc 0.8348 test loss 0.715195 best test_acc 0.9302
e 204 | malicious users: 5 | test acc 0.8698 test loss 0.596640 best test_acc 0.9302
e 205 | malicious users: 5 | test acc 0.9001 test loss 0.585917 best test_acc 0.9302
e 206 | malicious users: 5 | test acc 0.8491 test loss 0.703318 best test_acc 0.9302
e 207 | malicious users: 5 | test acc 0.7687 test loss 0.805772 best test_acc 0.9302
e 208 | malicious users: 5 | test acc 0.8876 test loss 0.766584 best test_acc 0.9302
e 209 | malicious users: 5 | test acc 0.9021 test loss 0.681467 best test_acc 0.9302
e 210 | malicious users: 5 | test acc 0.8257 test loss 0.775102 best test_acc 0.9302
e 211 | malicious users: 5 | test acc 0.8543 test loss 0.678773 best test_acc 0.9302
e 212 | malicious users: 5 | test acc 0.7503 test loss 0.818908 best test_acc 0.9302
e 213 | malicious users: 5 | test acc 0.8533 test loss 0.792795 best test_acc 0.9302
e 214 | malicious users: 5 | test acc 0.7894 test loss 0.724355 best test_acc 0.9302
e 215 | malicious users: 5 | test acc 0.8546 test loss 0.707479 best test_acc 0.9302
e 216 | malicious users: 5 | test acc 0.8192 test loss 0.702251 best test_acc 0.9302
e 217 | malicious users: 5 | test acc 0.8105 test loss 0.735591 best test_acc 0.9302
e 218 | malicious users: 5 | test acc 0.8534 test loss 0.679110 best test_acc 0.9302
e 219 | malicious users: 5 | test acc 0.8720 test loss 0.640292 best test_acc 0.9302
e 220 | malicious users: 5 | test acc 0.8851 test loss 0.680792 best test_acc 0.9302
e 221 | malicious users: 5 | test acc 0.8795 test loss 0.689780 best test_acc 0.9302
e 222 | malicious users: 5 | test acc 0.8014 test loss 0.745274 best test_acc 0.9302
e 223 | malicious users: 5 | test acc 0.8674 test loss 0.797792 best test_acc 0.9302
e 224 | malicious users: 5 | test acc 0.8831 test loss 0.753910 best test_acc 0.9302
e 225 | malicious users: 5 | test acc 0.8304 test loss 0.606552 best test_acc 0.9302
e 226 | malicious users: 5 | test acc 0.8717 test loss 0.548605 best test_acc 0.9302
e 227 | malicious users: 5 | test acc 0.8935 test loss 0.648675 best test_acc 0.9302
e 228 | malicious users: 5 | test acc 0.9006 test loss 0.895801 best test_acc 0.9302
e 229 | malicious users: 5 | test acc 0.8450 test loss 0.672401 best test_acc 0.9302
e 230 | malicious users: 5 | test acc 0.8940 test loss 0.712021 best test_acc 0.9302
e 231 | malicious users: 5 | test acc 0.9142 test loss 0.634032 best test_acc 0.9302
e 232 | malicious users: 5 | test acc 0.8240 test loss 0.625843 best test_acc 0.9302
e 233 | malicious users: 5 | test acc 0.8519 test loss 0.673122 best test_acc 0.9302
e 234 | malicious users: 5 | test acc 0.8505 test loss 0.819390 best test_acc 0.9302
e 235 | malicious users: 5 | test acc 0.8492 test loss 0.674229 best test_acc 0.9302
e 236 | malicious users: 5 | test acc 0.8834 test loss 0.656902 best test_acc 0.9302
e 237 | malicious users: 5 | test acc 0.8978 test loss 0.633920 best test_acc 0.9302
e 238 | malicious users: 5 | test acc 0.8296 test loss 0.798187 best test_acc 0.9302
