=> Saving data in Logs/FRL~try=289
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  2
batch size is :  8
test batch size is:  128
generating participant indices for alpha 2.0
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3993 test loss 2.100651 best test_acc 0.3993
e 1 | malicious users: 5 | test acc 0.6165 test loss 1.494711 best test_acc 0.6165
e 2 | malicious users: 5 | test acc 0.6239 test loss 1.646928 best test_acc 0.6239
e 3 | malicious users: 5 | test acc 0.6771 test loss 1.155939 best test_acc 0.6771
e 4 | malicious users: 5 | test acc 0.8112 test loss 0.965734 best test_acc 0.8112
e 5 | malicious users: 5 | test acc 0.7960 test loss 0.936793 best test_acc 0.8112
e 6 | malicious users: 5 | test acc 0.8398 test loss 0.889381 best test_acc 0.8398
e 7 | malicious users: 5 | test acc 0.8352 test loss 0.622271 best test_acc 0.8398
e 8 | malicious users: 5 | test acc 0.8821 test loss 0.795203 best test_acc 0.8821
e 9 | malicious users: 5 | test acc 0.8631 test loss 0.921186 best test_acc 0.8821
e 10 | malicious users: 5 | test acc 0.8979 test loss 1.123152 best test_acc 0.8979
e 11 | malicious users: 5 | test acc 0.8865 test loss 0.973913 best test_acc 0.8979
e 12 | malicious users: 5 | test acc 0.8862 test loss 1.090619 best test_acc 0.8979
e 13 | malicious users: 5 | test acc 0.8851 test loss 0.877655 best test_acc 0.8979
e 14 | malicious users: 5 | test acc 0.8506 test loss 1.369072 best test_acc 0.8979
e 15 | malicious users: 5 | test acc 0.9018 test loss 1.041901 best test_acc 0.9018
e 16 | malicious users: 5 | test acc 0.8992 test loss 1.004769 best test_acc 0.9018
e 17 | malicious users: 5 | test acc 0.8606 test loss 1.239334 best test_acc 0.9018
e 18 | malicious users: 5 | test acc 0.9018 test loss 0.887996 best test_acc 0.9018
e 19 | malicious users: 5 | test acc 0.8689 test loss 1.039313 best test_acc 0.9018
e 20 | malicious users: 5 | test acc 0.9040 test loss 0.603544 best test_acc 0.9040
e 21 | malicious users: 5 | test acc 0.9030 test loss 0.871403 best test_acc 0.9040
e 22 | malicious users: 5 | test acc 0.8937 test loss 0.827421 best test_acc 0.9040
e 23 | malicious users: 5 | test acc 0.8833 test loss 0.857333 best test_acc 0.9040
e 24 | malicious users: 5 | test acc 0.9219 test loss 0.575990 best test_acc 0.9219
e 25 | malicious users: 5 | test acc 0.9190 test loss 0.729727 best test_acc 0.9219
e 26 | malicious users: 5 | test acc 0.8955 test loss 0.745876 best test_acc 0.9219
e 27 | malicious users: 5 | test acc 0.9206 test loss 0.556529 best test_acc 0.9219
e 28 | malicious users: 5 | test acc 0.9260 test loss 0.553342 best test_acc 0.9260
e 29 | malicious users: 5 | test acc 0.9136 test loss 0.952107 best test_acc 0.9260
e 30 | malicious users: 5 | test acc 0.9187 test loss 0.807057 best test_acc 0.9260
e 31 | malicious users: 5 | test acc 0.9089 test loss 0.473311 best test_acc 0.9260
e 32 | malicious users: 5 | test acc 0.9044 test loss 0.592151 best test_acc 0.9260
e 33 | malicious users: 5 | test acc 0.8935 test loss 0.571952 best test_acc 0.9260
e 34 | malicious users: 5 | test acc 0.9243 test loss 0.581666 best test_acc 0.9260
e 35 | malicious users: 5 | test acc 0.9179 test loss 0.553223 best test_acc 0.9260
e 36 | malicious users: 5 | test acc 0.9325 test loss 0.531832 best test_acc 0.9325
