=> Saving data in Logs/FRL~try=293
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
generating participant indices for alpha 0.7
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1365 test loss 2.257881 best test_acc 0.1365
e 1 | malicious users: 5 | test acc 0.3106 test loss 2.209169 best test_acc 0.3106
e 2 | malicious users: 5 | test acc 0.4643 test loss 2.109821 best test_acc 0.4643
e 3 | malicious users: 5 | test acc 0.5189 test loss 2.049116 best test_acc 0.5189
e 4 | malicious users: 5 | test acc 0.4963 test loss 1.974844 best test_acc 0.5189
e 5 | malicious users: 5 | test acc 0.4742 test loss 2.011696 best test_acc 0.5189
e 6 | malicious users: 5 | test acc 0.5155 test loss 1.996830 best test_acc 0.5189
e 7 | malicious users: 5 | test acc 0.5009 test loss 1.783243 best test_acc 0.5189
e 8 | malicious users: 5 | test acc 0.5701 test loss 2.044003 best test_acc 0.5701
e 9 | malicious users: 5 | test acc 0.5837 test loss 1.964867 best test_acc 0.5837
e 10 | malicious users: 5 | test acc 0.5098 test loss 2.039444 best test_acc 0.5837
e 11 | malicious users: 5 | test acc 0.6027 test loss 2.158051 best test_acc 0.6027
e 12 | malicious users: 5 | test acc 0.5375 test loss 1.916740 best test_acc 0.6027
e 13 | malicious users: 5 | test acc 0.5660 test loss 2.065539 best test_acc 0.6027
e 14 | malicious users: 5 | test acc 0.6040 test loss 1.873641 best test_acc 0.6040
e 15 | malicious users: 5 | test acc 0.6235 test loss 1.961437 best test_acc 0.6235
e 16 | malicious users: 5 | test acc 0.4954 test loss 1.836464 best test_acc 0.6235
e 17 | malicious users: 5 | test acc 0.5286 test loss 2.087016 best test_acc 0.6235
e 18 | malicious users: 5 | test acc 0.5249 test loss 1.831198 best test_acc 0.6235
e 19 | malicious users: 5 | test acc 0.6179 test loss 1.814243 best test_acc 0.6235
e 20 | malicious users: 5 | test acc 0.6661 test loss 1.777783 best test_acc 0.6661
e 21 | malicious users: 5 | test acc 0.5855 test loss 1.768098 best test_acc 0.6661
e 22 | malicious users: 5 | test acc 0.6345 test loss 1.672686 best test_acc 0.6661
e 23 | malicious users: 5 | test acc 0.6350 test loss 1.660218 best test_acc 0.6661
e 24 | malicious users: 5 | test acc 0.7121 test loss 1.488484 best test_acc 0.7121
e 25 | malicious users: 5 | test acc 0.6500 test loss 1.539499 best test_acc 0.7121
e 26 | malicious users: 5 | test acc 0.6730 test loss 1.673962 best test_acc 0.7121
e 27 | malicious users: 5 | test acc 0.5661 test loss 1.435133 best test_acc 0.7121
e 28 | malicious users: 5 | test acc 0.6991 test loss 1.542773 best test_acc 0.7121
e 29 | malicious users: 5 | test acc 0.6523 test loss 1.653924 best test_acc 0.7121
e 30 | malicious users: 5 | test acc 0.6294 test loss 1.468236 best test_acc 0.7121
e 31 | malicious users: 5 | test acc 0.6124 test loss 1.530343 best test_acc 0.7121
e 32 | malicious users: 5 | test acc 0.6894 test loss 1.349339 best test_acc 0.7121
e 33 | malicious users: 5 | test acc 0.6317 test loss 1.654088 best test_acc 0.7121
e 34 | malicious users: 5 | test acc 0.6754 test loss 1.429285 best test_acc 0.7121
