=> Saving data in Logs/FRL~try=296
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.0993 test loss 2.273587 best test_acc 0.0993
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 0 | test acc 0.1347 test loss 2.257102 best test_acc 0.1347
e 2 | malicious users: 0 | test acc 0.3472 test loss 2.203528 best test_acc 0.3472
e 3 | malicious users: 0 | test acc 0.4861 test loss 2.136237 best test_acc 0.4861
e 4 | malicious users: 0 | test acc 0.5955 test loss 1.987078 best test_acc 0.5955
e 5 | malicious users: 0 | test acc 0.3535 test loss 2.004657 best test_acc 0.5955
e 6 | malicious users: 0 | test acc 0.1696 test loss 1.962948 best test_acc 0.5955
e 7 | malicious users: 0 | test acc 0.5024 test loss 1.680371 best test_acc 0.5955
e 8 | malicious users: 0 | test acc 0.6224 test loss 1.624801 best test_acc 0.6224
e 9 | malicious users: 0 | test acc 0.5770 test loss 1.730628 best test_acc 0.6224
e 10 | malicious users: 0 | test acc 0.5204 test loss 1.700955 best test_acc 0.6224
e 11 | malicious users: 0 | test acc 0.5304 test loss 1.608710 best test_acc 0.6224
e 12 | malicious users: 0 | test acc 0.6117 test loss 1.521130 best test_acc 0.6224
e 13 | malicious users: 0 | test acc 0.6197 test loss 1.690024 best test_acc 0.6224
e 14 | malicious users: 0 | test acc 0.7369 test loss 1.493787 best test_acc 0.7369
e 15 | malicious users: 0 | test acc 0.5497 test loss 1.589357 best test_acc 0.7369
e 16 | malicious users: 0 | test acc 0.5967 test loss 1.269737 best test_acc 0.7369
e 17 | malicious users: 0 | test acc 0.7906 test loss 1.434502 best test_acc 0.7906
e 18 | malicious users: 0 | test acc 0.8188 test loss 1.292767 best test_acc 0.8188
e 19 | malicious users: 0 | test acc 0.6942 test loss 1.272693 best test_acc 0.8188
e 20 | malicious users: 0 | test acc 0.8039 test loss 1.314343 best test_acc 0.8188
e 21 | malicious users: 0 | test acc 0.7538 test loss 1.216101 best test_acc 0.8188
e 22 | malicious users: 0 | test acc 0.8073 test loss 1.239923 best test_acc 0.8188
e 23 | malicious users: 0 | test acc 0.8537 test loss 1.039250 best test_acc 0.8537
e 24 | malicious users: 0 | test acc 0.8593 test loss 1.050283 best test_acc 0.8593
e 25 | malicious users: 0 | test acc 0.8682 test loss 1.169057 best test_acc 0.8682
e 26 | malicious users: 0 | test acc 0.7753 test loss 1.097318 best test_acc 0.8682
e 27 | malicious users: 0 | test acc 0.8746 test loss 1.144314 best test_acc 0.8746
e 28 | malicious users: 0 | test acc 0.8255 test loss 0.946537 best test_acc 0.8746
e 29 | malicious users: 0 | test acc 0.8763 test loss 1.125870 best test_acc 0.8763
e 30 | malicious users: 0 | test acc 0.7637 test loss 0.993920 best test_acc 0.8763
e 31 | malicious users: 0 | test acc 0.8876 test loss 1.146513 best test_acc 0.8876
e 32 | malicious users: 0 | test acc 0.8725 test loss 0.973087 best test_acc 0.8876
e 33 | malicious users: 0 | test acc 0.8570 test loss 1.070388 best test_acc 0.8876
e 34 | malicious users: 0 | test acc 0.9042 test loss 1.038935 best test_acc 0.9042
e 35 | malicious users: 0 | test acc 0.8812 test loss 0.981589 best test_acc 0.9042
e 36 | malicious users: 0 | test acc 0.8797 test loss 1.082761 best test_acc 0.9042
e 37 | malicious users: 0 | test acc 0.8978 test loss 0.806261 best test_acc 0.9042
e 38 | malicious users: 0 | test acc 0.8970 test loss 0.814022 best test_acc 0.9042
e 39 | malicious users: 0 | test acc 0.8949 test loss 0.934363 best test_acc 0.9042
e 40 | malicious users: 0 | test acc 0.9076 test loss 0.942307 best test_acc 0.9076
e 41 | malicious users: 0 | test acc 0.8945 test loss 0.896899 best test_acc 0.9076
e 42 | malicious users: 0 | test acc 0.8945 test loss 0.911877 best test_acc 0.9076
e 43 | malicious users: 0 | test acc 0.8948 test loss 0.926177 best test_acc 0.9076
e 44 | malicious users: 0 | test acc 0.8736 test loss 1.036151 best test_acc 0.9076
e 45 | malicious users: 0 | test acc 0.9003 test loss 0.850947 best test_acc 0.9076
e 46 | malicious users: 0 | test acc 0.8963 test loss 0.838831 best test_acc 0.9076
e 47 | malicious users: 0 | test acc 0.8887 test loss 0.922861 best test_acc 0.9076
e 48 | malicious users: 0 | test acc 0.9044 test loss 0.875887 best test_acc 0.9076
e 49 | malicious users: 0 | test acc 0.8651 test loss 0.941508 best test_acc 0.9076
e 50 | malicious users: 0 | test acc 0.8889 test loss 0.703531 best test_acc 0.9076
e 51 | malicious users: 0 | test acc 0.8267 test loss 0.862245 best test_acc 0.9076
e 52 | malicious users: 0 | test acc 0.8492 test loss 0.950408 best test_acc 0.9076
e 53 | malicious users: 0 | test acc 0.8668 test loss 0.855826 best test_acc 0.9076
e 54 | malicious users: 0 | test acc 0.8967 test loss 0.927395 best test_acc 0.9076
e 55 | malicious users: 0 | test acc 0.9232 test loss 1.016340 best test_acc 0.9232
e 56 | malicious users: 0 | test acc 0.9140 test loss 0.829923 best test_acc 0.9232
e 57 | malicious users: 0 | test acc 0.9186 test loss 0.713348 best test_acc 0.9232
e 58 | malicious users: 0 | test acc 0.9196 test loss 0.712152 best test_acc 0.9232
e 59 | malicious users: 0 | test acc 0.9183 test loss 0.920968 best test_acc 0.9232
e 60 | malicious users: 0 | test acc 0.9042 test loss 0.742070 best test_acc 0.9232
e 61 | malicious users: 0 | test acc 0.9163 test loss 0.712368 best test_acc 0.9232
e 62 | malicious users: 0 | test acc 0.8987 test loss 0.709791 best test_acc 0.9232
e 63 | malicious users: 0 | test acc 0.8267 test loss 0.872179 best test_acc 0.9232
e 64 | malicious users: 0 | test acc 0.9236 test loss 0.697349 best test_acc 0.9236
