=> Saving data in Logs/FRL~try=307
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.2012 test loss 2.259260 best test_acc 0.2012
e 1 | malicious users: 2 | test acc 0.2493 test loss 2.224180 best test_acc 0.2493
e 2 | malicious users: 2 | test acc 0.3222 test loss 2.153952 best test_acc 0.3222
e 3 | malicious users: 2 | test acc 0.3237 test loss 2.091573 best test_acc 0.3237
e 4 | malicious users: 2 | test acc 0.4952 test loss 2.009014 best test_acc 0.4952
e 5 | malicious users: 2 | test acc 0.5753 test loss 1.800397 best test_acc 0.5753
e 6 | malicious users: 2 | test acc 0.6491 test loss 1.773002 best test_acc 0.6491
e 7 | malicious users: 2 | test acc 0.5937 test loss 1.767034 best test_acc 0.6491
e 8 | malicious users: 2 | test acc 0.6313 test loss 1.598832 best test_acc 0.6491
e 9 | malicious users: 2 | test acc 0.6347 test loss 1.420938 best test_acc 0.6491
e 10 | malicious users: 2 | test acc 0.6554 test loss 1.425299 best test_acc 0.6554
e 11 | malicious users: 2 | test acc 0.7110 test loss 1.491246 best test_acc 0.7110
e 12 | malicious users: 2 | test acc 0.7311 test loss 1.559791 best test_acc 0.7311
e 13 | malicious users: 2 | test acc 0.7764 test loss 1.258508 best test_acc 0.7764
e 14 | malicious users: 2 | test acc 0.7433 test loss 1.353035 best test_acc 0.7764
e 15 | malicious users: 2 | test acc 0.7208 test loss 1.348112 best test_acc 0.7764
e 16 | malicious users: 2 | test acc 0.7222 test loss 1.202552 best test_acc 0.7764
e 17 | malicious users: 2 | test acc 0.8097 test loss 1.398775 best test_acc 0.8097
e 18 | malicious users: 2 | test acc 0.7540 test loss 1.449445 best test_acc 0.8097
e 19 | malicious users: 2 | test acc 0.8157 test loss 1.208303 best test_acc 0.8157
e 20 | malicious users: 2 | test acc 0.5945 test loss 1.442268 best test_acc 0.8157
e 21 | malicious users: 2 | test acc 0.6775 test loss 1.230551 best test_acc 0.8157
e 22 | malicious users: 2 | test acc 0.8161 test loss 1.346935 best test_acc 0.8161
e 23 | malicious users: 2 | test acc 0.7605 test loss 1.477267 best test_acc 0.8161
e 24 | malicious users: 2 | test acc 0.8173 test loss 1.255172 best test_acc 0.8173
e 25 | malicious users: 2 | test acc 0.7154 test loss 1.427840 best test_acc 0.8173
e 26 | malicious users: 2 | test acc 0.7514 test loss 1.470664 best test_acc 0.8173
e 27 | malicious users: 2 | test acc 0.7236 test loss 1.138939 best test_acc 0.8173
e 28 | malicious users: 2 | test acc 0.6656 test loss 1.691654 best test_acc 0.8173
e 29 | malicious users: 2 | test acc 0.7269 test loss 1.502385 best test_acc 0.8173
e 30 | malicious users: 2 | test acc 0.7096 test loss 1.571013 best test_acc 0.8173
e 31 | malicious users: 2 | test acc 0.7590 test loss 1.390971 best test_acc 0.8173
e 32 | malicious users: 2 | test acc 0.7329 test loss 1.423982 best test_acc 0.8173
e 33 | malicious users: 2 | test acc 0.6690 test loss 1.472991 best test_acc 0.8173
e 34 | malicious users: 2 | test acc 0.7253 test loss 1.564749 best test_acc 0.8173
e 35 | malicious users: 2 | test acc 0.7582 test loss 1.780828 best test_acc 0.8173
e 36 | malicious users: 2 | test acc 0.7623 test loss 1.369663 best test_acc 0.8173
e 37 | malicious users: 2 | test acc 0.6240 test loss 1.797690 best test_acc 0.8173
e 38 | malicious users: 2 | test acc 0.6273 test loss 1.567340 best test_acc 0.8173
e 39 | malicious users: 2 | test acc 0.7315 test loss 1.485749 best test_acc 0.8173
e 40 | malicious users: 2 | test acc 0.6160 test loss 1.666097 best test_acc 0.8173
e 41 | malicious users: 2 | test acc 0.7512 test loss 1.425042 best test_acc 0.8173
e 42 | malicious users: 2 | test acc 0.7506 test loss 1.332518 best test_acc 0.8173
e 43 | malicious users: 2 | test acc 0.7704 test loss 1.498002 best test_acc 0.8173
e 44 | malicious users: 2 | test acc 0.7856 test loss 1.412129 best test_acc 0.8173
e 45 | malicious users: 2 | test acc 0.5914 test loss 1.588984 best test_acc 0.8173
