=> Saving data in Logs/FRL~try=349
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_Euclidean
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1035 test loss 2.288287 best test_acc 0.1035
e 1 | malicious users: 5 | test acc 0.2260 test loss 2.268086 best test_acc 0.2260
e 2 | malicious users: 5 | test acc 0.3838 test loss 2.176474 best test_acc 0.3838
e 3 | malicious users: 5 | test acc 0.4273 test loss 2.096455 best test_acc 0.4273
e 4 | malicious users: 5 | test acc 0.4875 test loss 2.122720 best test_acc 0.4875
e 5 | malicious users: 5 | test acc 0.5097 test loss 2.107046 best test_acc 0.5097
e 6 | malicious users: 5 | test acc 0.5018 test loss 2.108993 best test_acc 0.5097
e 7 | malicious users: 5 | test acc 0.4240 test loss 2.087214 best test_acc 0.5097
e 8 | malicious users: 5 | test acc 0.5600 test loss 2.042065 best test_acc 0.5600
e 9 | malicious users: 5 | test acc 0.5968 test loss 2.124768 best test_acc 0.5968
e 10 | malicious users: 5 | test acc 0.4235 test loss 2.064498 best test_acc 0.5968
e 11 | malicious users: 5 | test acc 0.5637 test loss 2.006983 best test_acc 0.5968
e 12 | malicious users: 5 | test acc 0.5072 test loss 2.028649 best test_acc 0.5968
e 13 | malicious users: 5 | test acc 0.4631 test loss 1.900520 best test_acc 0.5968
e 14 | malicious users: 5 | test acc 0.5442 test loss 2.047834 best test_acc 0.5968
e 15 | malicious users: 5 | test acc 0.5156 test loss 1.906045 best test_acc 0.5968
e 16 | malicious users: 5 | test acc 0.5029 test loss 1.996262 best test_acc 0.5968
e 17 | malicious users: 5 | test acc 0.4768 test loss 1.976424 best test_acc 0.5968
e 18 | malicious users: 5 | test acc 0.4739 test loss 1.911605 best test_acc 0.5968
e 19 | malicious users: 5 | test acc 0.4969 test loss 2.053891 best test_acc 0.5968
e 20 | malicious users: 5 | test acc 0.5869 test loss 1.968817 best test_acc 0.5968
e 21 | malicious users: 5 | test acc 0.5237 test loss 2.069718 best test_acc 0.5968
e 22 | malicious users: 5 | test acc 0.6239 test loss 1.817407 best test_acc 0.6239
e 23 | malicious users: 5 | test acc 0.4765 test loss 2.028134 best test_acc 0.6239
e 24 | malicious users: 5 | test acc 0.5188 test loss 2.070122 best test_acc 0.6239
e 25 | malicious users: 5 | test acc 0.5630 test loss 1.911022 best test_acc 0.6239
e 26 | malicious users: 5 | test acc 0.5323 test loss 1.949370 best test_acc 0.6239
e 27 | malicious users: 5 | test acc 0.5447 test loss 1.914544 best test_acc 0.6239
e 28 | malicious users: 5 | test acc 0.5303 test loss 1.821942 best test_acc 0.6239
e 29 | malicious users: 5 | test acc 0.6243 test loss 1.881653 best test_acc 0.6243
e 30 | malicious users: 5 | test acc 0.5276 test loss 1.805880 best test_acc 0.6243
e 31 | malicious users: 5 | test acc 0.5285 test loss 1.970985 best test_acc 0.6243
e 32 | malicious users: 5 | test acc 0.5726 test loss 1.721613 best test_acc 0.6243
e 33 | malicious users: 5 | test acc 0.5655 test loss 1.922604 best test_acc 0.6243
e 34 | malicious users: 5 | test acc 0.4434 test loss 1.721405 best test_acc 0.6243
e 35 | malicious users: 5 | test acc 0.5991 test loss 1.958792 best test_acc 0.6243
e 36 | malicious users: 5 | test acc 0.6172 test loss 1.738199 best test_acc 0.6243
e 37 | malicious users: 5 | test acc 0.6001 test loss 1.651658 best test_acc 0.6243
e 38 | malicious users: 5 | test acc 0.6200 test loss 1.588706 best test_acc 0.6243
e 39 | malicious users: 5 | test acc 0.6240 test loss 1.970749 best test_acc 0.6243
e 40 | malicious users: 5 | test acc 0.5855 test loss 1.732636 best test_acc 0.6243
e 41 | malicious users: 5 | test acc 0.5929 test loss 1.656143 best test_acc 0.6243
e 42 | malicious users: 5 | test acc 0.6335 test loss 1.716972 best test_acc 0.6335
e 43 | malicious users: 5 | test acc 0.5449 test loss 1.722487 best test_acc 0.6335
e 44 | malicious users: 5 | test acc 0.5573 test loss 1.710988 best test_acc 0.6335
e 45 | malicious users: 5 | test acc 0.6799 test loss 1.657470 best test_acc 0.6799
e 46 | malicious users: 5 | test acc 0.5554 test loss 1.701033 best test_acc 0.6799
e 47 | malicious users: 5 | test acc 0.5929 test loss 1.757192 best test_acc 0.6799
e 48 | malicious users: 5 | test acc 0.6733 test loss 1.430428 best test_acc 0.6799
e 49 | malicious users: 5 | test acc 0.6591 test loss 1.789525 best test_acc 0.6799
e 50 | malicious users: 5 | test acc 0.7327 test loss 1.626459 best test_acc 0.7327
e 51 | malicious users: 5 | test acc 0.5796 test loss 1.745440 best test_acc 0.7327
e 52 | malicious users: 5 | test acc 0.6105 test loss 1.570560 best test_acc 0.7327
e 53 | malicious users: 5 | test acc 0.5918 test loss 1.595967 best test_acc 0.7327
