=> Saving data in Logs/FRL~try=355
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_Euclidean
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1770 test loss 2.285794 best test_acc 0.1770
e 1 | malicious users: 5 | test acc 0.0986 test loss 2.279783 best test_acc 0.1770
e 2 | malicious users: 5 | test acc 0.2046 test loss 2.271751 best test_acc 0.2046
e 3 | malicious users: 5 | test acc 0.2786 test loss 2.252643 best test_acc 0.2786
e 4 | malicious users: 5 | test acc 0.3317 test loss 2.229977 best test_acc 0.3317
e 5 | malicious users: 5 | test acc 0.2360 test loss 2.183844 best test_acc 0.3317
e 6 | malicious users: 5 | test acc 0.4202 test loss 2.190434 best test_acc 0.4202
e 7 | malicious users: 5 | test acc 0.4440 test loss 2.174293 best test_acc 0.4440
e 8 | malicious users: 5 | test acc 0.3974 test loss 2.115151 best test_acc 0.4440
e 9 | malicious users: 5 | test acc 0.5020 test loss 2.157578 best test_acc 0.5020
e 10 | malicious users: 5 | test acc 0.3917 test loss 2.142491 best test_acc 0.5020
e 11 | malicious users: 5 | test acc 0.3503 test loss 2.193927 best test_acc 0.5020
e 12 | malicious users: 5 | test acc 0.4235 test loss 2.112167 best test_acc 0.5020
e 13 | malicious users: 5 | test acc 0.5112 test loss 2.098529 best test_acc 0.5112
e 14 | malicious users: 5 | test acc 0.4542 test loss 2.100862 best test_acc 0.5112
e 15 | malicious users: 5 | test acc 0.4631 test loss 2.040492 best test_acc 0.5112
e 16 | malicious users: 5 | test acc 0.5143 test loss 1.893658 best test_acc 0.5143
e 17 | malicious users: 5 | test acc 0.4559 test loss 2.004944 best test_acc 0.5143
e 18 | malicious users: 5 | test acc 0.4746 test loss 1.920482 best test_acc 0.5143
e 19 | malicious users: 5 | test acc 0.6225 test loss 2.034120 best test_acc 0.6225
e 20 | malicious users: 5 | test acc 0.4942 test loss 1.985188 best test_acc 0.6225
e 21 | malicious users: 5 | test acc 0.2512 test loss 2.181589 best test_acc 0.6225
e 22 | malicious users: 5 | test acc 0.6232 test loss 1.917008 best test_acc 0.6232
e 23 | malicious users: 5 | test acc 0.3956 test loss 1.906105 best test_acc 0.6232
e 24 | malicious users: 5 | test acc 0.5060 test loss 1.949161 best test_acc 0.6232
e 25 | malicious users: 5 | test acc 0.3458 test loss 1.894266 best test_acc 0.6232
e 26 | malicious users: 5 | test acc 0.4837 test loss 1.926739 best test_acc 0.6232
e 27 | malicious users: 5 | test acc 0.5194 test loss 1.906179 best test_acc 0.6232
e 28 | malicious users: 5 | test acc 0.5159 test loss 2.021636 best test_acc 0.6232
e 29 | malicious users: 5 | test acc 0.5282 test loss 1.892891 best test_acc 0.6232
e 30 | malicious users: 5 | test acc 0.6349 test loss 2.033484 best test_acc 0.6349
e 31 | malicious users: 5 | test acc 0.4282 test loss 1.970766 best test_acc 0.6349
e 32 | malicious users: 5 | test acc 0.5269 test loss 1.995222 best test_acc 0.6349
e 33 | malicious users: 5 | test acc 0.5461 test loss 1.898426 best test_acc 0.6349
e 34 | malicious users: 5 | test acc 0.5409 test loss 1.884675 best test_acc 0.6349
e 35 | malicious users: 5 | test acc 0.5966 test loss 1.770021 best test_acc 0.6349
e 36 | malicious users: 5 | test acc 0.4040 test loss 1.927726 best test_acc 0.6349
e 37 | malicious users: 5 | test acc 0.6749 test loss 1.954860 best test_acc 0.6749
e 38 | malicious users: 5 | test acc 0.5256 test loss 1.817642 best test_acc 0.6749
e 39 | malicious users: 5 | test acc 0.5083 test loss 1.954504 best test_acc 0.6749
e 40 | malicious users: 5 | test acc 0.5865 test loss 1.978025 best test_acc 0.6749
e 41 | malicious users: 5 | test acc 0.4432 test loss 2.087637 best test_acc 0.6749
e 42 | malicious users: 5 | test acc 0.4516 test loss 1.938833 best test_acc 0.6749
e 43 | malicious users: 5 | test acc 0.4207 test loss 1.993003 best test_acc 0.6749
e 44 | malicious users: 5 | test acc 0.6682 test loss 1.922176 best test_acc 0.6749
e 45 | malicious users: 5 | test acc 0.5153 test loss 1.802202 best test_acc 0.6749
e 46 | malicious users: 5 | test acc 0.5791 test loss 1.848217 best test_acc 0.6749
e 47 | malicious users: 5 | test acc 0.5557 test loss 1.909862 best test_acc 0.6749
e 48 | malicious users: 5 | test acc 0.4979 test loss 1.780602 best test_acc 0.6749
e 49 | malicious users: 5 | test acc 0.5146 test loss 1.869995 best test_acc 0.6749
e 50 | malicious users: 5 | test acc 0.6036 test loss 1.853014 best test_acc 0.6749
e 51 | malicious users: 5 | test acc 0.6572 test loss 1.828666 best test_acc 0.6749
e 52 | malicious users: 5 | test acc 0.5357 test loss 1.892874 best test_acc 0.6749
e 53 | malicious users: 5 | test acc 0.5646 test loss 1.976031 best test_acc 0.6749
e 54 | malicious users: 5 | test acc 0.6383 test loss 1.812063 best test_acc 0.6749
e 55 | malicious users: 5 | test acc 0.6273 test loss 1.848558 best test_acc 0.6749
e 56 | malicious users: 5 | test acc 0.6906 test loss 1.867761 best test_acc 0.6906
e 57 | malicious users: 5 | test acc 0.6387 test loss 1.658617 best test_acc 0.6906
e 58 | malicious users: 5 | test acc 0.7149 test loss 1.709258 best test_acc 0.7149
e 59 | malicious users: 5 | test acc 0.5922 test loss 1.785073 best test_acc 0.7149
e 60 | malicious users: 5 | test acc 0.6055 test loss 1.802975 best test_acc 0.7149
e 61 | malicious users: 5 | test acc 0.5498 test loss 1.812560 best test_acc 0.7149
e 62 | malicious users: 5 | test acc 0.6131 test loss 1.747268 best test_acc 0.7149
e 63 | malicious users: 5 | test acc 0.5179 test loss 1.882282 best test_acc 0.7149
e 64 | malicious users: 5 | test acc 0.6603 test loss 1.764738 best test_acc 0.7149
e 65 | malicious users: 5 | test acc 0.6170 test loss 1.716263 best test_acc 0.7149
e 66 | malicious users: 5 | test acc 0.4942 test loss 1.863447 best test_acc 0.7149
e 67 | malicious users: 5 | test acc 0.5756 test loss 1.722579 best test_acc 0.7149
e 68 | malicious users: 5 | test acc 0.5573 test loss 1.836808 best test_acc 0.7149
e 69 | malicious users: 5 | test acc 0.5972 test loss 1.693407 best test_acc 0.7149
e 70 | malicious users: 5 | test acc 0.6654 test loss 1.489835 best test_acc 0.7149
e 71 | malicious users: 5 | test acc 0.6717 test loss 1.553471 best test_acc 0.7149
e 72 | malicious users: 5 | test acc 0.6646 test loss 1.761796 best test_acc 0.7149
e 73 | malicious users: 5 | test acc 0.7613 test loss 1.792646 best test_acc 0.7613
e 74 | malicious users: 5 | test acc 0.6298 test loss 1.487684 best test_acc 0.7613
e 75 | malicious users: 5 | test acc 0.5687 test loss 1.586764 best test_acc 0.7613
e 76 | malicious users: 5 | test acc 0.6537 test loss 1.811157 best test_acc 0.7613
e 77 | malicious users: 5 | test acc 0.6318 test loss 1.760616 best test_acc 0.7613
