=> Saving data in Logs/FRL~try=359
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_cosine
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1615 test loss 2.254226 best test_acc 0.1615
e 1 | malicious users: 4 | test acc 0.2944 test loss 2.239212 best test_acc 0.2944
e 2 | malicious users: 7 | test acc 0.1032 test loss 2.569459 best test_acc 0.2944
e 3 | malicious users: 4 | test acc 0.3873 test loss 2.139537 best test_acc 0.3873
e 4 | malicious users: 4 | test acc 0.3010 test loss 1.908239 best test_acc 0.3873
e 5 | malicious users: 4 | test acc 0.4574 test loss 1.665204 best test_acc 0.4574
e 6 | malicious users: 7 | test acc 0.2236 test loss 2.492727 best test_acc 0.4574
e 7 | malicious users: 5 | test acc 0.4064 test loss 2.037728 best test_acc 0.4574
e 8 | malicious users: 4 | test acc 0.5906 test loss 1.597530 best test_acc 0.5906
e 9 | malicious users: 4 | test acc 0.5025 test loss 1.603009 best test_acc 0.5906
e 10 | malicious users: 3 | test acc 0.6042 test loss 1.621826 best test_acc 0.6042
e 11 | malicious users: 7 | test acc 0.2318 test loss 1.896425 best test_acc 0.6042
e 12 | malicious users: 5 | test acc 0.4733 test loss 1.539075 best test_acc 0.6042
e 13 | malicious users: 4 | test acc 0.5289 test loss 1.462772 best test_acc 0.6042
e 14 | malicious users: 1 | test acc 0.6420 test loss 1.185728 best test_acc 0.6420
e 15 | malicious users: 5 | test acc 0.6223 test loss 1.409116 best test_acc 0.6420
e 16 | malicious users: 7 | test acc 0.2972 test loss 1.859806 best test_acc 0.6420
e 17 | malicious users: 7 | test acc 0.2627 test loss 1.909305 best test_acc 0.6420
e 18 | malicious users: 4 | test acc 0.6118 test loss 1.414883 best test_acc 0.6420
e 19 | malicious users: 5 | test acc 0.4966 test loss 1.584821 best test_acc 0.6420
e 20 | malicious users: 7 | test acc 0.2234 test loss 2.480201 best test_acc 0.6420
e 21 | malicious users: 4 | test acc 0.2547 test loss 1.704685 best test_acc 0.6420
e 22 | malicious users: 9 | test acc 0.2319 test loss 2.038992 best test_acc 0.6420
e 23 | malicious users: 5 | test acc 0.3459 test loss 1.788859 best test_acc 0.6420
e 24 | malicious users: 1 | test acc 0.6251 test loss 1.437669 best test_acc 0.6420
e 25 | malicious users: 8 | test acc 0.2606 test loss 2.798120 best test_acc 0.6420
e 26 | malicious users: 5 | test acc 0.2647 test loss 2.129132 best test_acc 0.6420
e 27 | malicious users: 4 | test acc 0.2544 test loss 1.888881 best test_acc 0.6420
e 28 | malicious users: 5 | test acc 0.3893 test loss 1.670794 best test_acc 0.6420
e 29 | malicious users: 7 | test acc 0.2973 test loss 1.845514 best test_acc 0.6420
