=> Saving data in Logs/FRL~try=372
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1025 test loss 2.315369 best test_acc 0.1025
e 1 | malicious users: 5 | test acc 0.2123 test loss 2.227581 best test_acc 0.2123
e 2 | malicious users: 5 | test acc 0.4349 test loss 2.083201 best test_acc 0.4349
e 3 | malicious users: 5 | test acc 0.3210 test loss 1.922976 best test_acc 0.4349
e 4 | malicious users: 5 | test acc 0.5253 test loss 1.793299 best test_acc 0.5253
e 5 | malicious users: 5 | test acc 0.4531 test loss 1.761782 best test_acc 0.5253
e 6 | malicious users: 5 | test acc 0.5305 test loss 1.498707 best test_acc 0.5305
e 7 | malicious users: 5 | test acc 0.5865 test loss 1.361077 best test_acc 0.5865
e 8 | malicious users: 5 | test acc 0.6595 test loss 1.104694 best test_acc 0.6595
e 9 | malicious users: 5 | test acc 0.6540 test loss 1.188704 best test_acc 0.6595
e 10 | malicious users: 5 | test acc 0.5965 test loss 1.100051 best test_acc 0.6595
e 11 | malicious users: 5 | test acc 0.6287 test loss 1.104942 best test_acc 0.6595
e 12 | malicious users: 5 | test acc 0.6594 test loss 1.034902 best test_acc 0.6595
e 13 | malicious users: 5 | test acc 0.7285 test loss 0.884656 best test_acc 0.7285
e 14 | malicious users: 5 | test acc 0.5557 test loss 1.232735 best test_acc 0.7285
e 15 | malicious users: 5 | test acc 0.6666 test loss 1.179031 best test_acc 0.7285
e 16 | malicious users: 5 | test acc 0.6468 test loss 0.974780 best test_acc 0.7285
e 17 | malicious users: 5 | test acc 0.6169 test loss 1.049507 best test_acc 0.7285
e 18 | malicious users: 5 | test acc 0.6520 test loss 0.887239 best test_acc 0.7285
e 19 | malicious users: 5 | test acc 0.7038 test loss 0.930964 best test_acc 0.7285
e 20 | malicious users: 5 | test acc 0.6399 test loss 0.886146 best test_acc 0.7285
e 21 | malicious users: 5 | test acc 0.7055 test loss 0.903455 best test_acc 0.7285
e 22 | malicious users: 5 | test acc 0.7681 test loss 0.991606 best test_acc 0.7681
e 23 | malicious users: 5 | test acc 0.7623 test loss 0.828219 best test_acc 0.7681
e 24 | malicious users: 5 | test acc 0.7596 test loss 0.744687 best test_acc 0.7681
e 25 | malicious users: 5 | test acc 0.6643 test loss 1.094681 best test_acc 0.7681
e 26 | malicious users: 5 | test acc 0.6571 test loss 1.014091 best test_acc 0.7681
e 27 | malicious users: 5 | test acc 0.8475 test loss 0.722245 best test_acc 0.8475
e 28 | malicious users: 5 | test acc 0.7520 test loss 0.750777 best test_acc 0.8475
e 29 | malicious users: 5 | test acc 0.7738 test loss 0.755221 best test_acc 0.8475
e 30 | malicious users: 5 | test acc 0.7357 test loss 1.090966 best test_acc 0.8475
e 31 | malicious users: 5 | test acc 0.7322 test loss 0.698053 best test_acc 0.8475
e 32 | malicious users: 5 | test acc 0.6737 test loss 0.968380 best test_acc 0.8475
e 33 | malicious users: 5 | test acc 0.8037 test loss 0.764226 best test_acc 0.8475
