=> Saving data in Logs/FRL~try=373
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2532 test loss 2.290440 best test_acc 0.2532
e 1 | malicious users: 5 | test acc 0.1955 test loss 2.151633 best test_acc 0.2532
e 2 | malicious users: 5 | test acc 0.3037 test loss 1.974092 best test_acc 0.3037
e 3 | malicious users: 5 | test acc 0.3532 test loss 1.735132 best test_acc 0.3532
e 4 | malicious users: 5 | test acc 0.4977 test loss 1.641764 best test_acc 0.4977
e 5 | malicious users: 5 | test acc 0.5700 test loss 1.264489 best test_acc 0.5700
e 6 | malicious users: 5 | test acc 0.4375 test loss 1.505899 best test_acc 0.5700
e 7 | malicious users: 5 | test acc 0.6165 test loss 1.354452 best test_acc 0.6165
e 8 | malicious users: 5 | test acc 0.5594 test loss 1.099537 best test_acc 0.6165
e 9 | malicious users: 5 | test acc 0.6633 test loss 1.343896 best test_acc 0.6633
e 10 | malicious users: 5 | test acc 0.6051 test loss 1.175677 best test_acc 0.6633
e 11 | malicious users: 5 | test acc 0.6162 test loss 1.120856 best test_acc 0.6633
e 12 | malicious users: 5 | test acc 0.5375 test loss 1.208754 best test_acc 0.6633
e 13 | malicious users: 5 | test acc 0.6055 test loss 1.199287 best test_acc 0.6633
e 14 | malicious users: 5 | test acc 0.6458 test loss 1.047546 best test_acc 0.6633
e 15 | malicious users: 5 | test acc 0.6091 test loss 1.146401 best test_acc 0.6633
e 16 | malicious users: 5 | test acc 0.5854 test loss 1.223229 best test_acc 0.6633
e 17 | malicious users: 5 | test acc 0.6808 test loss 0.909489 best test_acc 0.6808
e 18 | malicious users: 5 | test acc 0.5934 test loss 1.125579 best test_acc 0.6808
e 19 | malicious users: 5 | test acc 0.5404 test loss 1.300199 best test_acc 0.6808
e 20 | malicious users: 5 | test acc 0.7390 test loss 0.871533 best test_acc 0.7390
e 21 | malicious users: 5 | test acc 0.6699 test loss 0.937619 best test_acc 0.7390
e 22 | malicious users: 5 | test acc 0.7127 test loss 0.920280 best test_acc 0.7390
e 23 | malicious users: 5 | test acc 0.6894 test loss 0.951788 best test_acc 0.7390
e 24 | malicious users: 5 | test acc 0.5786 test loss 1.206386 best test_acc 0.7390
e 25 | malicious users: 5 | test acc 0.6940 test loss 0.924652 best test_acc 0.7390
e 26 | malicious users: 5 | test acc 0.7635 test loss 0.694978 best test_acc 0.7635
e 27 | malicious users: 5 | test acc 0.5825 test loss 1.304390 best test_acc 0.7635
e 28 | malicious users: 5 | test acc 0.7540 test loss 0.824457 best test_acc 0.7635
e 29 | malicious users: 5 | test acc 0.7991 test loss 0.884425 best test_acc 0.7991
e 30 | malicious users: 5 | test acc 0.7720 test loss 0.688765 best test_acc 0.7991
e 31 | malicious users: 5 | test acc 0.7695 test loss 0.700894 best test_acc 0.7991
e 32 | malicious users: 5 | test acc 0.8568 test loss 0.649522 best test_acc 0.8568
e 33 | malicious users: 5 | test acc 0.7959 test loss 0.800683 best test_acc 0.8568
e 34 | malicious users: 5 | test acc 0.6711 test loss 0.941652 best test_acc 0.8568
e 35 | malicious users: 5 | test acc 0.7304 test loss 0.892133 best test_acc 0.8568
e 36 | malicious users: 5 | test acc 0.8317 test loss 0.613575 best test_acc 0.8568
e 37 | malicious users: 5 | test acc 0.8301 test loss 0.841865 best test_acc 0.8568
e 38 | malicious users: 5 | test acc 0.8503 test loss 0.707982 best test_acc 0.8568
e 39 | malicious users: 5 | test acc 0.7911 test loss 0.786723 best test_acc 0.8568
e 40 | malicious users: 5 | test acc 0.7705 test loss 0.725684 best test_acc 0.8568
e 41 | malicious users: 5 | test acc 0.8037 test loss 0.575804 best test_acc 0.8568
e 42 | malicious users: 5 | test acc 0.6779 test loss 1.069698 best test_acc 0.8568
e 43 | malicious users: 5 | test acc 0.6789 test loss 0.916098 best test_acc 0.8568
e 44 | malicious users: 5 | test acc 0.6946 test loss 0.946050 best test_acc 0.8568
e 45 | malicious users: 5 | test acc 0.7472 test loss 0.699374 best test_acc 0.8568
e 46 | malicious users: 5 | test acc 0.7083 test loss 0.911658 best test_acc 0.8568
e 47 | malicious users: 5 | test acc 0.6946 test loss 0.857935 best test_acc 0.8568
e 48 | malicious users: 5 | test acc 0.7472 test loss 0.741081 best test_acc 0.8568
e 49 | malicious users: 5 | test acc 0.7698 test loss 0.760810 best test_acc 0.8568
e 50 | malicious users: 5 | test acc 0.7758 test loss 0.716448 best test_acc 0.8568
e 51 | malicious users: 5 | test acc 0.7638 test loss 0.803237 best test_acc 0.8568
e 52 | malicious users: 5 | test acc 0.7131 test loss 0.848145 best test_acc 0.8568
e 53 | malicious users: 5 | test acc 0.7266 test loss 0.910218 best test_acc 0.8568
e 54 | malicious users: 5 | test acc 0.8507 test loss 0.582898 best test_acc 0.8568
e 55 | malicious users: 5 | test acc 0.7979 test loss 0.613001 best test_acc 0.8568
e 56 | malicious users: 5 | test acc 0.6593 test loss 0.873332 best test_acc 0.8568
e 57 | malicious users: 5 | test acc 0.8689 test loss 0.706978 best test_acc 0.8689
e 58 | malicious users: 5 | test acc 0.6223 test loss 0.972126 best test_acc 0.8689
e 59 | malicious users: 5 | test acc 0.7652 test loss 0.700802 best test_acc 0.8689
e 60 | malicious users: 5 | test acc 0.6815 test loss 0.865805 best test_acc 0.8689
e 61 | malicious users: 5 | test acc 0.6859 test loss 0.826712 best test_acc 0.8689
e 62 | malicious users: 5 | test acc 0.6687 test loss 0.960119 best test_acc 0.8689
e 63 | malicious users: 5 | test acc 0.7711 test loss 0.644772 best test_acc 0.8689
e 64 | malicious users: 5 | test acc 0.8710 test loss 0.512124 best test_acc 0.8710
e 65 | malicious users: 5 | test acc 0.8906 test loss 0.587112 best test_acc 0.8906
e 66 | malicious users: 5 | test acc 0.8120 test loss 0.637225 best test_acc 0.8906
e 67 | malicious users: 5 | test acc 0.7743 test loss 0.628391 best test_acc 0.8906
e 68 | malicious users: 5 | test acc 0.8132 test loss 0.679063 best test_acc 0.8906
e 69 | malicious users: 5 | test acc 0.9133 test loss 0.413582 best test_acc 0.9133
e 70 | malicious users: 5 | test acc 0.8035 test loss 0.581531 best test_acc 0.9133
e 71 | malicious users: 5 | test acc 0.7777 test loss 0.600956 best test_acc 0.9133
e 72 | malicious users: 5 | test acc 0.6389 test loss 0.954694 best test_acc 0.9133
e 73 | malicious users: 5 | test acc 0.8777 test loss 0.631268 best test_acc 0.9133
e 74 | malicious users: 5 | test acc 0.6915 test loss 0.903738 best test_acc 0.9133
e 75 | malicious users: 5 | test acc 0.6141 test loss 1.010948 best test_acc 0.9133
e 76 | malicious users: 5 | test acc 0.8776 test loss 0.642389 best test_acc 0.9133
e 77 | malicious users: 5 | test acc 0.7506 test loss 0.802611 best test_acc 0.9133
e 78 | malicious users: 5 | test acc 0.7947 test loss 0.748797 best test_acc 0.9133
e 79 | malicious users: 5 | test acc 0.7546 test loss 0.807965 best test_acc 0.9133
e 80 | malicious users: 5 | test acc 0.8314 test loss 0.858185 best test_acc 0.9133
e 81 | malicious users: 5 | test acc 0.7208 test loss 0.704326 best test_acc 0.9133
e 82 | malicious users: 5 | test acc 0.7084 test loss 0.836424 best test_acc 0.9133
e 83 | malicious users: 5 | test acc 0.7959 test loss 0.740759 best test_acc 0.9133
e 84 | malicious users: 5 | test acc 0.8653 test loss 0.440763 best test_acc 0.9133
e 85 | malicious users: 5 | test acc 0.8013 test loss 0.601440 best test_acc 0.9133
e 86 | malicious users: 5 | test acc 0.8849 test loss 0.474203 best test_acc 0.9133
e 87 | malicious users: 5 | test acc 0.9038 test loss 0.498610 best test_acc 0.9133
e 88 | malicious users: 5 | test acc 0.7081 test loss 0.850170 best test_acc 0.9133
e 89 | malicious users: 5 | test acc 0.7758 test loss 0.690625 best test_acc 0.9133
e 90 | malicious users: 5 | test acc 0.7799 test loss 0.606504 best test_acc 0.9133
e 91 | malicious users: 5 | test acc 0.8423 test loss 0.556241 best test_acc 0.9133
e 92 | malicious users: 5 | test acc 0.7533 test loss 0.761919 best test_acc 0.9133
e 93 | malicious users: 5 | test acc 0.7827 test loss 0.780991 best test_acc 0.9133
e 94 | malicious users: 5 | test acc 0.7849 test loss 0.656280 best test_acc 0.9133
e 95 | malicious users: 5 | test acc 0.7631 test loss 0.768890 best test_acc 0.9133
e 96 | malicious users: 5 | test acc 0.8636 test loss 0.899771 best test_acc 0.9133
e 97 | malicious users: 5 | test acc 0.7505 test loss 0.702790 best test_acc 0.9133
e 98 | malicious users: 5 | test acc 0.8084 test loss 0.603589 best test_acc 0.9133
e 99 | malicious users: 5 | test acc 0.7078 test loss 0.835435 best test_acc 0.9133
e 100 | malicious users: 5 | test acc 0.7827 test loss 0.661139 best test_acc 0.9133
e 101 | malicious users: 5 | test acc 0.7308 test loss 0.739194 best test_acc 0.9133
e 102 | malicious users: 5 | test acc 0.8019 test loss 0.721232 best test_acc 0.9133
e 103 | malicious users: 5 | test acc 0.7415 test loss 0.769427 best test_acc 0.9133
e 104 | malicious users: 5 | test acc 0.7262 test loss 0.761753 best test_acc 0.9133
e 105 | malicious users: 5 | test acc 0.7391 test loss 0.818854 best test_acc 0.9133
e 106 | malicious users: 5 | test acc 0.6461 test loss 1.084570 best test_acc 0.9133
e 107 | malicious users: 5 | test acc 0.7117 test loss 0.724213 best test_acc 0.9133
e 108 | malicious users: 5 | test acc 0.8092 test loss 0.599900 best test_acc 0.9133
e 109 | malicious users: 5 | test acc 0.7933 test loss 0.671592 best test_acc 0.9133
e 110 | malicious users: 5 | test acc 0.7695 test loss 0.739167 best test_acc 0.9133
e 111 | malicious users: 5 | test acc 0.7502 test loss 0.702356 best test_acc 0.9133
e 112 | malicious users: 5 | test acc 0.7571 test loss 0.784419 best test_acc 0.9133
e 113 | malicious users: 5 | test acc 0.8109 test loss 0.536503 best test_acc 0.9133
e 114 | malicious users: 5 | test acc 0.9171 test loss 0.335680 best test_acc 0.9171
e 115 | malicious users: 5 | test acc 0.6633 test loss 0.904894 best test_acc 0.9171
e 116 | malicious users: 5 | test acc 0.6858 test loss 0.824698 best test_acc 0.9171
e 117 | malicious users: 5 | test acc 0.6982 test loss 0.950087 best test_acc 0.9171
e 118 | malicious users: 5 | test acc 0.7225 test loss 0.745451 best test_acc 0.9171
e 119 | malicious users: 5 | test acc 0.8278 test loss 0.525839 best test_acc 0.9171
e 120 | malicious users: 5 | test acc 0.8395 test loss 0.580335 best test_acc 0.9171
e 121 | malicious users: 5 | test acc 0.8638 test loss 0.515663 best test_acc 0.9171
e 122 | malicious users: 5 | test acc 0.8213 test loss 0.523497 best test_acc 0.9171
e 123 | malicious users: 5 | test acc 0.7700 test loss 0.623185 best test_acc 0.9171
e 124 | malicious users: 5 | test acc 0.6938 test loss 0.904123 best test_acc 0.9171
e 125 | malicious users: 5 | test acc 0.7330 test loss 0.818232 best test_acc 0.9171
e 126 | malicious users: 5 | test acc 0.6908 test loss 0.836059 best test_acc 0.9171
e 127 | malicious users: 5 | test acc 0.6845 test loss 0.891788 best test_acc 0.9171
e 128 | malicious users: 5 | test acc 0.7569 test loss 0.778717 best test_acc 0.9171
e 129 | malicious users: 5 | test acc 0.8393 test loss 0.556158 best test_acc 0.9171
e 130 | malicious users: 5 | test acc 0.8783 test loss 0.520007 best test_acc 0.9171
e 131 | malicious users: 5 | test acc 0.8267 test loss 0.564483 best test_acc 0.9171
e 132 | malicious users: 5 | test acc 0.8794 test loss 0.445075 best test_acc 0.9171
e 133 | malicious users: 5 | test acc 0.8019 test loss 0.664150 best test_acc 0.9171
e 134 | malicious users: 5 | test acc 0.9097 test loss 0.479021 best test_acc 0.9171
e 135 | malicious users: 5 | test acc 0.8362 test loss 0.632846 best test_acc 0.9171
e 136 | malicious users: 5 | test acc 0.7427 test loss 0.749537 best test_acc 0.9171
e 137 | malicious users: 5 | test acc 0.7514 test loss 0.689572 best test_acc 0.9171
e 138 | malicious users: 5 | test acc 0.7786 test loss 0.664223 best test_acc 0.9171
e 139 | malicious users: 5 | test acc 0.8064 test loss 0.600139 best test_acc 0.9171
e 140 | malicious users: 5 | test acc 0.7901 test loss 0.605710 best test_acc 0.9171
e 141 | malicious users: 5 | test acc 0.7995 test loss 0.629449 best test_acc 0.9171
e 142 | malicious users: 5 | test acc 0.7594 test loss 0.767276 best test_acc 0.9171
e 143 | malicious users: 5 | test acc 0.7190 test loss 0.748766 best test_acc 0.9171
e 144 | malicious users: 5 | test acc 0.8644 test loss 0.558948 best test_acc 0.9171
e 145 | malicious users: 5 | test acc 0.7651 test loss 0.766609 best test_acc 0.9171
e 146 | malicious users: 5 | test acc 0.6227 test loss 0.989216 best test_acc 0.9171
e 147 | malicious users: 5 | test acc 0.7537 test loss 0.733847 best test_acc 0.9171
e 148 | malicious users: 5 | test acc 0.8048 test loss 0.644794 best test_acc 0.9171
e 149 | malicious users: 5 | test acc 0.6391 test loss 1.045497 best test_acc 0.9171
e 150 | malicious users: 5 | test acc 0.8073 test loss 0.708061 best test_acc 0.9171
e 151 | malicious users: 5 | test acc 0.7216 test loss 0.913953 best test_acc 0.9171
e 152 | malicious users: 5 | test acc 0.8094 test loss 0.603458 best test_acc 0.9171
e 153 | malicious users: 5 | test acc 0.7981 test loss 0.662908 best test_acc 0.9171
e 154 | malicious users: 5 | test acc 0.8160 test loss 0.662732 best test_acc 0.9171
e 155 | malicious users: 5 | test acc 0.8178 test loss 0.500571 best test_acc 0.9171
e 156 | malicious users: 5 | test acc 0.6225 test loss 0.918256 best test_acc 0.9171
e 157 | malicious users: 5 | test acc 0.8320 test loss 0.698173 best test_acc 0.9171
e 158 | malicious users: 5 | test acc 0.7857 test loss 0.676812 best test_acc 0.9171
e 159 | malicious users: 5 | test acc 0.8301 test loss 0.552856 best test_acc 0.9171
e 160 | malicious users: 5 | test acc 0.6464 test loss 1.091575 best test_acc 0.9171
e 161 | malicious users: 5 | test acc 0.7797 test loss 0.715148 best test_acc 0.9171
e 162 | malicious users: 5 | test acc 0.7651 test loss 0.658736 best test_acc 0.9171
e 163 | malicious users: 5 | test acc 0.8945 test loss 0.397602 best test_acc 0.9171
e 164 | malicious users: 5 | test acc 0.6120 test loss 0.923521 best test_acc 0.9171
e 165 | malicious users: 5 | test acc 0.7175 test loss 0.801388 best test_acc 0.9171
e 166 | malicious users: 5 | test acc 0.9190 test loss 0.441496 best test_acc 0.9190
e 167 | malicious users: 5 | test acc 0.6437 test loss 1.086810 best test_acc 0.9190
e 168 | malicious users: 5 | test acc 0.6686 test loss 0.919022 best test_acc 0.9190
e 169 | malicious users: 5 | test acc 0.7085 test loss 0.775307 best test_acc 0.9190
e 170 | malicious users: 5 | test acc 0.6056 test loss 1.022790 best test_acc 0.9190
e 171 | malicious users: 5 | test acc 0.7170 test loss 0.891071 best test_acc 0.9190
e 172 | malicious users: 5 | test acc 0.8648 test loss 0.580368 best test_acc 0.9190
e 173 | malicious users: 5 | test acc 0.8717 test loss 0.383475 best test_acc 0.9190
e 174 | malicious users: 5 | test acc 0.8323 test loss 0.529915 best test_acc 0.9190
e 175 | malicious users: 5 | test acc 0.7471 test loss 0.680844 best test_acc 0.9190
e 176 | malicious users: 5 | test acc 0.8030 test loss 0.691095 best test_acc 0.9190
e 177 | malicious users: 5 | test acc 0.7883 test loss 0.677548 best test_acc 0.9190
e 178 | malicious users: 5 | test acc 0.7724 test loss 0.741012 best test_acc 0.9190
e 179 | malicious users: 5 | test acc 0.8075 test loss 0.626679 best test_acc 0.9190
e 180 | malicious users: 5 | test acc 0.7261 test loss 0.784635 best test_acc 0.9190
e 181 | malicious users: 5 | test acc 0.9196 test loss 0.327024 best test_acc 0.9196
e 182 | malicious users: 5 | test acc 0.8195 test loss 0.680212 best test_acc 0.9196
e 183 | malicious users: 5 | test acc 0.8477 test loss 0.599336 best test_acc 0.9196
