=> Saving data in Logs/FRL~try=374
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2627 test loss 2.243793 best test_acc 0.2627
e 1 | malicious users: 0 | test acc 0.3828 test loss 2.135967 best test_acc 0.3828
e 2 | malicious users: 0 | test acc 0.4563 test loss 1.986218 best test_acc 0.4563
e 3 | malicious users: 0 | test acc 0.6309 test loss 1.767798 best test_acc 0.6309
e 4 | malicious users: 0 | test acc 0.5674 test loss 1.471071 best test_acc 0.6309
e 5 | malicious users: 0 | test acc 0.6413 test loss 1.554911 best test_acc 0.6413
e 6 | malicious users: 0 | test acc 0.6482 test loss 1.166558 best test_acc 0.6482
e 7 | malicious users: 0 | test acc 0.7818 test loss 1.231851 best test_acc 0.7818
e 8 | malicious users: 0 | test acc 0.6096 test loss 1.201354 best test_acc 0.7818
e 9 | malicious users: 0 | test acc 0.6978 test loss 0.941892 best test_acc 0.7818
e 10 | malicious users: 0 | test acc 0.7313 test loss 1.037986 best test_acc 0.7818
e 11 | malicious users: 0 | test acc 0.6720 test loss 0.917221 best test_acc 0.7818
e 12 | malicious users: 0 | test acc 0.7339 test loss 0.928031 best test_acc 0.7818
e 13 | malicious users: 0 | test acc 0.6903 test loss 0.923796 best test_acc 0.7818
e 14 | malicious users: 0 | test acc 0.8185 test loss 0.645540 best test_acc 0.8185
e 15 | malicious users: 0 | test acc 0.7639 test loss 0.752179 best test_acc 0.8185
e 16 | malicious users: 0 | test acc 0.7214 test loss 0.785008 best test_acc 0.8185
e 17 | malicious users: 0 | test acc 0.7647 test loss 0.793991 best test_acc 0.8185
e 18 | malicious users: 0 | test acc 0.8347 test loss 0.552243 best test_acc 0.8347
e 19 | malicious users: 0 | test acc 0.7033 test loss 0.877462 best test_acc 0.8347
e 20 | malicious users: 0 | test acc 0.6928 test loss 0.922100 best test_acc 0.8347
e 21 | malicious users: 0 | test acc 0.7570 test loss 0.842099 best test_acc 0.8347
e 22 | malicious users: 0 | test acc 0.7787 test loss 0.659905 best test_acc 0.8347
e 23 | malicious users: 0 | test acc 0.8936 test loss 0.629610 best test_acc 0.8936
e 24 | malicious users: 0 | test acc 0.8449 test loss 0.586286 best test_acc 0.8936
e 25 | malicious users: 0 | test acc 0.7893 test loss 0.692574 best test_acc 0.8936
e 26 | malicious users: 0 | test acc 0.8677 test loss 0.588092 best test_acc 0.8936
e 27 | malicious users: 0 | test acc 0.8504 test loss 0.488324 best test_acc 0.8936
e 28 | malicious users: 0 | test acc 0.7845 test loss 0.801328 best test_acc 0.8936
e 29 | malicious users: 0 | test acc 0.8509 test loss 0.557330 best test_acc 0.8936
e 30 | malicious users: 0 | test acc 0.8193 test loss 0.575046 best test_acc 0.8936
e 31 | malicious users: 0 | test acc 0.8415 test loss 0.675592 best test_acc 0.8936
