=> Saving data in Logs/FRL~try=410
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.0957 test loss 2.243746 best test_acc 0.0957
e 1 | malicious users: 0 | test acc 0.2638 test loss 2.026582 best test_acc 0.2638
e 2 | malicious users: 0 | test acc 0.5299 test loss 1.700632 best test_acc 0.5299
e 3 | malicious users: 0 | test acc 0.5903 test loss 1.592147 best test_acc 0.5903
e 4 | malicious users: 0 | test acc 0.6328 test loss 1.271495 best test_acc 0.6328
e 5 | malicious users: 0 | test acc 0.7061 test loss 1.033500 best test_acc 0.7061
e 6 | malicious users: 0 | test acc 0.7836 test loss 0.945919 best test_acc 0.7836
e 7 | malicious users: 0 | test acc 0.7416 test loss 0.844064 best test_acc 0.7836
e 8 | malicious users: 0 | test acc 0.7704 test loss 0.831006 best test_acc 0.7836
e 9 | malicious users: 0 | test acc 0.7185 test loss 0.864035 best test_acc 0.7836
e 10 | malicious users: 0 | test acc 0.7767 test loss 0.782977 best test_acc 0.7836
e 11 | malicious users: 0 | test acc 0.7875 test loss 0.723494 best test_acc 0.7875
e 12 | malicious users: 0 | test acc 0.8352 test loss 0.592473 best test_acc 0.8352
e 13 | malicious users: 0 | test acc 0.8268 test loss 0.566070 best test_acc 0.8352
e 14 | malicious users: 0 | test acc 0.8304 test loss 0.539637 best test_acc 0.8352
e 15 | malicious users: 0 | test acc 0.8353 test loss 0.634105 best test_acc 0.8353
e 16 | malicious users: 0 | test acc 0.8627 test loss 0.526513 best test_acc 0.8627
e 17 | malicious users: 0 | test acc 0.9151 test loss 0.411607 best test_acc 0.9151
e 18 | malicious users: 0 | test acc 0.9055 test loss 0.390340 best test_acc 0.9151
e 19 | malicious users: 0 | test acc 0.8183 test loss 0.590405 best test_acc 0.9151
e 20 | malicious users: 0 | test acc 0.8040 test loss 0.606048 best test_acc 0.9151
e 21 | malicious users: 0 | test acc 0.8605 test loss 0.439621 best test_acc 0.9151
e 22 | malicious users: 0 | test acc 0.8028 test loss 0.584833 best test_acc 0.9151
e 23 | malicious users: 0 | test acc 0.9019 test loss 0.400391 best test_acc 0.9151
e 24 | malicious users: 0 | test acc 0.9198 test loss 0.356616 best test_acc 0.9198
e 25 | malicious users: 0 | test acc 0.9122 test loss 0.419302 best test_acc 0.9198
e 26 | malicious users: 0 | test acc 0.8783 test loss 0.433599 best test_acc 0.9198
e 27 | malicious users: 0 | test acc 0.8509 test loss 0.456355 best test_acc 0.9198
e 28 | malicious users: 0 | test acc 0.8296 test loss 0.554098 best test_acc 0.9198
e 29 | malicious users: 0 | test acc 0.8624 test loss 0.561984 best test_acc 0.9198
e 30 | malicious users: 0 | test acc 0.8834 test loss 0.476990 best test_acc 0.9198
e 31 | malicious users: 0 | test acc 0.8988 test loss 0.411649 best test_acc 0.9198
e 32 | malicious users: 0 | test acc 0.8181 test loss 0.503340 best test_acc 0.9198
e 33 | malicious users: 0 | test acc 0.8739 test loss 0.454014 best test_acc 0.9198
e 34 | malicious users: 0 | test acc 0.8728 test loss 0.443291 best test_acc 0.9198
e 35 | malicious users: 0 | test acc 0.8985 test loss 0.422315 best test_acc 0.9198
e 36 | malicious users: 0 | test acc 0.9357 test loss 0.266863 best test_acc 0.9357
e 37 | malicious users: 0 | test acc 0.8341 test loss 0.587363 best test_acc 0.9357
e 38 | malicious users: 0 | test acc 0.9354 test loss 0.307449 best test_acc 0.9357
e 39 | malicious users: 0 | test acc 0.8639 test loss 0.496957 best test_acc 0.9357
e 40 | malicious users: 0 | test acc 0.9466 test loss 0.214589 best test_acc 0.9466
e 41 | malicious users: 0 | test acc 0.8647 test loss 0.389184 best test_acc 0.9466
e 42 | malicious users: 0 | test acc 0.9198 test loss 0.347459 best test_acc 0.9466
e 43 | malicious users: 0 | test acc 0.8533 test loss 0.507943 best test_acc 0.9466
e 44 | malicious users: 0 | test acc 0.9357 test loss 0.247730 best test_acc 0.9466
e 45 | malicious users: 0 | test acc 0.8759 test loss 0.577424 best test_acc 0.9466
e 46 | malicious users: 0 | test acc 0.8775 test loss 0.355658 best test_acc 0.9466
e 47 | malicious users: 0 | test acc 0.8475 test loss 0.494735 best test_acc 0.9466
e 48 | malicious users: 0 | test acc 0.8387 test loss 0.459646 best test_acc 0.9466
e 49 | malicious users: 0 | test acc 0.8631 test loss 0.504243 best test_acc 0.9466
e 50 | malicious users: 0 | test acc 0.7827 test loss 0.531124 best test_acc 0.9466
e 51 | malicious users: 0 | test acc 0.9023 test loss 0.350424 best test_acc 0.9466
e 52 | malicious users: 0 | test acc 0.8479 test loss 0.530744 best test_acc 0.9466
e 53 | malicious users: 0 | test acc 0.8828 test loss 0.546625 best test_acc 0.9466
e 54 | malicious users: 0 | test acc 0.9237 test loss 0.288397 best test_acc 0.9466
e 55 | malicious users: 0 | test acc 0.8979 test loss 0.476839 best test_acc 0.9466
e 56 | malicious users: 0 | test acc 0.9209 test loss 0.273881 best test_acc 0.9466
e 57 | malicious users: 0 | test acc 0.8551 test loss 0.420040 best test_acc 0.9466
e 58 | malicious users: 0 | test acc 0.8597 test loss 0.419049 best test_acc 0.9466
e 59 | malicious users: 0 | test acc 0.9422 test loss 0.292129 best test_acc 0.9466
