=> Saving data in Logs/FRL~try=414
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1016 test loss 2.253500 best test_acc 0.1016
e 1 | malicious users: 0 | test acc 0.4331 test loss 2.154219 best test_acc 0.4331
e 2 | malicious users: 0 | test acc 0.3024 test loss 1.989631 best test_acc 0.4331
e 3 | malicious users: 0 | test acc 0.4919 test loss 1.947201 best test_acc 0.4919
e 4 | malicious users: 0 | test acc 0.5004 test loss 1.846099 best test_acc 0.5004
e 5 | malicious users: 0 | test acc 0.5984 test loss 1.554714 best test_acc 0.5984
e 6 | malicious users: 0 | test acc 0.6396 test loss 1.314436 best test_acc 0.6396
e 7 | malicious users: 0 | test acc 0.6996 test loss 1.182578 best test_acc 0.6996
e 8 | malicious users: 0 | test acc 0.6724 test loss 1.412501 best test_acc 0.6996
e 9 | malicious users: 0 | test acc 0.6639 test loss 1.266145 best test_acc 0.6996
e 10 | malicious users: 0 | test acc 0.6581 test loss 1.104587 best test_acc 0.6996
e 11 | malicious users: 0 | test acc 0.6416 test loss 1.006226 best test_acc 0.6996
e 12 | malicious users: 0 | test acc 0.5773 test loss 1.304023 best test_acc 0.6996
e 13 | malicious users: 0 | test acc 0.8241 test loss 0.912809 best test_acc 0.8241
e 14 | malicious users: 0 | test acc 0.7686 test loss 0.919202 best test_acc 0.8241
e 15 | malicious users: 0 | test acc 0.6453 test loss 1.010608 best test_acc 0.8241
e 16 | malicious users: 0 | test acc 0.7623 test loss 0.902212 best test_acc 0.8241
e 17 | malicious users: 0 | test acc 0.7352 test loss 0.881705 best test_acc 0.8241
e 18 | malicious users: 0 | test acc 0.8364 test loss 0.795469 best test_acc 0.8364
e 19 | malicious users: 0 | test acc 0.8798 test loss 0.673320 best test_acc 0.8798
e 20 | malicious users: 0 | test acc 0.8197 test loss 0.660971 best test_acc 0.8798
e 21 | malicious users: 0 | test acc 0.7673 test loss 0.689171 best test_acc 0.8798
e 22 | malicious users: 0 | test acc 0.8320 test loss 0.726895 best test_acc 0.8798
e 23 | malicious users: 0 | test acc 0.7114 test loss 0.862276 best test_acc 0.8798
