=> Saving data in Logs/FRL~try=418
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.2301 test loss 2.266612 best test_acc 0.2301
e 1 | malicious users: 4 | test acc 0.4564 test loss 2.239443 best test_acc 0.4564
e 2 | malicious users: 2 | test acc 0.4332 test loss 1.965929 best test_acc 0.4564
e 3 | malicious users: 7 | test acc 0.4675 test loss 2.000908 best test_acc 0.4675
e 4 | malicious users: 6 | test acc 0.4379 test loss 2.003283 best test_acc 0.4675
e 5 | malicious users: 6 | test acc 0.4765 test loss 1.909559 best test_acc 0.4765
e 6 | malicious users: 5 | test acc 0.4152 test loss 1.948458 best test_acc 0.4765
e 7 | malicious users: 4 | test acc 0.5017 test loss 1.696673 best test_acc 0.5017
e 8 | malicious users: 6 | test acc 0.6312 test loss 1.949561 best test_acc 0.6312
e 9 | malicious users: 4 | test acc 0.5749 test loss 1.848878 best test_acc 0.6312
e 10 | malicious users: 3 | test acc 0.5369 test loss 1.536638 best test_acc 0.6312
e 11 | malicious users: 5 | test acc 0.4980 test loss 1.965032 best test_acc 0.6312
e 12 | malicious users: 4 | test acc 0.5645 test loss 1.535027 best test_acc 0.6312
e 13 | malicious users: 5 | test acc 0.7338 test loss 1.712967 best test_acc 0.7338
e 14 | malicious users: 7 | test acc 0.6352 test loss 2.111425 best test_acc 0.7338
e 15 | malicious users: 8 | test acc 0.5786 test loss 2.059410 best test_acc 0.7338
e 16 | malicious users: 8 | test acc 0.5343 test loss 2.178637 best test_acc 0.7338
e 17 | malicious users: 4 | test acc 0.4380 test loss 2.070383 best test_acc 0.7338
e 18 | malicious users: 3 | test acc 0.5648 test loss 1.534204 best test_acc 0.7338
e 19 | malicious users: 2 | test acc 0.6402 test loss 1.690566 best test_acc 0.7338
e 20 | malicious users: 7 | test acc 0.6821 test loss 2.026720 best test_acc 0.7338
e 21 | malicious users: 2 | test acc 0.7006 test loss 1.400319 best test_acc 0.7338
e 22 | malicious users: 3 | test acc 0.6749 test loss 1.557819 best test_acc 0.7338
e 23 | malicious users: 5 | test acc 0.6773 test loss 1.591670 best test_acc 0.7338
e 24 | malicious users: 7 | test acc 0.7503 test loss 2.024346 best test_acc 0.7503
e 25 | malicious users: 6 | test acc 0.6042 test loss 1.854405 best test_acc 0.7503
e 26 | malicious users: 7 | test acc 0.6807 test loss 2.064171 best test_acc 0.7503
e 27 | malicious users: 5 | test acc 0.6672 test loss 1.748853 best test_acc 0.7503
e 28 | malicious users: 2 | test acc 0.6061 test loss 1.706505 best test_acc 0.7503
e 29 | malicious users: 3 | test acc 0.6326 test loss 1.403244 best test_acc 0.7503
e 30 | malicious users: 4 | test acc 0.6937 test loss 1.551222 best test_acc 0.7503
e 31 | malicious users: 8 | test acc 0.6470 test loss 1.844973 best test_acc 0.7503
e 32 | malicious users: 7 | test acc 0.6587 test loss 1.864354 best test_acc 0.7503
e 33 | malicious users: 6 | test acc 0.5905 test loss 1.867653 best test_acc 0.7503
e 34 | malicious users: 4 | test acc 0.5843 test loss 1.719504 best test_acc 0.7503
e 35 | malicious users: 3 | test acc 0.6737 test loss 1.439459 best test_acc 0.7503
e 36 | malicious users: 4 | test acc 0.6252 test loss 1.433100 best test_acc 0.7503
e 37 | malicious users: 2 | test acc 0.6690 test loss 1.148655 best test_acc 0.7503
e 38 | malicious users: 6 | test acc 0.6961 test loss 1.497824 best test_acc 0.7503
e 39 | malicious users: 5 | test acc 0.6868 test loss 1.504451 best test_acc 0.7503
e 40 | malicious users: 7 | test acc 0.7366 test loss 1.665080 best test_acc 0.7503
e 41 | malicious users: 5 | test acc 0.6591 test loss 1.712897 best test_acc 0.7503
e 42 | malicious users: 7 | test acc 0.7112 test loss 1.752881 best test_acc 0.7503
e 43 | malicious users: 7 | test acc 0.6164 test loss 1.885416 best test_acc 0.7503
e 44 | malicious users: 5 | test acc 0.5817 test loss 1.689606 best test_acc 0.7503
e 45 | malicious users: 6 | test acc 0.6772 test loss 1.628663 best test_acc 0.7503
e 46 | malicious users: 5 | test acc 0.6229 test loss 1.835464 best test_acc 0.7503
e 47 | malicious users: 3 | test acc 0.6130 test loss 1.550609 best test_acc 0.7503
e 48 | malicious users: 5 | test acc 0.6645 test loss 1.663446 best test_acc 0.7503
e 49 | malicious users: 7 | test acc 0.6320 test loss 1.596311 best test_acc 0.7503
e 50 | malicious users: 8 | test acc 0.6318 test loss 1.879306 best test_acc 0.7503
e 51 | malicious users: 5 | test acc 0.5783 test loss 1.886787 best test_acc 0.7503
e 52 | malicious users: 2 | test acc 0.5880 test loss 1.558585 best test_acc 0.7503
e 53 | malicious users: 5 | test acc 0.6354 test loss 1.692557 best test_acc 0.7503
e 54 | malicious users: 3 | test acc 0.6802 test loss 1.201112 best test_acc 0.7503
e 55 | malicious users: 3 | test acc 0.6684 test loss 1.225778 best test_acc 0.7503
e 56 | malicious users: 3 | test acc 0.6499 test loss 1.186836 best test_acc 0.7503
e 57 | malicious users: 4 | test acc 0.6933 test loss 1.218183 best test_acc 0.7503
e 58 | malicious users: 6 | test acc 0.6853 test loss 1.728835 best test_acc 0.7503
e 59 | malicious users: 6 | test acc 0.6857 test loss 1.460898 best test_acc 0.7503
e 60 | malicious users: 4 | test acc 0.7368 test loss 1.441937 best test_acc 0.7503
e 61 | malicious users: 5 | test acc 0.7121 test loss 1.177674 best test_acc 0.7503
e 62 | malicious users: 2 | test acc 0.6939 test loss 1.046903 best test_acc 0.7503
e 63 | malicious users: 3 | test acc 0.7223 test loss 0.912225 best test_acc 0.7503
e 64 | malicious users: 9 | test acc 0.8133 test loss 1.928511 best test_acc 0.8133
e 65 | malicious users: 4 | test acc 0.6475 test loss 1.392386 best test_acc 0.8133
e 66 | malicious users: 3 | test acc 0.7361 test loss 1.375535 best test_acc 0.8133
e 67 | malicious users: 6 | test acc 0.6783 test loss 1.540599 best test_acc 0.8133
e 68 | malicious users: 7 | test acc 0.7482 test loss 1.730427 best test_acc 0.8133
e 69 | malicious users: 0 | test acc 0.6661 test loss 1.119137 best test_acc 0.8133
e 70 | malicious users: 6 | test acc 0.6530 test loss 1.461835 best test_acc 0.8133
e 71 | malicious users: 8 | test acc 0.6680 test loss 1.529250 best test_acc 0.8133
e 72 | malicious users: 7 | test acc 0.7347 test loss 1.690270 best test_acc 0.8133
e 73 | malicious users: 7 | test acc 0.6055 test loss 1.565982 best test_acc 0.8133
e 74 | malicious users: 5 | test acc 0.7013 test loss 1.608828 best test_acc 0.8133
e 75 | malicious users: 4 | test acc 0.7703 test loss 1.199559 best test_acc 0.8133
e 76 | malicious users: 8 | test acc 0.6691 test loss 1.788303 best test_acc 0.8133
e 77 | malicious users: 9 | test acc 0.7740 test loss 1.921103 best test_acc 0.8133
e 78 | malicious users: 6 | test acc 0.7181 test loss 1.534897 best test_acc 0.8133
e 79 | malicious users: 2 | test acc 0.7040 test loss 1.096681 best test_acc 0.8133
e 80 | malicious users: 6 | test acc 0.7111 test loss 1.709330 best test_acc 0.8133
e 81 | malicious users: 2 | test acc 0.7044 test loss 1.233943 best test_acc 0.8133
e 82 | malicious users: 8 | test acc 0.7342 test loss 1.602354 best test_acc 0.8133
e 83 | malicious users: 3 | test acc 0.7380 test loss 1.088166 best test_acc 0.8133
e 84 | malicious users: 8 | test acc 0.7324 test loss 1.460611 best test_acc 0.8133
e 85 | malicious users: 5 | test acc 0.6700 test loss 1.458001 best test_acc 0.8133
e 86 | malicious users: 4 | test acc 0.6408 test loss 1.555117 best test_acc 0.8133
e 87 | malicious users: 2 | test acc 0.7031 test loss 1.056003 best test_acc 0.8133
e 88 | malicious users: 8 | test acc 0.7210 test loss 1.650630 best test_acc 0.8133
e 89 | malicious users: 6 | test acc 0.6551 test loss 1.540373 best test_acc 0.8133
e 90 | malicious users: 4 | test acc 0.7242 test loss 1.158884 best test_acc 0.8133
e 91 | malicious users: 3 | test acc 0.6666 test loss 1.237812 best test_acc 0.8133
e 92 | malicious users: 4 | test acc 0.7032 test loss 1.116365 best test_acc 0.8133
e 93 | malicious users: 4 | test acc 0.6524 test loss 1.544007 best test_acc 0.8133
e 94 | malicious users: 7 | test acc 0.6414 test loss 1.748466 best test_acc 0.8133
e 95 | malicious users: 5 | test acc 0.7408 test loss 1.353046 best test_acc 0.8133
e 96 | malicious users: 5 | test acc 0.7159 test loss 1.235429 best test_acc 0.8133
e 97 | malicious users: 4 | test acc 0.7166 test loss 1.250970 best test_acc 0.8133
e 98 | malicious users: 8 | test acc 0.6916 test loss 1.627904 best test_acc 0.8133
e 99 | malicious users: 3 | test acc 0.6596 test loss 1.078501 best test_acc 0.8133
e 100 | malicious users: 6 | test acc 0.7346 test loss 1.525515 best test_acc 0.8133
e 101 | malicious users: 9 | test acc 0.7070 test loss 1.727714 best test_acc 0.8133
e 102 | malicious users: 3 | test acc 0.6823 test loss 1.422382 best test_acc 0.8133
e 103 | malicious users: 5 | test acc 0.6982 test loss 1.494539 best test_acc 0.8133
e 104 | malicious users: 5 | test acc 0.6502 test loss 1.366634 best test_acc 0.8133
e 105 | malicious users: 3 | test acc 0.7051 test loss 1.310499 best test_acc 0.8133
e 106 | malicious users: 6 | test acc 0.7542 test loss 1.658973 best test_acc 0.8133
e 107 | malicious users: 7 | test acc 0.6708 test loss 1.443930 best test_acc 0.8133
e 108 | malicious users: 3 | test acc 0.7611 test loss 1.183814 best test_acc 0.8133
e 109 | malicious users: 5 | test acc 0.7272 test loss 1.512436 best test_acc 0.8133
e 110 | malicious users: 8 | test acc 0.6821 test loss 1.571523 best test_acc 0.8133
e 111 | malicious users: 5 | test acc 0.7240 test loss 1.466782 best test_acc 0.8133
e 112 | malicious users: 7 | test acc 0.6914 test loss 1.835146 best test_acc 0.8133
e 113 | malicious users: 4 | test acc 0.7092 test loss 1.299484 best test_acc 0.8133
e 114 | malicious users: 10 | test acc 0.7523 test loss 1.887723 best test_acc 0.8133
e 115 | malicious users: 7 | test acc 0.6527 test loss 1.711558 best test_acc 0.8133
e 116 | malicious users: 7 | test acc 0.6811 test loss 1.606812 best test_acc 0.8133
e 117 | malicious users: 6 | test acc 0.6442 test loss 1.583736 best test_acc 0.8133
e 118 | malicious users: 7 | test acc 0.6757 test loss 1.520484 best test_acc 0.8133
e 119 | malicious users: 4 | test acc 0.6903 test loss 1.282265 best test_acc 0.8133
e 120 | malicious users: 3 | test acc 0.7000 test loss 1.083006 best test_acc 0.8133
e 121 | malicious users: 4 | test acc 0.7371 test loss 1.141796 best test_acc 0.8133
e 122 | malicious users: 4 | test acc 0.7163 test loss 1.251448 best test_acc 0.8133
e 123 | malicious users: 7 | test acc 0.7045 test loss 1.405067 best test_acc 0.8133
e 124 | malicious users: 5 | test acc 0.6982 test loss 1.312247 best test_acc 0.8133
e 125 | malicious users: 8 | test acc 0.7018 test loss 1.336947 best test_acc 0.8133
e 126 | malicious users: 7 | test acc 0.6915 test loss 1.620476 best test_acc 0.8133
e 127 | malicious users: 6 | test acc 0.6717 test loss 1.362629 best test_acc 0.8133
e 128 | malicious users: 3 | test acc 0.7872 test loss 0.955584 best test_acc 0.8133
e 129 | malicious users: 5 | test acc 0.6798 test loss 1.255437 best test_acc 0.8133
e 130 | malicious users: 5 | test acc 0.7078 test loss 1.175224 best test_acc 0.8133
e 131 | malicious users: 6 | test acc 0.6910 test loss 1.309276 best test_acc 0.8133
e 132 | malicious users: 4 | test acc 0.8383 test loss 0.896403 best test_acc 0.8383
e 133 | malicious users: 7 | test acc 0.5839 test loss 1.411768 best test_acc 0.8383
e 134 | malicious users: 7 | test acc 0.6998 test loss 1.346103 best test_acc 0.8383
e 135 | malicious users: 5 | test acc 0.6977 test loss 1.469111 best test_acc 0.8383
e 136 | malicious users: 3 | test acc 0.6914 test loss 1.206549 best test_acc 0.8383
e 137 | malicious users: 5 | test acc 0.7640 test loss 1.253942 best test_acc 0.8383
