=> Saving data in Logs/FRL~try=422
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1735 test loss 2.241544 best test_acc 0.1735
e 1 | malicious users: 5 | test acc 0.4602 test loss 2.155135 best test_acc 0.4602
e 2 | malicious users: 4 | test acc 0.5372 test loss 2.040561 best test_acc 0.5372
e 3 | malicious users: 9 | test acc 0.5310 test loss 1.922011 best test_acc 0.5372
e 4 | malicious users: 5 | test acc 0.5227 test loss 1.992101 best test_acc 0.5372
e 5 | malicious users: 6 | test acc 0.5172 test loss 1.813602 best test_acc 0.5372
e 6 | malicious users: 6 | test acc 0.5449 test loss 1.513650 best test_acc 0.5449
e 7 | malicious users: 6 | test acc 0.6675 test loss 1.497469 best test_acc 0.6675
e 8 | malicious users: 4 | test acc 0.5181 test loss 1.658193 best test_acc 0.6675
e 9 | malicious users: 5 | test acc 0.6867 test loss 1.384165 best test_acc 0.6867
e 10 | malicious users: 1 | test acc 0.7474 test loss 0.904390 best test_acc 0.7474
e 11 | malicious users: 6 | test acc 0.6372 test loss 1.186917 best test_acc 0.7474
e 12 | malicious users: 4 | test acc 0.7147 test loss 1.072916 best test_acc 0.7474
e 13 | malicious users: 5 | test acc 0.7490 test loss 1.302638 best test_acc 0.7490
e 14 | malicious users: 10 | test acc 0.7772 test loss 1.419679 best test_acc 0.7772
e 15 | malicious users: 4 | test acc 0.6549 test loss 1.412626 best test_acc 0.7772
e 16 | malicious users: 2 | test acc 0.7249 test loss 1.010458 best test_acc 0.7772
e 17 | malicious users: 4 | test acc 0.6549 test loss 1.108653 best test_acc 0.7772
e 18 | malicious users: 6 | test acc 0.7520 test loss 1.065361 best test_acc 0.7772
e 19 | malicious users: 4 | test acc 0.6864 test loss 1.136558 best test_acc 0.7772
