=> Saving data in Logs/FRL~try=423
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1761 test loss 2.257745 best test_acc 0.1761
e 1 | malicious users: 6 | test acc 0.3778 test loss 2.164890 best test_acc 0.3778
e 2 | malicious users: 7 | test acc 0.4952 test loss 2.069127 best test_acc 0.4952
e 3 | malicious users: 7 | test acc 0.5962 test loss 1.914781 best test_acc 0.5962
e 4 | malicious users: 5 | test acc 0.4458 test loss 1.624475 best test_acc 0.5962
e 5 | malicious users: 9 | test acc 0.5455 test loss 1.632219 best test_acc 0.5962
e 6 | malicious users: 4 | test acc 0.6458 test loss 1.288693 best test_acc 0.6458
e 7 | malicious users: 4 | test acc 0.6561 test loss 1.397655 best test_acc 0.6561
e 8 | malicious users: 5 | test acc 0.7433 test loss 1.217883 best test_acc 0.7433
e 9 | malicious users: 3 | test acc 0.6573 test loss 1.094088 best test_acc 0.7433
e 10 | malicious users: 3 | test acc 0.6991 test loss 0.998688 best test_acc 0.7433
e 11 | malicious users: 3 | test acc 0.7744 test loss 0.893422 best test_acc 0.7744
e 12 | malicious users: 5 | test acc 0.7539 test loss 1.171675 best test_acc 0.7744
e 13 | malicious users: 9 | test acc 0.7265 test loss 1.348958 best test_acc 0.7744
e 14 | malicious users: 3 | test acc 0.7522 test loss 0.827335 best test_acc 0.7744
e 15 | malicious users: 8 | test acc 0.7418 test loss 0.926384 best test_acc 0.7744
e 16 | malicious users: 7 | test acc 0.6930 test loss 1.075323 best test_acc 0.7744
e 17 | malicious users: 3 | test acc 0.7995 test loss 0.826948 best test_acc 0.7995
e 18 | malicious users: 9 | test acc 0.7697 test loss 1.116449 best test_acc 0.7995
e 19 | malicious users: 3 | test acc 0.7737 test loss 0.916624 best test_acc 0.7995
e 20 | malicious users: 6 | test acc 0.8041 test loss 0.838721 best test_acc 0.8041
e 21 | malicious users: 4 | test acc 0.8459 test loss 0.693210 best test_acc 0.8459
e 22 | malicious users: 3 | test acc 0.7426 test loss 0.794420 best test_acc 0.8459
e 23 | malicious users: 5 | test acc 0.8187 test loss 0.774958 best test_acc 0.8459
e 24 | malicious users: 4 | test acc 0.8180 test loss 0.771267 best test_acc 0.8459
e 25 | malicious users: 4 | test acc 0.8387 test loss 0.796439 best test_acc 0.8459
e 26 | malicious users: 3 | test acc 0.7635 test loss 0.964968 best test_acc 0.8459
e 27 | malicious users: 5 | test acc 0.8693 test loss 0.467338 best test_acc 0.8693
e 28 | malicious users: 2 | test acc 0.7663 test loss 0.976271 best test_acc 0.8693
e 29 | malicious users: 6 | test acc 0.8955 test loss 0.462246 best test_acc 0.8955
