=> Saving data in Logs/FRL~try=424
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.3896 test loss 2.228593 best test_acc 0.3896
e 1 | malicious users: 0 | test acc 0.1354 test loss 2.166770 best test_acc 0.3896
e 2 | malicious users: 0 | test acc 0.4760 test loss 1.902037 best test_acc 0.4760
e 3 | malicious users: 0 | test acc 0.5400 test loss 1.642352 best test_acc 0.5400
e 4 | malicious users: 0 | test acc 0.5429 test loss 1.542790 best test_acc 0.5429
e 5 | malicious users: 0 | test acc 0.6604 test loss 1.311388 best test_acc 0.6604
e 6 | malicious users: 0 | test acc 0.5201 test loss 1.358411 best test_acc 0.6604
e 7 | malicious users: 0 | test acc 0.6305 test loss 1.170245 best test_acc 0.6604
e 8 | malicious users: 0 | test acc 0.6614 test loss 1.299353 best test_acc 0.6614
e 9 | malicious users: 0 | test acc 0.7245 test loss 0.988824 best test_acc 0.7245
e 10 | malicious users: 0 | test acc 0.6717 test loss 0.974424 best test_acc 0.7245
e 11 | malicious users: 0 | test acc 0.7949 test loss 0.869874 best test_acc 0.7949
e 12 | malicious users: 0 | test acc 0.7730 test loss 0.929027 best test_acc 0.7949
e 13 | malicious users: 0 | test acc 0.8271 test loss 0.692523 best test_acc 0.8271
e 14 | malicious users: 0 | test acc 0.6927 test loss 1.016310 best test_acc 0.8271
e 15 | malicious users: 0 | test acc 0.7870 test loss 0.661352 best test_acc 0.8271
e 16 | malicious users: 0 | test acc 0.7622 test loss 0.721384 best test_acc 0.8271
e 17 | malicious users: 0 | test acc 0.7418 test loss 0.787354 best test_acc 0.8271
e 18 | malicious users: 0 | test acc 0.7687 test loss 0.888216 best test_acc 0.8271
e 19 | malicious users: 0 | test acc 0.7872 test loss 0.604007 best test_acc 0.8271
e 20 | malicious users: 0 | test acc 0.7016 test loss 0.961951 best test_acc 0.8271
e 21 | malicious users: 0 | test acc 0.8156 test loss 0.683918 best test_acc 0.8271
e 22 | malicious users: 0 | test acc 0.7507 test loss 0.844674 best test_acc 0.8271
e 23 | malicious users: 0 | test acc 0.8069 test loss 0.664744 best test_acc 0.8271
e 24 | malicious users: 0 | test acc 0.8046 test loss 0.611161 best test_acc 0.8271
e 25 | malicious users: 0 | test acc 0.7128 test loss 0.951681 best test_acc 0.8271
e 26 | malicious users: 0 | test acc 0.8032 test loss 0.602854 best test_acc 0.8271
e 27 | malicious users: 0 | test acc 0.9095 test loss 0.523556 best test_acc 0.9095
e 28 | malicious users: 0 | test acc 0.7885 test loss 0.784578 best test_acc 0.9095
e 29 | malicious users: 0 | test acc 0.8245 test loss 0.596336 best test_acc 0.9095
e 30 | malicious users: 0 | test acc 0.7884 test loss 0.630269 best test_acc 0.9095
e 31 | malicious users: 0 | test acc 0.8089 test loss 0.715297 best test_acc 0.9095
e 32 | malicious users: 0 | test acc 0.8788 test loss 0.533898 best test_acc 0.9095
e 33 | malicious users: 0 | test acc 0.8235 test loss 0.581219 best test_acc 0.9095
e 34 | malicious users: 0 | test acc 0.8185 test loss 0.651194 best test_acc 0.9095
e 35 | malicious users: 0 | test acc 0.8550 test loss 0.559697 best test_acc 0.9095
e 36 | malicious users: 0 | test acc 0.8173 test loss 0.606245 best test_acc 0.9095
e 37 | malicious users: 0 | test acc 0.9035 test loss 0.521467 best test_acc 0.9095
e 38 | malicious users: 0 | test acc 0.9104 test loss 0.388756 best test_acc 0.9104
e 39 | malicious users: 0 | test acc 0.8076 test loss 0.647148 best test_acc 0.9104
e 40 | malicious users: 0 | test acc 0.7516 test loss 0.693234 best test_acc 0.9104
e 41 | malicious users: 0 | test acc 0.8190 test loss 0.637524 best test_acc 0.9104
e 42 | malicious users: 0 | test acc 0.8894 test loss 0.533691 best test_acc 0.9104
e 43 | malicious users: 0 | test acc 0.8570 test loss 0.534423 best test_acc 0.9104
e 44 | malicious users: 0 | test acc 0.9065 test loss 0.740882 best test_acc 0.9104
e 45 | malicious users: 0 | test acc 0.9065 test loss 0.356519 best test_acc 0.9104
e 46 | malicious users: 0 | test acc 0.8660 test loss 0.546935 best test_acc 0.9104
e 47 | malicious users: 0 | test acc 0.9281 test loss 0.349303 best test_acc 0.9281
e 48 | malicious users: 0 | test acc 0.8639 test loss 0.457022 best test_acc 0.9281
e 49 | malicious users: 0 | test acc 0.8309 test loss 0.541119 best test_acc 0.9281
e 50 | malicious users: 0 | test acc 0.8079 test loss 0.691791 best test_acc 0.9281
e 51 | malicious users: 0 | test acc 0.8438 test loss 0.528023 best test_acc 0.9281
e 52 | malicious users: 0 | test acc 0.7800 test loss 0.573748 best test_acc 0.9281
e 53 | malicious users: 0 | test acc 0.8701 test loss 0.557633 best test_acc 0.9281
e 54 | malicious users: 0 | test acc 0.8313 test loss 0.529283 best test_acc 0.9281
e 55 | malicious users: 0 | test acc 0.8383 test loss 0.503970 best test_acc 0.9281
e 56 | malicious users: 0 | test acc 0.8850 test loss 0.492464 best test_acc 0.9281
e 57 | malicious users: 0 | test acc 0.9053 test loss 0.384560 best test_acc 0.9281
e 58 | malicious users: 0 | test acc 0.8562 test loss 0.506574 best test_acc 0.9281
e 59 | malicious users: 0 | test acc 0.7969 test loss 0.579546 best test_acc 0.9281
e 60 | malicious users: 0 | test acc 0.8657 test loss 0.505239 best test_acc 0.9281
e 61 | malicious users: 0 | test acc 0.8905 test loss 0.404813 best test_acc 0.9281
e 62 | malicious users: 0 | test acc 0.8801 test loss 0.417890 best test_acc 0.9281
e 63 | malicious users: 0 | test acc 0.9272 test loss 0.372363 best test_acc 0.9281
e 64 | malicious users: 0 | test acc 0.8210 test loss 0.570904 best test_acc 0.9281
e 65 | malicious users: 0 | test acc 0.9073 test loss 0.434327 best test_acc 0.9281
e 66 | malicious users: 0 | test acc 0.8911 test loss 0.410881 best test_acc 0.9281
e 67 | malicious users: 0 | test acc 0.8058 test loss 0.574443 best test_acc 0.9281
e 68 | malicious users: 0 | test acc 0.8105 test loss 0.601512 best test_acc 0.9281
e 69 | malicious users: 0 | test acc 0.8140 test loss 0.519493 best test_acc 0.9281
e 70 | malicious users: 0 | test acc 0.8923 test loss 0.518726 best test_acc 0.9281
e 71 | malicious users: 0 | test acc 0.7864 test loss 0.711726 best test_acc 0.9281
e 72 | malicious users: 0 | test acc 0.7847 test loss 0.631800 best test_acc 0.9281
e 73 | malicious users: 0 | test acc 0.9334 test loss 0.370707 best test_acc 0.9334
e 74 | malicious users: 0 | test acc 0.7521 test loss 0.685284 best test_acc 0.9334
e 75 | malicious users: 0 | test acc 0.8313 test loss 0.661125 best test_acc 0.9334
e 76 | malicious users: 0 | test acc 0.8682 test loss 0.510404 best test_acc 0.9334
e 77 | malicious users: 0 | test acc 0.8479 test loss 0.465084 best test_acc 0.9334
e 78 | malicious users: 0 | test acc 0.8103 test loss 0.624872 best test_acc 0.9334
e 79 | malicious users: 0 | test acc 0.9065 test loss 0.418148 best test_acc 0.9334
e 80 | malicious users: 0 | test acc 0.9010 test loss 0.423036 best test_acc 0.9334
e 81 | malicious users: 0 | test acc 0.8526 test loss 0.566349 best test_acc 0.9334
e 82 | malicious users: 0 | test acc 0.8486 test loss 0.480706 best test_acc 0.9334
e 83 | malicious users: 0 | test acc 0.9139 test loss 0.391459 best test_acc 0.9334
e 84 | malicious users: 0 | test acc 0.9323 test loss 0.304973 best test_acc 0.9334
e 85 | malicious users: 0 | test acc 0.9036 test loss 0.378102 best test_acc 0.9334
e 86 | malicious users: 0 | test acc 0.8731 test loss 0.409678 best test_acc 0.9334
e 87 | malicious users: 0 | test acc 0.9440 test loss 0.299072 best test_acc 0.9440
e 88 | malicious users: 0 | test acc 0.9330 test loss 0.308831 best test_acc 0.9440
e 89 | malicious users: 0 | test acc 0.8630 test loss 0.555108 best test_acc 0.9440
e 90 | malicious users: 0 | test acc 0.9113 test loss 0.323405 best test_acc 0.9440
e 91 | malicious users: 0 | test acc 0.8703 test loss 0.478308 best test_acc 0.9440
e 92 | malicious users: 0 | test acc 0.8715 test loss 0.390240 best test_acc 0.9440
e 93 | malicious users: 0 | test acc 0.8584 test loss 0.417081 best test_acc 0.9440
e 94 | malicious users: 0 | test acc 0.8467 test loss 0.444149 best test_acc 0.9440
e 95 | malicious users: 0 | test acc 0.7938 test loss 0.537774 best test_acc 0.9440
e 96 | malicious users: 0 | test acc 0.8972 test loss 0.628984 best test_acc 0.9440
e 97 | malicious users: 0 | test acc 0.8973 test loss 0.400639 best test_acc 0.9440
e 98 | malicious users: 0 | test acc 0.8472 test loss 0.463545 best test_acc 0.9440
e 99 | malicious users: 0 | test acc 0.8459 test loss 0.596997 best test_acc 0.9440
e 100 | malicious users: 0 | test acc 0.9288 test loss 0.341644 best test_acc 0.9440
e 101 | malicious users: 0 | test acc 0.8313 test loss 0.520656 best test_acc 0.9440
e 102 | malicious users: 0 | test acc 0.9119 test loss 0.367375 best test_acc 0.9440
e 103 | malicious users: 0 | test acc 0.8510 test loss 0.396666 best test_acc 0.9440
e 104 | malicious users: 0 | test acc 0.8662 test loss 0.525963 best test_acc 0.9440
e 105 | malicious users: 0 | test acc 0.8302 test loss 0.463812 best test_acc 0.9440
e 106 | malicious users: 0 | test acc 0.8604 test loss 0.398080 best test_acc 0.9440
e 107 | malicious users: 0 | test acc 0.8434 test loss 0.520042 best test_acc 0.9440
e 108 | malicious users: 0 | test acc 0.7991 test loss 0.629129 best test_acc 0.9440
e 109 | malicious users: 0 | test acc 0.8438 test loss 0.457662 best test_acc 0.9440
e 110 | malicious users: 0 | test acc 0.9095 test loss 0.429611 best test_acc 0.9440
e 111 | malicious users: 0 | test acc 0.8349 test loss 0.556657 best test_acc 0.9440
e 112 | malicious users: 0 | test acc 0.8191 test loss 0.617994 best test_acc 0.9440
e 113 | malicious users: 0 | test acc 0.8508 test loss 0.436755 best test_acc 0.9440
e 114 | malicious users: 0 | test acc 0.8475 test loss 0.579258 best test_acc 0.9440
