=> Saving data in Logs/FRL~try=429
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.0978 test loss 2.241081 best test_acc 0.0978
e 1 | malicious users: 0 | test acc 0.3795 test loss 2.051549 best test_acc 0.3795
e 2 | malicious users: 0 | test acc 0.5201 test loss 1.866965 best test_acc 0.5201
e 3 | malicious users: 0 | test acc 0.5382 test loss 1.441073 best test_acc 0.5382
e 4 | malicious users: 0 | test acc 0.6787 test loss 1.476340 best test_acc 0.6787
e 5 | malicious users: 0 | test acc 0.7032 test loss 1.250915 best test_acc 0.7032
e 6 | malicious users: 0 | test acc 0.6773 test loss 0.970709 best test_acc 0.7032
e 7 | malicious users: 0 | test acc 0.7023 test loss 0.871129 best test_acc 0.7032
e 8 | malicious users: 0 | test acc 0.6626 test loss 0.962962 best test_acc 0.7032
e 9 | malicious users: 0 | test acc 0.7079 test loss 0.926308 best test_acc 0.7079
e 10 | malicious users: 0 | test acc 0.7226 test loss 0.871593 best test_acc 0.7226
e 11 | malicious users: 0 | test acc 0.7890 test loss 0.814714 best test_acc 0.7890
e 12 | malicious users: 0 | test acc 0.8310 test loss 0.688419 best test_acc 0.8310
e 13 | malicious users: 0 | test acc 0.7802 test loss 0.784164 best test_acc 0.8310
e 14 | malicious users: 0 | test acc 0.7884 test loss 0.609882 best test_acc 0.8310
e 15 | malicious users: 0 | test acc 0.8316 test loss 0.579285 best test_acc 0.8316
e 16 | malicious users: 0 | test acc 0.7890 test loss 0.733509 best test_acc 0.8316
e 17 | malicious users: 0 | test acc 0.7802 test loss 0.667227 best test_acc 0.8316
e 18 | malicious users: 0 | test acc 0.7789 test loss 0.703662 best test_acc 0.8316
e 19 | malicious users: 0 | test acc 0.8172 test loss 0.587843 best test_acc 0.8316
e 20 | malicious users: 0 | test acc 0.8161 test loss 0.666153 best test_acc 0.8316
e 21 | malicious users: 0 | test acc 0.8828 test loss 0.489946 best test_acc 0.8828
e 22 | malicious users: 0 | test acc 0.7703 test loss 0.614994 best test_acc 0.8828
e 23 | malicious users: 0 | test acc 0.9095 test loss 0.489693 best test_acc 0.9095
e 24 | malicious users: 0 | test acc 0.8344 test loss 0.483399 best test_acc 0.9095
e 25 | malicious users: 0 | test acc 0.8737 test loss 0.466148 best test_acc 0.9095
e 26 | malicious users: 0 | test acc 0.9120 test loss 0.380701 best test_acc 0.9120
e 27 | malicious users: 0 | test acc 0.9011 test loss 0.434988 best test_acc 0.9120
e 28 | malicious users: 0 | test acc 0.9091 test loss 0.417491 best test_acc 0.9120
e 29 | malicious users: 0 | test acc 0.8227 test loss 0.589098 best test_acc 0.9120
e 30 | malicious users: 0 | test acc 0.8933 test loss 0.360556 best test_acc 0.9120
e 31 | malicious users: 0 | test acc 0.7958 test loss 0.552569 best test_acc 0.9120
e 32 | malicious users: 0 | test acc 0.8294 test loss 0.537838 best test_acc 0.9120
e 33 | malicious users: 0 | test acc 0.8502 test loss 0.451331 best test_acc 0.9120
e 34 | malicious users: 0 | test acc 0.8905 test loss 0.397306 best test_acc 0.9120
e 35 | malicious users: 0 | test acc 0.8957 test loss 0.423368 best test_acc 0.9120
e 36 | malicious users: 0 | test acc 0.8810 test loss 0.451975 best test_acc 0.9120
e 37 | malicious users: 0 | test acc 0.8465 test loss 0.484023 best test_acc 0.9120
e 38 | malicious users: 0 | test acc 0.8542 test loss 0.489909 best test_acc 0.9120
e 39 | malicious users: 0 | test acc 0.8875 test loss 0.580470 best test_acc 0.9120
e 40 | malicious users: 0 | test acc 0.9047 test loss 0.373580 best test_acc 0.9120
e 41 | malicious users: 0 | test acc 0.8698 test loss 0.438645 best test_acc 0.9120
e 42 | malicious users: 0 | test acc 0.9292 test loss 0.338429 best test_acc 0.9292
e 43 | malicious users: 0 | test acc 0.8567 test loss 0.472103 best test_acc 0.9292
e 44 | malicious users: 0 | test acc 0.9009 test loss 0.369239 best test_acc 0.9292
e 45 | malicious users: 0 | test acc 0.9082 test loss 0.466714 best test_acc 0.9292
e 46 | malicious users: 0 | test acc 0.9223 test loss 0.298041 best test_acc 0.9292
e 47 | malicious users: 0 | test acc 0.8253 test loss 0.555742 best test_acc 0.9292
e 48 | malicious users: 0 | test acc 0.9087 test loss 0.334573 best test_acc 0.9292
e 49 | malicious users: 0 | test acc 0.8960 test loss 0.403704 best test_acc 0.9292
e 50 | malicious users: 0 | test acc 0.9078 test loss 0.358119 best test_acc 0.9292
e 51 | malicious users: 0 | test acc 0.8302 test loss 0.595380 best test_acc 0.9292
e 52 | malicious users: 0 | test acc 0.7690 test loss 0.632735 best test_acc 0.9292
e 53 | malicious users: 0 | test acc 0.8797 test loss 0.396151 best test_acc 0.9292
e 54 | malicious users: 0 | test acc 0.8277 test loss 0.559551 best test_acc 0.9292
e 55 | malicious users: 0 | test acc 0.9370 test loss 0.257803 best test_acc 0.9370
e 56 | malicious users: 0 | test acc 0.7736 test loss 0.637569 best test_acc 0.9370
e 57 | malicious users: 0 | test acc 0.9049 test loss 0.333889 best test_acc 0.9370
e 58 | malicious users: 0 | test acc 0.8671 test loss 0.497739 best test_acc 0.9370
e 59 | malicious users: 0 | test acc 0.9038 test loss 0.357657 best test_acc 0.9370
e 60 | malicious users: 0 | test acc 0.9171 test loss 0.316302 best test_acc 0.9370
e 61 | malicious users: 0 | test acc 0.8777 test loss 0.423565 best test_acc 0.9370
e 62 | malicious users: 0 | test acc 0.9293 test loss 0.307854 best test_acc 0.9370
e 63 | malicious users: 0 | test acc 0.8641 test loss 0.421883 best test_acc 0.9370
e 64 | malicious users: 0 | test acc 0.9335 test loss 0.298743 best test_acc 0.9370
e 65 | malicious users: 0 | test acc 0.9166 test loss 0.344325 best test_acc 0.9370
e 66 | malicious users: 0 | test acc 0.9254 test loss 0.416537 best test_acc 0.9370
e 67 | malicious users: 0 | test acc 0.9300 test loss 0.230931 best test_acc 0.9370
e 68 | malicious users: 0 | test acc 0.8540 test loss 0.443329 best test_acc 0.9370
e 69 | malicious users: 0 | test acc 0.8883 test loss 0.430165 best test_acc 0.9370
e 70 | malicious users: 0 | test acc 0.9481 test loss 0.206380 best test_acc 0.9481
e 71 | malicious users: 0 | test acc 0.8183 test loss 0.596696 best test_acc 0.9481
e 72 | malicious users: 0 | test acc 0.8439 test loss 0.487402 best test_acc 0.9481
e 73 | malicious users: 0 | test acc 0.8603 test loss 0.559517 best test_acc 0.9481
e 74 | malicious users: 0 | test acc 0.9309 test loss 0.303751 best test_acc 0.9481
e 75 | malicious users: 0 | test acc 0.9320 test loss 0.313069 best test_acc 0.9481
e 76 | malicious users: 0 | test acc 0.8557 test loss 0.419226 best test_acc 0.9481
e 77 | malicious users: 0 | test acc 0.7885 test loss 0.505581 best test_acc 0.9481
e 78 | malicious users: 0 | test acc 0.9188 test loss 0.282219 best test_acc 0.9481
e 79 | malicious users: 0 | test acc 0.8132 test loss 0.551849 best test_acc 0.9481
e 80 | malicious users: 0 | test acc 0.9443 test loss 0.226287 best test_acc 0.9481
e 81 | malicious users: 0 | test acc 0.8877 test loss 0.451208 best test_acc 0.9481
