=> Saving data in Logs/FRL~try=433
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1144 test loss 2.219113 best test_acc 0.1144
e 1 | malicious users: 0 | test acc 0.4663 test loss 2.094958 best test_acc 0.4663
e 2 | malicious users: 0 | test acc 0.4859 test loss 1.718653 best test_acc 0.4859
e 3 | malicious users: 0 | test acc 0.5685 test loss 1.490928 best test_acc 0.5685
e 4 | malicious users: 0 | test acc 0.5862 test loss 1.407988 best test_acc 0.5862
e 5 | malicious users: 0 | test acc 0.6664 test loss 1.118463 best test_acc 0.6664
e 6 | malicious users: 0 | test acc 0.6516 test loss 1.122148 best test_acc 0.6664
e 7 | malicious users: 0 | test acc 0.6714 test loss 1.038269 best test_acc 0.6714
e 8 | malicious users: 0 | test acc 0.7790 test loss 0.732577 best test_acc 0.7790
e 9 | malicious users: 0 | test acc 0.7894 test loss 0.790201 best test_acc 0.7894
e 10 | malicious users: 0 | test acc 0.7935 test loss 0.647510 best test_acc 0.7935
e 11 | malicious users: 0 | test acc 0.8672 test loss 0.596433 best test_acc 0.8672
e 12 | malicious users: 0 | test acc 0.8372 test loss 0.595606 best test_acc 0.8672
e 13 | malicious users: 0 | test acc 0.8905 test loss 0.505414 best test_acc 0.8905
e 14 | malicious users: 0 | test acc 0.8242 test loss 0.577605 best test_acc 0.8905
e 15 | malicious users: 0 | test acc 0.8280 test loss 0.600513 best test_acc 0.8905
e 16 | malicious users: 0 | test acc 0.8360 test loss 0.574946 best test_acc 0.8905
e 17 | malicious users: 0 | test acc 0.8399 test loss 0.574233 best test_acc 0.8905
e 18 | malicious users: 0 | test acc 0.8055 test loss 0.631069 best test_acc 0.8905
e 19 | malicious users: 0 | test acc 0.8963 test loss 0.415327 best test_acc 0.8963
e 20 | malicious users: 0 | test acc 0.7917 test loss 0.614837 best test_acc 0.8963
e 21 | malicious users: 0 | test acc 0.8883 test loss 0.496245 best test_acc 0.8963
e 22 | malicious users: 0 | test acc 0.8208 test loss 0.585547 best test_acc 0.8963
e 23 | malicious users: 0 | test acc 0.7836 test loss 0.571964 best test_acc 0.8963
e 24 | malicious users: 0 | test acc 0.7983 test loss 0.656374 best test_acc 0.8963
e 25 | malicious users: 0 | test acc 0.7652 test loss 0.726886 best test_acc 0.8963
e 26 | malicious users: 0 | test acc 0.8451 test loss 0.469889 best test_acc 0.8963
e 27 | malicious users: 0 | test acc 0.8871 test loss 0.549508 best test_acc 0.8963
e 28 | malicious users: 0 | test acc 0.8908 test loss 0.407547 best test_acc 0.8963
e 29 | malicious users: 0 | test acc 0.7828 test loss 0.698089 best test_acc 0.8963
e 30 | malicious users: 0 | test acc 0.8818 test loss 0.404042 best test_acc 0.8963
e 31 | malicious users: 0 | test acc 0.8344 test loss 0.557598 best test_acc 0.8963
e 32 | malicious users: 0 | test acc 0.9082 test loss 0.321227 best test_acc 0.9082
e 33 | malicious users: 0 | test acc 0.8118 test loss 0.601561 best test_acc 0.9082
e 34 | malicious users: 0 | test acc 0.9188 test loss 0.289666 best test_acc 0.9188
e 35 | malicious users: 0 | test acc 0.7917 test loss 0.661299 best test_acc 0.9188
e 36 | malicious users: 0 | test acc 0.9220 test loss 0.306496 best test_acc 0.9220
e 37 | malicious users: 0 | test acc 0.7975 test loss 0.692242 best test_acc 0.9220
e 38 | malicious users: 0 | test acc 0.9344 test loss 0.292392 best test_acc 0.9344
e 39 | malicious users: 0 | test acc 0.9120 test loss 0.364754 best test_acc 0.9344
e 40 | malicious users: 0 | test acc 0.7969 test loss 0.677367 best test_acc 0.9344
e 41 | malicious users: 0 | test acc 0.8457 test loss 0.472870 best test_acc 0.9344
e 42 | malicious users: 0 | test acc 0.8321 test loss 0.548450 best test_acc 0.9344
e 43 | malicious users: 0 | test acc 0.7675 test loss 0.668553 best test_acc 0.9344
e 44 | malicious users: 0 | test acc 0.9333 test loss 0.334448 best test_acc 0.9344
