=> Saving data in Logs/FRL~try=436
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1781 test loss 2.237643 best test_acc 0.1781
e 1 | malicious users: 8 | test acc 0.2944 test loss 2.088202 best test_acc 0.2944
e 2 | malicious users: 5 | test acc 0.3794 test loss 1.854915 best test_acc 0.3794
e 3 | malicious users: 2 | test acc 0.5335 test loss 1.606674 best test_acc 0.5335
e 4 | malicious users: 5 | test acc 0.5654 test loss 1.471800 best test_acc 0.5654
e 5 | malicious users: 7 | test acc 0.5315 test loss 1.406532 best test_acc 0.5654
e 6 | malicious users: 7 | test acc 0.7020 test loss 1.059229 best test_acc 0.7020
e 7 | malicious users: 4 | test acc 0.5644 test loss 1.263649 best test_acc 0.7020
e 8 | malicious users: 5 | test acc 0.6870 test loss 1.135878 best test_acc 0.7020
e 9 | malicious users: 5 | test acc 0.7220 test loss 0.801653 best test_acc 0.7220
e 10 | malicious users: 4 | test acc 0.7684 test loss 0.802208 best test_acc 0.7684
e 11 | malicious users: 8 | test acc 0.5577 test loss 1.238805 best test_acc 0.7684
e 12 | malicious users: 6 | test acc 0.8012 test loss 0.773007 best test_acc 0.8012
e 13 | malicious users: 2 | test acc 0.7237 test loss 0.856352 best test_acc 0.8012
e 14 | malicious users: 4 | test acc 0.7157 test loss 0.795861 best test_acc 0.8012
e 15 | malicious users: 6 | test acc 0.7069 test loss 0.859711 best test_acc 0.8012
e 16 | malicious users: 5 | test acc 0.7758 test loss 0.754826 best test_acc 0.8012
e 17 | malicious users: 7 | test acc 0.8663 test loss 0.526887 best test_acc 0.8663
e 18 | malicious users: 6 | test acc 0.8176 test loss 0.808131 best test_acc 0.8663
e 19 | malicious users: 5 | test acc 0.8452 test loss 0.609941 best test_acc 0.8663
e 20 | malicious users: 4 | test acc 0.7914 test loss 0.718528 best test_acc 0.8663
e 21 | malicious users: 3 | test acc 0.8757 test loss 0.499240 best test_acc 0.8757
e 22 | malicious users: 7 | test acc 0.6938 test loss 0.912675 best test_acc 0.8757
e 23 | malicious users: 5 | test acc 0.6357 test loss 0.979370 best test_acc 0.8757
e 24 | malicious users: 4 | test acc 0.8269 test loss 0.584808 best test_acc 0.8757
e 25 | malicious users: 3 | test acc 0.8646 test loss 0.732509 best test_acc 0.8757
e 26 | malicious users: 7 | test acc 0.8259 test loss 0.656570 best test_acc 0.8757
e 27 | malicious users: 5 | test acc 0.8652 test loss 0.469291 best test_acc 0.8757
e 28 | malicious users: 3 | test acc 0.7492 test loss 0.802327 best test_acc 0.8757
e 29 | malicious users: 2 | test acc 0.9068 test loss 0.460396 best test_acc 0.9068
e 30 | malicious users: 1 | test acc 0.8868 test loss 0.495714 best test_acc 0.9068
e 31 | malicious users: 3 | test acc 0.8672 test loss 0.472820 best test_acc 0.9068
e 32 | malicious users: 3 | test acc 0.7268 test loss 0.776730 best test_acc 0.9068
e 33 | malicious users: 4 | test acc 0.8956 test loss 0.557005 best test_acc 0.9068
e 34 | malicious users: 4 | test acc 0.8469 test loss 0.518314 best test_acc 0.9068
e 35 | malicious users: 7 | test acc 0.9101 test loss 0.366509 best test_acc 0.9101
e 36 | malicious users: 7 | test acc 0.8360 test loss 0.668435 best test_acc 0.9101
