=> Saving data in Logs/FRL~try=437
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1508 test loss 2.205911 best test_acc 0.1508
e 1 | malicious users: 0 | test acc 0.4076 test loss 2.063438 best test_acc 0.4076
e 2 | malicious users: 0 | test acc 0.5302 test loss 1.740804 best test_acc 0.5302
e 3 | malicious users: 0 | test acc 0.5678 test loss 1.748909 best test_acc 0.5678
e 4 | malicious users: 0 | test acc 0.6916 test loss 1.370347 best test_acc 0.6916
e 5 | malicious users: 0 | test acc 0.6383 test loss 1.122432 best test_acc 0.6916
e 6 | malicious users: 0 | test acc 0.6783 test loss 1.101565 best test_acc 0.6916
e 7 | malicious users: 0 | test acc 0.7392 test loss 0.897060 best test_acc 0.7392
e 8 | malicious users: 0 | test acc 0.7856 test loss 0.731061 best test_acc 0.7856
e 9 | malicious users: 0 | test acc 0.7768 test loss 0.841182 best test_acc 0.7856
e 10 | malicious users: 0 | test acc 0.7423 test loss 0.754237 best test_acc 0.7856
e 11 | malicious users: 0 | test acc 0.8327 test loss 0.579617 best test_acc 0.8327
e 12 | malicious users: 0 | test acc 0.7925 test loss 0.745249 best test_acc 0.8327
e 13 | malicious users: 0 | test acc 0.8377 test loss 0.595471 best test_acc 0.8377
e 14 | malicious users: 0 | test acc 0.8085 test loss 0.622412 best test_acc 0.8377
e 15 | malicious users: 0 | test acc 0.8240 test loss 0.686901 best test_acc 0.8377
e 16 | malicious users: 0 | test acc 0.8422 test loss 0.512716 best test_acc 0.8422
e 17 | malicious users: 0 | test acc 0.7616 test loss 0.762209 best test_acc 0.8422
e 18 | malicious users: 0 | test acc 0.8020 test loss 0.582513 best test_acc 0.8422
e 19 | malicious users: 0 | test acc 0.7936 test loss 0.795927 best test_acc 0.8422
e 20 | malicious users: 0 | test acc 0.8978 test loss 0.430697 best test_acc 0.8978
e 21 | malicious users: 0 | test acc 0.8095 test loss 0.608169 best test_acc 0.8978
e 22 | malicious users: 0 | test acc 0.7501 test loss 0.683986 best test_acc 0.8978
e 23 | malicious users: 0 | test acc 0.8516 test loss 0.576578 best test_acc 0.8978
e 24 | malicious users: 0 | test acc 0.8194 test loss 0.528281 best test_acc 0.8978
e 25 | malicious users: 0 | test acc 0.8226 test loss 0.584394 best test_acc 0.8978
e 26 | malicious users: 0 | test acc 0.9163 test loss 0.399092 best test_acc 0.9163
e 27 | malicious users: 0 | test acc 0.9249 test loss 0.363915 best test_acc 0.9249
e 28 | malicious users: 0 | test acc 0.8453 test loss 0.449050 best test_acc 0.9249
e 29 | malicious users: 0 | test acc 0.8310 test loss 0.526589 best test_acc 0.9249
e 30 | malicious users: 0 | test acc 0.8773 test loss 0.467409 best test_acc 0.9249
e 31 | malicious users: 0 | test acc 0.8431 test loss 0.466438 best test_acc 0.9249
e 32 | malicious users: 0 | test acc 0.8876 test loss 0.509969 best test_acc 0.9249
e 33 | malicious users: 0 | test acc 0.8541 test loss 0.492320 best test_acc 0.9249
e 34 | malicious users: 0 | test acc 0.8969 test loss 0.453972 best test_acc 0.9249
e 35 | malicious users: 0 | test acc 0.8513 test loss 0.439413 best test_acc 0.9249
e 36 | malicious users: 0 | test acc 0.8920 test loss 0.420062 best test_acc 0.9249
e 37 | malicious users: 0 | test acc 0.9366 test loss 0.392745 best test_acc 0.9366
e 38 | malicious users: 0 | test acc 0.8827 test loss 0.390350 best test_acc 0.9366
e 39 | malicious users: 0 | test acc 0.8494 test loss 0.440203 best test_acc 0.9366
e 40 | malicious users: 0 | test acc 0.9183 test loss 0.331394 best test_acc 0.9366
e 41 | malicious users: 0 | test acc 0.8565 test loss 0.464700 best test_acc 0.9366
e 42 | malicious users: 0 | test acc 0.8833 test loss 0.487026 best test_acc 0.9366
e 43 | malicious users: 0 | test acc 0.9214 test loss 0.310794 best test_acc 0.9366
e 44 | malicious users: 0 | test acc 0.9222 test loss 0.332142 best test_acc 0.9366
e 45 | malicious users: 0 | test acc 0.8285 test loss 0.488499 best test_acc 0.9366
e 46 | malicious users: 0 | test acc 0.7414 test loss 0.706969 best test_acc 0.9366
e 47 | malicious users: 0 | test acc 0.8547 test loss 0.457823 best test_acc 0.9366
e 48 | malicious users: 0 | test acc 0.8769 test loss 0.433427 best test_acc 0.9366
e 49 | malicious users: 0 | test acc 0.9160 test loss 0.329016 best test_acc 0.9366
e 50 | malicious users: 0 | test acc 0.8996 test loss 0.366464 best test_acc 0.9366
e 51 | malicious users: 0 | test acc 0.8557 test loss 0.383421 best test_acc 0.9366
