=> Saving data in Logs/FRL~try=439
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2746 test loss 2.199863 best test_acc 0.2746
e 1 | malicious users: 0 | test acc 0.5025 test loss 1.942454 best test_acc 0.5025
e 2 | malicious users: 0 | test acc 0.4745 test loss 1.732624 best test_acc 0.5025
e 3 | malicious users: 0 | test acc 0.6338 test loss 1.567403 best test_acc 0.6338
e 4 | malicious users: 0 | test acc 0.6048 test loss 1.393659 best test_acc 0.6338
e 5 | malicious users: 0 | test acc 0.6385 test loss 1.080563 best test_acc 0.6385
e 6 | malicious users: 0 | test acc 0.6504 test loss 1.090951 best test_acc 0.6504
e 7 | malicious users: 0 | test acc 0.7701 test loss 0.970721 best test_acc 0.7701
e 8 | malicious users: 0 | test acc 0.6650 test loss 0.951919 best test_acc 0.7701
e 9 | malicious users: 0 | test acc 0.6234 test loss 0.940891 best test_acc 0.7701
e 10 | malicious users: 0 | test acc 0.6417 test loss 1.006026 best test_acc 0.7701
e 11 | malicious users: 0 | test acc 0.8513 test loss 0.653931 best test_acc 0.8513
e 12 | malicious users: 0 | test acc 0.8100 test loss 0.678267 best test_acc 0.8513
e 13 | malicious users: 0 | test acc 0.8656 test loss 0.575421 best test_acc 0.8656
e 14 | malicious users: 0 | test acc 0.8621 test loss 0.519417 best test_acc 0.8656
e 15 | malicious users: 0 | test acc 0.8368 test loss 0.746667 best test_acc 0.8656
e 16 | malicious users: 0 | test acc 0.8803 test loss 0.473226 best test_acc 0.8803
e 17 | malicious users: 0 | test acc 0.7984 test loss 0.704248 best test_acc 0.8803
e 18 | malicious users: 0 | test acc 0.8294 test loss 0.529378 best test_acc 0.8803
e 19 | malicious users: 0 | test acc 0.7354 test loss 0.775653 best test_acc 0.8803
e 20 | malicious users: 0 | test acc 0.8148 test loss 0.607028 best test_acc 0.8803
e 21 | malicious users: 0 | test acc 0.8495 test loss 0.530782 best test_acc 0.8803
e 22 | malicious users: 0 | test acc 0.7693 test loss 0.726163 best test_acc 0.8803
e 23 | malicious users: 0 | test acc 0.7551 test loss 0.636426 best test_acc 0.8803
e 24 | malicious users: 0 | test acc 0.8675 test loss 0.481572 best test_acc 0.8803
e 25 | malicious users: 0 | test acc 0.8772 test loss 0.409823 best test_acc 0.8803
e 26 | malicious users: 0 | test acc 0.8722 test loss 0.495766 best test_acc 0.8803
e 27 | malicious users: 0 | test acc 0.8058 test loss 0.575811 best test_acc 0.8803
e 28 | malicious users: 0 | test acc 0.7953 test loss 0.605559 best test_acc 0.8803
e 29 | malicious users: 0 | test acc 0.8929 test loss 0.454123 best test_acc 0.8929
e 30 | malicious users: 0 | test acc 0.8097 test loss 0.598591 best test_acc 0.8929
e 31 | malicious users: 0 | test acc 0.8563 test loss 0.456560 best test_acc 0.8929
e 32 | malicious users: 0 | test acc 0.9303 test loss 0.305322 best test_acc 0.9303
e 33 | malicious users: 0 | test acc 0.8699 test loss 0.488597 best test_acc 0.9303
e 34 | malicious users: 0 | test acc 0.9105 test loss 0.371793 best test_acc 0.9303
e 35 | malicious users: 0 | test acc 0.7451 test loss 0.687269 best test_acc 0.9303
e 36 | malicious users: 0 | test acc 0.8066 test loss 0.545489 best test_acc 0.9303
e 37 | malicious users: 0 | test acc 0.7698 test loss 0.644931 best test_acc 0.9303
e 38 | malicious users: 0 | test acc 0.8480 test loss 0.465177 best test_acc 0.9303
e 39 | malicious users: 0 | test acc 0.8338 test loss 0.590631 best test_acc 0.9303
e 40 | malicious users: 0 | test acc 0.8079 test loss 0.594605 best test_acc 0.9303
e 41 | malicious users: 0 | test acc 0.8933 test loss 0.380969 best test_acc 0.9303
e 42 | malicious users: 0 | test acc 0.8958 test loss 0.399236 best test_acc 0.9303
e 43 | malicious users: 0 | test acc 0.8217 test loss 0.485705 best test_acc 0.9303
e 44 | malicious users: 0 | test acc 0.8715 test loss 0.571317 best test_acc 0.9303
e 45 | malicious users: 0 | test acc 0.9304 test loss 0.271574 best test_acc 0.9304
e 46 | malicious users: 0 | test acc 0.8082 test loss 0.523093 best test_acc 0.9304
e 47 | malicious users: 0 | test acc 0.9216 test loss 0.304206 best test_acc 0.9304
e 48 | malicious users: 0 | test acc 0.7464 test loss 0.646037 best test_acc 0.9304
