=> Saving data in Logs/FRL~try=440
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2159 test loss 2.193868 best test_acc 0.2159
e 1 | malicious users: 3 | test acc 0.5354 test loss 2.035488 best test_acc 0.5354
e 2 | malicious users: 7 | test acc 0.5778 test loss 1.914807 best test_acc 0.5778
e 3 | malicious users: 5 | test acc 0.5428 test loss 1.853828 best test_acc 0.5778
e 4 | malicious users: 8 | test acc 0.5411 test loss 1.534994 best test_acc 0.5778
e 5 | malicious users: 7 | test acc 0.6233 test loss 1.787815 best test_acc 0.6233
e 6 | malicious users: 5 | test acc 0.6318 test loss 1.374455 best test_acc 0.6318
e 7 | malicious users: 8 | test acc 0.6205 test loss 1.293617 best test_acc 0.6318
e 8 | malicious users: 8 | test acc 0.6687 test loss 1.316899 best test_acc 0.6687
e 9 | malicious users: 6 | test acc 0.6638 test loss 1.574426 best test_acc 0.6687
e 10 | malicious users: 5 | test acc 0.6654 test loss 1.236066 best test_acc 0.6687
e 11 | malicious users: 6 | test acc 0.7052 test loss 0.952129 best test_acc 0.7052
e 12 | malicious users: 4 | test acc 0.7000 test loss 0.988442 best test_acc 0.7052
e 13 | malicious users: 7 | test acc 0.7437 test loss 0.971418 best test_acc 0.7437
e 14 | malicious users: 4 | test acc 0.8175 test loss 0.795864 best test_acc 0.8175
e 15 | malicious users: 5 | test acc 0.7707 test loss 1.092761 best test_acc 0.8175
e 16 | malicious users: 6 | test acc 0.8385 test loss 1.045657 best test_acc 0.8385
e 17 | malicious users: 4 | test acc 0.8134 test loss 0.668221 best test_acc 0.8385
e 18 | malicious users: 3 | test acc 0.8160 test loss 0.862355 best test_acc 0.8385
e 19 | malicious users: 3 | test acc 0.7740 test loss 0.795986 best test_acc 0.8385
e 20 | malicious users: 7 | test acc 0.8378 test loss 0.976205 best test_acc 0.8385
e 21 | malicious users: 6 | test acc 0.8748 test loss 0.796842 best test_acc 0.8748
e 22 | malicious users: 4 | test acc 0.7638 test loss 0.939307 best test_acc 0.8748
e 23 | malicious users: 8 | test acc 0.8315 test loss 0.756681 best test_acc 0.8748
e 24 | malicious users: 3 | test acc 0.9108 test loss 0.440179 best test_acc 0.9108
e 25 | malicious users: 6 | test acc 0.7350 test loss 0.826296 best test_acc 0.9108
e 26 | malicious users: 2 | test acc 0.8985 test loss 0.464561 best test_acc 0.9108
e 27 | malicious users: 8 | test acc 0.7800 test loss 1.060728 best test_acc 0.9108
e 28 | malicious users: 2 | test acc 0.8245 test loss 0.665101 best test_acc 0.9108
e 29 | malicious users: 4 | test acc 0.7415 test loss 0.737523 best test_acc 0.9108
e 30 | malicious users: 6 | test acc 0.8657 test loss 0.763807 best test_acc 0.9108
e 31 | malicious users: 9 | test acc 0.8810 test loss 0.881689 best test_acc 0.9108
e 32 | malicious users: 3 | test acc 0.8391 test loss 0.554656 best test_acc 0.9108
e 33 | malicious users: 6 | test acc 0.8334 test loss 0.657410 best test_acc 0.9108
e 34 | malicious users: 3 | test acc 0.8162 test loss 0.668646 best test_acc 0.9108
e 35 | malicious users: 4 | test acc 0.9063 test loss 0.592818 best test_acc 0.9108
e 36 | malicious users: 9 | test acc 0.8893 test loss 1.108763 best test_acc 0.9108
e 37 | malicious users: 4 | test acc 0.7753 test loss 0.757940 best test_acc 0.9108
e 38 | malicious users: 5 | test acc 0.9152 test loss 0.578682 best test_acc 0.9152
e 39 | malicious users: 6 | test acc 0.9210 test loss 0.523486 best test_acc 0.9210
e 40 | malicious users: 3 | test acc 0.8975 test loss 0.544617 best test_acc 0.9210
e 41 | malicious users: 4 | test acc 0.8898 test loss 0.526425 best test_acc 0.9210
e 42 | malicious users: 3 | test acc 0.8382 test loss 0.532241 best test_acc 0.9210
e 43 | malicious users: 4 | test acc 0.9202 test loss 0.619738 best test_acc 0.9210
e 44 | malicious users: 2 | test acc 0.8151 test loss 0.604553 best test_acc 0.9210
e 45 | malicious users: 3 | test acc 0.8417 test loss 0.724533 best test_acc 0.9210
e 46 | malicious users: 6 | test acc 0.8354 test loss 0.705855 best test_acc 0.9210
e 47 | malicious users: 6 | test acc 0.9048 test loss 0.611600 best test_acc 0.9210
e 48 | malicious users: 4 | test acc 0.8808 test loss 0.498175 best test_acc 0.9210
e 49 | malicious users: 1 | test acc 0.9156 test loss 0.360207 best test_acc 0.9210
e 50 | malicious users: 1 | test acc 0.8185 test loss 0.598954 best test_acc 0.9210
e 51 | malicious users: 6 | test acc 0.8761 test loss 0.574608 best test_acc 0.9210
e 52 | malicious users: 4 | test acc 0.9035 test loss 0.515020 best test_acc 0.9210
e 53 | malicious users: 6 | test acc 0.8071 test loss 0.711387 best test_acc 0.9210
e 54 | malicious users: 4 | test acc 0.8923 test loss 0.653527 best test_acc 0.9210
e 55 | malicious users: 7 | test acc 0.8886 test loss 0.641287 best test_acc 0.9210
e 56 | malicious users: 5 | test acc 0.8382 test loss 0.708421 best test_acc 0.9210
e 57 | malicious users: 2 | test acc 0.9174 test loss 0.435606 best test_acc 0.9210
e 58 | malicious users: 4 | test acc 0.9093 test loss 0.516977 best test_acc 0.9210
e 59 | malicious users: 5 | test acc 0.8079 test loss 0.665874 best test_acc 0.9210
e 60 | malicious users: 6 | test acc 0.8414 test loss 0.712265 best test_acc 0.9210
e 61 | malicious users: 4 | test acc 0.9188 test loss 0.418288 best test_acc 0.9210
e 62 | malicious users: 9 | test acc 0.8362 test loss 0.962952 best test_acc 0.9210
e 63 | malicious users: 7 | test acc 0.8899 test loss 0.934713 best test_acc 0.9210
e 64 | malicious users: 7 | test acc 0.9188 test loss 0.593050 best test_acc 0.9210
e 65 | malicious users: 6 | test acc 0.8923 test loss 0.728309 best test_acc 0.9210
e 66 | malicious users: 7 | test acc 0.8983 test loss 0.516234 best test_acc 0.9210
e 67 | malicious users: 4 | test acc 0.8662 test loss 0.456836 best test_acc 0.9210
e 68 | malicious users: 6 | test acc 0.8987 test loss 0.588110 best test_acc 0.9210
e 69 | malicious users: 7 | test acc 0.8458 test loss 0.640218 best test_acc 0.9210
e 70 | malicious users: 7 | test acc 0.7706 test loss 0.653516 best test_acc 0.9210
e 71 | malicious users: 5 | test acc 0.8267 test loss 0.625121 best test_acc 0.9210
e 72 | malicious users: 5 | test acc 0.8729 test loss 0.678850 best test_acc 0.9210
e 73 | malicious users: 5 | test acc 0.7689 test loss 0.783923 best test_acc 0.9210
e 74 | malicious users: 2 | test acc 0.7704 test loss 0.674028 best test_acc 0.9210
e 75 | malicious users: 2 | test acc 0.9098 test loss 0.365480 best test_acc 0.9210
e 76 | malicious users: 6 | test acc 0.8089 test loss 0.921760 best test_acc 0.9210
e 77 | malicious users: 2 | test acc 0.9284 test loss 0.358753 best test_acc 0.9284
e 78 | malicious users: 4 | test acc 0.8957 test loss 0.390259 best test_acc 0.9284
e 79 | malicious users: 9 | test acc 0.8417 test loss 0.837572 best test_acc 0.9284
e 80 | malicious users: 10 | test acc 0.8809 test loss 0.785722 best test_acc 0.9284
e 81 | malicious users: 5 | test acc 0.8018 test loss 0.778503 best test_acc 0.9284
e 82 | malicious users: 8 | test acc 0.8934 test loss 0.658914 best test_acc 0.9284
e 83 | malicious users: 7 | test acc 0.8574 test loss 0.682863 best test_acc 0.9284
e 84 | malicious users: 5 | test acc 0.8977 test loss 0.532604 best test_acc 0.9284
e 85 | malicious users: 3 | test acc 0.9250 test loss 0.321304 best test_acc 0.9284
e 86 | malicious users: 3 | test acc 0.8975 test loss 0.466183 best test_acc 0.9284
e 87 | malicious users: 4 | test acc 0.9277 test loss 0.373174 best test_acc 0.9284
e 88 | malicious users: 4 | test acc 0.9159 test loss 0.568193 best test_acc 0.9284
e 89 | malicious users: 6 | test acc 0.8838 test loss 0.800337 best test_acc 0.9284
e 90 | malicious users: 7 | test acc 0.9091 test loss 0.436732 best test_acc 0.9284
e 91 | malicious users: 3 | test acc 0.8426 test loss 0.615546 best test_acc 0.9284
e 92 | malicious users: 6 | test acc 0.9135 test loss 0.610367 best test_acc 0.9284
e 93 | malicious users: 4 | test acc 0.9187 test loss 0.436581 best test_acc 0.9284
e 94 | malicious users: 7 | test acc 0.8957 test loss 0.708283 best test_acc 0.9284
e 95 | malicious users: 6 | test acc 0.9078 test loss 0.411521 best test_acc 0.9284
e 96 | malicious users: 10 | test acc 0.8371 test loss 0.957047 best test_acc 0.9284
e 97 | malicious users: 5 | test acc 0.8757 test loss 0.516928 best test_acc 0.9284
e 98 | malicious users: 6 | test acc 0.8446 test loss 0.519639 best test_acc 0.9284
e 99 | malicious users: 3 | test acc 0.9128 test loss 0.480707 best test_acc 0.9284
e 100 | malicious users: 7 | test acc 0.9061 test loss 0.594082 best test_acc 0.9284
e 101 | malicious users: 6 | test acc 0.9165 test loss 0.350097 best test_acc 0.9284
e 102 | malicious users: 6 | test acc 0.8646 test loss 0.629732 best test_acc 0.9284
e 103 | malicious users: 8 | test acc 0.9277 test loss 0.451960 best test_acc 0.9284
e 104 | malicious users: 8 | test acc 0.9004 test loss 0.994445 best test_acc 0.9284
e 105 | malicious users: 6 | test acc 0.9222 test loss 0.389584 best test_acc 0.9284
e 106 | malicious users: 5 | test acc 0.9264 test loss 0.515032 best test_acc 0.9284
e 107 | malicious users: 3 | test acc 0.9229 test loss 0.357335 best test_acc 0.9284
e 108 | malicious users: 4 | test acc 0.8672 test loss 0.493315 best test_acc 0.9284
e 109 | malicious users: 5 | test acc 0.9256 test loss 0.425775 best test_acc 0.9284
e 110 | malicious users: 4 | test acc 0.9009 test loss 0.369681 best test_acc 0.9284
e 111 | malicious users: 5 | test acc 0.9076 test loss 0.485071 best test_acc 0.9284
e 112 | malicious users: 4 | test acc 0.9314 test loss 0.335725 best test_acc 0.9314
e 113 | malicious users: 7 | test acc 0.8189 test loss 0.595473 best test_acc 0.9314
e 114 | malicious users: 7 | test acc 0.9212 test loss 0.381084 best test_acc 0.9314
e 115 | malicious users: 4 | test acc 0.8865 test loss 0.552393 best test_acc 0.9314
e 116 | malicious users: 3 | test acc 0.8468 test loss 0.484852 best test_acc 0.9314
e 117 | malicious users: 6 | test acc 0.9037 test loss 0.594978 best test_acc 0.9314
e 118 | malicious users: 5 | test acc 0.9284 test loss 0.398622 best test_acc 0.9314
e 119 | malicious users: 4 | test acc 0.8517 test loss 0.469717 best test_acc 0.9314
e 120 | malicious users: 8 | test acc 0.9172 test loss 0.832577 best test_acc 0.9314
e 121 | malicious users: 1 | test acc 0.9383 test loss 0.265106 best test_acc 0.9383
e 122 | malicious users: 2 | test acc 0.9200 test loss 0.492789 best test_acc 0.9383
e 123 | malicious users: 7 | test acc 0.9223 test loss 0.510404 best test_acc 0.9383
e 124 | malicious users: 10 | test acc 0.9178 test loss 0.738139 best test_acc 0.9383
e 125 | malicious users: 3 | test acc 0.9078 test loss 0.387470 best test_acc 0.9383
e 126 | malicious users: 4 | test acc 0.8179 test loss 0.717126 best test_acc 0.9383
e 127 | malicious users: 7 | test acc 0.9286 test loss 0.510215 best test_acc 0.9383
e 128 | malicious users: 3 | test acc 0.9242 test loss 0.322641 best test_acc 0.9383
e 129 | malicious users: 5 | test acc 0.9087 test loss 0.588107 best test_acc 0.9383
e 130 | malicious users: 4 | test acc 0.8984 test loss 0.404764 best test_acc 0.9383
