=> Saving data in Logs/FRL~try=462
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 4 | test acc 0.1010 test loss 2.252954 best test_acc 0.1010
e 1 | malicious users: 3 | test acc 0.3275 test loss 2.159589 best test_acc 0.3275
e 2 | malicious users: 4 | test acc 0.3078 test loss 1.983567 best test_acc 0.3275
e 3 | malicious users: 3 | test acc 0.4592 test loss 1.876807 best test_acc 0.4592
e 4 | malicious users: 0 | test acc 0.5860 test loss 1.718277 best test_acc 0.5860
e 5 | malicious users: 5 | test acc 0.4875 test loss 1.467907 best test_acc 0.5860
e 6 | malicious users: 4 | test acc 0.6517 test loss 1.601032 best test_acc 0.6517
e 7 | malicious users: 4 | test acc 0.6884 test loss 1.058903 best test_acc 0.6884
e 8 | malicious users: 1 | test acc 0.7220 test loss 1.014517 best test_acc 0.7220
e 9 | malicious users: 0 | test acc 0.7069 test loss 0.936457 best test_acc 0.7220
e 10 | malicious users: 1 | test acc 0.7024 test loss 1.155263 best test_acc 0.7220
e 11 | malicious users: 4 | test acc 0.7891 test loss 0.915011 best test_acc 0.7891
e 12 | malicious users: 1 | test acc 0.7392 test loss 1.011335 best test_acc 0.7891
e 13 | malicious users: 2 | test acc 0.8160 test loss 0.739278 best test_acc 0.8160
e 14 | malicious users: 3 | test acc 0.6196 test loss 1.011303 best test_acc 0.8160
e 15 | malicious users: 3 | test acc 0.6677 test loss 0.976501 best test_acc 0.8160
e 16 | malicious users: 6 | test acc 0.6988 test loss 0.971277 best test_acc 0.8160
e 17 | malicious users: 8 | test acc 0.6607 test loss 0.917262 best test_acc 0.8160
e 18 | malicious users: 4 | test acc 0.8666 test loss 0.886467 best test_acc 0.8666
e 19 | malicious users: 5 | test acc 0.7237 test loss 0.788045 best test_acc 0.8666
e 20 | malicious users: 2 | test acc 0.8519 test loss 0.601276 best test_acc 0.8666
e 21 | malicious users: 3 | test acc 0.7583 test loss 0.822135 best test_acc 0.8666
e 22 | malicious users: 7 | test acc 0.7425 test loss 0.773882 best test_acc 0.8666
e 23 | malicious users: 2 | test acc 0.8146 test loss 0.557451 best test_acc 0.8666
e 24 | malicious users: 4 | test acc 0.7237 test loss 0.757258 best test_acc 0.8666
e 25 | malicious users: 4 | test acc 0.7864 test loss 0.837115 best test_acc 0.8666
e 26 | malicious users: 6 | test acc 0.7860 test loss 0.831611 best test_acc 0.8666
e 27 | malicious users: 2 | test acc 0.8280 test loss 0.626664 best test_acc 0.8666
e 28 | malicious users: 4 | test acc 0.8530 test loss 0.708033 best test_acc 0.8666
e 29 | malicious users: 4 | test acc 0.6898 test loss 0.865929 best test_acc 0.8666
e 30 | malicious users: 8 | test acc 0.7919 test loss 0.621592 best test_acc 0.8666
e 31 | malicious users: 3 | test acc 0.9061 test loss 0.509279 best test_acc 0.9061
e 32 | malicious users: 5 | test acc 0.7757 test loss 0.672309 best test_acc 0.9061
e 33 | malicious users: 2 | test acc 0.7770 test loss 0.839108 best test_acc 0.9061
e 34 | malicious users: 4 | test acc 0.7115 test loss 0.785644 best test_acc 0.9061
e 35 | malicious users: 1 | test acc 0.8517 test loss 0.574019 best test_acc 0.9061
e 36 | malicious users: 4 | test acc 0.8409 test loss 0.733725 best test_acc 0.9061
e 37 | malicious users: 2 | test acc 0.8554 test loss 0.547023 best test_acc 0.9061
e 38 | malicious users: 5 | test acc 0.9016 test loss 0.566980 best test_acc 0.9061
e 39 | malicious users: 4 | test acc 0.7499 test loss 0.685476 best test_acc 0.9061
e 40 | malicious users: 3 | test acc 0.7955 test loss 0.546852 best test_acc 0.9061
e 41 | malicious users: 2 | test acc 0.7604 test loss 0.748162 best test_acc 0.9061
e 42 | malicious users: 5 | test acc 0.8046 test loss 0.653474 best test_acc 0.9061
