=> Saving data in Logs/FRL~try=464
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.30 | total number of malicious clients: 300
e 0 | malicious users: 9 | test acc 0.0892 test loss 2.298718 best test_acc 0.0892
e 1 | malicious users: 8 | test acc 0.1010 test loss 2.242522 best test_acc 0.1010
e 2 | malicious users: 10 | test acc 0.2789 test loss 1.977608 best test_acc 0.2789
e 3 | malicious users: 1 | test acc 0.5994 test loss 1.786755 best test_acc 0.5994
e 4 | malicious users: 7 | test acc 0.2610 test loss 2.074776 best test_acc 0.5994
e 5 | malicious users: 9 | test acc 0.4782 test loss 1.515638 best test_acc 0.5994
e 6 | malicious users: 11 | test acc 0.5145 test loss 1.465684 best test_acc 0.5994
e 7 | malicious users: 5 | test acc 0.5798 test loss 1.312104 best test_acc 0.5994
e 8 | malicious users: 7 | test acc 0.6819 test loss 1.299566 best test_acc 0.6819
e 9 | malicious users: 4 | test acc 0.6695 test loss 1.267510 best test_acc 0.6819
e 10 | malicious users: 4 | test acc 0.6414 test loss 1.108855 best test_acc 0.6819
e 11 | malicious users: 10 | test acc 0.6338 test loss 0.999478 best test_acc 0.6819
e 12 | malicious users: 7 | test acc 0.6470 test loss 1.096656 best test_acc 0.6819
e 13 | malicious users: 8 | test acc 0.5630 test loss 1.228507 best test_acc 0.6819
e 14 | malicious users: 12 | test acc 0.6999 test loss 1.212927 best test_acc 0.6999
e 15 | malicious users: 9 | test acc 0.6659 test loss 0.861573 best test_acc 0.6999
e 16 | malicious users: 8 | test acc 0.5934 test loss 0.993744 best test_acc 0.6999
e 17 | malicious users: 7 | test acc 0.6957 test loss 0.881264 best test_acc 0.6999
e 18 | malicious users: 7 | test acc 0.6216 test loss 1.091542 best test_acc 0.6999
e 19 | malicious users: 6 | test acc 0.7828 test loss 0.991406 best test_acc 0.7828
e 20 | malicious users: 4 | test acc 0.6119 test loss 0.975908 best test_acc 0.7828
e 21 | malicious users: 6 | test acc 0.5435 test loss 1.114663 best test_acc 0.7828
e 22 | malicious users: 6 | test acc 0.7771 test loss 0.790442 best test_acc 0.7828
e 23 | malicious users: 10 | test acc 0.7047 test loss 0.878308 best test_acc 0.7828
e 24 | malicious users: 9 | test acc 0.6720 test loss 0.880394 best test_acc 0.7828
e 25 | malicious users: 6 | test acc 0.8651 test loss 0.924098 best test_acc 0.8651
e 26 | malicious users: 6 | test acc 0.8453 test loss 0.739095 best test_acc 0.8651
e 27 | malicious users: 8 | test acc 0.6103 test loss 1.195157 best test_acc 0.8651
e 28 | malicious users: 6 | test acc 0.6347 test loss 0.996980 best test_acc 0.8651
e 29 | malicious users: 8 | test acc 0.5943 test loss 1.241823 best test_acc 0.8651
e 30 | malicious users: 4 | test acc 0.7459 test loss 0.902261 best test_acc 0.8651
e 31 | malicious users: 8 | test acc 0.6163 test loss 1.171193 best test_acc 0.8651
e 32 | malicious users: 8 | test acc 0.8105 test loss 0.642415 best test_acc 0.8651
e 33 | malicious users: 5 | test acc 0.8054 test loss 0.778742 best test_acc 0.8651
e 34 | malicious users: 5 | test acc 0.6573 test loss 0.907777 best test_acc 0.8651
e 35 | malicious users: 8 | test acc 0.7108 test loss 0.864455 best test_acc 0.8651
e 36 | malicious users: 9 | test acc 0.5856 test loss 1.109448 best test_acc 0.8651
e 37 | malicious users: 9 | test acc 0.6875 test loss 1.109565 best test_acc 0.8651
e 38 | malicious users: 10 | test acc 0.6637 test loss 0.894472 best test_acc 0.8651
e 39 | malicious users: 7 | test acc 0.6150 test loss 1.043340 best test_acc 0.8651
e 40 | malicious users: 7 | test acc 0.8501 test loss 0.703818 best test_acc 0.8651
e 41 | malicious users: 8 | test acc 0.8399 test loss 0.708261 best test_acc 0.8651
e 42 | malicious users: 11 | test acc 0.5159 test loss 1.408177 best test_acc 0.8651
e 43 | malicious users: 6 | test acc 0.5280 test loss 1.145133 best test_acc 0.8651
e 44 | malicious users: 8 | test acc 0.7315 test loss 0.966916 best test_acc 0.8651
e 45 | malicious users: 10 | test acc 0.7258 test loss 0.846887 best test_acc 0.8651
e 46 | malicious users: 7 | test acc 0.6898 test loss 1.015119 best test_acc 0.8651
e 47 | malicious users: 9 | test acc 0.6399 test loss 1.101985 best test_acc 0.8651
e 48 | malicious users: 10 | test acc 0.7195 test loss 0.947431 best test_acc 0.8651
e 49 | malicious users: 8 | test acc 0.7493 test loss 0.816077 best test_acc 0.8651
e 50 | malicious users: 5 | test acc 0.7506 test loss 1.129867 best test_acc 0.8651
e 51 | malicious users: 5 | test acc 0.8161 test loss 0.713734 best test_acc 0.8651
e 52 | malicious users: 5 | test acc 0.8385 test loss 0.874674 best test_acc 0.8651
e 53 | malicious users: 7 | test acc 0.7367 test loss 0.852745 best test_acc 0.8651
e 54 | malicious users: 7 | test acc 0.7243 test loss 0.892157 best test_acc 0.8651
e 55 | malicious users: 10 | test acc 0.5677 test loss 1.166854 best test_acc 0.8651
e 56 | malicious users: 5 | test acc 0.7561 test loss 0.933798 best test_acc 0.8651
e 57 | malicious users: 8 | test acc 0.7550 test loss 0.976366 best test_acc 0.8651
e 58 | malicious users: 6 | test acc 0.6647 test loss 1.077684 best test_acc 0.8651
e 59 | malicious users: 8 | test acc 0.7485 test loss 0.987673 best test_acc 0.8651
e 60 | malicious users: 9 | test acc 0.7456 test loss 1.023510 best test_acc 0.8651
e 61 | malicious users: 11 | test acc 0.4770 test loss 1.546503 best test_acc 0.8651
e 62 | malicious users: 8 | test acc 0.6925 test loss 1.021518 best test_acc 0.8651
e 63 | malicious users: 7 | test acc 0.7440 test loss 0.983472 best test_acc 0.8651
e 64 | malicious users: 4 | test acc 0.6906 test loss 0.973990 best test_acc 0.8651
e 65 | malicious users: 5 | test acc 0.7192 test loss 1.017856 best test_acc 0.8651
e 66 | malicious users: 10 | test acc 0.7280 test loss 0.846903 best test_acc 0.8651
e 67 | malicious users: 6 | test acc 0.6247 test loss 1.072003 best test_acc 0.8651
e 68 | malicious users: 9 | test acc 0.7342 test loss 1.023828 best test_acc 0.8651
e 69 | malicious users: 10 | test acc 0.5574 test loss 1.211321 best test_acc 0.8651
e 70 | malicious users: 4 | test acc 0.7306 test loss 0.797275 best test_acc 0.8651
e 71 | malicious users: 7 | test acc 0.7797 test loss 0.962103 best test_acc 0.8651
e 72 | malicious users: 7 | test acc 0.7954 test loss 0.823156 best test_acc 0.8651
e 73 | malicious users: 9 | test acc 0.6611 test loss 1.026655 best test_acc 0.8651
e 74 | malicious users: 7 | test acc 0.6394 test loss 1.096676 best test_acc 0.8651
e 75 | malicious users: 6 | test acc 0.8197 test loss 0.783496 best test_acc 0.8651
e 76 | malicious users: 8 | test acc 0.7455 test loss 0.801146 best test_acc 0.8651
e 77 | malicious users: 7 | test acc 0.7470 test loss 0.848040 best test_acc 0.8651
e 78 | malicious users: 8 | test acc 0.6412 test loss 1.071293 best test_acc 0.8651
e 79 | malicious users: 6 | test acc 0.8181 test loss 0.842211 best test_acc 0.8651
e 80 | malicious users: 10 | test acc 0.8400 test loss 0.943366 best test_acc 0.8651
e 81 | malicious users: 6 | test acc 0.5502 test loss 1.326118 best test_acc 0.8651
e 82 | malicious users: 9 | test acc 0.6025 test loss 1.121068 best test_acc 0.8651
e 83 | malicious users: 9 | test acc 0.7205 test loss 1.065640 best test_acc 0.8651
e 84 | malicious users: 9 | test acc 0.6805 test loss 0.994771 best test_acc 0.8651
e 85 | malicious users: 11 | test acc 0.6618 test loss 1.083824 best test_acc 0.8651
e 86 | malicious users: 8 | test acc 0.6378 test loss 1.077909 best test_acc 0.8651
e 87 | malicious users: 7 | test acc 0.6670 test loss 1.118242 best test_acc 0.8651
e 88 | malicious users: 9 | test acc 0.6232 test loss 1.101924 best test_acc 0.8651
e 89 | malicious users: 4 | test acc 0.6879 test loss 0.972031 best test_acc 0.8651
e 90 | malicious users: 5 | test acc 0.7844 test loss 0.879724 best test_acc 0.8651
e 91 | malicious users: 4 | test acc 0.7140 test loss 1.091930 best test_acc 0.8651
e 92 | malicious users: 0 | test acc 0.8275 test loss 0.774433 best test_acc 0.8651
e 93 | malicious users: 9 | test acc 0.7451 test loss 0.920952 best test_acc 0.8651
e 94 | malicious users: 4 | test acc 0.8077 test loss 0.797576 best test_acc 0.8651
e 95 | malicious users: 12 | test acc 0.7177 test loss 0.865710 best test_acc 0.8651
e 96 | malicious users: 9 | test acc 0.6764 test loss 1.084711 best test_acc 0.8651
e 97 | malicious users: 8 | test acc 0.6813 test loss 0.884650 best test_acc 0.8651
e 98 | malicious users: 8 | test acc 0.7746 test loss 0.906440 best test_acc 0.8651
e 99 | malicious users: 4 | test acc 0.7239 test loss 0.959636 best test_acc 0.8651
e 100 | malicious users: 5 | test acc 0.7760 test loss 0.719635 best test_acc 0.8651
e 101 | malicious users: 10 | test acc 0.6512 test loss 1.122910 best test_acc 0.8651
e 102 | malicious users: 5 | test acc 0.6682 test loss 1.002445 best test_acc 0.8651
e 103 | malicious users: 6 | test acc 0.6657 test loss 1.019169 best test_acc 0.8651
e 104 | malicious users: 8 | test acc 0.7264 test loss 0.837398 best test_acc 0.8651
e 105 | malicious users: 7 | test acc 0.6278 test loss 0.982151 best test_acc 0.8651
e 106 | malicious users: 6 | test acc 0.7131 test loss 0.904828 best test_acc 0.8651
e 107 | malicious users: 6 | test acc 0.7896 test loss 0.753846 best test_acc 0.8651
e 108 | malicious users: 6 | test acc 0.6807 test loss 0.963821 best test_acc 0.8651
e 109 | malicious users: 10 | test acc 0.5647 test loss 1.145165 best test_acc 0.8651
e 110 | malicious users: 5 | test acc 0.7185 test loss 0.963597 best test_acc 0.8651
e 111 | malicious users: 11 | test acc 0.7846 test loss 0.762268 best test_acc 0.8651
e 112 | malicious users: 6 | test acc 0.7163 test loss 0.935127 best test_acc 0.8651
e 113 | malicious users: 7 | test acc 0.6325 test loss 1.203063 best test_acc 0.8651
e 114 | malicious users: 12 | test acc 0.7297 test loss 0.854564 best test_acc 0.8651
e 115 | malicious users: 4 | test acc 0.7387 test loss 0.945124 best test_acc 0.8651
e 116 | malicious users: 2 | test acc 0.8284 test loss 0.724690 best test_acc 0.8651
e 117 | malicious users: 5 | test acc 0.5693 test loss 1.294430 best test_acc 0.8651
e 118 | malicious users: 7 | test acc 0.6061 test loss 0.984329 best test_acc 0.8651
