=> Saving data in Logs/FRL~try=467
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 2 | test acc 0.1738 test loss 2.232388 best test_acc 0.1738
e 1 | malicious users: 2 | test acc 0.2111 test loss 2.085573 best test_acc 0.2111
e 2 | malicious users: 3 | test acc 0.4498 test loss 1.957677 best test_acc 0.4498
e 3 | malicious users: 2 | test acc 0.4384 test loss 1.775951 best test_acc 0.4498
e 4 | malicious users: 4 | test acc 0.5884 test loss 1.520757 best test_acc 0.5884
e 5 | malicious users: 10 | test acc 0.4364 test loss 1.663036 best test_acc 0.5884
e 6 | malicious users: 6 | test acc 0.5845 test loss 1.615214 best test_acc 0.5884
e 7 | malicious users: 2 | test acc 0.6063 test loss 1.214494 best test_acc 0.6063
e 8 | malicious users: 6 | test acc 0.5016 test loss 1.260450 best test_acc 0.6063
e 9 | malicious users: 1 | test acc 0.5781 test loss 1.286710 best test_acc 0.6063
e 10 | malicious users: 3 | test acc 0.7168 test loss 0.926568 best test_acc 0.7168
e 11 | malicious users: 3 | test acc 0.6375 test loss 1.275551 best test_acc 0.7168
e 12 | malicious users: 2 | test acc 0.6990 test loss 0.964775 best test_acc 0.7168
e 13 | malicious users: 5 | test acc 0.6353 test loss 1.050586 best test_acc 0.7168
e 14 | malicious users: 4 | test acc 0.7496 test loss 0.797256 best test_acc 0.7496
e 15 | malicious users: 3 | test acc 0.7579 test loss 0.892717 best test_acc 0.7579
e 16 | malicious users: 4 | test acc 0.7819 test loss 0.823339 best test_acc 0.7819
e 17 | malicious users: 2 | test acc 0.6780 test loss 1.052881 best test_acc 0.7819
e 18 | malicious users: 2 | test acc 0.7410 test loss 0.829856 best test_acc 0.7819
e 19 | malicious users: 7 | test acc 0.7246 test loss 0.763644 best test_acc 0.7819
e 20 | malicious users: 3 | test acc 0.7786 test loss 0.908178 best test_acc 0.7819
e 21 | malicious users: 2 | test acc 0.6265 test loss 0.957458 best test_acc 0.7819
e 22 | malicious users: 6 | test acc 0.7545 test loss 0.722491 best test_acc 0.7819
e 23 | malicious users: 3 | test acc 0.8077 test loss 0.691939 best test_acc 0.8077
e 24 | malicious users: 2 | test acc 0.8001 test loss 0.721662 best test_acc 0.8077
e 25 | malicious users: 10 | test acc 0.7200 test loss 0.781321 best test_acc 0.8077
e 26 | malicious users: 4 | test acc 0.7788 test loss 0.934676 best test_acc 0.8077
e 27 | malicious users: 4 | test acc 0.8527 test loss 0.612753 best test_acc 0.8527
e 28 | malicious users: 5 | test acc 0.8086 test loss 0.807640 best test_acc 0.8527
e 29 | malicious users: 2 | test acc 0.7412 test loss 0.655653 best test_acc 0.8527
e 30 | malicious users: 4 | test acc 0.6313 test loss 1.191367 best test_acc 0.8527
e 31 | malicious users: 5 | test acc 0.7753 test loss 0.870579 best test_acc 0.8527
e 32 | malicious users: 3 | test acc 0.8085 test loss 0.695411 best test_acc 0.8527
e 33 | malicious users: 5 | test acc 0.7178 test loss 0.740660 best test_acc 0.8527
e 34 | malicious users: 5 | test acc 0.7655 test loss 0.778873 best test_acc 0.8527
e 35 | malicious users: 4 | test acc 0.7667 test loss 0.774061 best test_acc 0.8527
e 36 | malicious users: 4 | test acc 0.7781 test loss 0.632740 best test_acc 0.8527
e 37 | malicious users: 8 | test acc 0.7049 test loss 0.897047 best test_acc 0.8527
e 38 | malicious users: 4 | test acc 0.8002 test loss 0.739945 best test_acc 0.8527
e 39 | malicious users: 3 | test acc 0.7128 test loss 0.835247 best test_acc 0.8527
e 40 | malicious users: 0 | test acc 0.8182 test loss 0.628224 best test_acc 0.8527
e 41 | malicious users: 4 | test acc 0.7488 test loss 0.824782 best test_acc 0.8527
e 42 | malicious users: 3 | test acc 0.7432 test loss 0.788394 best test_acc 0.8527
e 43 | malicious users: 7 | test acc 0.8554 test loss 0.683881 best test_acc 0.8554
e 44 | malicious users: 4 | test acc 0.7959 test loss 0.595868 best test_acc 0.8554
e 45 | malicious users: 4 | test acc 0.7497 test loss 0.706049 best test_acc 0.8554
e 46 | malicious users: 1 | test acc 0.8183 test loss 0.636957 best test_acc 0.8554
e 47 | malicious users: 3 | test acc 0.8575 test loss 0.662660 best test_acc 0.8575
e 48 | malicious users: 5 | test acc 0.8002 test loss 0.897574 best test_acc 0.8575
e 49 | malicious users: 4 | test acc 0.6526 test loss 0.957705 best test_acc 0.8575
e 50 | malicious users: 4 | test acc 0.8637 test loss 0.752022 best test_acc 0.8637
e 51 | malicious users: 8 | test acc 0.7915 test loss 0.598382 best test_acc 0.8637
e 52 | malicious users: 6 | test acc 0.6447 test loss 0.900344 best test_acc 0.8637
e 53 | malicious users: 3 | test acc 0.7167 test loss 0.773699 best test_acc 0.8637
e 54 | malicious users: 3 | test acc 0.8043 test loss 0.738589 best test_acc 0.8637
e 55 | malicious users: 5 | test acc 0.8483 test loss 0.557286 best test_acc 0.8637
e 56 | malicious users: 5 | test acc 0.9071 test loss 0.535403 best test_acc 0.9071
e 57 | malicious users: 3 | test acc 0.8766 test loss 0.583254 best test_acc 0.9071
e 58 | malicious users: 3 | test acc 0.8335 test loss 0.507878 best test_acc 0.9071
e 59 | malicious users: 1 | test acc 0.8806 test loss 0.524431 best test_acc 0.9071
e 60 | malicious users: 3 | test acc 0.7836 test loss 0.695006 best test_acc 0.9071
e 61 | malicious users: 3 | test acc 0.8672 test loss 0.498948 best test_acc 0.9071
e 62 | malicious users: 5 | test acc 0.7276 test loss 0.853189 best test_acc 0.9071
e 63 | malicious users: 5 | test acc 0.7618 test loss 0.642017 best test_acc 0.9071
e 64 | malicious users: 2 | test acc 0.8669 test loss 0.674859 best test_acc 0.9071
e 65 | malicious users: 4 | test acc 0.8227 test loss 0.509225 best test_acc 0.9071
e 66 | malicious users: 5 | test acc 0.6447 test loss 1.044250 best test_acc 0.9071
e 67 | malicious users: 1 | test acc 0.8746 test loss 0.756765 best test_acc 0.9071
e 68 | malicious users: 7 | test acc 0.8258 test loss 0.692305 best test_acc 0.9071
e 69 | malicious users: 2 | test acc 0.8449 test loss 0.557369 best test_acc 0.9071
e 70 | malicious users: 5 | test acc 0.7897 test loss 0.787868 best test_acc 0.9071
e 71 | malicious users: 3 | test acc 0.7840 test loss 0.659068 best test_acc 0.9071
e 72 | malicious users: 5 | test acc 0.7986 test loss 0.630554 best test_acc 0.9071
e 73 | malicious users: 1 | test acc 0.8897 test loss 0.458687 best test_acc 0.9071
