=> Saving data in Logs/FRL~try=468
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 7 | test acc 0.0982 test loss 2.287108 best test_acc 0.0982
e 1 | malicious users: 7 | test acc 0.2319 test loss 2.160735 best test_acc 0.2319
e 2 | malicious users: 5 | test acc 0.3233 test loss 2.019443 best test_acc 0.3233
e 3 | malicious users: 11 | test acc 0.3658 test loss 1.913551 best test_acc 0.3658
e 4 | malicious users: 4 | test acc 0.5076 test loss 1.692026 best test_acc 0.5076
e 5 | malicious users: 10 | test acc 0.4687 test loss 1.454330 best test_acc 0.5076
e 6 | malicious users: 3 | test acc 0.4608 test loss 1.462004 best test_acc 0.5076
e 7 | malicious users: 12 | test acc 0.4129 test loss 1.567653 best test_acc 0.5076
e 8 | malicious users: 7 | test acc 0.6424 test loss 1.267249 best test_acc 0.6424
e 9 | malicious users: 5 | test acc 0.6548 test loss 1.015839 best test_acc 0.6548
e 10 | malicious users: 5 | test acc 0.6013 test loss 1.256835 best test_acc 0.6548
e 11 | malicious users: 6 | test acc 0.6252 test loss 0.979051 best test_acc 0.6548
e 12 | malicious users: 9 | test acc 0.6182 test loss 1.158623 best test_acc 0.6548
e 13 | malicious users: 5 | test acc 0.5717 test loss 1.182486 best test_acc 0.6548
e 14 | malicious users: 7 | test acc 0.7541 test loss 0.979601 best test_acc 0.7541
e 15 | malicious users: 11 | test acc 0.6547 test loss 0.991977 best test_acc 0.7541
e 16 | malicious users: 4 | test acc 0.7409 test loss 0.939702 best test_acc 0.7541
e 17 | malicious users: 2 | test acc 0.7591 test loss 0.857906 best test_acc 0.7591
e 18 | malicious users: 7 | test acc 0.6578 test loss 1.017379 best test_acc 0.7591
e 19 | malicious users: 3 | test acc 0.6920 test loss 0.959278 best test_acc 0.7591
e 20 | malicious users: 3 | test acc 0.8154 test loss 0.742997 best test_acc 0.8154
e 21 | malicious users: 7 | test acc 0.7336 test loss 0.833432 best test_acc 0.8154
e 22 | malicious users: 6 | test acc 0.7889 test loss 0.886366 best test_acc 0.8154
e 23 | malicious users: 5 | test acc 0.7104 test loss 0.966790 best test_acc 0.8154
e 24 | malicious users: 6 | test acc 0.5843 test loss 1.113674 best test_acc 0.8154
e 25 | malicious users: 6 | test acc 0.7087 test loss 0.876179 best test_acc 0.8154
e 26 | malicious users: 2 | test acc 0.7598 test loss 0.776205 best test_acc 0.8154
e 27 | malicious users: 5 | test acc 0.6779 test loss 0.874470 best test_acc 0.8154
e 28 | malicious users: 5 | test acc 0.6888 test loss 0.951398 best test_acc 0.8154
e 29 | malicious users: 3 | test acc 0.6773 test loss 1.001536 best test_acc 0.8154
e 30 | malicious users: 7 | test acc 0.7575 test loss 0.979662 best test_acc 0.8154
e 31 | malicious users: 4 | test acc 0.7751 test loss 0.863944 best test_acc 0.8154
e 32 | malicious users: 8 | test acc 0.7687 test loss 0.708273 best test_acc 0.8154
e 33 | malicious users: 8 | test acc 0.7070 test loss 0.724260 best test_acc 0.8154
e 34 | malicious users: 6 | test acc 0.7339 test loss 0.692878 best test_acc 0.8154
e 35 | malicious users: 6 | test acc 0.8158 test loss 0.759043 best test_acc 0.8158
e 36 | malicious users: 10 | test acc 0.7687 test loss 0.752873 best test_acc 0.8158
e 37 | malicious users: 8 | test acc 0.6974 test loss 0.875824 best test_acc 0.8158
e 38 | malicious users: 7 | test acc 0.8202 test loss 0.747438 best test_acc 0.8202
e 39 | malicious users: 7 | test acc 0.7869 test loss 0.724151 best test_acc 0.8202
e 40 | malicious users: 5 | test acc 0.8301 test loss 0.690009 best test_acc 0.8301
e 41 | malicious users: 8 | test acc 0.7588 test loss 0.904105 best test_acc 0.8301
e 42 | malicious users: 4 | test acc 0.7054 test loss 1.066830 best test_acc 0.8301
e 43 | malicious users: 6 | test acc 0.8263 test loss 0.716876 best test_acc 0.8301
e 44 | malicious users: 8 | test acc 0.8257 test loss 0.707147 best test_acc 0.8301
e 45 | malicious users: 5 | test acc 0.7458 test loss 0.943469 best test_acc 0.8301
e 46 | malicious users: 8 | test acc 0.8559 test loss 0.558522 best test_acc 0.8559
e 47 | malicious users: 7 | test acc 0.7590 test loss 0.807618 best test_acc 0.8559
e 48 | malicious users: 7 | test acc 0.8187 test loss 0.655625 best test_acc 0.8559
e 49 | malicious users: 3 | test acc 0.7671 test loss 0.692455 best test_acc 0.8559
e 50 | malicious users: 7 | test acc 0.7394 test loss 0.740623 best test_acc 0.8559
e 51 | malicious users: 7 | test acc 0.8170 test loss 0.623255 best test_acc 0.8559
e 52 | malicious users: 8 | test acc 0.7618 test loss 0.831414 best test_acc 0.8559
e 53 | malicious users: 3 | test acc 0.7376 test loss 0.871091 best test_acc 0.8559
e 54 | malicious users: 4 | test acc 0.6512 test loss 0.904803 best test_acc 0.8559
e 55 | malicious users: 3 | test acc 0.8612 test loss 0.590202 best test_acc 0.8612
e 56 | malicious users: 7 | test acc 0.7880 test loss 0.752145 best test_acc 0.8612
e 57 | malicious users: 4 | test acc 0.7139 test loss 0.916096 best test_acc 0.8612
e 58 | malicious users: 4 | test acc 0.8764 test loss 0.664374 best test_acc 0.8764
e 59 | malicious users: 12 | test acc 0.6232 test loss 1.015108 best test_acc 0.8764
e 60 | malicious users: 5 | test acc 0.8688 test loss 0.789761 best test_acc 0.8764
e 61 | malicious users: 5 | test acc 0.8145 test loss 0.700470 best test_acc 0.8764
e 62 | malicious users: 6 | test acc 0.7294 test loss 0.877046 best test_acc 0.8764
e 63 | malicious users: 5 | test acc 0.8534 test loss 0.673321 best test_acc 0.8764
e 64 | malicious users: 7 | test acc 0.8132 test loss 0.705288 best test_acc 0.8764
e 65 | malicious users: 8 | test acc 0.6787 test loss 0.874610 best test_acc 0.8764
e 66 | malicious users: 4 | test acc 0.8646 test loss 0.621671 best test_acc 0.8764
e 67 | malicious users: 6 | test acc 0.6887 test loss 0.887516 best test_acc 0.8764
e 68 | malicious users: 6 | test acc 0.8615 test loss 0.758375 best test_acc 0.8764
e 69 | malicious users: 4 | test acc 0.8986 test loss 0.472013 best test_acc 0.8986
e 70 | malicious users: 8 | test acc 0.6087 test loss 0.933658 best test_acc 0.8986
e 71 | malicious users: 7 | test acc 0.6678 test loss 0.875955 best test_acc 0.8986
e 72 | malicious users: 4 | test acc 0.8857 test loss 0.683791 best test_acc 0.8986
e 73 | malicious users: 5 | test acc 0.8462 test loss 0.582132 best test_acc 0.8986
e 74 | malicious users: 8 | test acc 0.7710 test loss 0.644213 best test_acc 0.8986
e 75 | malicious users: 4 | test acc 0.7480 test loss 0.795730 best test_acc 0.8986
e 76 | malicious users: 7 | test acc 0.7470 test loss 0.779053 best test_acc 0.8986
e 77 | malicious users: 3 | test acc 0.8177 test loss 0.770708 best test_acc 0.8986
e 78 | malicious users: 10 | test acc 0.8420 test loss 0.605023 best test_acc 0.8986
e 79 | malicious users: 5 | test acc 0.7307 test loss 0.859660 best test_acc 0.8986
e 80 | malicious users: 6 | test acc 0.7797 test loss 0.810813 best test_acc 0.8986
e 81 | malicious users: 6 | test acc 0.7226 test loss 0.859140 best test_acc 0.8986
e 82 | malicious users: 3 | test acc 0.7815 test loss 0.647982 best test_acc 0.8986
e 83 | malicious users: 6 | test acc 0.7521 test loss 0.931612 best test_acc 0.8986
e 84 | malicious users: 7 | test acc 0.7125 test loss 0.799526 best test_acc 0.8986
e 85 | malicious users: 6 | test acc 0.7262 test loss 0.860819 best test_acc 0.8986
e 86 | malicious users: 8 | test acc 0.8042 test loss 0.765214 best test_acc 0.8986
e 87 | malicious users: 5 | test acc 0.8335 test loss 0.547930 best test_acc 0.8986
e 88 | malicious users: 6 | test acc 0.7561 test loss 0.665716 best test_acc 0.8986
e 89 | malicious users: 5 | test acc 0.8168 test loss 0.785020 best test_acc 0.8986
e 90 | malicious users: 9 | test acc 0.7454 test loss 0.756904 best test_acc 0.8986
e 91 | malicious users: 5 | test acc 0.8364 test loss 0.612764 best test_acc 0.8986
e 92 | malicious users: 5 | test acc 0.8105 test loss 0.673368 best test_acc 0.8986
e 93 | malicious users: 8 | test acc 0.7455 test loss 0.876207 best test_acc 0.8986
e 94 | malicious users: 4 | test acc 0.8256 test loss 0.587779 best test_acc 0.8986
e 95 | malicious users: 7 | test acc 0.7102 test loss 0.828551 best test_acc 0.8986
e 96 | malicious users: 6 | test acc 0.6715 test loss 0.871509 best test_acc 0.8986
e 97 | malicious users: 4 | test acc 0.8887 test loss 0.629771 best test_acc 0.8986
e 98 | malicious users: 9 | test acc 0.8232 test loss 0.601640 best test_acc 0.8986
e 99 | malicious users: 6 | test acc 0.7059 test loss 0.794970 best test_acc 0.8986
e 100 | malicious users: 5 | test acc 0.7405 test loss 0.833182 best test_acc 0.8986
e 101 | malicious users: 5 | test acc 0.8319 test loss 0.631145 best test_acc 0.8986
e 102 | malicious users: 6 | test acc 0.6978 test loss 0.865756 best test_acc 0.8986
e 103 | malicious users: 7 | test acc 0.6731 test loss 0.964673 best test_acc 0.8986
e 104 | malicious users: 5 | test acc 0.6216 test loss 1.081885 best test_acc 0.8986
e 105 | malicious users: 9 | test acc 0.6503 test loss 1.019943 best test_acc 0.8986
e 106 | malicious users: 1 | test acc 0.8209 test loss 0.719483 best test_acc 0.8986
e 107 | malicious users: 3 | test acc 0.7936 test loss 0.858869 best test_acc 0.8986
e 108 | malicious users: 6 | test acc 0.7900 test loss 0.745487 best test_acc 0.8986
e 109 | malicious users: 9 | test acc 0.7641 test loss 0.671793 best test_acc 0.8986
e 110 | malicious users: 8 | test acc 0.6067 test loss 1.048515 best test_acc 0.8986
e 111 | malicious users: 4 | test acc 0.8216 test loss 0.809897 best test_acc 0.8986
e 112 | malicious users: 9 | test acc 0.7429 test loss 0.756864 best test_acc 0.8986
e 113 | malicious users: 11 | test acc 0.6905 test loss 0.985110 best test_acc 0.8986
e 114 | malicious users: 2 | test acc 0.8710 test loss 0.745139 best test_acc 0.8986
e 115 | malicious users: 3 | test acc 0.7784 test loss 0.796996 best test_acc 0.8986
e 116 | malicious users: 5 | test acc 0.6908 test loss 0.841188 best test_acc 0.8986
