=> Saving data in Logs/FRL~try=486
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2246 test loss 2.266882 best test_acc 0.2246
e 1 | malicious users: 10 | test acc 0.1919 test loss 2.198349 best test_acc 0.2246
e 2 | malicious users: 6 | test acc 0.1569 test loss 2.120021 best test_acc 0.2246
e 3 | malicious users: 2 | test acc 0.5210 test loss 1.995565 best test_acc 0.5210
e 4 | malicious users: 9 | test acc 0.3854 test loss 1.848227 best test_acc 0.5210
e 5 | malicious users: 2 | test acc 0.4483 test loss 1.791301 best test_acc 0.5210
e 6 | malicious users: 4 | test acc 0.4642 test loss 1.494459 best test_acc 0.5210
e 7 | malicious users: 8 | test acc 0.4977 test loss 1.545832 best test_acc 0.5210
e 8 | malicious users: 4 | test acc 0.5163 test loss 1.354081 best test_acc 0.5210
e 9 | malicious users: 2 | test acc 0.6032 test loss 1.623095 best test_acc 0.6032
e 10 | malicious users: 7 | test acc 0.4160 test loss 1.704503 best test_acc 0.6032
e 11 | malicious users: 7 | test acc 0.6190 test loss 1.219594 best test_acc 0.6190
e 12 | malicious users: 6 | test acc 0.6016 test loss 1.304590 best test_acc 0.6190
e 13 | malicious users: 5 | test acc 0.7036 test loss 1.167235 best test_acc 0.7036
e 14 | malicious users: 4 | test acc 0.6173 test loss 1.191232 best test_acc 0.7036
e 15 | malicious users: 6 | test acc 0.6609 test loss 1.136619 best test_acc 0.7036
e 16 | malicious users: 4 | test acc 0.5869 test loss 1.210376 best test_acc 0.7036
e 17 | malicious users: 3 | test acc 0.7430 test loss 1.079359 best test_acc 0.7430
e 18 | malicious users: 5 | test acc 0.7865 test loss 0.855647 best test_acc 0.7865
e 19 | malicious users: 2 | test acc 0.7418 test loss 0.985833 best test_acc 0.7865
e 20 | malicious users: 6 | test acc 0.7318 test loss 0.861944 best test_acc 0.7865
e 21 | malicious users: 7 | test acc 0.6252 test loss 1.031336 best test_acc 0.7865
e 22 | malicious users: 3 | test acc 0.6002 test loss 1.138479 best test_acc 0.7865
e 23 | malicious users: 6 | test acc 0.7057 test loss 0.974751 best test_acc 0.7865
e 24 | malicious users: 2 | test acc 0.7658 test loss 0.966977 best test_acc 0.7865
e 25 | malicious users: 4 | test acc 0.8135 test loss 0.970660 best test_acc 0.8135
e 26 | malicious users: 8 | test acc 0.6217 test loss 1.061137 best test_acc 0.8135
