=> Saving data in Logs/FRL~try=487
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2481 test loss 2.240665 best test_acc 0.2481
e 1 | malicious users: 5 | test acc 0.2630 test loss 2.098358 best test_acc 0.2630
e 2 | malicious users: 2 | test acc 0.4693 test loss 1.955274 best test_acc 0.4693
e 3 | malicious users: 4 | test acc 0.5383 test loss 1.565926 best test_acc 0.5383
e 4 | malicious users: 4 | test acc 0.5154 test loss 1.521646 best test_acc 0.5383
e 5 | malicious users: 3 | test acc 0.5551 test loss 1.276667 best test_acc 0.5551
e 6 | malicious users: 4 | test acc 0.5835 test loss 1.272672 best test_acc 0.5835
e 7 | malicious users: 5 | test acc 0.5801 test loss 1.334860 best test_acc 0.5835
e 8 | malicious users: 8 | test acc 0.5950 test loss 1.171159 best test_acc 0.5950
e 9 | malicious users: 5 | test acc 0.6944 test loss 1.038560 best test_acc 0.6944
e 10 | malicious users: 4 | test acc 0.6404 test loss 1.047304 best test_acc 0.6944
e 11 | malicious users: 9 | test acc 0.5782 test loss 1.081844 best test_acc 0.6944
e 12 | malicious users: 3 | test acc 0.6899 test loss 0.919400 best test_acc 0.6944
e 13 | malicious users: 9 | test acc 0.5344 test loss 1.164222 best test_acc 0.6944
e 14 | malicious users: 3 | test acc 0.6542 test loss 0.975192 best test_acc 0.6944
e 15 | malicious users: 3 | test acc 0.8553 test loss 0.724393 best test_acc 0.8553
e 16 | malicious users: 5 | test acc 0.7445 test loss 1.065761 best test_acc 0.8553
e 17 | malicious users: 5 | test acc 0.7295 test loss 0.824414 best test_acc 0.8553
e 18 | malicious users: 4 | test acc 0.7874 test loss 0.694187 best test_acc 0.8553
e 19 | malicious users: 3 | test acc 0.7822 test loss 0.679193 best test_acc 0.8553
e 20 | malicious users: 4 | test acc 0.7539 test loss 0.704645 best test_acc 0.8553
e 21 | malicious users: 9 | test acc 0.6829 test loss 0.886492 best test_acc 0.8553
e 22 | malicious users: 4 | test acc 0.7285 test loss 0.817559 best test_acc 0.8553
e 23 | malicious users: 8 | test acc 0.7689 test loss 0.695157 best test_acc 0.8553
e 24 | malicious users: 3 | test acc 0.8369 test loss 0.792751 best test_acc 0.8553
e 25 | malicious users: 7 | test acc 0.7807 test loss 0.857023 best test_acc 0.8553
e 26 | malicious users: 7 | test acc 0.5774 test loss 1.043278 best test_acc 0.8553
e 27 | malicious users: 4 | test acc 0.7279 test loss 0.766567 best test_acc 0.8553
e 28 | malicious users: 5 | test acc 0.7140 test loss 0.750696 best test_acc 0.8553
e 29 | malicious users: 5 | test acc 0.8076 test loss 0.834065 best test_acc 0.8553
e 30 | malicious users: 4 | test acc 0.7788 test loss 0.651252 best test_acc 0.8553
e 31 | malicious users: 5 | test acc 0.7205 test loss 0.879441 best test_acc 0.8553
e 32 | malicious users: 5 | test acc 0.8225 test loss 0.542002 best test_acc 0.8553
e 33 | malicious users: 6 | test acc 0.7823 test loss 0.717844 best test_acc 0.8553
e 34 | malicious users: 4 | test acc 0.7909 test loss 0.657773 best test_acc 0.8553
e 35 | malicious users: 3 | test acc 0.8785 test loss 0.557734 best test_acc 0.8785
e 36 | malicious users: 5 | test acc 0.7601 test loss 0.770498 best test_acc 0.8785
e 37 | malicious users: 2 | test acc 0.8870 test loss 0.561771 best test_acc 0.8870
e 38 | malicious users: 5 | test acc 0.9127 test loss 0.547733 best test_acc 0.9127
e 39 | malicious users: 3 | test acc 0.8906 test loss 0.473527 best test_acc 0.9127
e 40 | malicious users: 2 | test acc 0.8537 test loss 0.655522 best test_acc 0.9127
e 41 | malicious users: 5 | test acc 0.8919 test loss 0.499313 best test_acc 0.9127
e 42 | malicious users: 8 | test acc 0.7640 test loss 0.787883 best test_acc 0.9127
e 43 | malicious users: 3 | test acc 0.8497 test loss 0.474796 best test_acc 0.9127
e 44 | malicious users: 3 | test acc 0.7333 test loss 0.837647 best test_acc 0.9127
e 45 | malicious users: 5 | test acc 0.9161 test loss 0.368260 best test_acc 0.9161
e 46 | malicious users: 5 | test acc 0.8935 test loss 0.580807 best test_acc 0.9161
e 47 | malicious users: 6 | test acc 0.7604 test loss 0.661895 best test_acc 0.9161
e 48 | malicious users: 5 | test acc 0.8281 test loss 0.630437 best test_acc 0.9161
e 49 | malicious users: 4 | test acc 0.9063 test loss 0.497156 best test_acc 0.9161
e 50 | malicious users: 9 | test acc 0.8193 test loss 0.631317 best test_acc 0.9161
e 51 | malicious users: 5 | test acc 0.8287 test loss 0.568860 best test_acc 0.9161
e 52 | malicious users: 4 | test acc 0.7544 test loss 0.689605 best test_acc 0.9161
e 53 | malicious users: 1 | test acc 0.8859 test loss 0.549219 best test_acc 0.9161
e 54 | malicious users: 9 | test acc 0.8583 test loss 0.540705 best test_acc 0.9161
e 55 | malicious users: 12 | test acc 0.8432 test loss 0.481620 best test_acc 0.9161
e 56 | malicious users: 5 | test acc 0.8642 test loss 0.668922 best test_acc 0.9161
e 57 | malicious users: 8 | test acc 0.8410 test loss 0.459179 best test_acc 0.9161
e 58 | malicious users: 5 | test acc 0.7317 test loss 0.888667 best test_acc 0.9161
e 59 | malicious users: 3 | test acc 0.7801 test loss 0.632617 best test_acc 0.9161
e 60 | malicious users: 6 | test acc 0.8948 test loss 0.461582 best test_acc 0.9161
e 61 | malicious users: 4 | test acc 0.7671 test loss 0.725797 best test_acc 0.9161
e 62 | malicious users: 7 | test acc 0.7030 test loss 0.795505 best test_acc 0.9161
e 63 | malicious users: 9 | test acc 0.7472 test loss 0.799376 best test_acc 0.9161
e 64 | malicious users: 3 | test acc 0.7288 test loss 0.824256 best test_acc 0.9161
e 65 | malicious users: 6 | test acc 0.8595 test loss 0.481252 best test_acc 0.9161
e 66 | malicious users: 5 | test acc 0.8934 test loss 0.477502 best test_acc 0.9161
e 67 | malicious users: 2 | test acc 0.8562 test loss 0.523729 best test_acc 0.9161
e 68 | malicious users: 10 | test acc 0.6875 test loss 0.970872 best test_acc 0.9161
e 69 | malicious users: 3 | test acc 0.8576 test loss 0.545686 best test_acc 0.9161
e 70 | malicious users: 8 | test acc 0.7156 test loss 0.809510 best test_acc 0.9161
e 71 | malicious users: 2 | test acc 0.9076 test loss 0.548600 best test_acc 0.9161
e 72 | malicious users: 4 | test acc 0.8057 test loss 0.655903 best test_acc 0.9161
e 73 | malicious users: 3 | test acc 0.8914 test loss 0.507114 best test_acc 0.9161
e 74 | malicious users: 4 | test acc 0.8818 test loss 0.685748 best test_acc 0.9161
e 75 | malicious users: 4 | test acc 0.8406 test loss 0.580293 best test_acc 0.9161
e 76 | malicious users: 6 | test acc 0.8470 test loss 0.583681 best test_acc 0.9161
e 77 | malicious users: 5 | test acc 0.8978 test loss 0.522682 best test_acc 0.9161
e 78 | malicious users: 5 | test acc 0.8448 test loss 0.636640 best test_acc 0.9161
e 79 | malicious users: 6 | test acc 0.7925 test loss 0.730641 best test_acc 0.9161
e 80 | malicious users: 5 | test acc 0.8863 test loss 0.555298 best test_acc 0.9161
e 81 | malicious users: 6 | test acc 0.8122 test loss 0.641678 best test_acc 0.9161
e 82 | malicious users: 6 | test acc 0.8613 test loss 0.580414 best test_acc 0.9161
e 83 | malicious users: 6 | test acc 0.8165 test loss 0.683429 best test_acc 0.9161
e 84 | malicious users: 2 | test acc 0.8607 test loss 0.593443 best test_acc 0.9161
e 85 | malicious users: 2 | test acc 0.7770 test loss 0.684683 best test_acc 0.9161
e 86 | malicious users: 5 | test acc 0.8538 test loss 0.529895 best test_acc 0.9161
e 87 | malicious users: 6 | test acc 0.8772 test loss 0.440187 best test_acc 0.9161
e 88 | malicious users: 3 | test acc 0.7728 test loss 0.745786 best test_acc 0.9161
e 89 | malicious users: 6 | test acc 0.7253 test loss 0.758990 best test_acc 0.9161
e 90 | malicious users: 8 | test acc 0.8068 test loss 0.648969 best test_acc 0.9161
e 91 | malicious users: 5 | test acc 0.7383 test loss 0.791591 best test_acc 0.9161
e 92 | malicious users: 4 | test acc 0.8023 test loss 0.627616 best test_acc 0.9161
e 93 | malicious users: 6 | test acc 0.7979 test loss 0.776659 best test_acc 0.9161
e 94 | malicious users: 4 | test acc 0.7362 test loss 0.781774 best test_acc 0.9161
e 95 | malicious users: 4 | test acc 0.7922 test loss 0.621463 best test_acc 0.9161
e 96 | malicious users: 2 | test acc 0.8500 test loss 0.686632 best test_acc 0.9161
e 97 | malicious users: 7 | test acc 0.7783 test loss 0.705429 best test_acc 0.9161
e 98 | malicious users: 6 | test acc 0.8156 test loss 0.689410 best test_acc 0.9161
e 99 | malicious users: 3 | test acc 0.7578 test loss 0.739511 best test_acc 0.9161
e 100 | malicious users: 8 | test acc 0.6858 test loss 0.910633 best test_acc 0.9161
e 101 | malicious users: 3 | test acc 0.8106 test loss 0.645824 best test_acc 0.9161
e 102 | malicious users: 5 | test acc 0.7811 test loss 0.584350 best test_acc 0.9161
e 103 | malicious users: 5 | test acc 0.8770 test loss 0.660185 best test_acc 0.9161
e 104 | malicious users: 4 | test acc 0.6798 test loss 0.979711 best test_acc 0.9161
e 105 | malicious users: 9 | test acc 0.6505 test loss 1.029605 best test_acc 0.9161
e 106 | malicious users: 4 | test acc 0.7838 test loss 0.700324 best test_acc 0.9161
e 107 | malicious users: 4 | test acc 0.7699 test loss 0.650402 best test_acc 0.9161
e 108 | malicious users: 7 | test acc 0.8840 test loss 0.478831 best test_acc 0.9161
e 109 | malicious users: 6 | test acc 0.7614 test loss 0.740533 best test_acc 0.9161
e 110 | malicious users: 3 | test acc 0.8471 test loss 0.666294 best test_acc 0.9161
e 111 | malicious users: 5 | test acc 0.8334 test loss 0.789225 best test_acc 0.9161
e 112 | malicious users: 5 | test acc 0.7724 test loss 0.599042 best test_acc 0.9161
e 113 | malicious users: 8 | test acc 0.7416 test loss 0.872929 best test_acc 0.9161
e 114 | malicious users: 2 | test acc 0.6504 test loss 0.923402 best test_acc 0.9161
e 115 | malicious users: 4 | test acc 0.7251 test loss 0.739372 best test_acc 0.9161
e 116 | malicious users: 4 | test acc 0.7904 test loss 0.592913 best test_acc 0.9161
e 117 | malicious users: 3 | test acc 0.7657 test loss 0.797980 best test_acc 0.9161
e 118 | malicious users: 7 | test acc 0.7953 test loss 0.654825 best test_acc 0.9161
e 119 | malicious users: 2 | test acc 0.8864 test loss 0.541013 best test_acc 0.9161
e 120 | malicious users: 5 | test acc 0.8129 test loss 0.617822 best test_acc 0.9161
e 121 | malicious users: 9 | test acc 0.6792 test loss 0.824138 best test_acc 0.9161
e 122 | malicious users: 7 | test acc 0.7790 test loss 0.738945 best test_acc 0.9161
e 123 | malicious users: 5 | test acc 0.8198 test loss 0.757255 best test_acc 0.9161
e 124 | malicious users: 9 | test acc 0.8181 test loss 0.733140 best test_acc 0.9161
e 125 | malicious users: 1 | test acc 0.7511 test loss 0.713397 best test_acc 0.9161
e 126 | malicious users: 7 | test acc 0.8193 test loss 0.683305 best test_acc 0.9161
e 127 | malicious users: 7 | test acc 0.7633 test loss 0.746444 best test_acc 0.9161
e 128 | malicious users: 6 | test acc 0.7191 test loss 0.776675 best test_acc 0.9161
e 129 | malicious users: 6 | test acc 0.8145 test loss 0.694908 best test_acc 0.9161
e 130 | malicious users: 4 | test acc 0.7939 test loss 0.632246 best test_acc 0.9161
e 131 | malicious users: 4 | test acc 0.7381 test loss 0.743218 best test_acc 0.9161
e 132 | malicious users: 5 | test acc 0.8639 test loss 0.537057 best test_acc 0.9161
e 133 | malicious users: 9 | test acc 0.6413 test loss 1.128618 best test_acc 0.9161
e 134 | malicious users: 3 | test acc 0.7873 test loss 0.664353 best test_acc 0.9161
e 135 | malicious users: 9 | test acc 0.7097 test loss 0.897344 best test_acc 0.9161
e 136 | malicious users: 3 | test acc 0.7817 test loss 0.703023 best test_acc 0.9161
e 137 | malicious users: 6 | test acc 0.6701 test loss 0.989407 best test_acc 0.9161
e 138 | malicious users: 6 | test acc 0.7996 test loss 0.691673 best test_acc 0.9161
e 139 | malicious users: 3 | test acc 0.8487 test loss 0.681363 best test_acc 0.9161
e 140 | malicious users: 1 | test acc 0.7198 test loss 0.886115 best test_acc 0.9161
e 141 | malicious users: 2 | test acc 0.8850 test loss 0.506055 best test_acc 0.9161
e 142 | malicious users: 6 | test acc 0.7878 test loss 0.688486 best test_acc 0.9161
e 143 | malicious users: 8 | test acc 0.7794 test loss 0.783208 best test_acc 0.9161
e 144 | malicious users: 2 | test acc 0.8569 test loss 0.540472 best test_acc 0.9161
e 145 | malicious users: 3 | test acc 0.8403 test loss 0.597541 best test_acc 0.9161
e 146 | malicious users: 6 | test acc 0.7580 test loss 0.679624 best test_acc 0.9161
e 147 | malicious users: 3 | test acc 0.9021 test loss 0.602727 best test_acc 0.9161
e 148 | malicious users: 5 | test acc 0.8171 test loss 0.695753 best test_acc 0.9161
e 149 | malicious users: 10 | test acc 0.7772 test loss 0.722226 best test_acc 0.9161
e 150 | malicious users: 5 | test acc 0.8613 test loss 0.604987 best test_acc 0.9161
e 151 | malicious users: 7 | test acc 0.8181 test loss 0.661348 best test_acc 0.9161
e 152 | malicious users: 7 | test acc 0.8092 test loss 0.653909 best test_acc 0.9161
e 153 | malicious users: 7 | test acc 0.7057 test loss 0.780791 best test_acc 0.9161
e 154 | malicious users: 9 | test acc 0.8205 test loss 0.739349 best test_acc 0.9161
e 155 | malicious users: 5 | test acc 0.8198 test loss 0.580372 best test_acc 0.9161
e 156 | malicious users: 2 | test acc 0.8098 test loss 0.701011 best test_acc 0.9161
e 157 | malicious users: 3 | test acc 0.8479 test loss 0.594648 best test_acc 0.9161
e 158 | malicious users: 5 | test acc 0.7282 test loss 1.059233 best test_acc 0.9161
e 159 | malicious users: 9 | test acc 0.9145 test loss 0.469958 best test_acc 0.9161
e 160 | malicious users: 6 | test acc 0.9055 test loss 0.535912 best test_acc 0.9161
e 161 | malicious users: 2 | test acc 0.8172 test loss 0.683533 best test_acc 0.9161
e 162 | malicious users: 5 | test acc 0.7913 test loss 0.625667 best test_acc 0.9161
e 163 | malicious users: 6 | test acc 0.8470 test loss 0.652025 best test_acc 0.9161
e 164 | malicious users: 5 | test acc 0.8015 test loss 0.740264 best test_acc 0.9161
e 165 | malicious users: 5 | test acc 0.8444 test loss 0.627857 best test_acc 0.9161
e 166 | malicious users: 6 | test acc 0.8280 test loss 0.748762 best test_acc 0.9161
e 167 | malicious users: 7 | test acc 0.7781 test loss 0.798592 best test_acc 0.9161
e 168 | malicious users: 3 | test acc 0.9150 test loss 0.498929 best test_acc 0.9161
e 169 | malicious users: 7 | test acc 0.7762 test loss 0.625775 best test_acc 0.9161
e 170 | malicious users: 6 | test acc 0.7910 test loss 0.731798 best test_acc 0.9161
e 171 | malicious users: 2 | test acc 0.7552 test loss 0.790684 best test_acc 0.9161
e 172 | malicious users: 6 | test acc 0.8761 test loss 0.631252 best test_acc 0.9161
e 173 | malicious users: 7 | test acc 0.7967 test loss 0.688915 best test_acc 0.9161
e 174 | malicious users: 5 | test acc 0.8171 test loss 0.672791 best test_acc 0.9161
e 175 | malicious users: 4 | test acc 0.9062 test loss 0.547523 best test_acc 0.9161
e 176 | malicious users: 4 | test acc 0.9034 test loss 0.391048 best test_acc 0.9161
e 177 | malicious users: 7 | test acc 0.7187 test loss 0.823724 best test_acc 0.9161
e 178 | malicious users: 8 | test acc 0.7590 test loss 1.557125 best test_acc 0.9161
e 179 | malicious users: 4 | test acc 0.8652 test loss 0.544829 best test_acc 0.9161
e 180 | malicious users: 6 | test acc 0.8481 test loss 0.555699 best test_acc 0.9161
