=> Saving data in Logs/FRL~try=495
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1805 test loss 2.274348 best test_acc 0.1805
e 1 | malicious users: 5 | test acc 0.1834 test loss 2.201159 best test_acc 0.1834
e 2 | malicious users: 1 | test acc 0.6239 test loss 1.800645 best test_acc 0.6239
e 3 | malicious users: 4 | test acc 0.5372 test loss 1.958427 best test_acc 0.6239
e 4 | malicious users: 4 | test acc 0.4565 test loss 1.556802 best test_acc 0.6239
e 5 | malicious users: 8 | test acc 0.5869 test loss 1.276656 best test_acc 0.6239
e 6 | malicious users: 2 | test acc 0.6073 test loss 1.277236 best test_acc 0.6239
e 7 | malicious users: 3 | test acc 0.6409 test loss 1.121491 best test_acc 0.6409
e 8 | malicious users: 6 | test acc 0.6422 test loss 1.071341 best test_acc 0.6422
e 9 | malicious users: 6 | test acc 0.8136 test loss 0.868104 best test_acc 0.8136
e 10 | malicious users: 3 | test acc 0.7483 test loss 0.905751 best test_acc 0.8136
e 11 | malicious users: 5 | test acc 0.7302 test loss 0.892160 best test_acc 0.8136
e 12 | malicious users: 2 | test acc 0.7025 test loss 0.849902 best test_acc 0.8136
e 13 | malicious users: 4 | test acc 0.6798 test loss 0.899357 best test_acc 0.8136
e 14 | malicious users: 4 | test acc 0.6979 test loss 0.895840 best test_acc 0.8136
e 15 | malicious users: 4 | test acc 0.7156 test loss 0.992249 best test_acc 0.8136
e 16 | malicious users: 5 | test acc 0.8545 test loss 0.660925 best test_acc 0.8545
e 17 | malicious users: 0 | test acc 0.7854 test loss 0.693581 best test_acc 0.8545
e 18 | malicious users: 2 | test acc 0.7801 test loss 0.808504 best test_acc 0.8545
e 19 | malicious users: 5 | test acc 0.7327 test loss 0.822608 best test_acc 0.8545
e 20 | malicious users: 6 | test acc 0.6798 test loss 0.924606 best test_acc 0.8545
e 21 | malicious users: 5 | test acc 0.7634 test loss 0.800341 best test_acc 0.8545
e 22 | malicious users: 3 | test acc 0.7136 test loss 0.716574 best test_acc 0.8545
e 23 | malicious users: 9 | test acc 0.7777 test loss 0.810505 best test_acc 0.8545
e 24 | malicious users: 4 | test acc 0.8263 test loss 0.660213 best test_acc 0.8545
e 25 | malicious users: 4 | test acc 0.7862 test loss 0.661135 best test_acc 0.8545
e 26 | malicious users: 9 | test acc 0.7512 test loss 0.846551 best test_acc 0.8545
e 27 | malicious users: 5 | test acc 0.7995 test loss 0.702111 best test_acc 0.8545
e 28 | malicious users: 1 | test acc 0.7734 test loss 0.672584 best test_acc 0.8545
e 29 | malicious users: 6 | test acc 0.8756 test loss 0.456066 best test_acc 0.8756
e 30 | malicious users: 6 | test acc 0.8103 test loss 0.743620 best test_acc 0.8756
e 31 | malicious users: 7 | test acc 0.8690 test loss 0.443331 best test_acc 0.8756
e 32 | malicious users: 6 | test acc 0.7752 test loss 0.673224 best test_acc 0.8756
e 33 | malicious users: 4 | test acc 0.8158 test loss 0.601435 best test_acc 0.8756
e 34 | malicious users: 6 | test acc 0.8035 test loss 0.587404 best test_acc 0.8756
e 35 | malicious users: 3 | test acc 0.8210 test loss 0.644467 best test_acc 0.8756
e 36 | malicious users: 1 | test acc 0.8321 test loss 0.479737 best test_acc 0.8756
e 37 | malicious users: 6 | test acc 0.7596 test loss 0.724315 best test_acc 0.8756
e 38 | malicious users: 5 | test acc 0.7444 test loss 0.810136 best test_acc 0.8756
e 39 | malicious users: 4 | test acc 0.8289 test loss 0.560645 best test_acc 0.8756
e 40 | malicious users: 8 | test acc 0.8361 test loss 0.594445 best test_acc 0.8756
e 41 | malicious users: 5 | test acc 0.8646 test loss 0.555955 best test_acc 0.8756
