=> Saving data in Logs/FRL~try=499
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.2930 test loss 2.249910 best test_acc 0.2930
e 1 | malicious users: 6 | test acc 0.1977 test loss 2.171825 best test_acc 0.2930
e 2 | malicious users: 5 | test acc 0.3777 test loss 1.807238 best test_acc 0.3777
e 3 | malicious users: 4 | test acc 0.4718 test loss 1.812694 best test_acc 0.4718
e 4 | malicious users: 7 | test acc 0.5752 test loss 1.519164 best test_acc 0.5752
e 5 | malicious users: 5 | test acc 0.5958 test loss 1.231391 best test_acc 0.5958
e 6 | malicious users: 6 | test acc 0.6157 test loss 1.158653 best test_acc 0.6157
e 7 | malicious users: 5 | test acc 0.5549 test loss 1.237491 best test_acc 0.6157
e 8 | malicious users: 5 | test acc 0.6500 test loss 1.101961 best test_acc 0.6500
e 9 | malicious users: 4 | test acc 0.4890 test loss 1.412661 best test_acc 0.6500
e 10 | malicious users: 6 | test acc 0.7133 test loss 0.946152 best test_acc 0.7133
e 11 | malicious users: 5 | test acc 0.6798 test loss 0.963015 best test_acc 0.7133
e 12 | malicious users: 6 | test acc 0.6751 test loss 0.888927 best test_acc 0.7133
e 13 | malicious users: 3 | test acc 0.7107 test loss 0.882321 best test_acc 0.7133
e 14 | malicious users: 4 | test acc 0.7632 test loss 0.870798 best test_acc 0.7632
e 15 | malicious users: 5 | test acc 0.7301 test loss 0.878272 best test_acc 0.7632
e 16 | malicious users: 7 | test acc 0.6794 test loss 0.907590 best test_acc 0.7632
e 17 | malicious users: 6 | test acc 0.6991 test loss 0.866659 best test_acc 0.7632
e 18 | malicious users: 6 | test acc 0.7503 test loss 0.860447 best test_acc 0.7632
e 19 | malicious users: 8 | test acc 0.7389 test loss 0.707338 best test_acc 0.7632
e 20 | malicious users: 6 | test acc 0.7155 test loss 0.797784 best test_acc 0.7632
e 21 | malicious users: 5 | test acc 0.7347 test loss 0.942372 best test_acc 0.7632
e 22 | malicious users: 2 | test acc 0.8150 test loss 0.722751 best test_acc 0.8150
e 23 | malicious users: 7 | test acc 0.7182 test loss 0.863823 best test_acc 0.8150
e 24 | malicious users: 5 | test acc 0.6502 test loss 0.893556 best test_acc 0.8150
e 25 | malicious users: 9 | test acc 0.5829 test loss 1.019608 best test_acc 0.8150
e 26 | malicious users: 3 | test acc 0.8032 test loss 0.785549 best test_acc 0.8150
e 27 | malicious users: 5 | test acc 0.7045 test loss 0.808075 best test_acc 0.8150
e 28 | malicious users: 3 | test acc 0.8206 test loss 0.644091 best test_acc 0.8206
e 29 | malicious users: 5 | test acc 0.7909 test loss 1.043432 best test_acc 0.8206
e 30 | malicious users: 6 | test acc 0.8268 test loss 0.604398 best test_acc 0.8268
e 31 | malicious users: 4 | test acc 0.7360 test loss 0.888523 best test_acc 0.8268
e 32 | malicious users: 4 | test acc 0.7995 test loss 0.606404 best test_acc 0.8268
e 33 | malicious users: 4 | test acc 0.8685 test loss 0.637385 best test_acc 0.8685
e 34 | malicious users: 9 | test acc 0.8127 test loss 0.655458 best test_acc 0.8685
e 35 | malicious users: 4 | test acc 0.7964 test loss 0.762280 best test_acc 0.8685
e 36 | malicious users: 4 | test acc 0.8221 test loss 0.753940 best test_acc 0.8685
e 37 | malicious users: 5 | test acc 0.6705 test loss 0.896294 best test_acc 0.8685
e 38 | malicious users: 4 | test acc 0.8345 test loss 0.599180 best test_acc 0.8685
e 39 | malicious users: 0 | test acc 0.7370 test loss 0.750185 best test_acc 0.8685
e 40 | malicious users: 5 | test acc 0.7062 test loss 0.802036 best test_acc 0.8685
e 41 | malicious users: 4 | test acc 0.8452 test loss 0.623468 best test_acc 0.8685
e 42 | malicious users: 4 | test acc 0.7268 test loss 0.770061 best test_acc 0.8685
e 43 | malicious users: 4 | test acc 0.7789 test loss 0.787016 best test_acc 0.8685
e 44 | malicious users: 9 | test acc 0.8355 test loss 0.557710 best test_acc 0.8685
e 45 | malicious users: 3 | test acc 0.7149 test loss 0.795323 best test_acc 0.8685
e 46 | malicious users: 7 | test acc 0.8693 test loss 0.404455 best test_acc 0.8693
e 47 | malicious users: 2 | test acc 0.7250 test loss 0.833521 best test_acc 0.8693
e 48 | malicious users: 4 | test acc 0.7895 test loss 0.611684 best test_acc 0.8693
e 49 | malicious users: 6 | test acc 0.7751 test loss 0.771182 best test_acc 0.8693
e 50 | malicious users: 3 | test acc 0.7729 test loss 0.630361 best test_acc 0.8693
e 51 | malicious users: 5 | test acc 0.7808 test loss 0.627391 best test_acc 0.8693
e 52 | malicious users: 5 | test acc 0.7536 test loss 0.618815 best test_acc 0.8693
e 53 | malicious users: 4 | test acc 0.7996 test loss 0.752814 best test_acc 0.8693
e 54 | malicious users: 8 | test acc 0.8044 test loss 0.618378 best test_acc 0.8693
e 55 | malicious users: 4 | test acc 0.7702 test loss 0.694300 best test_acc 0.8693
e 56 | malicious users: 4 | test acc 0.8661 test loss 0.655134 best test_acc 0.8693
e 57 | malicious users: 5 | test acc 0.8401 test loss 0.563496 best test_acc 0.8693
e 58 | malicious users: 3 | test acc 0.8442 test loss 0.603637 best test_acc 0.8693
e 59 | malicious users: 7 | test acc 0.7886 test loss 0.733246 best test_acc 0.8693
e 60 | malicious users: 3 | test acc 0.9201 test loss 0.498359 best test_acc 0.9201
e 61 | malicious users: 6 | test acc 0.8072 test loss 0.668276 best test_acc 0.9201
e 62 | malicious users: 4 | test acc 0.7509 test loss 0.759296 best test_acc 0.9201
e 63 | malicious users: 4 | test acc 0.8367 test loss 0.591932 best test_acc 0.9201
