=> Saving data in Logs/FRL~try=500
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1290 test loss 2.241846 best test_acc 0.1290
e 1 | malicious users: 5 | test acc 0.3417 test loss 2.092431 best test_acc 0.3417
e 2 | malicious users: 8 | test acc 0.4813 test loss 1.786816 best test_acc 0.4813
e 3 | malicious users: 4 | test acc 0.4183 test loss 1.562592 best test_acc 0.4813
e 4 | malicious users: 5 | test acc 0.6682 test loss 1.313653 best test_acc 0.6682
e 5 | malicious users: 6 | test acc 0.6388 test loss 1.158056 best test_acc 0.6682
e 6 | malicious users: 7 | test acc 0.5686 test loss 1.320160 best test_acc 0.6682
e 7 | malicious users: 9 | test acc 0.7560 test loss 0.784871 best test_acc 0.7560
e 8 | malicious users: 4 | test acc 0.7044 test loss 0.958133 best test_acc 0.7560
e 9 | malicious users: 3 | test acc 0.7003 test loss 1.019417 best test_acc 0.7560
e 10 | malicious users: 5 | test acc 0.6748 test loss 0.939407 best test_acc 0.7560
e 11 | malicious users: 5 | test acc 0.7836 test loss 0.734477 best test_acc 0.7836
e 12 | malicious users: 4 | test acc 0.7458 test loss 0.886813 best test_acc 0.7836
e 13 | malicious users: 5 | test acc 0.7083 test loss 0.796278 best test_acc 0.7836
e 14 | malicious users: 9 | test acc 0.8042 test loss 0.637346 best test_acc 0.8042
e 15 | malicious users: 5 | test acc 0.8394 test loss 0.584400 best test_acc 0.8394
e 16 | malicious users: 5 | test acc 0.8542 test loss 0.701555 best test_acc 0.8542
e 17 | malicious users: 8 | test acc 0.8691 test loss 0.583654 best test_acc 0.8691
e 18 | malicious users: 6 | test acc 0.7114 test loss 0.978508 best test_acc 0.8691
e 19 | malicious users: 5 | test acc 0.6810 test loss 0.841054 best test_acc 0.8691
e 20 | malicious users: 2 | test acc 0.8326 test loss 0.795152 best test_acc 0.8691
e 21 | malicious users: 4 | test acc 0.8112 test loss 0.631598 best test_acc 0.8691
e 22 | malicious users: 1 | test acc 0.8723 test loss 0.615244 best test_acc 0.8723
e 23 | malicious users: 3 | test acc 0.8194 test loss 0.552833 best test_acc 0.8723
e 24 | malicious users: 4 | test acc 0.7422 test loss 0.750884 best test_acc 0.8723
e 25 | malicious users: 2 | test acc 0.7396 test loss 0.731191 best test_acc 0.8723
e 26 | malicious users: 6 | test acc 0.7845 test loss 0.702472 best test_acc 0.8723
e 27 | malicious users: 7 | test acc 0.6972 test loss 0.973804 best test_acc 0.8723
e 28 | malicious users: 2 | test acc 0.8508 test loss 0.687558 best test_acc 0.8723
e 29 | malicious users: 4 | test acc 0.8782 test loss 0.491636 best test_acc 0.8782
e 30 | malicious users: 7 | test acc 0.8285 test loss 0.604161 best test_acc 0.8782
e 31 | malicious users: 7 | test acc 0.8963 test loss 0.452153 best test_acc 0.8963
e 32 | malicious users: 4 | test acc 0.7344 test loss 0.775387 best test_acc 0.8963
e 33 | malicious users: 6 | test acc 0.7354 test loss 0.683418 best test_acc 0.8963
e 34 | malicious users: 3 | test acc 0.8133 test loss 0.706083 best test_acc 0.8963
e 35 | malicious users: 4 | test acc 0.8163 test loss 0.658837 best test_acc 0.8963
e 36 | malicious users: 4 | test acc 0.9203 test loss 0.416555 best test_acc 0.9203
e 37 | malicious users: 8 | test acc 0.7377 test loss 0.853096 best test_acc 0.9203
e 38 | malicious users: 2 | test acc 0.7930 test loss 0.636466 best test_acc 0.9203
e 39 | malicious users: 4 | test acc 0.8575 test loss 0.571384 best test_acc 0.9203
e 40 | malicious users: 6 | test acc 0.8646 test loss 0.554500 best test_acc 0.9203
e 41 | malicious users: 5 | test acc 0.8735 test loss 0.508753 best test_acc 0.9203
e 42 | malicious users: 4 | test acc 0.7970 test loss 0.748074 best test_acc 0.9203
e 43 | malicious users: 5 | test acc 0.8830 test loss 0.551098 best test_acc 0.9203
e 44 | malicious users: 4 | test acc 0.7493 test loss 0.737081 best test_acc 0.9203
e 45 | malicious users: 6 | test acc 0.7890 test loss 0.674945 best test_acc 0.9203
e 46 | malicious users: 3 | test acc 0.8309 test loss 0.614387 best test_acc 0.9203
e 47 | malicious users: 2 | test acc 0.8812 test loss 0.568326 best test_acc 0.9203
e 48 | malicious users: 8 | test acc 0.8925 test loss 0.538854 best test_acc 0.9203
e 49 | malicious users: 5 | test acc 0.8763 test loss 0.465350 best test_acc 0.9203
e 50 | malicious users: 4 | test acc 0.7187 test loss 0.813746 best test_acc 0.9203
e 51 | malicious users: 3 | test acc 0.8091 test loss 0.659345 best test_acc 0.9203
e 52 | malicious users: 4 | test acc 0.8750 test loss 0.620327 best test_acc 0.9203
e 53 | malicious users: 5 | test acc 0.8275 test loss 0.536192 best test_acc 0.9203
e 54 | malicious users: 7 | test acc 0.8280 test loss 0.531856 best test_acc 0.9203
e 55 | malicious users: 5 | test acc 0.8414 test loss 0.556432 best test_acc 0.9203
e 56 | malicious users: 7 | test acc 0.8656 test loss 0.654141 best test_acc 0.9203
e 57 | malicious users: 7 | test acc 0.8267 test loss 0.531286 best test_acc 0.9203
e 58 | malicious users: 6 | test acc 0.8033 test loss 0.580386 best test_acc 0.9203
e 59 | malicious users: 7 | test acc 0.8165 test loss 0.792259 best test_acc 0.9203
e 60 | malicious users: 5 | test acc 0.9132 test loss 0.489895 best test_acc 0.9203
e 61 | malicious users: 4 | test acc 0.8233 test loss 0.700597 best test_acc 0.9203
e 62 | malicious users: 3 | test acc 0.7486 test loss 0.700520 best test_acc 0.9203
e 63 | malicious users: 5 | test acc 0.8354 test loss 0.589781 best test_acc 0.9203
e 64 | malicious users: 7 | test acc 0.8409 test loss 0.488131 best test_acc 0.9203
e 65 | malicious users: 3 | test acc 0.8019 test loss 0.694753 best test_acc 0.9203
e 66 | malicious users: 7 | test acc 0.8026 test loss 0.639802 best test_acc 0.9203
e 67 | malicious users: 5 | test acc 0.7549 test loss 0.741666 best test_acc 0.9203
