=> Saving data in Logs/FRL~try=502
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1128 test loss 2.286559 best test_acc 0.1128
e 1 | malicious users: 6 | test acc 0.3302 test loss 2.214929 best test_acc 0.3302
e 2 | malicious users: 4 | test acc 0.1121 test loss 2.191138 best test_acc 0.3302
e 3 | malicious users: 6 | test acc 0.3957 test loss 2.117135 best test_acc 0.3957
e 4 | malicious users: 3 | test acc 0.4853 test loss 2.034288 best test_acc 0.4853
e 5 | malicious users: 7 | test acc 0.5063 test loss 2.008118 best test_acc 0.5063
e 6 | malicious users: 4 | test acc 0.5299 test loss 1.553113 best test_acc 0.5299
e 7 | malicious users: 3 | test acc 0.6385 test loss 1.744876 best test_acc 0.6385
e 8 | malicious users: 6 | test acc 0.5433 test loss 1.594022 best test_acc 0.6385
e 9 | malicious users: 6 | test acc 0.5539 test loss 1.495357 best test_acc 0.6385
e 10 | malicious users: 4 | test acc 0.6737 test loss 1.806273 best test_acc 0.6737
e 11 | malicious users: 3 | test acc 0.5859 test loss 1.439538 best test_acc 0.6737
e 12 | malicious users: 4 | test acc 0.6198 test loss 1.457340 best test_acc 0.6737
e 13 | malicious users: 4 | test acc 0.5190 test loss 1.526439 best test_acc 0.6737
e 14 | malicious users: 2 | test acc 0.7047 test loss 1.309981 best test_acc 0.7047
e 15 | malicious users: 3 | test acc 0.7648 test loss 1.001352 best test_acc 0.7648
e 16 | malicious users: 6 | test acc 0.7311 test loss 1.722446 best test_acc 0.7648
e 17 | malicious users: 4 | test acc 0.5954 test loss 1.148053 best test_acc 0.7648
e 18 | malicious users: 7 | test acc 0.6536 test loss 1.377943 best test_acc 0.7648
e 19 | malicious users: 5 | test acc 0.6957 test loss 1.253775 best test_acc 0.7648
e 20 | malicious users: 4 | test acc 0.7345 test loss 1.115875 best test_acc 0.7648
e 21 | malicious users: 4 | test acc 0.7668 test loss 0.979264 best test_acc 0.7668
