=> Saving data in Logs/FRL~try=510
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1716 test loss 2.254213 best test_acc 0.1716
e 1 | malicious users: 5 | test acc 0.2042 test loss 2.180340 best test_acc 0.2042
e 2 | malicious users: 4 | test acc 0.3893 test loss 2.166185 best test_acc 0.3893
e 3 | malicious users: 5 | test acc 0.4896 test loss 1.983712 best test_acc 0.4896
e 4 | malicious users: 4 | test acc 0.4059 test loss 2.053591 best test_acc 0.4896
e 5 | malicious users: 8 | test acc 0.4779 test loss 1.932693 best test_acc 0.4896
e 6 | malicious users: 3 | test acc 0.4623 test loss 1.861699 best test_acc 0.4896
e 7 | malicious users: 6 | test acc 0.3993 test loss 1.957711 best test_acc 0.4896
e 8 | malicious users: 5 | test acc 0.5770 test loss 1.738564 best test_acc 0.5770
e 9 | malicious users: 7 | test acc 0.4675 test loss 1.854375 best test_acc 0.5770
e 10 | malicious users: 4 | test acc 0.6293 test loss 1.434769 best test_acc 0.6293
e 11 | malicious users: 4 | test acc 0.5894 test loss 1.731897 best test_acc 0.6293
e 12 | malicious users: 2 | test acc 0.6083 test loss 1.484293 best test_acc 0.6293
e 13 | malicious users: 6 | test acc 0.7134 test loss 1.532824 best test_acc 0.7134
e 14 | malicious users: 5 | test acc 0.6503 test loss 1.608546 best test_acc 0.7134
e 15 | malicious users: 1 | test acc 0.6815 test loss 1.354261 best test_acc 0.7134
e 16 | malicious users: 4 | test acc 0.6570 test loss 1.324087 best test_acc 0.7134
e 17 | malicious users: 7 | test acc 0.5336 test loss 1.546717 best test_acc 0.7134
e 18 | malicious users: 5 | test acc 0.6671 test loss 1.363151 best test_acc 0.7134
e 19 | malicious users: 5 | test acc 0.5137 test loss 1.518971 best test_acc 0.7134
e 20 | malicious users: 2 | test acc 0.7194 test loss 1.260772 best test_acc 0.7194
e 21 | malicious users: 5 | test acc 0.5493 test loss 1.380737 best test_acc 0.7194
e 22 | malicious users: 1 | test acc 0.7729 test loss 1.054856 best test_acc 0.7729
e 23 | malicious users: 3 | test acc 0.6977 test loss 1.358548 best test_acc 0.7729
e 24 | malicious users: 7 | test acc 0.7538 test loss 1.167737 best test_acc 0.7729
e 25 | malicious users: 7 | test acc 0.5830 test loss 1.426520 best test_acc 0.7729
e 26 | malicious users: 3 | test acc 0.7764 test loss 1.275377 best test_acc 0.7764
e 27 | malicious users: 5 | test acc 0.8124 test loss 1.142749 best test_acc 0.8124
