=> Saving data in Logs/FRL~try=511
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 2 | test acc 0.1489 test loss 2.231553 best test_acc 0.1489
e 1 | malicious users: 4 | test acc 0.4833 test loss 2.112493 best test_acc 0.4833
e 2 | malicious users: 4 | test acc 0.4009 test loss 2.057509 best test_acc 0.4833
e 3 | malicious users: 5 | test acc 0.4493 test loss 1.862884 best test_acc 0.4833
e 4 | malicious users: 6 | test acc 0.5963 test loss 1.896450 best test_acc 0.5963
e 5 | malicious users: 10 | test acc 0.3775 test loss 1.869411 best test_acc 0.5963
e 6 | malicious users: 5 | test acc 0.7139 test loss 1.626682 best test_acc 0.7139
e 7 | malicious users: 6 | test acc 0.4450 test loss 1.557469 best test_acc 0.7139
e 8 | malicious users: 7 | test acc 0.6269 test loss 1.560650 best test_acc 0.7139
e 9 | malicious users: 4 | test acc 0.6051 test loss 1.566628 best test_acc 0.7139
e 10 | malicious users: 8 | test acc 0.5004 test loss 1.613561 best test_acc 0.7139
e 11 | malicious users: 4 | test acc 0.7380 test loss 1.205825 best test_acc 0.7380
e 12 | malicious users: 4 | test acc 0.6509 test loss 1.345383 best test_acc 0.7380
e 13 | malicious users: 4 | test acc 0.6936 test loss 1.110453 best test_acc 0.7380
e 14 | malicious users: 6 | test acc 0.7346 test loss 1.204095 best test_acc 0.7380
e 15 | malicious users: 2 | test acc 0.6146 test loss 1.211867 best test_acc 0.7380
e 16 | malicious users: 5 | test acc 0.6917 test loss 1.356108 best test_acc 0.7380
e 17 | malicious users: 7 | test acc 0.7822 test loss 1.365150 best test_acc 0.7822
e 18 | malicious users: 2 | test acc 0.7436 test loss 1.034643 best test_acc 0.7822
e 19 | malicious users: 5 | test acc 0.6673 test loss 1.263460 best test_acc 0.7822
e 20 | malicious users: 6 | test acc 0.5495 test loss 1.498765 best test_acc 0.7822
e 21 | malicious users: 5 | test acc 0.6388 test loss 1.273580 best test_acc 0.7822
e 22 | malicious users: 5 | test acc 0.7139 test loss 1.152268 best test_acc 0.7822
e 23 | malicious users: 9 | test acc 0.6696 test loss 1.503001 best test_acc 0.7822
e 24 | malicious users: 5 | test acc 0.7948 test loss 1.242708 best test_acc 0.7948
e 25 | malicious users: 5 | test acc 0.6447 test loss 1.234129 best test_acc 0.7948
e 26 | malicious users: 4 | test acc 0.7593 test loss 1.232994 best test_acc 0.7948
e 27 | malicious users: 5 | test acc 0.7089 test loss 1.380015 best test_acc 0.7948
e 28 | malicious users: 5 | test acc 0.7971 test loss 1.243826 best test_acc 0.7971
e 29 | malicious users: 4 | test acc 0.7188 test loss 0.983423 best test_acc 0.7971
e 30 | malicious users: 7 | test acc 0.7106 test loss 1.205281 best test_acc 0.7971
e 31 | malicious users: 5 | test acc 0.7736 test loss 0.996041 best test_acc 0.7971
e 32 | malicious users: 4 | test acc 0.6487 test loss 1.160813 best test_acc 0.7971
e 33 | malicious users: 2 | test acc 0.8816 test loss 0.502112 best test_acc 0.8816
e 34 | malicious users: 5 | test acc 0.7397 test loss 1.172004 best test_acc 0.8816
e 35 | malicious users: 3 | test acc 0.8159 test loss 0.982950 best test_acc 0.8816
e 36 | malicious users: 6 | test acc 0.7537 test loss 1.202196 best test_acc 0.8816
e 37 | malicious users: 7 | test acc 0.6394 test loss 1.293866 best test_acc 0.8816
e 38 | malicious users: 4 | test acc 0.8309 test loss 0.875689 best test_acc 0.8816
e 39 | malicious users: 4 | test acc 0.8691 test loss 0.890246 best test_acc 0.8816
e 40 | malicious users: 3 | test acc 0.8144 test loss 0.570114 best test_acc 0.8816
e 41 | malicious users: 6 | test acc 0.4430 test loss 1.646669 best test_acc 0.8816
e 42 | malicious users: 5 | test acc 0.8235 test loss 1.147335 best test_acc 0.8816
e 43 | malicious users: 8 | test acc 0.6814 test loss 1.328393 best test_acc 0.8816
e 44 | malicious users: 7 | test acc 0.6696 test loss 1.228189 best test_acc 0.8816
e 45 | malicious users: 8 | test acc 0.7538 test loss 1.285483 best test_acc 0.8816
e 46 | malicious users: 9 | test acc 0.6110 test loss 1.282737 best test_acc 0.8816
e 47 | malicious users: 5 | test acc 0.7645 test loss 1.282414 best test_acc 0.8816
e 48 | malicious users: 6 | test acc 0.7829 test loss 1.137260 best test_acc 0.8816
e 49 | malicious users: 5 | test acc 0.7776 test loss 0.995724 best test_acc 0.8816
e 50 | malicious users: 3 | test acc 0.7864 test loss 0.729602 best test_acc 0.8816
e 51 | malicious users: 5 | test acc 0.8246 test loss 0.641503 best test_acc 0.8816
e 52 | malicious users: 1 | test acc 0.9105 test loss 0.372755 best test_acc 0.9105
e 53 | malicious users: 6 | test acc 0.6482 test loss 1.267067 best test_acc 0.9105
e 54 | malicious users: 7 | test acc 0.6285 test loss 1.239057 best test_acc 0.9105
e 55 | malicious users: 3 | test acc 0.6776 test loss 1.153434 best test_acc 0.9105
e 56 | malicious users: 5 | test acc 0.7340 test loss 1.116824 best test_acc 0.9105
e 57 | malicious users: 7 | test acc 0.8349 test loss 0.910156 best test_acc 0.9105
e 58 | malicious users: 3 | test acc 0.8626 test loss 0.652083 best test_acc 0.9105
e 59 | malicious users: 5 | test acc 0.7085 test loss 1.115404 best test_acc 0.9105
e 60 | malicious users: 4 | test acc 0.7117 test loss 1.185628 best test_acc 0.9105
e 61 | malicious users: 4 | test acc 0.6894 test loss 1.159053 best test_acc 0.9105
e 62 | malicious users: 4 | test acc 0.6351 test loss 0.999410 best test_acc 0.9105
e 63 | malicious users: 5 | test acc 0.7315 test loss 1.273582 best test_acc 0.9105
e 64 | malicious users: 6 | test acc 0.7506 test loss 1.112878 best test_acc 0.9105
e 65 | malicious users: 5 | test acc 0.7192 test loss 1.013875 best test_acc 0.9105
e 66 | malicious users: 8 | test acc 0.8122 test loss 1.123988 best test_acc 0.9105
e 67 | malicious users: 8 | test acc 0.7283 test loss 1.167581 best test_acc 0.9105
e 68 | malicious users: 5 | test acc 0.8053 test loss 1.053760 best test_acc 0.9105
e 69 | malicious users: 3 | test acc 0.8312 test loss 0.805667 best test_acc 0.9105
e 70 | malicious users: 7 | test acc 0.7015 test loss 1.160886 best test_acc 0.9105
e 71 | malicious users: 3 | test acc 0.8125 test loss 0.580591 best test_acc 0.9105
e 72 | malicious users: 4 | test acc 0.7239 test loss 0.961006 best test_acc 0.9105
e 73 | malicious users: 5 | test acc 0.7908 test loss 0.957312 best test_acc 0.9105
e 74 | malicious users: 3 | test acc 0.8574 test loss 0.560559 best test_acc 0.9105
e 75 | malicious users: 9 | test acc 0.4104 test loss 1.552495 best test_acc 0.9105
e 76 | malicious users: 5 | test acc 0.7546 test loss 1.033881 best test_acc 0.9105
e 77 | malicious users: 2 | test acc 0.8278 test loss 0.541105 best test_acc 0.9105
e 78 | malicious users: 3 | test acc 0.6143 test loss 1.217221 best test_acc 0.9105
e 79 | malicious users: 5 | test acc 0.6711 test loss 0.900010 best test_acc 0.9105
e 80 | malicious users: 8 | test acc 0.6513 test loss 1.428235 best test_acc 0.9105
e 81 | malicious users: 3 | test acc 0.8312 test loss 0.986467 best test_acc 0.9105
e 82 | malicious users: 6 | test acc 0.6388 test loss 1.246378 best test_acc 0.9105
e 83 | malicious users: 4 | test acc 0.7389 test loss 0.733543 best test_acc 0.9105
e 84 | malicious users: 6 | test acc 0.6798 test loss 1.441584 best test_acc 0.9105
e 85 | malicious users: 4 | test acc 0.6992 test loss 1.048726 best test_acc 0.9105
e 86 | malicious users: 5 | test acc 0.7648 test loss 0.911369 best test_acc 0.9105
e 87 | malicious users: 5 | test acc 0.7751 test loss 1.257302 best test_acc 0.9105
e 88 | malicious users: 3 | test acc 0.8122 test loss 0.770645 best test_acc 0.9105
e 89 | malicious users: 2 | test acc 0.6825 test loss 0.907274 best test_acc 0.9105
e 90 | malicious users: 7 | test acc 0.6470 test loss 1.151734 best test_acc 0.9105
e 91 | malicious users: 5 | test acc 0.7593 test loss 0.976106 best test_acc 0.9105
e 92 | malicious users: 7 | test acc 0.7542 test loss 1.119914 best test_acc 0.9105
e 93 | malicious users: 5 | test acc 0.7447 test loss 0.956911 best test_acc 0.9105
e 94 | malicious users: 7 | test acc 0.6915 test loss 1.148224 best test_acc 0.9105
e 95 | malicious users: 5 | test acc 0.7694 test loss 1.023905 best test_acc 0.9105
e 96 | malicious users: 2 | test acc 0.7962 test loss 0.787331 best test_acc 0.9105
e 97 | malicious users: 3 | test acc 0.7347 test loss 0.817745 best test_acc 0.9105
e 98 | malicious users: 3 | test acc 0.6490 test loss 1.002800 best test_acc 0.9105
e 99 | malicious users: 8 | test acc 0.5740 test loss 1.220739 best test_acc 0.9105
e 100 | malicious users: 6 | test acc 0.7938 test loss 0.944656 best test_acc 0.9105
e 101 | malicious users: 8 | test acc 0.8488 test loss 0.991247 best test_acc 0.9105
e 102 | malicious users: 1 | test acc 0.8179 test loss 0.571120 best test_acc 0.9105
e 103 | malicious users: 10 | test acc 0.5338 test loss 1.620287 best test_acc 0.9105
e 104 | malicious users: 5 | test acc 0.7547 test loss 1.092582 best test_acc 0.9105
e 105 | malicious users: 5 | test acc 0.8638 test loss 1.252143 best test_acc 0.9105
e 106 | malicious users: 4 | test acc 0.9142 test loss 0.600164 best test_acc 0.9142
e 107 | malicious users: 5 | test acc 0.7913 test loss 0.830073 best test_acc 0.9142
e 108 | malicious users: 5 | test acc 0.7165 test loss 1.059024 best test_acc 0.9142
e 109 | malicious users: 8 | test acc 0.7406 test loss 1.087365 best test_acc 0.9142
e 110 | malicious users: 5 | test acc 0.8468 test loss 0.791029 best test_acc 0.9142
e 111 | malicious users: 5 | test acc 0.8050 test loss 1.068104 best test_acc 0.9142
e 112 | malicious users: 4 | test acc 0.8056 test loss 0.969656 best test_acc 0.9142
e 113 | malicious users: 4 | test acc 0.7526 test loss 1.057388 best test_acc 0.9142
e 114 | malicious users: 4 | test acc 0.7656 test loss 0.686359 best test_acc 0.9142
e 115 | malicious users: 6 | test acc 0.6450 test loss 1.177983 best test_acc 0.9142
e 116 | malicious users: 4 | test acc 0.8665 test loss 0.732313 best test_acc 0.9142
e 117 | malicious users: 2 | test acc 0.8289 test loss 0.826082 best test_acc 0.9142
e 118 | malicious users: 6 | test acc 0.6800 test loss 1.356627 best test_acc 0.9142
e 119 | malicious users: 10 | test acc 0.6117 test loss 1.240631 best test_acc 0.9142
e 120 | malicious users: 4 | test acc 0.7341 test loss 1.073851 best test_acc 0.9142
e 121 | malicious users: 7 | test acc 0.6634 test loss 1.232342 best test_acc 0.9142
e 122 | malicious users: 4 | test acc 0.8196 test loss 0.884373 best test_acc 0.9142
e 123 | malicious users: 3 | test acc 0.8421 test loss 0.632813 best test_acc 0.9142
e 124 | malicious users: 0 | test acc 0.9332 test loss 0.323595 best test_acc 0.9332
e 125 | malicious users: 8 | test acc 0.6769 test loss 1.682894 best test_acc 0.9332
e 126 | malicious users: 4 | test acc 0.8112 test loss 0.919191 best test_acc 0.9332
e 127 | malicious users: 9 | test acc 0.6977 test loss 1.179079 best test_acc 0.9332
e 128 | malicious users: 4 | test acc 0.8264 test loss 0.634751 best test_acc 0.9332
e 129 | malicious users: 4 | test acc 0.7860 test loss 0.861778 best test_acc 0.9332
e 130 | malicious users: 3 | test acc 0.8811 test loss 0.413931 best test_acc 0.9332
e 131 | malicious users: 4 | test acc 0.8890 test loss 0.785007 best test_acc 0.9332
e 132 | malicious users: 3 | test acc 0.8457 test loss 0.467310 best test_acc 0.9332
e 133 | malicious users: 7 | test acc 0.5892 test loss 1.369120 best test_acc 0.9332
e 134 | malicious users: 3 | test acc 0.8375 test loss 0.899805 best test_acc 0.9332
e 135 | malicious users: 4 | test acc 0.8111 test loss 0.764288 best test_acc 0.9332
e 136 | malicious users: 5 | test acc 0.7550 test loss 0.969905 best test_acc 0.9332
e 137 | malicious users: 5 | test acc 0.7114 test loss 1.039453 best test_acc 0.9332
e 138 | malicious users: 4 | test acc 0.8622 test loss 0.870915 best test_acc 0.9332
e 139 | malicious users: 9 | test acc 0.7193 test loss 1.045017 best test_acc 0.9332
e 140 | malicious users: 3 | test acc 0.7691 test loss 0.781101 best test_acc 0.9332
e 141 | malicious users: 5 | test acc 0.7409 test loss 0.929370 best test_acc 0.9332
e 142 | malicious users: 2 | test acc 0.9115 test loss 0.528965 best test_acc 0.9332
e 143 | malicious users: 6 | test acc 0.6791 test loss 0.857619 best test_acc 0.9332
e 144 | malicious users: 7 | test acc 0.7024 test loss 0.924890 best test_acc 0.9332
e 145 | malicious users: 6 | test acc 0.6729 test loss 1.120577 best test_acc 0.9332
e 146 | malicious users: 3 | test acc 0.7701 test loss 0.595017 best test_acc 0.9332
e 147 | malicious users: 2 | test acc 0.8062 test loss 0.907052 best test_acc 0.9332
e 148 | malicious users: 9 | test acc 0.7315 test loss 1.124979 best test_acc 0.9332
e 149 | malicious users: 6 | test acc 0.8548 test loss 0.976614 best test_acc 0.9332
e 150 | malicious users: 4 | test acc 0.7993 test loss 0.600491 best test_acc 0.9332
e 151 | malicious users: 3 | test acc 0.7779 test loss 0.618764 best test_acc 0.9332
e 152 | malicious users: 2 | test acc 0.7913 test loss 0.887484 best test_acc 0.9332
e 153 | malicious users: 8 | test acc 0.6391 test loss 1.090460 best test_acc 0.9332
e 154 | malicious users: 4 | test acc 0.8639 test loss 0.966295 best test_acc 0.9332
e 155 | malicious users: 7 | test acc 0.7927 test loss 1.250755 best test_acc 0.9332
e 156 | malicious users: 4 | test acc 0.8238 test loss 0.910093 best test_acc 0.9332
e 157 | malicious users: 5 | test acc 0.7511 test loss 1.095988 best test_acc 0.9332
e 158 | malicious users: 3 | test acc 0.9336 test loss 0.330498 best test_acc 0.9336
e 159 | malicious users: 7 | test acc 0.7145 test loss 1.094035 best test_acc 0.9336
e 160 | malicious users: 4 | test acc 0.8448 test loss 0.731472 best test_acc 0.9336
e 161 | malicious users: 6 | test acc 0.7920 test loss 1.166196 best test_acc 0.9336
e 162 | malicious users: 3 | test acc 0.8332 test loss 0.842767 best test_acc 0.9336
e 163 | malicious users: 2 | test acc 0.9107 test loss 0.435503 best test_acc 0.9336
e 164 | malicious users: 3 | test acc 0.8731 test loss 0.366678 best test_acc 0.9336
e 165 | malicious users: 3 | test acc 0.9366 test loss 0.291905 best test_acc 0.9366
e 166 | malicious users: 0 | test acc 0.9227 test loss 0.290331 best test_acc 0.9366
e 167 | malicious users: 6 | test acc 0.7392 test loss 1.335381 best test_acc 0.9366
e 168 | malicious users: 5 | test acc 0.6352 test loss 0.959333 best test_acc 0.9366
e 169 | malicious users: 5 | test acc 0.8301 test loss 0.990269 best test_acc 0.9366
e 170 | malicious users: 7 | test acc 0.6255 test loss 0.997716 best test_acc 0.9366
e 171 | malicious users: 2 | test acc 0.7896 test loss 0.759786 best test_acc 0.9366
e 172 | malicious users: 5 | test acc 0.7902 test loss 0.827897 best test_acc 0.9366
e 173 | malicious users: 6 | test acc 0.7305 test loss 1.214738 best test_acc 0.9366
e 174 | malicious users: 3 | test acc 0.8612 test loss 0.642092 best test_acc 0.9366
e 175 | malicious users: 6 | test acc 0.5424 test loss 1.330713 best test_acc 0.9366
e 176 | malicious users: 8 | test acc 0.7783 test loss 0.928896 best test_acc 0.9366
e 177 | malicious users: 6 | test acc 0.6891 test loss 1.290173 best test_acc 0.9366
e 178 | malicious users: 2 | test acc 0.9177 test loss 0.311864 best test_acc 0.9366
e 179 | malicious users: 7 | test acc 0.6128 test loss 1.483245 best test_acc 0.9366
e 180 | malicious users: 4 | test acc 0.8923 test loss 0.669603 best test_acc 0.9366
e 181 | malicious users: 2 | test acc 0.8486 test loss 0.507167 best test_acc 0.9366
e 182 | malicious users: 2 | test acc 0.8571 test loss 0.558158 best test_acc 0.9366
e 183 | malicious users: 2 | test acc 0.8633 test loss 0.698772 best test_acc 0.9366
e 184 | malicious users: 2 | test acc 0.7544 test loss 0.672165 best test_acc 0.9366
e 185 | malicious users: 7 | test acc 0.7982 test loss 1.050507 best test_acc 0.9366
e 186 | malicious users: 5 | test acc 0.8291 test loss 0.770253 best test_acc 0.9366
e 187 | malicious users: 6 | test acc 0.7689 test loss 1.143250 best test_acc 0.9366
e 188 | malicious users: 0 | test acc 0.9079 test loss 0.343698 best test_acc 0.9366
e 189 | malicious users: 3 | test acc 0.8440 test loss 0.458195 best test_acc 0.9366
e 190 | malicious users: 7 | test acc 0.7228 test loss 1.027436 best test_acc 0.9366
e 191 | malicious users: 7 | test acc 0.6470 test loss 1.056937 best test_acc 0.9366
e 192 | malicious users: 4 | test acc 0.8251 test loss 0.963449 best test_acc 0.9366
e 193 | malicious users: 10 | test acc 0.6955 test loss 1.207156 best test_acc 0.9366
e 194 | malicious users: 5 | test acc 0.6570 test loss 0.923508 best test_acc 0.9366
e 195 | malicious users: 6 | test acc 0.7095 test loss 1.229088 best test_acc 0.9366
e 196 | malicious users: 9 | test acc 0.7045 test loss 1.083210 best test_acc 0.9366
e 197 | malicious users: 5 | test acc 0.7733 test loss 0.804672 best test_acc 0.9366
e 198 | malicious users: 9 | test acc 0.6443 test loss 1.224855 best test_acc 0.9366
e 199 | malicious users: 6 | test acc 0.8101 test loss 0.853687 best test_acc 0.9366
e 200 | malicious users: 4 | test acc 0.7328 test loss 0.793406 best test_acc 0.9366
e 201 | malicious users: 5 | test acc 0.7627 test loss 1.005225 best test_acc 0.9366
e 202 | malicious users: 5 | test acc 0.8378 test loss 0.794388 best test_acc 0.9366
e 203 | malicious users: 6 | test acc 0.7204 test loss 1.159288 best test_acc 0.9366
e 204 | malicious users: 5 | test acc 0.8007 test loss 0.803164 best test_acc 0.9366
e 205 | malicious users: 4 | test acc 0.8252 test loss 0.974724 best test_acc 0.9366
e 206 | malicious users: 3 | test acc 0.8112 test loss 0.801079 best test_acc 0.9366
e 207 | malicious users: 5 | test acc 0.7622 test loss 0.788768 best test_acc 0.9366
e 208 | malicious users: 9 | test acc 0.7134 test loss 1.210930 best test_acc 0.9366
e 209 | malicious users: 2 | test acc 0.8636 test loss 0.481440 best test_acc 0.9366
e 210 | malicious users: 3 | test acc 0.8308 test loss 0.897991 best test_acc 0.9366
e 211 | malicious users: 5 | test acc 0.7192 test loss 0.926009 best test_acc 0.9366
e 212 | malicious users: 3 | test acc 0.7967 test loss 0.627506 best test_acc 0.9366
e 213 | malicious users: 5 | test acc 0.7035 test loss 0.920980 best test_acc 0.9366
e 214 | malicious users: 1 | test acc 0.8079 test loss 0.547735 best test_acc 0.9366
e 215 | malicious users: 2 | test acc 0.8166 test loss 0.550459 best test_acc 0.9366
e 216 | malicious users: 8 | test acc 0.6726 test loss 1.307323 best test_acc 0.9366
e 217 | malicious users: 8 | test acc 0.8514 test loss 0.813577 best test_acc 0.9366
