=> Saving data in Logs/FRL~try=512
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1787 test loss 2.250774 best test_acc 0.1787
e 1 | malicious users: 4 | test acc 0.2799 test loss 2.156108 best test_acc 0.2799
e 2 | malicious users: 3 | test acc 0.4525 test loss 1.857175 best test_acc 0.4525
e 3 | malicious users: 8 | test acc 0.4549 test loss 1.946025 best test_acc 0.4549
e 4 | malicious users: 8 | test acc 0.4836 test loss 1.684293 best test_acc 0.4836
e 5 | malicious users: 2 | test acc 0.6765 test loss 1.554988 best test_acc 0.6765
e 6 | malicious users: 2 | test acc 0.6311 test loss 1.382892 best test_acc 0.6765
e 7 | malicious users: 1 | test acc 0.5940 test loss 1.174938 best test_acc 0.6765
e 8 | malicious users: 6 | test acc 0.5858 test loss 1.723419 best test_acc 0.6765
e 9 | malicious users: 4 | test acc 0.7356 test loss 1.058133 best test_acc 0.7356
e 10 | malicious users: 8 | test acc 0.5958 test loss 1.842565 best test_acc 0.7356
e 11 | malicious users: 9 | test acc 0.4367 test loss 1.772073 best test_acc 0.7356
e 12 | malicious users: 6 | test acc 0.5879 test loss 1.358993 best test_acc 0.7356
e 13 | malicious users: 4 | test acc 0.6665 test loss 1.533616 best test_acc 0.7356
e 14 | malicious users: 7 | test acc 0.6520 test loss 1.495476 best test_acc 0.7356
e 15 | malicious users: 6 | test acc 0.6694 test loss 1.423270 best test_acc 0.7356
e 16 | malicious users: 5 | test acc 0.7253 test loss 1.350828 best test_acc 0.7356
e 17 | malicious users: 4 | test acc 0.6584 test loss 1.058318 best test_acc 0.7356
e 18 | malicious users: 7 | test acc 0.7121 test loss 1.527749 best test_acc 0.7356
e 19 | malicious users: 4 | test acc 0.7837 test loss 1.201689 best test_acc 0.7837
e 20 | malicious users: 4 | test acc 0.6052 test loss 1.173966 best test_acc 0.7837
e 21 | malicious users: 7 | test acc 0.5537 test loss 1.495634 best test_acc 0.7837
e 22 | malicious users: 5 | test acc 0.7859 test loss 1.228132 best test_acc 0.7859
e 23 | malicious users: 8 | test acc 0.4506 test loss 1.455846 best test_acc 0.7859
e 24 | malicious users: 3 | test acc 0.8222 test loss 0.806513 best test_acc 0.8222
e 25 | malicious users: 7 | test acc 0.6795 test loss 1.074135 best test_acc 0.8222
e 26 | malicious users: 2 | test acc 0.8334 test loss 0.577776 best test_acc 0.8334
e 27 | malicious users: 4 | test acc 0.8093 test loss 0.797430 best test_acc 0.8334
e 28 | malicious users: 10 | test acc 0.5186 test loss 1.393836 best test_acc 0.8334
e 29 | malicious users: 5 | test acc 0.6846 test loss 1.186364 best test_acc 0.8334
e 30 | malicious users: 4 | test acc 0.6040 test loss 1.086747 best test_acc 0.8334
e 31 | malicious users: 6 | test acc 0.7120 test loss 1.474449 best test_acc 0.8334
e 32 | malicious users: 4 | test acc 0.7703 test loss 0.676977 best test_acc 0.8334
e 33 | malicious users: 4 | test acc 0.7807 test loss 0.988899 best test_acc 0.8334
e 34 | malicious users: 7 | test acc 0.6142 test loss 1.281497 best test_acc 0.8334
e 35 | malicious users: 4 | test acc 0.7848 test loss 1.074337 best test_acc 0.8334
e 36 | malicious users: 2 | test acc 0.7651 test loss 0.661136 best test_acc 0.8334
e 37 | malicious users: 4 | test acc 0.7915 test loss 0.893497 best test_acc 0.8334
e 38 | malicious users: 5 | test acc 0.7405 test loss 0.960394 best test_acc 0.8334
e 39 | malicious users: 5 | test acc 0.8308 test loss 1.161867 best test_acc 0.8334
e 40 | malicious users: 6 | test acc 0.6903 test loss 1.280820 best test_acc 0.8334
e 41 | malicious users: 4 | test acc 0.8890 test loss 0.576214 best test_acc 0.8890
e 42 | malicious users: 7 | test acc 0.6156 test loss 1.517839 best test_acc 0.8890
e 43 | malicious users: 5 | test acc 0.7015 test loss 1.078644 best test_acc 0.8890
e 44 | malicious users: 3 | test acc 0.7787 test loss 1.281776 best test_acc 0.8890
e 45 | malicious users: 5 | test acc 0.8353 test loss 0.931211 best test_acc 0.8890
e 46 | malicious users: 6 | test acc 0.6451 test loss 1.397280 best test_acc 0.8890
e 47 | malicious users: 6 | test acc 0.6760 test loss 1.151999 best test_acc 0.8890
e 48 | malicious users: 10 | test acc 0.5937 test loss 1.373001 best test_acc 0.8890
e 49 | malicious users: 8 | test acc 0.8088 test loss 1.180494 best test_acc 0.8890
e 50 | malicious users: 7 | test acc 0.8849 test loss 0.767821 best test_acc 0.8890
e 51 | malicious users: 6 | test acc 0.6435 test loss 1.379966 best test_acc 0.8890
e 52 | malicious users: 4 | test acc 0.7457 test loss 0.933664 best test_acc 0.8890
e 53 | malicious users: 5 | test acc 0.7790 test loss 0.973883 best test_acc 0.8890
e 54 | malicious users: 4 | test acc 0.8517 test loss 1.086878 best test_acc 0.8890
e 55 | malicious users: 2 | test acc 0.9292 test loss 0.283906 best test_acc 0.9292
e 56 | malicious users: 2 | test acc 0.6762 test loss 1.178870 best test_acc 0.9292
e 57 | malicious users: 7 | test acc 0.8152 test loss 0.981754 best test_acc 0.9292
e 58 | malicious users: 5 | test acc 0.7983 test loss 0.763247 best test_acc 0.9292
e 59 | malicious users: 8 | test acc 0.6371 test loss 1.276053 best test_acc 0.9292
e 60 | malicious users: 3 | test acc 0.8433 test loss 0.553365 best test_acc 0.9292
e 61 | malicious users: 4 | test acc 0.5957 test loss 1.094665 best test_acc 0.9292
e 62 | malicious users: 6 | test acc 0.7566 test loss 0.948095 best test_acc 0.9292
e 63 | malicious users: 5 | test acc 0.8265 test loss 0.887843 best test_acc 0.9292
e 64 | malicious users: 3 | test acc 0.6291 test loss 1.038781 best test_acc 0.9292
e 65 | malicious users: 6 | test acc 0.7353 test loss 1.069600 best test_acc 0.9292
e 66 | malicious users: 5 | test acc 0.7331 test loss 1.063234 best test_acc 0.9292
e 67 | malicious users: 6 | test acc 0.8470 test loss 1.081114 best test_acc 0.9292
e 68 | malicious users: 6 | test acc 0.7769 test loss 1.149715 best test_acc 0.9292
e 69 | malicious users: 7 | test acc 0.8296 test loss 1.024599 best test_acc 0.9292
e 70 | malicious users: 7 | test acc 0.7344 test loss 1.219215 best test_acc 0.9292
e 71 | malicious users: 7 | test acc 0.7915 test loss 1.087360 best test_acc 0.9292
e 72 | malicious users: 3 | test acc 0.8540 test loss 0.443364 best test_acc 0.9292
e 73 | malicious users: 4 | test acc 0.7659 test loss 0.711213 best test_acc 0.9292
e 74 | malicious users: 4 | test acc 0.7165 test loss 0.890541 best test_acc 0.9292
e 75 | malicious users: 7 | test acc 0.7617 test loss 1.219327 best test_acc 0.9292
e 76 | malicious users: 5 | test acc 0.7583 test loss 0.831052 best test_acc 0.9292
e 77 | malicious users: 3 | test acc 0.9065 test loss 0.618151 best test_acc 0.9292
e 78 | malicious users: 8 | test acc 0.6366 test loss 1.376909 best test_acc 0.9292
e 79 | malicious users: 4 | test acc 0.7619 test loss 0.942347 best test_acc 0.9292
e 80 | malicious users: 7 | test acc 0.7333 test loss 1.262700 best test_acc 0.9292
e 81 | malicious users: 4 | test acc 0.7596 test loss 1.127581 best test_acc 0.9292
e 82 | malicious users: 9 | test acc 0.6977 test loss 1.194834 best test_acc 0.9292
e 83 | malicious users: 4 | test acc 0.8600 test loss 0.617175 best test_acc 0.9292
