=> Saving data in Logs/FRL~try=513
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 8 | test acc 0.0964 test loss 2.283872 best test_acc 0.0964
e 1 | malicious users: 9 | test acc 0.1013 test loss 2.272875 best test_acc 0.1013
e 2 | malicious users: 7 | test acc 0.1168 test loss 2.259705 best test_acc 0.1168
e 3 | malicious users: 4 | test acc 0.1326 test loss 2.265813 best test_acc 0.1326
e 4 | malicious users: 4 | test acc 0.1545 test loss 2.256429 best test_acc 0.1545
e 5 | malicious users: 7 | test acc 0.1582 test loss 2.215706 best test_acc 0.1582
e 6 | malicious users: 3 | test acc 0.2840 test loss 2.160784 best test_acc 0.2840
e 7 | malicious users: 6 | test acc 0.2720 test loss 2.132883 best test_acc 0.2840
e 8 | malicious users: 3 | test acc 0.2679 test loss 2.091794 best test_acc 0.2840
e 9 | malicious users: 2 | test acc 0.2497 test loss 2.050308 best test_acc 0.2840
e 10 | malicious users: 5 | test acc 0.2528 test loss 2.033760 best test_acc 0.2840
e 11 | malicious users: 4 | test acc 0.4409 test loss 1.927405 best test_acc 0.4409
e 12 | malicious users: 3 | test acc 0.5160 test loss 1.799688 best test_acc 0.5160
e 13 | malicious users: 3 | test acc 0.1853 test loss 1.989562 best test_acc 0.5160
e 14 | malicious users: 8 | test acc 0.5206 test loss 1.793728 best test_acc 0.5206
e 15 | malicious users: 8 | test acc 0.3573 test loss 1.782671 best test_acc 0.5206
e 16 | malicious users: 3 | test acc 0.5451 test loss 1.823661 best test_acc 0.5451
e 17 | malicious users: 2 | test acc 0.4445 test loss 1.657026 best test_acc 0.5451
e 18 | malicious users: 5 | test acc 0.5675 test loss 1.827315 best test_acc 0.5675
e 19 | malicious users: 8 | test acc 0.4162 test loss 1.789274 best test_acc 0.5675
e 20 | malicious users: 2 | test acc 0.5050 test loss 1.645710 best test_acc 0.5675
e 21 | malicious users: 8 | test acc 0.6119 test loss 1.582860 best test_acc 0.6119
e 22 | malicious users: 2 | test acc 0.3368 test loss 1.636019 best test_acc 0.6119
e 23 | malicious users: 3 | test acc 0.5347 test loss 1.685227 best test_acc 0.6119
e 24 | malicious users: 5 | test acc 0.6477 test loss 1.454306 best test_acc 0.6477
e 25 | malicious users: 1 | test acc 0.7139 test loss 1.669803 best test_acc 0.7139
e 26 | malicious users: 7 | test acc 0.5290 test loss 1.615422 best test_acc 0.7139
e 27 | malicious users: 6 | test acc 0.6048 test loss 1.505807 best test_acc 0.7139
e 28 | malicious users: 4 | test acc 0.7273 test loss 1.342999 best test_acc 0.7273
e 29 | malicious users: 5 | test acc 0.5759 test loss 1.610208 best test_acc 0.7273
e 30 | malicious users: 4 | test acc 0.6091 test loss 1.431992 best test_acc 0.7273
e 31 | malicious users: 5 | test acc 0.6090 test loss 1.476617 best test_acc 0.7273
e 32 | malicious users: 5 | test acc 0.6915 test loss 1.428717 best test_acc 0.7273
e 33 | malicious users: 10 | test acc 0.5182 test loss 1.568743 best test_acc 0.7273
e 34 | malicious users: 3 | test acc 0.6625 test loss 1.442833 best test_acc 0.7273
e 35 | malicious users: 2 | test acc 0.4876 test loss 1.474220 best test_acc 0.7273
e 36 | malicious users: 7 | test acc 0.4282 test loss 1.667916 best test_acc 0.7273
e 37 | malicious users: 7 | test acc 0.5766 test loss 1.567760 best test_acc 0.7273
e 38 | malicious users: 5 | test acc 0.6752 test loss 1.382805 best test_acc 0.7273
e 39 | malicious users: 4 | test acc 0.6771 test loss 1.394099 best test_acc 0.7273
e 40 | malicious users: 7 | test acc 0.5712 test loss 1.339080 best test_acc 0.7273
e 41 | malicious users: 6 | test acc 0.5024 test loss 1.504509 best test_acc 0.7273
e 42 | malicious users: 5 | test acc 0.6044 test loss 1.363906 best test_acc 0.7273
e 43 | malicious users: 4 | test acc 0.7930 test loss 1.455734 best test_acc 0.7930
e 44 | malicious users: 4 | test acc 0.7482 test loss 1.285748 best test_acc 0.7930
e 45 | malicious users: 4 | test acc 0.6992 test loss 1.140517 best test_acc 0.7930
e 46 | malicious users: 5 | test acc 0.5931 test loss 1.395957 best test_acc 0.7930
e 47 | malicious users: 7 | test acc 0.6461 test loss 1.302791 best test_acc 0.7930
e 48 | malicious users: 6 | test acc 0.8044 test loss 1.212035 best test_acc 0.8044
e 49 | malicious users: 6 | test acc 0.7691 test loss 1.167199 best test_acc 0.8044
e 50 | malicious users: 6 | test acc 0.6418 test loss 1.340821 best test_acc 0.8044
e 51 | malicious users: 4 | test acc 0.7460 test loss 1.190752 best test_acc 0.8044
e 52 | malicious users: 4 | test acc 0.7223 test loss 1.198728 best test_acc 0.8044
