=> Saving data in Logs/FRL~try=515
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.1833 test loss 2.222878 best test_acc 0.1833
e 1 | malicious users: 4 | test acc 0.4733 test loss 2.050171 best test_acc 0.4733
e 2 | malicious users: 4 | test acc 0.5855 test loss 1.864846 best test_acc 0.5855
e 3 | malicious users: 3 | test acc 0.5389 test loss 1.836512 best test_acc 0.5855
e 4 | malicious users: 6 | test acc 0.5505 test loss 1.649689 best test_acc 0.5855
e 5 | malicious users: 5 | test acc 0.5755 test loss 1.789963 best test_acc 0.5855
e 6 | malicious users: 5 | test acc 0.6507 test loss 1.340455 best test_acc 0.6507
e 7 | malicious users: 4 | test acc 0.5707 test loss 1.474543 best test_acc 0.6507
e 8 | malicious users: 5 | test acc 0.6676 test loss 1.607420 best test_acc 0.6676
e 9 | malicious users: 2 | test acc 0.6281 test loss 1.237193 best test_acc 0.6676
e 10 | malicious users: 3 | test acc 0.5579 test loss 1.538684 best test_acc 0.6676
e 11 | malicious users: 4 | test acc 0.6098 test loss 1.093441 best test_acc 0.6676
e 12 | malicious users: 4 | test acc 0.4818 test loss 1.411846 best test_acc 0.6676
e 13 | malicious users: 7 | test acc 0.6607 test loss 1.426888 best test_acc 0.6676
e 14 | malicious users: 2 | test acc 0.7278 test loss 1.100644 best test_acc 0.7278
e 15 | malicious users: 5 | test acc 0.5209 test loss 1.323951 best test_acc 0.7278
e 16 | malicious users: 4 | test acc 0.6774 test loss 1.386927 best test_acc 0.7278
e 17 | malicious users: 7 | test acc 0.6460 test loss 1.268053 best test_acc 0.7278
e 18 | malicious users: 5 | test acc 0.6658 test loss 1.214208 best test_acc 0.7278
e 19 | malicious users: 3 | test acc 0.5787 test loss 1.249139 best test_acc 0.7278
e 20 | malicious users: 6 | test acc 0.6967 test loss 1.403896 best test_acc 0.7278
e 21 | malicious users: 4 | test acc 0.6820 test loss 1.001710 best test_acc 0.7278
e 22 | malicious users: 5 | test acc 0.6511 test loss 1.442438 best test_acc 0.7278
e 23 | malicious users: 4 | test acc 0.6823 test loss 1.169083 best test_acc 0.7278
e 24 | malicious users: 2 | test acc 0.8256 test loss 0.780388 best test_acc 0.8256
e 25 | malicious users: 3 | test acc 0.4549 test loss 1.310220 best test_acc 0.8256
e 26 | malicious users: 6 | test acc 0.6866 test loss 1.351457 best test_acc 0.8256
e 27 | malicious users: 6 | test acc 0.6390 test loss 1.419683 best test_acc 0.8256
e 28 | malicious users: 3 | test acc 0.7605 test loss 0.851622 best test_acc 0.8256
e 29 | malicious users: 2 | test acc 0.8749 test loss 0.594122 best test_acc 0.8749
e 30 | malicious users: 10 | test acc 0.4342 test loss 1.777575 best test_acc 0.8749
e 31 | malicious users: 5 | test acc 0.8183 test loss 1.362888 best test_acc 0.8749
e 32 | malicious users: 6 | test acc 0.5810 test loss 1.306926 best test_acc 0.8749
e 33 | malicious users: 2 | test acc 0.8758 test loss 1.146746 best test_acc 0.8758
e 34 | malicious users: 9 | test acc 0.5886 test loss 1.466278 best test_acc 0.8758
e 35 | malicious users: 9 | test acc 0.6026 test loss 1.350000 best test_acc 0.8758
e 36 | malicious users: 6 | test acc 0.8651 test loss 0.902479 best test_acc 0.8758
e 37 | malicious users: 6 | test acc 0.6503 test loss 1.263916 best test_acc 0.8758
e 38 | malicious users: 3 | test acc 0.7387 test loss 0.986488 best test_acc 0.8758
e 39 | malicious users: 4 | test acc 0.6557 test loss 1.279452 best test_acc 0.8758
e 40 | malicious users: 5 | test acc 0.8310 test loss 1.324751 best test_acc 0.8758
e 41 | malicious users: 5 | test acc 0.8854 test loss 0.735454 best test_acc 0.8854
e 42 | malicious users: 5 | test acc 0.6922 test loss 1.254004 best test_acc 0.8854
e 43 | malicious users: 4 | test acc 0.7908 test loss 0.861935 best test_acc 0.8854
e 44 | malicious users: 3 | test acc 0.7862 test loss 0.735881 best test_acc 0.8854
e 45 | malicious users: 7 | test acc 0.7602 test loss 1.063244 best test_acc 0.8854
e 46 | malicious users: 4 | test acc 0.6394 test loss 1.169439 best test_acc 0.8854
e 47 | malicious users: 2 | test acc 0.9048 test loss 0.436293 best test_acc 0.9048
e 48 | malicious users: 3 | test acc 0.9306 test loss 0.307949 best test_acc 0.9306
e 49 | malicious users: 9 | test acc 0.5001 test loss 1.720781 best test_acc 0.9306
e 50 | malicious users: 3 | test acc 0.7711 test loss 0.917701 best test_acc 0.9306
e 51 | malicious users: 4 | test acc 0.6753 test loss 1.403242 best test_acc 0.9306
e 52 | malicious users: 5 | test acc 0.7355 test loss 0.707049 best test_acc 0.9306
e 53 | malicious users: 3 | test acc 0.8186 test loss 1.139297 best test_acc 0.9306
e 54 | malicious users: 6 | test acc 0.6845 test loss 1.207093 best test_acc 0.9306
e 55 | malicious users: 4 | test acc 0.8665 test loss 0.681814 best test_acc 0.9306
e 56 | malicious users: 2 | test acc 0.8405 test loss 0.506352 best test_acc 0.9306
e 57 | malicious users: 8 | test acc 0.6937 test loss 1.680013 best test_acc 0.9306
e 58 | malicious users: 7 | test acc 0.6358 test loss 1.109204 best test_acc 0.9306
e 59 | malicious users: 4 | test acc 0.7772 test loss 1.048398 best test_acc 0.9306
e 60 | malicious users: 3 | test acc 0.8734 test loss 0.708141 best test_acc 0.9306
e 61 | malicious users: 5 | test acc 0.7364 test loss 0.796916 best test_acc 0.9306
e 62 | malicious users: 3 | test acc 0.6290 test loss 0.960473 best test_acc 0.9306
e 63 | malicious users: 5 | test acc 0.6906 test loss 1.359760 best test_acc 0.9306
e 64 | malicious users: 1 | test acc 0.7797 test loss 0.729777 best test_acc 0.9306
e 65 | malicious users: 3 | test acc 0.7454 test loss 1.382080 best test_acc 0.9306
e 66 | malicious users: 7 | test acc 0.6909 test loss 1.037062 best test_acc 0.9306
e 67 | malicious users: 4 | test acc 0.7981 test loss 0.845185 best test_acc 0.9306
e 68 | malicious users: 7 | test acc 0.6348 test loss 1.341659 best test_acc 0.9306
e 69 | malicious users: 9 | test acc 0.6094 test loss 1.221846 best test_acc 0.9306
e 70 | malicious users: 6 | test acc 0.6356 test loss 1.424178 best test_acc 0.9306
e 71 | malicious users: 7 | test acc 0.6656 test loss 1.010045 best test_acc 0.9306
e 72 | malicious users: 2 | test acc 0.8534 test loss 0.659213 best test_acc 0.9306
e 73 | malicious users: 5 | test acc 0.8552 test loss 0.658425 best test_acc 0.9306
e 74 | malicious users: 5 | test acc 0.8797 test loss 0.799779 best test_acc 0.9306
e 75 | malicious users: 6 | test acc 0.6428 test loss 1.272771 best test_acc 0.9306
e 76 | malicious users: 6 | test acc 0.7468 test loss 0.991812 best test_acc 0.9306
e 77 | malicious users: 7 | test acc 0.7248 test loss 1.288084 best test_acc 0.9306
e 78 | malicious users: 1 | test acc 0.8743 test loss 0.386549 best test_acc 0.9306
e 79 | malicious users: 6 | test acc 0.5490 test loss 1.481379 best test_acc 0.9306
e 80 | malicious users: 4 | test acc 0.8664 test loss 0.759182 best test_acc 0.9306
e 81 | malicious users: 4 | test acc 0.7583 test loss 0.880565 best test_acc 0.9306
e 82 | malicious users: 5 | test acc 0.7609 test loss 1.027548 best test_acc 0.9306
e 83 | malicious users: 4 | test acc 0.8013 test loss 0.753688 best test_acc 0.9306
e 84 | malicious users: 8 | test acc 0.6221 test loss 1.286283 best test_acc 0.9306
e 85 | malicious users: 7 | test acc 0.7956 test loss 1.000965 best test_acc 0.9306
e 86 | malicious users: 5 | test acc 0.7762 test loss 0.799687 best test_acc 0.9306
e 87 | malicious users: 4 | test acc 0.8891 test loss 0.501125 best test_acc 0.9306
e 88 | malicious users: 6 | test acc 0.7344 test loss 1.294382 best test_acc 0.9306
e 89 | malicious users: 4 | test acc 0.8187 test loss 0.795231 best test_acc 0.9306
e 90 | malicious users: 4 | test acc 0.8380 test loss 0.639355 best test_acc 0.9306
e 91 | malicious users: 9 | test acc 0.5154 test loss 1.474256 best test_acc 0.9306
e 92 | malicious users: 1 | test acc 0.8311 test loss 0.497190 best test_acc 0.9306
e 93 | malicious users: 6 | test acc 0.7067 test loss 1.363084 best test_acc 0.9306
e 94 | malicious users: 3 | test acc 0.8527 test loss 0.693411 best test_acc 0.9306
e 95 | malicious users: 7 | test acc 0.6112 test loss 1.434630 best test_acc 0.9306
e 96 | malicious users: 5 | test acc 0.8071 test loss 0.894599 best test_acc 0.9306
e 97 | malicious users: 6 | test acc 0.8281 test loss 1.105234 best test_acc 0.9306
e 98 | malicious users: 4 | test acc 0.8217 test loss 0.776409 best test_acc 0.9306
e 99 | malicious users: 9 | test acc 0.6418 test loss 1.262041 best test_acc 0.9306
e 100 | malicious users: 5 | test acc 0.7892 test loss 1.036962 best test_acc 0.9306
e 101 | malicious users: 3 | test acc 0.7955 test loss 0.583660 best test_acc 0.9306
e 102 | malicious users: 10 | test acc 0.6346 test loss 1.726223 best test_acc 0.9306
e 103 | malicious users: 7 | test acc 0.6459 test loss 1.161518 best test_acc 0.9306
e 104 | malicious users: 8 | test acc 0.7491 test loss 1.260521 best test_acc 0.9306
e 105 | malicious users: 2 | test acc 0.7161 test loss 0.864757 best test_acc 0.9306
e 106 | malicious users: 4 | test acc 0.8080 test loss 0.682931 best test_acc 0.9306
e 107 | malicious users: 7 | test acc 0.7271 test loss 1.280855 best test_acc 0.9306
e 108 | malicious users: 4 | test acc 0.7776 test loss 0.754825 best test_acc 0.9306
e 109 | malicious users: 5 | test acc 0.7621 test loss 1.150822 best test_acc 0.9306
e 110 | malicious users: 5 | test acc 0.8200 test loss 1.021065 best test_acc 0.9306
e 111 | malicious users: 3 | test acc 0.7675 test loss 0.792759 best test_acc 0.9306
e 112 | malicious users: 2 | test acc 0.8159 test loss 0.702171 best test_acc 0.9306
e 113 | malicious users: 6 | test acc 0.8383 test loss 0.916305 best test_acc 0.9306
e 114 | malicious users: 2 | test acc 0.8925 test loss 0.592642 best test_acc 0.9306
e 115 | malicious users: 8 | test acc 0.6344 test loss 1.532294 best test_acc 0.9306
e 116 | malicious users: 0 | test acc 0.8981 test loss 0.356899 best test_acc 0.9306
e 117 | malicious users: 9 | test acc 0.6115 test loss 1.662840 best test_acc 0.9306
e 118 | malicious users: 6 | test acc 0.8319 test loss 1.010321 best test_acc 0.9306
e 119 | malicious users: 6 | test acc 0.7553 test loss 1.086330 best test_acc 0.9306
e 120 | malicious users: 4 | test acc 0.7513 test loss 0.973275 best test_acc 0.9306
e 121 | malicious users: 7 | test acc 0.6819 test loss 1.190563 best test_acc 0.9306
e 122 | malicious users: 7 | test acc 0.7554 test loss 1.097901 best test_acc 0.9306
e 123 | malicious users: 5 | test acc 0.8273 test loss 0.772482 best test_acc 0.9306
e 124 | malicious users: 6 | test acc 0.7260 test loss 0.945146 best test_acc 0.9306
