=> Saving data in Logs/FRL~try=517
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2588 test loss 2.224288 best test_acc 0.2588
e 1 | malicious users: 0 | test acc 0.2225 test loss 2.086947 best test_acc 0.2588
e 2 | malicious users: 0 | test acc 0.6075 test loss 1.776116 best test_acc 0.6075
e 3 | malicious users: 0 | test acc 0.5819 test loss 1.641387 best test_acc 0.6075
e 4 | malicious users: 0 | test acc 0.6333 test loss 1.238410 best test_acc 0.6333
e 5 | malicious users: 0 | test acc 0.6419 test loss 1.441543 best test_acc 0.6419
e 6 | malicious users: 0 | test acc 0.6133 test loss 1.169175 best test_acc 0.6419
e 7 | malicious users: 0 | test acc 0.6708 test loss 1.024716 best test_acc 0.6708
e 8 | malicious users: 0 | test acc 0.7141 test loss 1.001070 best test_acc 0.7141
e 9 | malicious users: 0 | test acc 0.7570 test loss 0.778924 best test_acc 0.7570
e 10 | malicious users: 0 | test acc 0.7708 test loss 0.771743 best test_acc 0.7708
e 11 | malicious users: 0 | test acc 0.7686 test loss 0.835835 best test_acc 0.7708
e 12 | malicious users: 0 | test acc 0.7866 test loss 0.672310 best test_acc 0.7866
e 13 | malicious users: 0 | test acc 0.7347 test loss 0.806172 best test_acc 0.7866
e 14 | malicious users: 0 | test acc 0.8390 test loss 0.551905 best test_acc 0.8390
e 15 | malicious users: 0 | test acc 0.7486 test loss 0.735266 best test_acc 0.8390
e 16 | malicious users: 0 | test acc 0.8866 test loss 0.466534 best test_acc 0.8866
e 17 | malicious users: 0 | test acc 0.7857 test loss 0.714296 best test_acc 0.8866
e 18 | malicious users: 0 | test acc 0.8710 test loss 0.600475 best test_acc 0.8866
e 19 | malicious users: 0 | test acc 0.8663 test loss 0.420098 best test_acc 0.8866
e 20 | malicious users: 0 | test acc 0.7845 test loss 0.633468 best test_acc 0.8866
e 21 | malicious users: 0 | test acc 0.8498 test loss 0.611321 best test_acc 0.8866
e 22 | malicious users: 0 | test acc 0.8966 test loss 0.383501 best test_acc 0.8966
e 23 | malicious users: 0 | test acc 0.7845 test loss 0.616210 best test_acc 0.8966
e 24 | malicious users: 0 | test acc 0.8176 test loss 0.645481 best test_acc 0.8966
e 25 | malicious users: 0 | test acc 0.8415 test loss 0.494806 best test_acc 0.8966
e 26 | malicious users: 0 | test acc 0.7797 test loss 0.707938 best test_acc 0.8966
e 27 | malicious users: 0 | test acc 0.7891 test loss 0.580318 best test_acc 0.8966
e 28 | malicious users: 0 | test acc 0.9136 test loss 0.371031 best test_acc 0.9136
