=> Saving data in Logs/FRL~try=524
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 5 | test acc 0.1921 test loss 2.237281 best test_acc 0.1921
e 1 | malicious users: 2 | test acc 0.2738 test loss 2.098047 best test_acc 0.2738
e 2 | malicious users: 3 | test acc 0.5486 test loss 1.880495 best test_acc 0.5486
e 3 | malicious users: 0 | test acc 0.4732 test loss 1.961267 best test_acc 0.5486
e 4 | malicious users: 2 | test acc 0.6495 test loss 1.269903 best test_acc 0.6495
e 5 | malicious users: 1 | test acc 0.5565 test loss 1.543883 best test_acc 0.6495
e 6 | malicious users: 0 | test acc 0.6690 test loss 1.023862 best test_acc 0.6690
e 7 | malicious users: 3 | test acc 0.7424 test loss 1.161395 best test_acc 0.7424
e 8 | malicious users: 1 | test acc 0.6790 test loss 1.108722 best test_acc 0.7424
e 9 | malicious users: 1 | test acc 0.6893 test loss 1.039140 best test_acc 0.7424
e 10 | malicious users: 4 | test acc 0.7718 test loss 1.058930 best test_acc 0.7718
e 11 | malicious users: 0 | test acc 0.7569 test loss 0.694844 best test_acc 0.7718
e 12 | malicious users: 2 | test acc 0.5912 test loss 1.238298 best test_acc 0.7718
e 13 | malicious users: 3 | test acc 0.7570 test loss 0.666384 best test_acc 0.7718
e 14 | malicious users: 0 | test acc 0.7862 test loss 0.726456 best test_acc 0.7862
e 15 | malicious users: 3 | test acc 0.7650 test loss 0.778046 best test_acc 0.7862
e 16 | malicious users: 3 | test acc 0.7664 test loss 0.853922 best test_acc 0.7862
e 17 | malicious users: 1 | test acc 0.7937 test loss 0.883070 best test_acc 0.7937
e 18 | malicious users: 1 | test acc 0.8819 test loss 0.469787 best test_acc 0.8819
e 19 | malicious users: 1 | test acc 0.8043 test loss 0.751192 best test_acc 0.8819
e 20 | malicious users: 2 | test acc 0.8266 test loss 0.563880 best test_acc 0.8819
e 21 | malicious users: 3 | test acc 0.6130 test loss 1.349838 best test_acc 0.8819
e 22 | malicious users: 0 | test acc 0.8646 test loss 0.478071 best test_acc 0.8819
e 23 | malicious users: 2 | test acc 0.8154 test loss 0.719688 best test_acc 0.8819
e 24 | malicious users: 1 | test acc 0.7605 test loss 0.699976 best test_acc 0.8819
e 25 | malicious users: 2 | test acc 0.8544 test loss 0.490127 best test_acc 0.8819
e 26 | malicious users: 4 | test acc 0.7652 test loss 0.881423 best test_acc 0.8819
e 27 | malicious users: 3 | test acc 0.6112 test loss 1.156538 best test_acc 0.8819
e 28 | malicious users: 3 | test acc 0.7908 test loss 0.678847 best test_acc 0.8819
e 29 | malicious users: 2 | test acc 0.8328 test loss 0.655372 best test_acc 0.8819
e 30 | malicious users: 2 | test acc 0.7897 test loss 0.647931 best test_acc 0.8819
e 31 | malicious users: 1 | test acc 0.6988 test loss 0.897025 best test_acc 0.8819
e 32 | malicious users: 3 | test acc 0.7879 test loss 0.710281 best test_acc 0.8819
e 33 | malicious users: 3 | test acc 0.8994 test loss 0.448839 best test_acc 0.8994
e 34 | malicious users: 5 | test acc 0.7422 test loss 1.095104 best test_acc 0.8994
e 35 | malicious users: 0 | test acc 0.8925 test loss 0.364314 best test_acc 0.8994
e 36 | malicious users: 2 | test acc 0.7233 test loss 1.061218 best test_acc 0.8994
e 37 | malicious users: 3 | test acc 0.6967 test loss 0.913662 best test_acc 0.8994
e 38 | malicious users: 4 | test acc 0.5525 test loss 1.145725 best test_acc 0.8994
e 39 | malicious users: 3 | test acc 0.8470 test loss 0.501261 best test_acc 0.8994
e 40 | malicious users: 2 | test acc 0.8259 test loss 0.545475 best test_acc 0.8994
e 41 | malicious users: 2 | test acc 0.7032 test loss 0.997452 best test_acc 0.8994
e 42 | malicious users: 3 | test acc 0.6776 test loss 0.847658 best test_acc 0.8994
e 43 | malicious users: 2 | test acc 0.7182 test loss 0.946640 best test_acc 0.8994
e 44 | malicious users: 1 | test acc 0.9140 test loss 0.310060 best test_acc 0.9140
e 45 | malicious users: 2 | test acc 0.8090 test loss 1.009404 best test_acc 0.9140
e 46 | malicious users: 1 | test acc 0.8115 test loss 0.619709 best test_acc 0.9140
e 47 | malicious users: 2 | test acc 0.8601 test loss 0.465801 best test_acc 0.9140
e 48 | malicious users: 2 | test acc 0.9192 test loss 0.305777 best test_acc 0.9192
e 49 | malicious users: 3 | test acc 0.6813 test loss 0.829169 best test_acc 0.9192
e 50 | malicious users: 1 | test acc 0.8321 test loss 0.456452 best test_acc 0.9192
e 51 | malicious users: 1 | test acc 0.7922 test loss 0.724467 best test_acc 0.9192
e 52 | malicious users: 2 | test acc 0.8559 test loss 0.489192 best test_acc 0.9192
e 53 | malicious users: 6 | test acc 0.6720 test loss 1.350986 best test_acc 0.9192
e 54 | malicious users: 1 | test acc 0.8887 test loss 0.407465 best test_acc 0.9192
e 55 | malicious users: 2 | test acc 0.8356 test loss 0.632301 best test_acc 0.9192
e 56 | malicious users: 3 | test acc 0.9237 test loss 0.337395 best test_acc 0.9237
e 57 | malicious users: 1 | test acc 0.9076 test loss 0.394983 best test_acc 0.9237
e 58 | malicious users: 5 | test acc 0.6924 test loss 1.073441 best test_acc 0.9237
e 59 | malicious users: 1 | test acc 0.9170 test loss 0.311177 best test_acc 0.9237
e 60 | malicious users: 2 | test acc 0.9414 test loss 0.296899 best test_acc 0.9414
e 61 | malicious users: 1 | test acc 0.9379 test loss 0.292682 best test_acc 0.9414
e 62 | malicious users: 1 | test acc 0.9305 test loss 0.361246 best test_acc 0.9414
e 63 | malicious users: 5 | test acc 0.8355 test loss 0.937544 best test_acc 0.9414
e 64 | malicious users: 2 | test acc 0.9141 test loss 0.349202 best test_acc 0.9414
e 65 | malicious users: 4 | test acc 0.8304 test loss 0.843742 best test_acc 0.9414
e 66 | malicious users: 3 | test acc 0.8746 test loss 0.503502 best test_acc 0.9414
