=> Saving data in Logs/FRL~try=526
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 9 | test acc 0.1793 test loss 2.268804 best test_acc 0.1793
e 1 | malicious users: 3 | test acc 0.3099 test loss 2.158308 best test_acc 0.3099
e 2 | malicious users: 5 | test acc 0.5682 test loss 1.954550 best test_acc 0.5682
e 3 | malicious users: 4 | test acc 0.4193 test loss 1.875091 best test_acc 0.5682
e 4 | malicious users: 2 | test acc 0.5633 test loss 1.444765 best test_acc 0.5682
e 5 | malicious users: 9 | test acc 0.4006 test loss 1.950668 best test_acc 0.5682
e 6 | malicious users: 5 | test acc 0.5936 test loss 1.259577 best test_acc 0.5936
e 7 | malicious users: 7 | test acc 0.4042 test loss 2.037336 best test_acc 0.5936
e 8 | malicious users: 8 | test acc 0.5875 test loss 1.630962 best test_acc 0.5936
e 9 | malicious users: 4 | test acc 0.7129 test loss 1.481320 best test_acc 0.7129
e 10 | malicious users: 6 | test acc 0.6201 test loss 1.419087 best test_acc 0.7129
e 11 | malicious users: 6 | test acc 0.7177 test loss 1.547660 best test_acc 0.7177
e 12 | malicious users: 5 | test acc 0.5623 test loss 1.341501 best test_acc 0.7177
e 13 | malicious users: 8 | test acc 0.5662 test loss 1.552670 best test_acc 0.7177
e 14 | malicious users: 6 | test acc 0.6506 test loss 1.192232 best test_acc 0.7177
e 15 | malicious users: 5 | test acc 0.5860 test loss 1.320017 best test_acc 0.7177
e 16 | malicious users: 11 | test acc 0.4668 test loss 1.522701 best test_acc 0.7177
e 17 | malicious users: 8 | test acc 0.6566 test loss 1.405409 best test_acc 0.7177
e 18 | malicious users: 6 | test acc 0.5694 test loss 1.270988 best test_acc 0.7177
e 19 | malicious users: 7 | test acc 0.5923 test loss 1.568068 best test_acc 0.7177
e 20 | malicious users: 4 | test acc 0.7913 test loss 0.990554 best test_acc 0.7913
e 21 | malicious users: 4 | test acc 0.5902 test loss 1.321192 best test_acc 0.7913
e 22 | malicious users: 7 | test acc 0.6508 test loss 1.240572 best test_acc 0.7913
e 23 | malicious users: 6 | test acc 0.5979 test loss 1.411901 best test_acc 0.7913
e 24 | malicious users: 12 | test acc 0.5441 test loss 1.397435 best test_acc 0.7913
e 25 | malicious users: 4 | test acc 0.6845 test loss 0.990680 best test_acc 0.7913
e 26 | malicious users: 6 | test acc 0.7353 test loss 1.256983 best test_acc 0.7913
e 27 | malicious users: 10 | test acc 0.4853 test loss 1.393459 best test_acc 0.7913
e 28 | malicious users: 6 | test acc 0.5733 test loss 1.310012 best test_acc 0.7913
e 29 | malicious users: 6 | test acc 0.7021 test loss 1.263878 best test_acc 0.7913
e 30 | malicious users: 6 | test acc 0.6211 test loss 1.176130 best test_acc 0.7913
e 31 | malicious users: 5 | test acc 0.8316 test loss 1.108451 best test_acc 0.8316
e 32 | malicious users: 10 | test acc 0.5318 test loss 1.386781 best test_acc 0.8316
e 33 | malicious users: 6 | test acc 0.7746 test loss 1.238851 best test_acc 0.8316
e 34 | malicious users: 8 | test acc 0.8167 test loss 1.233777 best test_acc 0.8316
e 35 | malicious users: 3 | test acc 0.7633 test loss 0.953185 best test_acc 0.8316
e 36 | malicious users: 9 | test acc 0.5549 test loss 1.249563 best test_acc 0.8316
e 37 | malicious users: 3 | test acc 0.7846 test loss 0.922276 best test_acc 0.8316
e 38 | malicious users: 5 | test acc 0.6446 test loss 1.120793 best test_acc 0.8316
e 39 | malicious users: 7 | test acc 0.6004 test loss 1.328808 best test_acc 0.8316
e 40 | malicious users: 5 | test acc 0.5017 test loss 1.182148 best test_acc 0.8316
e 41 | malicious users: 8 | test acc 0.7290 test loss 1.315912 best test_acc 0.8316
e 42 | malicious users: 7 | test acc 0.7370 test loss 1.195798 best test_acc 0.8316
e 43 | malicious users: 6 | test acc 0.7081 test loss 1.117383 best test_acc 0.8316
e 44 | malicious users: 10 | test acc 0.5373 test loss 1.423609 best test_acc 0.8316
e 45 | malicious users: 12 | test acc 0.4639 test loss 1.274180 best test_acc 0.8316
e 46 | malicious users: 10 | test acc 0.5758 test loss 1.319095 best test_acc 0.8316
e 47 | malicious users: 8 | test acc 0.6335 test loss 1.391415 best test_acc 0.8316
e 48 | malicious users: 2 | test acc 0.8617 test loss 0.738125 best test_acc 0.8617
e 49 | malicious users: 3 | test acc 0.9057 test loss 0.322633 best test_acc 0.9057
e 50 | malicious users: 7 | test acc 0.6585 test loss 1.623314 best test_acc 0.9057
e 51 | malicious users: 5 | test acc 0.6780 test loss 1.132334 best test_acc 0.9057
e 52 | malicious users: 5 | test acc 0.7549 test loss 1.250869 best test_acc 0.9057
e 53 | malicious users: 6 | test acc 0.6396 test loss 1.235032 best test_acc 0.9057
e 54 | malicious users: 8 | test acc 0.5204 test loss 1.337981 best test_acc 0.9057
e 55 | malicious users: 9 | test acc 0.5204 test loss 1.296152 best test_acc 0.9057
e 56 | malicious users: 6 | test acc 0.7276 test loss 1.144902 best test_acc 0.9057
e 57 | malicious users: 7 | test acc 0.7138 test loss 1.102670 best test_acc 0.9057
e 58 | malicious users: 7 | test acc 0.6620 test loss 1.185193 best test_acc 0.9057
e 59 | malicious users: 9 | test acc 0.7262 test loss 1.171401 best test_acc 0.9057
e 60 | malicious users: 9 | test acc 0.6307 test loss 1.373293 best test_acc 0.9057
e 61 | malicious users: 10 | test acc 0.6344 test loss 1.258202 best test_acc 0.9057
e 62 | malicious users: 6 | test acc 0.7099 test loss 1.232776 best test_acc 0.9057
e 63 | malicious users: 5 | test acc 0.7060 test loss 1.187738 best test_acc 0.9057
