=> Saving data in Logs/FRL~try=532
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2426 test loss 2.188715 best test_acc 0.2426
e 1 | malicious users: 0 | test acc 0.5546 test loss 1.930489 best test_acc 0.5546
e 2 | malicious users: 0 | test acc 0.4867 test loss 1.986345 best test_acc 0.5546
e 3 | malicious users: 0 | test acc 0.6071 test loss 1.313282 best test_acc 0.6071
e 4 | malicious users: 0 | test acc 0.6115 test loss 1.304032 best test_acc 0.6115
e 5 | malicious users: 0 | test acc 0.6068 test loss 1.195963 best test_acc 0.6115
e 6 | malicious users: 0 | test acc 0.6902 test loss 0.916003 best test_acc 0.6902
e 7 | malicious users: 0 | test acc 0.7229 test loss 1.158335 best test_acc 0.7229
e 8 | malicious users: 0 | test acc 0.7074 test loss 0.798446 best test_acc 0.7229
e 9 | malicious users: 0 | test acc 0.6534 test loss 1.194128 best test_acc 0.7229
e 10 | malicious users: 0 | test acc 0.8004 test loss 0.814183 best test_acc 0.8004
e 11 | malicious users: 0 | test acc 0.7517 test loss 0.724556 best test_acc 0.8004
e 12 | malicious users: 0 | test acc 0.8442 test loss 0.666813 best test_acc 0.8442
e 13 | malicious users: 0 | test acc 0.8845 test loss 0.623932 best test_acc 0.8845
e 14 | malicious users: 0 | test acc 0.7163 test loss 0.735581 best test_acc 0.8845
e 15 | malicious users: 0 | test acc 0.6940 test loss 0.929363 best test_acc 0.8845
e 16 | malicious users: 0 | test acc 0.8242 test loss 0.520218 best test_acc 0.8845
e 17 | malicious users: 0 | test acc 0.8540 test loss 0.641507 best test_acc 0.8845
e 18 | malicious users: 0 | test acc 0.8986 test loss 0.376536 best test_acc 0.8986
e 19 | malicious users: 0 | test acc 0.8151 test loss 0.811602 best test_acc 0.8986
e 20 | malicious users: 0 | test acc 0.7460 test loss 0.647189 best test_acc 0.8986
e 21 | malicious users: 0 | test acc 0.8937 test loss 0.443930 best test_acc 0.8986
e 22 | malicious users: 0 | test acc 0.8457 test loss 0.492436 best test_acc 0.8986
e 23 | malicious users: 0 | test acc 0.8400 test loss 0.619284 best test_acc 0.8986
e 24 | malicious users: 0 | test acc 0.8530 test loss 0.480705 best test_acc 0.8986
e 25 | malicious users: 0 | test acc 0.9146 test loss 0.488907 best test_acc 0.9146
e 26 | malicious users: 0 | test acc 0.8853 test loss 0.362870 best test_acc 0.9146
e 27 | malicious users: 0 | test acc 0.7944 test loss 0.685713 best test_acc 0.9146
e 28 | malicious users: 0 | test acc 0.9106 test loss 0.391609 best test_acc 0.9146
e 29 | malicious users: 0 | test acc 0.8638 test loss 0.447873 best test_acc 0.9146
e 30 | malicious users: 0 | test acc 0.8412 test loss 0.522428 best test_acc 0.9146
e 31 | malicious users: 0 | test acc 0.8190 test loss 0.537815 best test_acc 0.9146
e 32 | malicious users: 0 | test acc 0.9146 test loss 0.327945 best test_acc 0.9146
e 33 | malicious users: 0 | test acc 0.9206 test loss 0.442910 best test_acc 0.9206
e 34 | malicious users: 0 | test acc 0.8875 test loss 0.453124 best test_acc 0.9206
e 35 | malicious users: 0 | test acc 0.8492 test loss 0.409017 best test_acc 0.9206
e 36 | malicious users: 0 | test acc 0.8903 test loss 0.484923 best test_acc 0.9206
e 37 | malicious users: 0 | test acc 0.8875 test loss 0.476392 best test_acc 0.9206
e 38 | malicious users: 0 | test acc 0.7636 test loss 0.720787 best test_acc 0.9206
e 39 | malicious users: 0 | test acc 0.7395 test loss 0.677474 best test_acc 0.9206
e 40 | malicious users: 0 | test acc 0.7986 test loss 0.575450 best test_acc 0.9206
e 41 | malicious users: 0 | test acc 0.9176 test loss 0.396133 best test_acc 0.9206
e 42 | malicious users: 0 | test acc 0.9133 test loss 0.420527 best test_acc 0.9206
e 43 | malicious users: 0 | test acc 0.9401 test loss 0.227581 best test_acc 0.9401
e 44 | malicious users: 0 | test acc 0.9068 test loss 0.359744 best test_acc 0.9401
e 45 | malicious users: 0 | test acc 0.9087 test loss 0.369089 best test_acc 0.9401
e 46 | malicious users: 0 | test acc 0.8866 test loss 0.388233 best test_acc 0.9401
e 47 | malicious users: 0 | test acc 0.8343 test loss 0.582327 best test_acc 0.9401
e 48 | malicious users: 0 | test acc 0.8819 test loss 0.338370 best test_acc 0.9401
e 49 | malicious users: 0 | test acc 0.9384 test loss 0.248231 best test_acc 0.9401
e 50 | malicious users: 0 | test acc 0.8372 test loss 0.473505 best test_acc 0.9401
e 51 | malicious users: 0 | test acc 0.8788 test loss 0.537699 best test_acc 0.9401
e 52 | malicious users: 0 | test acc 0.9147 test loss 0.338800 best test_acc 0.9401
e 53 | malicious users: 0 | test acc 0.8890 test loss 0.378075 best test_acc 0.9401
e 54 | malicious users: 0 | test acc 0.8705 test loss 0.426481 best test_acc 0.9401
e 55 | malicious users: 0 | test acc 0.8682 test loss 0.398679 best test_acc 0.9401
e 56 | malicious users: 0 | test acc 0.8035 test loss 0.533739 best test_acc 0.9401
e 57 | malicious users: 0 | test acc 0.8760 test loss 0.391579 best test_acc 0.9401
e 58 | malicious users: 0 | test acc 0.8883 test loss 0.362469 best test_acc 0.9401
e 59 | malicious users: 0 | test acc 0.9481 test loss 0.309034 best test_acc 0.9481
e 60 | malicious users: 0 | test acc 0.8900 test loss 0.336769 best test_acc 0.9481
e 61 | malicious users: 0 | test acc 0.8455 test loss 0.606611 best test_acc 0.9481
e 62 | malicious users: 0 | test acc 0.8965 test loss 0.362929 best test_acc 0.9481
e 63 | malicious users: 0 | test acc 0.9282 test loss 0.313394 best test_acc 0.9481
e 64 | malicious users: 0 | test acc 0.9081 test loss 0.352161 best test_acc 0.9481
e 65 | malicious users: 0 | test acc 0.8350 test loss 0.496289 best test_acc 0.9481
e 66 | malicious users: 0 | test acc 0.9244 test loss 0.325881 best test_acc 0.9481
