=> Saving data in Logs/FRL~try=540
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.3763 test loss 2.199542 best test_acc 0.3763
e 1 | malicious users: 1 | test acc 0.5517 test loss 2.114692 best test_acc 0.5517
e 2 | malicious users: 1 | test acc 0.4973 test loss 1.577252 best test_acc 0.5517
e 3 | malicious users: 4 | test acc 0.5892 test loss 1.878902 best test_acc 0.5892
e 4 | malicious users: 3 | test acc 0.6630 test loss 1.119181 best test_acc 0.6630
e 5 | malicious users: 2 | test acc 0.5219 test loss 1.404186 best test_acc 0.6630
e 6 | malicious users: 2 | test acc 0.6663 test loss 0.940050 best test_acc 0.6663
e 7 | malicious users: 4 | test acc 0.6254 test loss 1.096943 best test_acc 0.6663
e 8 | malicious users: 2 | test acc 0.7367 test loss 0.969695 best test_acc 0.7367
e 9 | malicious users: 1 | test acc 0.8217 test loss 0.720806 best test_acc 0.8217
e 10 | malicious users: 2 | test acc 0.6983 test loss 1.168213 best test_acc 0.8217
e 11 | malicious users: 0 | test acc 0.7819 test loss 0.708384 best test_acc 0.8217
e 12 | malicious users: 0 | test acc 0.6658 test loss 0.946331 best test_acc 0.8217
e 13 | malicious users: 6 | test acc 0.6665 test loss 0.856826 best test_acc 0.8217
e 14 | malicious users: 1 | test acc 0.7716 test loss 0.776076 best test_acc 0.8217
e 15 | malicious users: 2 | test acc 0.7835 test loss 0.740732 best test_acc 0.8217
e 16 | malicious users: 2 | test acc 0.7333 test loss 0.757173 best test_acc 0.8217
e 17 | malicious users: 2 | test acc 0.7491 test loss 0.772200 best test_acc 0.8217
e 18 | malicious users: 2 | test acc 0.8429 test loss 0.598215 best test_acc 0.8429
e 19 | malicious users: 1 | test acc 0.8712 test loss 0.521848 best test_acc 0.8712
e 20 | malicious users: 6 | test acc 0.8363 test loss 0.503243 best test_acc 0.8712
e 21 | malicious users: 1 | test acc 0.8107 test loss 0.716030 best test_acc 0.8712
e 22 | malicious users: 2 | test acc 0.7871 test loss 0.751975 best test_acc 0.8712
e 23 | malicious users: 5 | test acc 0.7797 test loss 0.654808 best test_acc 0.8712
e 24 | malicious users: 1 | test acc 0.7763 test loss 0.930919 best test_acc 0.8712
e 25 | malicious users: 1 | test acc 0.9124 test loss 0.350876 best test_acc 0.9124
e 26 | malicious users: 5 | test acc 0.7899 test loss 1.012522 best test_acc 0.9124
e 27 | malicious users: 3 | test acc 0.9097 test loss 0.316943 best test_acc 0.9124
e 28 | malicious users: 1 | test acc 0.8124 test loss 0.647875 best test_acc 0.9124
e 29 | malicious users: 3 | test acc 0.8949 test loss 0.449983 best test_acc 0.9124
e 30 | malicious users: 1 | test acc 0.7856 test loss 0.548571 best test_acc 0.9124
e 31 | malicious users: 3 | test acc 0.7654 test loss 0.714275 best test_acc 0.9124
e 32 | malicious users: 1 | test acc 0.7905 test loss 0.599449 best test_acc 0.9124
e 33 | malicious users: 5 | test acc 0.7599 test loss 0.720632 best test_acc 0.9124
e 34 | malicious users: 0 | test acc 0.8475 test loss 0.532608 best test_acc 0.9124
e 35 | malicious users: 5 | test acc 0.7432 test loss 0.785510 best test_acc 0.9124
e 36 | malicious users: 1 | test acc 0.8409 test loss 0.561192 best test_acc 0.9124
e 37 | malicious users: 2 | test acc 0.8625 test loss 0.464352 best test_acc 0.9124
e 38 | malicious users: 2 | test acc 0.8993 test loss 0.535639 best test_acc 0.9124
e 39 | malicious users: 1 | test acc 0.8926 test loss 0.416823 best test_acc 0.9124
e 40 | malicious users: 3 | test acc 0.7783 test loss 0.738719 best test_acc 0.9124
e 41 | malicious users: 3 | test acc 0.7707 test loss 0.642055 best test_acc 0.9124
e 42 | malicious users: 2 | test acc 0.8263 test loss 0.555968 best test_acc 0.9124
e 43 | malicious users: 3 | test acc 0.8274 test loss 0.527044 best test_acc 0.9124
e 44 | malicious users: 5 | test acc 0.7608 test loss 0.800242 best test_acc 0.9124
e 45 | malicious users: 3 | test acc 0.8759 test loss 0.423233 best test_acc 0.9124
e 46 | malicious users: 2 | test acc 0.9049 test loss 0.527540 best test_acc 0.9124
e 47 | malicious users: 2 | test acc 0.8717 test loss 0.392629 best test_acc 0.9124
e 48 | malicious users: 3 | test acc 0.7076 test loss 0.831990 best test_acc 0.9124
e 49 | malicious users: 0 | test acc 0.9323 test loss 0.344785 best test_acc 0.9323
e 50 | malicious users: 1 | test acc 0.8279 test loss 0.666779 best test_acc 0.9323
e 51 | malicious users: 2 | test acc 0.8308 test loss 0.558326 best test_acc 0.9323
e 52 | malicious users: 3 | test acc 0.8460 test loss 0.442219 best test_acc 0.9323
e 53 | malicious users: 2 | test acc 0.8212 test loss 0.774799 best test_acc 0.9323
e 54 | malicious users: 1 | test acc 0.9117 test loss 0.309334 best test_acc 0.9323
e 55 | malicious users: 3 | test acc 0.7996 test loss 0.711613 best test_acc 0.9323
e 56 | malicious users: 2 | test acc 0.8371 test loss 0.522778 best test_acc 0.9323
e 57 | malicious users: 3 | test acc 0.8861 test loss 0.454123 best test_acc 0.9323
e 58 | malicious users: 1 | test acc 0.7448 test loss 0.602430 best test_acc 0.9323
e 59 | malicious users: 3 | test acc 0.9127 test loss 0.450200 best test_acc 0.9323
e 60 | malicious users: 2 | test acc 0.8542 test loss 0.604517 best test_acc 0.9323
e 61 | malicious users: 2 | test acc 0.9173 test loss 0.435410 best test_acc 0.9323
e 62 | malicious users: 0 | test acc 0.7980 test loss 0.612918 best test_acc 0.9323
e 63 | malicious users: 3 | test acc 0.9204 test loss 0.383855 best test_acc 0.9323
e 64 | malicious users: 1 | test acc 0.8957 test loss 0.452370 best test_acc 0.9323
e 65 | malicious users: 5 | test acc 0.7602 test loss 0.736044 best test_acc 0.9323
e 66 | malicious users: 2 | test acc 0.9037 test loss 0.398319 best test_acc 0.9323
e 67 | malicious users: 3 | test acc 0.9182 test loss 0.380924 best test_acc 0.9323
e 68 | malicious users: 3 | test acc 0.9126 test loss 0.356319 best test_acc 0.9323
e 69 | malicious users: 2 | test acc 0.8282 test loss 0.592131 best test_acc 0.9323
e 70 | malicious users: 1 | test acc 0.8875 test loss 0.387162 best test_acc 0.9323
e 71 | malicious users: 1 | test acc 0.6633 test loss 0.803103 best test_acc 0.9323
e 72 | malicious users: 5 | test acc 0.6895 test loss 0.704870 best test_acc 0.9323
e 73 | malicious users: 2 | test acc 0.8297 test loss 0.484453 best test_acc 0.9323
e 74 | malicious users: 6 | test acc 0.8300 test loss 0.631962 best test_acc 0.9323
e 75 | malicious users: 4 | test acc 0.9234 test loss 0.377683 best test_acc 0.9323
e 76 | malicious users: 4 | test acc 0.8562 test loss 0.418105 best test_acc 0.9323
e 77 | malicious users: 2 | test acc 0.8174 test loss 0.660930 best test_acc 0.9323
e 78 | malicious users: 2 | test acc 0.8352 test loss 0.548756 best test_acc 0.9323
e 79 | malicious users: 2 | test acc 0.8862 test loss 0.498564 best test_acc 0.9323
e 80 | malicious users: 2 | test acc 0.9355 test loss 0.332650 best test_acc 0.9355
e 81 | malicious users: 4 | test acc 0.7420 test loss 0.953380 best test_acc 0.9355
e 82 | malicious users: 2 | test acc 0.8519 test loss 0.423092 best test_acc 0.9355
e 83 | malicious users: 6 | test acc 0.8678 test loss 0.504448 best test_acc 0.9355
e 84 | malicious users: 4 | test acc 0.9009 test loss 0.342246 best test_acc 0.9355
e 85 | malicious users: 2 | test acc 0.8171 test loss 0.655638 best test_acc 0.9355
e 86 | malicious users: 1 | test acc 0.8666 test loss 0.401433 best test_acc 0.9355
e 87 | malicious users: 3 | test acc 0.9187 test loss 0.420265 best test_acc 0.9355
e 88 | malicious users: 3 | test acc 0.9196 test loss 0.289547 best test_acc 0.9355
e 89 | malicious users: 1 | test acc 0.8513 test loss 0.613755 best test_acc 0.9355
e 90 | malicious users: 2 | test acc 0.8841 test loss 0.366278 best test_acc 0.9355
e 91 | malicious users: 3 | test acc 0.8584 test loss 0.567651 best test_acc 0.9355
e 92 | malicious users: 2 | test acc 0.8774 test loss 0.493246 best test_acc 0.9355
e 93 | malicious users: 2 | test acc 0.8917 test loss 0.485067 best test_acc 0.9355
e 94 | malicious users: 3 | test acc 0.8565 test loss 0.408469 best test_acc 0.9355
e 95 | malicious users: 3 | test acc 0.9260 test loss 0.460765 best test_acc 0.9355
e 96 | malicious users: 4 | test acc 0.7652 test loss 0.633566 best test_acc 0.9355
e 97 | malicious users: 0 | test acc 0.8235 test loss 0.639482 best test_acc 0.9355
e 98 | malicious users: 0 | test acc 0.9406 test loss 0.259465 best test_acc 0.9406
e 99 | malicious users: 2 | test acc 0.8716 test loss 0.437143 best test_acc 0.9406
e 100 | malicious users: 3 | test acc 0.8947 test loss 0.453830 best test_acc 0.9406
e 101 | malicious users: 10 | test acc 0.0664 test loss 2.473680 best test_acc 0.9406
e 102 | malicious users: 2 | test acc 0.1467 test loss 2.297982 best test_acc 0.9406
e 103 | malicious users: 3 | test acc 0.2149 test loss 2.221584 best test_acc 0.9406
e 104 | malicious users: 4 | test acc 0.4235 test loss 2.105085 best test_acc 0.9406
e 105 | malicious users: 4 | test acc 0.5387 test loss 1.888656 best test_acc 0.9406
e 106 | malicious users: 2 | test acc 0.5398 test loss 1.712577 best test_acc 0.9406
e 107 | malicious users: 2 | test acc 0.6833 test loss 1.227085 best test_acc 0.9406
e 108 | malicious users: 4 | test acc 0.5376 test loss 1.626647 best test_acc 0.9406
e 109 | malicious users: 6 | test acc 0.7028 test loss 1.008333 best test_acc 0.9406
