=> Saving data in Logs/FRL~try=541
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 8 | test acc 0.3283 test loss 2.563574 best test_acc 0.3283
e 1 | malicious users: 5 | test acc 0.2010 test loss 2.281870 best test_acc 0.3283
e 2 | malicious users: 7 | test acc 0.2702 test loss 2.261536 best test_acc 0.3283
e 3 | malicious users: 2 | test acc 0.2681 test loss 2.250896 best test_acc 0.3283
e 4 | malicious users: 1 | test acc 0.3566 test loss 2.076001 best test_acc 0.3566
e 5 | malicious users: 3 | test acc 0.4087 test loss 1.717360 best test_acc 0.4087
e 6 | malicious users: 4 | test acc 0.4452 test loss 1.627079 best test_acc 0.4452
e 7 | malicious users: 3 | test acc 0.5033 test loss 1.560072 best test_acc 0.5033
e 8 | malicious users: 8 | test acc 0.2522 test loss 1.981191 best test_acc 0.5033
e 9 | malicious users: 2 | test acc 0.4789 test loss 1.637033 best test_acc 0.5033
e 10 | malicious users: 7 | test acc 0.5770 test loss 1.376558 best test_acc 0.5770
e 11 | malicious users: 5 | test acc 0.5024 test loss 1.576798 best test_acc 0.5770
e 12 | malicious users: 4 | test acc 0.6097 test loss 1.344344 best test_acc 0.6097
e 13 | malicious users: 2 | test acc 0.6184 test loss 1.310412 best test_acc 0.6184
e 14 | malicious users: 3 | test acc 0.5038 test loss 1.563149 best test_acc 0.6184
e 15 | malicious users: 4 | test acc 0.7014 test loss 0.934937 best test_acc 0.7014
e 16 | malicious users: 8 | test acc 0.3237 test loss 1.808369 best test_acc 0.7014
e 17 | malicious users: 2 | test acc 0.6165 test loss 1.437510 best test_acc 0.7014
e 18 | malicious users: 0 | test acc 0.6181 test loss 1.420487 best test_acc 0.7014
e 19 | malicious users: 3 | test acc 0.5384 test loss 1.316511 best test_acc 0.7014
e 20 | malicious users: 5 | test acc 0.5272 test loss 1.343645 best test_acc 0.7014
e 21 | malicious users: 4 | test acc 0.5434 test loss 1.291946 best test_acc 0.7014
e 22 | malicious users: 6 | test acc 0.4493 test loss 1.446361 best test_acc 0.7014
e 23 | malicious users: 4 | test acc 0.5217 test loss 1.483743 best test_acc 0.7014
e 24 | malicious users: 2 | test acc 0.5548 test loss 1.334232 best test_acc 0.7014
e 25 | malicious users: 6 | test acc 0.5100 test loss 1.565590 best test_acc 0.7014
e 26 | malicious users: 8 | test acc 0.2941 test loss 2.052804 best test_acc 0.7014
e 27 | malicious users: 2 | test acc 0.4247 test loss 1.970482 best test_acc 0.7014
e 28 | malicious users: 4 | test acc 0.5395 test loss 1.424831 best test_acc 0.7014
e 29 | malicious users: 2 | test acc 0.4872 test loss 1.687197 best test_acc 0.7014
e 30 | malicious users: 1 | test acc 0.5282 test loss 1.328500 best test_acc 0.7014
e 31 | malicious users: 4 | test acc 0.5937 test loss 1.610795 best test_acc 0.7014
e 32 | malicious users: 5 | test acc 0.5747 test loss 1.327708 best test_acc 0.7014
e 33 | malicious users: 3 | test acc 0.6104 test loss 1.695518 best test_acc 0.7014
e 34 | malicious users: 5 | test acc 0.5734 test loss 1.278101 best test_acc 0.7014
e 35 | malicious users: 2 | test acc 0.3125 test loss 1.786705 best test_acc 0.7014
e 36 | malicious users: 5 | test acc 0.5536 test loss 1.307465 best test_acc 0.7014
e 37 | malicious users: 2 | test acc 0.4255 test loss 1.708504 best test_acc 0.7014
e 38 | malicious users: 2 | test acc 0.6062 test loss 1.291522 best test_acc 0.7014
e 39 | malicious users: 5 | test acc 0.4941 test loss 1.643246 best test_acc 0.7014
e 40 | malicious users: 2 | test acc 0.5805 test loss 1.330099 best test_acc 0.7014
e 41 | malicious users: 5 | test acc 0.5122 test loss 1.506195 best test_acc 0.7014
e 42 | malicious users: 7 | test acc 0.4752 test loss 1.708170 best test_acc 0.7014
e 43 | malicious users: 5 | test acc 0.3366 test loss 2.039419 best test_acc 0.7014
e 44 | malicious users: 2 | test acc 0.4841 test loss 1.422080 best test_acc 0.7014
e 45 | malicious users: 1 | test acc 0.5391 test loss 1.459730 best test_acc 0.7014
e 46 | malicious users: 4 | test acc 0.5615 test loss 1.282172 best test_acc 0.7014
e 47 | malicious users: 7 | test acc 0.2993 test loss 1.783289 best test_acc 0.7014
e 48 | malicious users: 2 | test acc 0.6357 test loss 1.574810 best test_acc 0.7014
e 49 | malicious users: 3 | test acc 0.6221 test loss 1.216233 best test_acc 0.7014
e 50 | malicious users: 6 | test acc 0.6418 test loss 1.462349 best test_acc 0.7014
e 51 | malicious users: 4 | test acc 0.5376 test loss 1.272811 best test_acc 0.7014
e 52 | malicious users: 5 | test acc 0.5457 test loss 1.327002 best test_acc 0.7014
e 53 | malicious users: 4 | test acc 0.5714 test loss 1.367511 best test_acc 0.7014
e 54 | malicious users: 2 | test acc 0.6743 test loss 1.150149 best test_acc 0.7014
e 55 | malicious users: 5 | test acc 0.4984 test loss 1.293077 best test_acc 0.7014
e 56 | malicious users: 3 | test acc 0.7175 test loss 1.094877 best test_acc 0.7175
e 57 | malicious users: 2 | test acc 0.6078 test loss 1.118456 best test_acc 0.7175
e 58 | malicious users: 2 | test acc 0.6924 test loss 1.040720 best test_acc 0.7175
e 59 | malicious users: 6 | test acc 0.5646 test loss 1.231883 best test_acc 0.7175
e 60 | malicious users: 6 | test acc 0.5571 test loss 1.240033 best test_acc 0.7175
e 61 | malicious users: 2 | test acc 0.5243 test loss 1.326837 best test_acc 0.7175
e 62 | malicious users: 6 | test acc 0.6901 test loss 1.008629 best test_acc 0.7175
e 63 | malicious users: 3 | test acc 0.6186 test loss 1.275016 best test_acc 0.7175
e 64 | malicious users: 3 | test acc 0.6835 test loss 0.909543 best test_acc 0.7175
e 65 | malicious users: 4 | test acc 0.6397 test loss 1.133628 best test_acc 0.7175
e 66 | malicious users: 2 | test acc 0.6425 test loss 1.084406 best test_acc 0.7175
e 67 | malicious users: 3 | test acc 0.5056 test loss 1.297650 best test_acc 0.7175
e 68 | malicious users: 3 | test acc 0.7304 test loss 0.857562 best test_acc 0.7304
e 69 | malicious users: 3 | test acc 0.4974 test loss 1.306000 best test_acc 0.7304
e 70 | malicious users: 4 | test acc 0.8390 test loss 0.865416 best test_acc 0.8390
e 71 | malicious users: 5 | test acc 0.6559 test loss 1.069527 best test_acc 0.8390
e 72 | malicious users: 4 | test acc 0.6989 test loss 0.860759 best test_acc 0.8390
e 73 | malicious users: 1 | test acc 0.7972 test loss 1.020240 best test_acc 0.8390
e 74 | malicious users: 1 | test acc 0.7800 test loss 0.716114 best test_acc 0.8390
e 75 | malicious users: 3 | test acc 0.6698 test loss 1.213819 best test_acc 0.8390
e 76 | malicious users: 5 | test acc 0.6851 test loss 0.893142 best test_acc 0.8390
e 77 | malicious users: 1 | test acc 0.7794 test loss 0.903828 best test_acc 0.8390
e 78 | malicious users: 1 | test acc 0.7705 test loss 0.836949 best test_acc 0.8390
e 79 | malicious users: 4 | test acc 0.7468 test loss 0.828028 best test_acc 0.8390
e 80 | malicious users: 4 | test acc 0.6776 test loss 0.913028 best test_acc 0.8390
e 81 | malicious users: 1 | test acc 0.8521 test loss 0.818988 best test_acc 0.8521
e 82 | malicious users: 2 | test acc 0.7373 test loss 0.850017 best test_acc 0.8521
e 83 | malicious users: 3 | test acc 0.6656 test loss 0.965256 best test_acc 0.8521
e 84 | malicious users: 3 | test acc 0.7342 test loss 0.840299 best test_acc 0.8521
e 85 | malicious users: 3 | test acc 0.6602 test loss 0.994494 best test_acc 0.8521
e 86 | malicious users: 2 | test acc 0.6869 test loss 0.840952 best test_acc 0.8521
e 87 | malicious users: 2 | test acc 0.5885 test loss 1.040878 best test_acc 0.8521
e 88 | malicious users: 5 | test acc 0.6587 test loss 1.208028 best test_acc 0.8521
e 89 | malicious users: 1 | test acc 0.6610 test loss 0.862781 best test_acc 0.8521
e 90 | malicious users: 5 | test acc 0.6063 test loss 1.109610 best test_acc 0.8521
e 91 | malicious users: 3 | test acc 0.6569 test loss 0.992397 best test_acc 0.8521
e 92 | malicious users: 6 | test acc 0.7248 test loss 0.910716 best test_acc 0.8521
e 93 | malicious users: 4 | test acc 0.7999 test loss 0.685768 best test_acc 0.8521
e 94 | malicious users: 5 | test acc 0.6616 test loss 1.057041 best test_acc 0.8521
e 95 | malicious users: 1 | test acc 0.8136 test loss 0.696042 best test_acc 0.8521
e 96 | malicious users: 2 | test acc 0.6847 test loss 1.008297 best test_acc 0.8521
e 97 | malicious users: 3 | test acc 0.6226 test loss 0.989206 best test_acc 0.8521
e 98 | malicious users: 4 | test acc 0.6580 test loss 0.856176 best test_acc 0.8521
e 99 | malicious users: 1 | test acc 0.7648 test loss 0.796081 best test_acc 0.8521
e 100 | malicious users: 8 | test acc 0.7827 test loss 0.803567 best test_acc 0.8521
e 101 | malicious users: 8 | test acc 0.3934 test loss 1.772966 best test_acc 0.8521
e 102 | malicious users: 6 | test acc 0.6736 test loss 1.066726 best test_acc 0.8521
e 103 | malicious users: 5 | test acc 0.6749 test loss 1.067680 best test_acc 0.8521
e 104 | malicious users: 3 | test acc 0.5515 test loss 1.230380 best test_acc 0.8521
e 105 | malicious users: 2 | test acc 0.6829 test loss 0.957204 best test_acc 0.8521
e 106 | malicious users: 1 | test acc 0.7033 test loss 1.021303 best test_acc 0.8521
e 107 | malicious users: 2 | test acc 0.6888 test loss 0.947166 best test_acc 0.8521
e 108 | malicious users: 3 | test acc 0.6783 test loss 0.896275 best test_acc 0.8521
e 109 | malicious users: 2 | test acc 0.7957 test loss 0.866305 best test_acc 0.8521
e 110 | malicious users: 3 | test acc 0.6783 test loss 1.035905 best test_acc 0.8521
e 111 | malicious users: 5 | test acc 0.6340 test loss 1.097671 best test_acc 0.8521
e 112 | malicious users: 3 | test acc 0.6560 test loss 1.015070 best test_acc 0.8521
e 113 | malicious users: 4 | test acc 0.7345 test loss 0.948153 best test_acc 0.8521
e 114 | malicious users: 4 | test acc 0.5694 test loss 1.050428 best test_acc 0.8521
e 115 | malicious users: 4 | test acc 0.6491 test loss 1.137835 best test_acc 0.8521
e 116 | malicious users: 4 | test acc 0.8279 test loss 0.640155 best test_acc 0.8521
e 117 | malicious users: 2 | test acc 0.7854 test loss 0.855527 best test_acc 0.8521
e 118 | malicious users: 4 | test acc 0.7425 test loss 0.908284 best test_acc 0.8521
e 119 | malicious users: 3 | test acc 0.8058 test loss 0.806414 best test_acc 0.8521
e 120 | malicious users: 5 | test acc 0.6252 test loss 0.961059 best test_acc 0.8521
e 121 | malicious users: 4 | test acc 0.7586 test loss 0.811180 best test_acc 0.8521
e 122 | malicious users: 5 | test acc 0.7546 test loss 0.952420 best test_acc 0.8521
e 123 | malicious users: 5 | test acc 0.7412 test loss 0.839783 best test_acc 0.8521
e 124 | malicious users: 2 | test acc 0.6326 test loss 1.034505 best test_acc 0.8521
e 125 | malicious users: 6 | test acc 0.6692 test loss 1.011000 best test_acc 0.8521
e 126 | malicious users: 3 | test acc 0.6900 test loss 0.906489 best test_acc 0.8521
e 127 | malicious users: 3 | test acc 0.7576 test loss 0.915541 best test_acc 0.8521
e 128 | malicious users: 3 | test acc 0.6290 test loss 1.017452 best test_acc 0.8521
e 129 | malicious users: 2 | test acc 0.7171 test loss 0.907389 best test_acc 0.8521
e 130 | malicious users: 1 | test acc 0.8112 test loss 0.719161 best test_acc 0.8521
e 131 | malicious users: 4 | test acc 0.7636 test loss 0.767862 best test_acc 0.8521
