=> Saving data in Logs/FRL~try=548
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.1150 test loss 2.395038 best test_acc 0.1150
e 1 | malicious users: 4 | test acc 0.2541 test loss 2.122946 best test_acc 0.2541
e 2 | malicious users: 4 | test acc 0.3718 test loss 1.741032 best test_acc 0.3718
e 3 | malicious users: 6 | test acc 0.2361 test loss 1.932484 best test_acc 0.3718
e 4 | malicious users: 2 | test acc 0.5907 test loss 1.512693 best test_acc 0.5907
e 5 | malicious users: 5 | test acc 0.3941 test loss 1.637074 best test_acc 0.5907
e 6 | malicious users: 4 | test acc 0.6050 test loss 1.271054 best test_acc 0.6050
e 7 | malicious users: 7 | test acc 0.4186 test loss 1.515248 best test_acc 0.6050
e 8 | malicious users: 6 | test acc 0.5007 test loss 1.356104 best test_acc 0.6050
e 9 | malicious users: 6 | test acc 0.3599 test loss 1.737056 best test_acc 0.6050
e 10 | malicious users: 4 | test acc 0.5659 test loss 1.356811 best test_acc 0.6050
e 11 | malicious users: 5 | test acc 0.5112 test loss 1.439549 best test_acc 0.6050
e 12 | malicious users: 5 | test acc 0.5819 test loss 1.346662 best test_acc 0.6050
e 13 | malicious users: 5 | test acc 0.4869 test loss 1.263405 best test_acc 0.6050
e 14 | malicious users: 6 | test acc 0.5673 test loss 1.463579 best test_acc 0.6050
e 15 | malicious users: 5 | test acc 0.5922 test loss 1.194377 best test_acc 0.6050
e 16 | malicious users: 7 | test acc 0.5732 test loss 1.466835 best test_acc 0.6050
e 17 | malicious users: 4 | test acc 0.6356 test loss 1.007157 best test_acc 0.6356
e 18 | malicious users: 6 | test acc 0.4065 test loss 1.587687 best test_acc 0.6356
e 19 | malicious users: 1 | test acc 0.5822 test loss 1.189758 best test_acc 0.6356
e 20 | malicious users: 5 | test acc 0.6617 test loss 1.387493 best test_acc 0.6617
e 21 | malicious users: 9 | test acc 0.2790 test loss 2.824838 best test_acc 0.6617
e 22 | malicious users: 5 | test acc 0.4574 test loss 1.556887 best test_acc 0.6617
e 23 | malicious users: 3 | test acc 0.6899 test loss 1.046082 best test_acc 0.6899
e 24 | malicious users: 7 | test acc 0.5844 test loss 1.583122 best test_acc 0.6899
